,Measure,MeanOldWorld,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
15,3,F9,F,5.666666666666666,51.8371696472168,24.738418579101562,58.0545768737793,98.2206039428711,59.8478889465332,44.557708740234375,14.530838966369629,53.724090576171875,37.0905876159668,50.40890884399414,36.708290100097656,45.522830963134766
16,4,Eb9,Eb,6.0,86.64154815673828,169.64315795898438,112.53185272216797,150.92388916015625,176.05291748046875,266.0540771484375,159.60821533203125,211.5221405029297,64.89385986328125,53.70571517944336,181.59498596191406,129.6605682373047
17,4,Eb13,Eb,6.5,184.55816650390625,162.70191955566406,121.59756469726562,156.10166931152344,113.01300811767578,308.07659912109375,131.20973205566406,165.9594268798828,109.65509796142578,83.1416244506836,192.89756774902344,132.4116973876953
18,4,Eb9,Eb,7.0,263.4075012207031,146.6192169189453,75.73226928710938,103.47480010986328,236.0310821533203,197.26458740234375,192.5956268310547,107.31351470947266,89.51811981201172,118.69437408447266,59.95880126953125,68.90034484863281
19,4,D9,D,7.5,74.84260559082031,31.478248596191406,39.342411041259766,42.726619720458984,117.40234375,87.00155639648438,62.89329147338867,35.57741165161133,27.52779197692871,19.37862205505371,9.312979698181152,20.359617233276367
20,5,G7,G,8.0,804.0825805664062,489.4343566894531,1155.888671875,864.4522094726562,1322.1461181640625,3623.890380859375,2039.5601806640625,2599.001953125,631.503173828125,428.8142395019531,485.9898681640625,2105.315673828125
21,6,C9,C,10.0,1879.7060546875,776.6865234375,3070.304443359375,1205.4730224609375,3782.4541015625,791.715087890625,371.2812194824219,1824.8414306640625,543.9352416992188,422.8782043457031,1660.41552734375,848.361328125
22,7,G7,G,12.0,161.51380920410156,125.47101593017578,340.453125,225.97071838378906,306.1351013183594,1081.5225830078125,559.8622436523438,1195.6671142578125,220.53395080566406,95.4655532836914,156.97940063476562,532.3228149414062
23,7,D7,D,13.0,497.3611755371094,280.8900451660156,701.5313110351562,148.987548828125,128.75901794433594,547.3148803710938,1223.30322265625,237.30169677734375,85.51253509521484,421.7090148925781,119.77033233642578,165.28012084960938
24,8,G7,G,14.0,557.8666381835938,374.5387878417969,1258.2486572265625,637.3570556640625,771.042724609375,3729.487548828125,1796.5771484375,1711.97900390625,372.7409362792969,461.4339599609375,468.4189453125,1963.5987548828125
25,9,C9,C,16.0,1934.2413330078125,769.14501953125,3054.828369140625,1212.2479248046875,3845.426513671875,787.539306640625,403.1427001953125,1909.8338623046875,560.3012084960938,427.5697937011719,1724.7088623046875,867.4638061523438
26,10,C9,C,18.0,1907.96337890625,765.7896118164062,2864.4169921875,1201.6641845703125,3851.765625,1322.2720947265625,449.4282531738281,1584.9691162109375,460.9227294921875,473.2934265136719,1738.7822265625,785.7416381835938
27,11,G7,G,20.0,170.26248168945312,161.58201599121094,608.9109497070312,269.0342712402344,296.692138671875,1104.196044921875,567.7835693359375,1305.8424072265625,283.6356201171875,134.74053955078125,377.5836181640625,575.6505737304688
28,11,D7,D,21.0,259.4063415527344,64.09158325195312,87.71195220947266,35.55257797241211,58.00889205932617,240.18133544921875,378.2300720214844,85.72905731201172,24.10071563720703,129.41250610351562,46.0157356262207,150.88926696777344
29,12,G7,G,22.0,172.57899475097656,128.2042999267578,362.5478515625,207.62852478027344,257.4240417480469,1063.9234619140625,457.8716125488281,473.7392883300781,119.54474639892578,116.14302825927734,148.65850830078125,549.2820434570312
30,12,Bbmin7,Bb,23.0,198.97808837890625,539.8784790039062,186.33177185058594,95.64740753173828,221.80743408203125,903.417236328125,206.9613494873047,104.4879379272461,456.2267761230469,265.8419494628906,597.9519653320312,220.4686737060547
31,13,Amin7,A,24.0,1904.12548828125,658.4320678710938,341.8330078125,686.0447387695312,3195.01171875,1326.7716064453125,499.4825439453125,2097.60546875,980.630859375,1685.03173828125,402.8544921875,664.3292236328125
32,14,D7,D,26.0,2335.585693359375,882.3226928710938,1978.7904052734375,488.5266418457031,379.5163269042969,1034.0465087890625,3936.743408203125,910.280029296875,326.0688781738281,1287.5211181640625,305.4266052246094,408.8146667480469
33,15,G7,G,28.0,174.8275146484375,158.56716918945312,548.3440551757812,251.0735626220703,261.5222473144531,1103.5426025390625,592.4564208984375,1543.3355712890625,301.5636901855469,164.1678009033203,614.0274047851562,624.9475708007812
34,15,C9,C,29.0,566.8007202148438,223.28904724121094,718.1450805664062,393.6944580078125,1129.3055419921875,440.3644104003906,142.6134796142578,478.0569152832031,137.15719604492188,129.2359161376953,512.7465209960938,304.9556579589844
35,16,G7,G,30.0,264.5554504394531,138.23097229003906,358.1743469238281,194.97381591796875,421.9606628417969,1118.0928955078125,462.2277526855469,579.8112182617188,132.9982452392578,98.76927947998047,154.45127868652344,619.2748413085938
36,16,D7,D,31.0,621.6071166992188,268.0872802734375,604.0584716796875,155.82861328125,146.7742156982422,509.5170593261719,1224.6085205078125,246.1017608642578,89.64388275146484,421.7458190917969,118.92633819580078,183.43836975097656
37,17,G7,G,32.0,710.539794921875,417.0017395019531,1508.0687255859375,693.4185180664062,809.3305053710938,3733.679443359375,2126.8330078125,4606.50341796875,870.0945434570312,465.8981018066406,475.1339416503906,2009.2347412109375
38,18,Ab13,Ab,34.0,8.537314414978027,4.854506492614746,19.441680908203125,6.958735942840576,7.641043186187744,27.879613876342773,14.51735782623291,2.972625970840454,0.9069663882255554,2.923206090927124,4.687743186950684,16.843656539916992
39,18,G13,G,35.0,7440.84423828125,4580.4423828125,4190.56201171875,4187.23291015625,4197.08740234375,12542.8759765625,7103.32275390625,5638.77685546875,1974.8919677734375,4144.1875,2778.585693359375,6726.1484375
