,Measure,Montara,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
12,7,Fmaj7,F,12.0,648.9664916992188,158.0778045654297,121.38186645507812,243.4862060546875,1050.8096923828125,587.3378295898438,161.03172302246094,278.2816467285156,269.689697265625,553.6984252929688,151.07455444335938,225.5396270751953
13,7,Emin7,E,13.0,222.60182189941406,196.6999969482422,901.0372924804688,367.799072265625,949.3206176757812,284.9747619628906,140.14035034179688,455.9028625488281,118.98857879638672,83.07991027832031,113.13839721679688,618.1654052734375
14,8,C7,C,14.0,542.4856567382812,142.396728515625,178.6254119873047,277.7279968261719,1093.8104248046875,238.1574249267578,116.24466705322266,509.671142578125,129.68011474609375,137.35411071777344,688.9033813476562,308.298583984375
15,8,Gmaj7,G,15.0,251.2341766357422,149.1293487548828,365.4183044433594,194.0983123779297,212.29310607910156,341.9596862792969,1293.2100830078125,738.0145874023438,130.51979064941406,82.41108703613281,174.3664093017578,651.6262817382812
16,9,Fmaj7,F,16.0,627.9547729492188,147.60548400878906,114.73053741455078,258.047607421875,1052.1199951171875,588.7254638671875,270.2186279296875,158.82635498046875,243.69908142089844,544.4806518554688,144.76654052734375,221.7435760498047
17,9,Emin11,E,17.0,300.7479553222656,208.98846435546875,381.9460144042969,387.5645751953125,630.6185302734375,384.2112731933594,1331.9385986328125,683.671630859375,221.5177459716797,459.7132568359375,249.58447265625,715.7050170898438
18,10,C13,C,18.0,239.3683319091797,196.56398010253906,387.5564880371094,376.8200988769531,716.5166015625,1040.3365478515625,587.6184692382812,784.0510864257812,299.3117980957031,580.4546508789062,659.2324829101562,332.27130126953125
19,10,Gmaj6,G,19.0,153.7958526611328,126.1722640991211,404.96240234375,346.9008483886719,934.0250854492188,360.7261962890625,283.16558837890625,486.4599609375,152.5171356201172,171.8039093017578,190.5349578857422,605.1677856445312
20,11,Fmaj7,F,20.0,703.287353515625,171.6509552001953,111.50897216796875,242.3728790283203,1052.4671630859375,596.951904296875,147.40823364257812,141.7165069580078,222.73509216308594,548.8543090820312,172.1956024169922,387.8059387207031
21,11,Emin7,E,21.0,224.4166717529297,184.13458251953125,808.505859375,351.59228515625,945.4143676757812,285.0096130371094,158.83877563476562,459.0375671386719,117.8173828125,77.87271118164062,110.42794799804688,616.3386840820312
