,Measure,SatinDoll,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
23,15,D7,D,29.0,695.7055053710938,300.0469970703125,587.5897216796875,142.5964813232422,235.0567626953125,307.1979675292969,1148.4542236328125,270.8831787109375,204.7690887451172,1152.1363525390625,193.701904296875,143.30770874023438
24,16,Amin7,A,30.0,494.8728942871094,139.55255126953125,183.55421447753906,248.1310272216797,881.0980834960938,200.36695861816406,243.9419403076172,533.699462890625,264.9570617675781,571.0728149414062,144.54103088378906,175.00050354003906
25,16,D7,D,31.0,305.664306640625,141.6456298828125,342.0070495605469,102.2547378540039,176.5075225830078,161.360595703125,728.1481323242188,178.1471710205078,155.7958984375,959.3370971679688,150.18014526367188,68.6286849975586
26,17,G7,G,32.0,188.6801300048828,132.46156311035156,364.5294189453125,220.3514862060547,281.6696472167969,1083.5516357421875,518.718505859375,504.7225341796875,124.03771209716797,132.1514129638672,148.73292541503906,542.9703979492188
27,17,Dmin7,D,33.0,479.1911315917969,247.96380615234375,658.221923828125,152.8476104736328,270.6680908203125,998.450439453125,275.4522705078125,85.48088836669922,86.96306610107422,406.4101257324219,108.07732391357422,167.61448669433594
28,18,G7,G,34.0,563.9352416992188,384.1112976074219,1287.1385498046875,656.785400390625,759.6611328125,3496.495849609375,1309.0836181640625,1655.7908935546875,369.7068786621094,452.4383544921875,454.5240173339844,1956.59912109375
29,19,Dmin7,D,36.0,567.3165283203125,263.1061096191406,579.880126953125,161.1670379638672,342.8980712890625,1062.5035400390625,298.3367004394531,170.40806579589844,264.5414123535156,1485.3802490234375,254.94769287109375,121.83578491210938
30,19,G7,G,37.0,190.61814880371094,135.38868713378906,418.4488220214844,211.2366180419922,258.3305969238281,1015.8359375,478.4306640625,856.9136352539062,212.7187957763672,348.8225402832031,180.1025390625,559.6659545898438
31,20,Dmin7,D,38.0,544.5523681640625,251.7259979248047,643.751953125,162.1781463623047,272.0086364746094,989.5473022460938,260.07830810546875,82.38926696777344,119.48025512695312,596.1974487304688,136.41184997558594,178.51617431640625
32,20,G7,G,39.0,62.315155029296875,38.62136459350586,150.79562377929688,59.17403030395508,69.44446563720703,296.6181945800781,215.9728546142578,1092.239501953125,235.00071716308594,324.7218322753906,69.08543395996094,74.0595474243164
33,21,Emin7,E,40.0,161.5343017578125,137.7381134033203,596.0689697265625,332.0922546386719,1060.9215087890625,519.4786987304688,281.4583435058594,554.9530639648438,160.5235137939453,272.07220458984375,168.99525451660156,747.578125
34,21,A7,A,41.0,72.26779174804688,355.9677429199219,143.7923126220703,154.4799041748047,532.4268798828125,163.4033966064453,102.01500701904297,337.6734619140625,244.90858459472656,1112.4610595703125,184.4054718017578,102.8095703125
35,22,Emin7,E,42.0,134.76710510253906,177.37083435058594,728.8230590820312,317.44293212890625,957.0361328125,218.5503692626953,139.12074279785156,483.6911926269531,111.63150787353516,64.72728729248047,107.94054412841797,613.0709838867188
36,22,A7,A,43.0,156.90635681152344,551.8438720703125,169.95921325683594,201.2233123779297,831.0969848632812,276.2471618652344,138.0798797607422,584.7451171875,432.8869323730469,1437.5855712890625,278.0639953613281,127.74553680419922
37,23,Amin7,A,44.0,503.2760314941406,213.0566864013672,125.10424041748047,204.8069305419922,836.381591796875,179.93104553222656,112.05020141601562,533.30126953125,267.0898742675781,520.2820434570312,136.53062438964844,193.1595001220703
38,23,D7,D,45.0,1131.853759765625,382.117919921875,622.7031860351562,153.7636260986328,253.03265380859375,334.419677734375,1156.8087158203125,377.103759765625,125.41009521484375,439.9387512207031,98.5167465209961,189.2326202392578
39,24,Abmin7,Ab,46.0,137.11419677734375,90.86618041992188,266.3828125,819.2024536132812,162.5880889892578,256.6694030761719,1255.673095703125,387.6639709472656,499.9509582519531,171.12303161621094,267.7842102050781,525.1319580078125
40,24,Db7,Db,47.0,344.1465148925781,540.7654418945312,182.44122314453125,397.4759216308594,311.6200866699219,1153.6356201171875,341.7297668457031,236.69602966308594,1316.7200927734375,243.76536560058594,200.37510681152344,946.133056640625
41,25,Cmaj7,C,48.0,663.4329833984375,212.34735107421875,103.1717758178711,271.9172668457031,1119.2958984375,401.0400085449219,188.0492401123047,858.2107543945312,185.23492431640625,60.745601654052734,117.43114471435547,671.8998413085938
42,25,Dmin7,D,49.0,685.76708984375,293.5025329589844,588.5802612304688,154.90277099609375,437.8872985839844,1075.4478759765625,276.5415344238281,140.98648071289062,104.33978271484375,431.5098876953125,88.52356719970703,143.69764709472656
43,26,Emin7,E,50.0,161.2031707763672,160.17295837402344,843.7289428710938,385.908203125,1009.2340698242188,392.1354675292969,144.4084014892578,460.5390319824219,115.9057388305664,84.95850372314453,111.91997528076172,601.2728881835938
44,26,A7,A,51.0,939.1582641601562,3529.505126953125,853.4727172851562,1200.737060546875,5576.73779296875,1670.4693603515625,697.81103515625,3341.586181640625,1655.3336181640625,2953.365966796875,606.1572265625,722.9697875976562
