,Measure,LuluSwing,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
13,16,Emin7,E,30.0,387.6565246582031,437.1353454589844,2266.17626953125,1016.2096557617188,3413.049560546875,722.505615234375,1078.4813232421875,1643.6888427734375,379.407958984375,187.647216796875,425.28271484375,2028.87939453125
14,17,A7,A,32.0,438.7336730957031,1822.5968017578125,456.5140686035156,639.5604858398438,2825.4072265625,1070.7135009765625,461.2663879394531,1681.8892822265625,906.4641723632812,1661.4375,348.2456970214844,285.3480529785156
15,18,Dmaj7,D,34.0,357.7098693847656,2400.171875,2177.901123046875,470.5802001953125,314.6832580566406,750.49951171875,3781.619140625,678.7263793945312,284.5049133300781,1209.857666015625,243.905517578125,113.53131866455078
16,19,D7,D,36.0,2027.7789306640625,824.1553344726562,1843.0594482421875,398.232177734375,247.81703186035156,710.751220703125,3830.9365234375,691.9559936523438,242.1552734375,1231.6563720703125,276.1850280761719,341.4378662109375
17,20,G,G,38.0,390.1860656738281,423.3783264160156,2492.549560546875,423.49462890625,110.13837432861328,155.97073364257812,367.1319885253906,1455.3551025390625,258.0177307128906,170.31483459472656,334.2921447753906,2050.03369140625
18,21,G#dim7,G#,40.0,456.8611755371094,413.8084411621094,2041.0147705078125,1144.7952880859375,799.7893676757812,3615.001708984375,995.3270874023438,515.8167114257812,1638.78076171875,543.5923461914062,449.2861328125,2000.38818359375
19,22,Dmaj7,D,42.0,328.44659423828125,2131.060546875,2128.966064453125,420.3031005859375,211.22381591796875,843.1757202148438,3915.768798828125,669.8645629882812,289.44024658203125,1241.3016357421875,254.99073791503906,165.75267028808594
20,23,Dmaj7,D,44.0,323.4423828125,2182.81591796875,2149.824951171875,422.71044921875,232.72393798828125,775.5568237304688,3811.497314453125,664.7260131835938,279.32177734375,1210.3487548828125,245.43775939941406,118.54659271240234
21,24,E7,E,46.0,406.737060546875,421.7776184082031,2420.84228515625,1050.6767578125,3335.014404296875,607.15869140625,264.7273254394531,259.4521789550781,1368.8018798828125,319.1844787597656,314.2524108886719,1739.8157958984375
22,25,E7,E,48.0,437.8590393066406,418.6527099609375,2459.561279296875,1069.434326171875,3301.9541015625,580.1201782226562,227.79473876953125,257.3538513183594,1389.7001953125,320.09356689453125,345.6002502441406,1984.49951171875
23,26,Eb7,Eb,50.0,361.1280212402344,1913.51953125,1032.7540283203125,3098.787353515625,642.6790161132812,195.62998962402344,283.0312805175781,1539.19384765625,347.1684875488281,351.5871887207031,1933.95703125,465.9200744628906
24,27,A7,A,52.0,394.9393005371094,1676.5411376953125,393.8069763183594,696.33642578125,2805.647216796875,750.94775390625,331.28680419921875,1664.0469970703125,917.6322631835938,1646.15625,339.7782287597656,262.3525695800781
25,28,D,D,54.0,261.7271728515625,1614.3212890625,5449.13037109375,1263.37451171875,938.4638671875,2139.789306640625,12271.7529296875,2155.65869140625,1178.5540771484375,7151.93701171875,1481.34765625,282.52685546875
26,30,E7,E,58.0,1154.983642578125,1231.494140625,6824.44970703125,3034.575439453125,9927.4189453125,1937.6092529296875,2891.554443359375,1411.5782470703125,5677.58544921875,1224.6278076171875,1207.8280029296875,5443.6826171875
27,32,Emin7,E,62.0,389.0236511230469,437.5655517578125,2267.521728515625,1017.421875,3417.803466796875,723.6561889648438,1079.15234375,1645.5274658203125,380.1191101074219,187.76953125,426.2143859863281,2036.7283935546875
28,33,A7,A,64.0,438.454345703125,1824.7000732421875,456.0280456542969,638.7235717773438,2825.531982421875,1070.586669921875,460.9886779785156,1681.2449951171875,906.3424682617188,1662.1802978515625,348.5873107910156,284.3259582519531
29,34,D,D,66.0,100.69818115234375,552.4341430664062,1848.7733154296875,435.657470703125,289.1816711425781,697.0890502929688,3773.037109375,653.2553100585938,230.71836853027344,1208.310791015625,234.9767608642578,72.01049041748047
30,35,Emin7,E,68.0,122.0030746459961,139.43125915527344,733.9824829101562,335.5378723144531,998.7672729492188,205.13031005859375,121.56499481201172,445.9395751953125,106.9698486328125,64.0035629272461,100.29169464111328,555.465576171875
31,35,A7,A,69.0,800.51708984375,3502.3388671875,1008.27001953125,1173.213134765625,5491.82470703125,1412.5419921875,713.2633666992188,3413.8857421875,1647.1075439453125,2800.01953125,563.5978393554688,611.7273559570312
