,Measure,HustlerTheII,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
13,21,F,F,40.0,121.16778564453125,50.91469955444336,176.9404296875,53.22465133666992,76.3613510131836,134.52073669433594,95.59407806396484,542.4191284179688,101.20818328857422,56.52800369262695,19.660810470581055,42.4279670715332
14,21,Amin7,A,40.66666666666666,105.08087158203125,47.38240051269531,129.68141174316406,40.33855056762695,67.24578094482422,219.81103515625,44.5673713684082,12.270537376403809,52.97764205932617,381.6853942871094,576.375,107.5677261352539
15,21,Dmin7,D,41.333333333333336,12.02574634552002,11.941363334655762,40.3810920715332,15.864602088928223,38.19350051879883,91.0056381225586,23.73273277282715,18.529495239257812,74.4073715209961,537.4560546875,93.47246551513672,5.934106826782227
16,22,Dmin7,D,42.0,2227.458984375,2688.416015625,16050.1025390625,2558.851318359375,1060.3675537109375,4429.97607421875,2388.038818359375,11765.5595703125,2280.3857421875,1100.2039794921875,311.8658752441406,468.7357482910156
17,26,Dmin7,D,50.0,367.2518005371094,757.1689453125,236.83555603027344,378.1342468261719,1547.18798828125,556.5254516601562,140.62730407714844,135.18455505371094,611.2860717773438,160.55247497558594,153.53106689453125,827.0176391601562
18,27,C#min7,C#,52.0,774.1752319335938,280.2569580078125,411.1561584472656,1452.4151611328125,544.9337768554688,188.4478759765625,148.93246459960938,648.4592895507812,157.44053649902344,174.4810333251953,862.1005249023438,387.3347473144531
19,28,Cmin7,C,54.0,242.27049255371094,297.731201171875,940.13916015625,520.5310668945312,177.3197479248047,359.9317932128906,1786.08447265625,334.5610656738281,133.82229614257812,620.7741088867188,314.5423278808594,801.61669921875
20,29,Bmin7,B,56.0,977.4011840820312,372.5250549316406,853.7396850585938,252.4927215576172,388.5344543457031,1622.4481201171875,445.4810485839844,109.95733642578125,132.5430450439453,592.1865844726562,158.19874572753906,246.99476623535156
21,30,Dmin7,D,58.0,414.6821594238281,759.1754760742188,229.12477111816406,368.1800842285156,1540.4383544921875,560.6325073242188,154.1736297607422,141.2813262939453,611.2972412109375,160.5609588623047,165.4640655517578,889.1321411132812
22,31,C#min7,C#,60.0,778.0100708007812,279.2319641113281,410.6385498046875,1462.0888671875,543.5872192382812,189.6007537841797,159.76449584960938,649.3797607421875,157.24420166015625,175.39927673339844,869.7605590820312,422.0919494628906
23,32,Cmin7,C,62.0,244.13670349121094,297.6814270019531,939.6567993164062,519.7162475585938,177.469970703125,359.4707946777344,1776.2794189453125,332.6031494140625,133.32484436035156,621.0199584960938,315.8144836425781,803.687255859375
24,33,Bmin7,B,64.0,977.4080200195312,372.5397033691406,853.8114624023438,252.46888732910156,388.4951171875,1622.3255615234375,445.5539245605469,109.98284149169922,132.52671813964844,592.0889282226562,158.19076538085938,246.95213317871094
25,34,Dmin7,D,66.0,540.7949829101562,173.13584899902344,512.3571166992188,231.26507568359375,303.4489440917969,1631.6781005859375,511.6192626953125,66.55870819091797,43.37894058227539,194.2141876220703,95.26284790039062,288.3577575683594
26,38,Dmin7,D,74.0,250.5942840576172,117.94937896728516,482.8265380859375,82.0255126953125,276.1231384277344,1579.7078857421875,239.7402801513672,15.106858253479004,34.23466873168945,188.1876220703125,29.540372848510742,41.72920227050781
27,42,G,G,82.0,30.836156845092773,19.539901733398438,127.43463134765625,21.114870071411133,5.508733749389648,26.37335968017578,29.528234481811523,164.32752990722656,23.704824447631836,7.451855182647705,32.677616119384766,202.4578094482422
28,46,Bb,Bb,90.0,104.53133392333984,32.286155700683594,55.7025032043457,16.32006072998047,55.27467346191406,299.1998291015625,48.82990646362305,30.451807022094727,16.31846046447754,59.522525787353516,21.372949600219727,54.87868118286133
29,46,F,F,91.0,54.703426361083984,31.116395950317383,111.17251586914062,29.309202194213867,36.948299407958984,110.91480255126953,40.73933792114258,100.94403076171875,24.338546752929688,41.45783615112305,23.337644577026367,79.16802978515625
30,47,G,G,92.0,120.15352630615234,32.2386589050293,28.46123504638672,14.169022560119629,73.3097152709961,331.6147766113281,49.476409912109375,11.013648986816406,15.177273750305176,72.71369171142578,17.27337646484375,36.70142364501953
31,47,F,F,93.0,164.03805541992188,68.82634735107422,37.50600051879883,147.7774658203125,708.866943359375,453.9127197265625,94.64054107666016,281.8396301269531,274.1599426269531,1437.4576416015625,239.0988006591797,74.6628646850586
32,48,F,F,94.0,125.176513671875,40.69198226928711,40.76564407348633,26.83125114440918,72.75222778320312,168.39642333984375,37.35921859741211,10.869601249694824,12.907713890075684,56.070072174072266,16.050506591796875,33.3105354309082
33,48,Amin7,A,94.5,88.06344604492188,36.69002151489258,94.55062866210938,33.47713088989258,78.57087707519531,226.34283447265625,45.105621337890625,8.308152198791504,8.861294746398926,39.42976379394531,9.535569190979004,19.585073471069336
34,48,Dmin7,D,95.0,17.766454696655273,9.075345039367676,30.034292221069336,5.937857151031494,17.942636489868164,78.2082290649414,11.374024391174316,1.4549130201339722,3.258734941482544,18.981000900268555,5.19652795791626,6.357597351074219
35,48,F,F,95.5,2.9737625122070312,2.1478657722473145,7.1391143798828125,3.0066449642181396,12.200787544250488,33.072052001953125,8.543830871582031,1.4048919677734375,1.030173897743225,2.8090171813964844,0.6050834059715271,0.7330002784729004
36,49,Dmin7,D,96.0,80.48065948486328,64.4792251586914,276.91241455078125,72.56060028076172,334.8939514160156,1014.4267578125,150.8441619873047,63.31158447265625,37.306663513183594,143.1254119873047,24.9573974609375,23.44053840637207
37,52,Emin7,E,102.0,35.62135696411133,47.05506896972656,83.98554229736328,57.19522476196289,93.1265640258789,182.3374481201172,70.90335083007812,93.33162689208984,43.36711120605469,36.51673889160156,36.07539367675781,109.72820281982422
38,52,Dmin7,D,102.5,9.45219898223877,21.412267684936523,29.52463722229004,16.140249252319336,42.87372970581055,74.9314956665039,17.443876266479492,22.578027725219727,6.386300563812256,4.535204887390137,11.34103775024414,34.210594177246094
39,52,A7,A,103.0,0.054150599986314774,0.12496074289083481,0.4092966616153717,0.24613749980926514,0.17041487991809845,0.9276596903800964,0.45261386036872864,0.24340732395648956,0.05724184587597847,0.055392224341630936,0.08072232455015182,0.19328254461288452
40,52,G7,G,103.5,0.02400153875350952,0.03542610630393028,0.1700185388326645,0.09114394336938858,0.1156679317355156,0.06911821663379669,0.05968413129448891,0.2455264776945114,0.050091907382011414,0.027791565284132957,0.04597733914852142,0.1274328976869583
