,Measure,SoTired,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
11,12,Gmin7,G,22.0,35.51260757446289,56.9094123840332,169.3457489013672,71.11453247070312,127.57816314697266,434.1809997558594,180.7069549560547,199.11830139160156,79.71903228759766,176.36817932128906,663.1367797851562,128.62594604492188
12,12,C7,C,22.66666666666667,97.27782440185547,39.40068435668945,45.35844802856445,90.80590057373047,232.22430419921875,195.28395080566406,55.545745849609375,136.23228454589844,245.7932891845703,136.25257873535156,556.3550415039062,144.96826171875
13,12,Fmin7,F,23.33333333333333,251.5308074951172,75.8762435913086,118.90847778320312,332.5382385253906,325.45111083984375,228.00726318359375,72.06863403320312,129.51954650878906,221.17335510253906,118.49373626708984,108.87969207763672,71.01219177246094
14,13,Gmin7,G,24.0,103.6758041381836,73.6597671508789,207.5340118408203,170.10792541503906,171.36158752441406,493.88037109375,208.07533264160156,242.0943145751953,100.49085235595703,190.7266845703125,687.0569458007812,159.43179321289062
15,13,C7,C,24.66666666666667,106.5650634765625,38.58802795410156,55.12178039550781,123.79802703857422,252.7888946533203,201.60694885253906,64.79118347167969,145.1431121826172,259.5406494140625,133.1422119140625,522.4854125976562,141.4472198486328
16,13,Fmin7,F,25.33333333333333,253.8013458251953,74.69051361083984,119.53579711914062,332.86981201171875,324.0107727050781,228.31065368652344,71.66779327392578,128.09523010253906,217.90533447265625,118.87484741210938,108.89012908935547,71.11837005615234
17,14,Fmin7,F,26.0,2142.878173828125,476.6873474121094,627.1111450195312,2655.2978515625,1802.5142822265625,2060.403564453125,470.5914306640625,883.9785766601562,1783.6807861328125,485.0659484863281,258.6514892578125,527.4595947265625
18,15,Gbmaj7,Gb,28.0,526.6476440429688,2048.144287109375,534.9175415039062,720.7094116210938,893.820068359375,3681.356689453125,1969.0262451171875,442.3642578125,297.0115661621094,561.935791015625,2081.860107421875,433.3387756347656
19,16,Fmin7,F,30.0,2113.5126953125,513.7218627929688,645.8644409179688,2704.529296875,1325.345458984375,1691.5906982421875,377.5521240234375,719.7544555664062,1616.5535888671875,371.2761535644531,197.03599548339844,498.4288635253906
20,17,Ebmaj7,Eb,32.0,60.34223937988281,138.83070373535156,768.337158203125,1032.380859375,221.98968505859375,104.7073974609375,116.18192291259766,467.4376220703125,108.05550384521484,131.41387939453125,554.774658203125,131.99363708496094
