,Measure,ThereWillNeverBeAnotherYou,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
16,21,Cmin7,C,40.0,2629.146728515625,761.3208618164062,1775.6490478515625,4690.10205078125,1433.77734375,1176.7445068359375,1636.5625,9898.8369140625,1665.0186767578125,610.2806396484375,2865.9560546875,1503.5302734375
17,23,Bbmin7,Bb,44.0,172.4864044189453,181.1278839111328,77.9615249633789,68.70664978027344,95.4447250366211,379.5298156738281,91.21424102783203,77.00614166259766,160.45689392089844,364.3730773925781,2060.55859375,344.6368408203125
18,24,Eb7,Eb,46.0,76.89938354492188,264.2146911621094,133.6672821044922,302.5795593261719,118.56649017333984,263.9532165527344,72.67687225341797,143.07557678222656,64.87767791748047,43.92661666870117,172.21983337402344,53.08928298950195
19,25,Abmaj7,Ab,48.0,185.932861328125,152.19151306152344,164.4646759033203,484.9122314453125,143.63841247558594,220.84471130371094,100.05508422851562,222.29150390625,186.20021057128906,722.6932983398438,4884.62841796875,750.3779907226562
20,26,Db9,Db,50.0,216.05908203125,104.70674896240234,171.7979278564453,632.03125,197.6490020751953,167.73048400878906,132.5105743408203,865.1531372070312,3358.605224609375,574.1680297851562,262.5231018066406,231.8227081298828
21,27,Ebmaj7,Eb,52.0,94.56317901611328,71.17789459228516,300.0316162109375,636.877197265625,164.7548370361328,159.50311279296875,147.76673889160156,913.1771850585938,1508.61669921875,309.088134765625,427.9024658203125,224.77976989746094
22,28,Amin7,A,54.0,7.614772319793701,12.076751708984375,58.92032241821289,250.37379455566406,49.19179153442383,29.397077560424805,18.468460083007812,42.32044219970703,8.642117500305176,6.931201934814453,36.2261962890625,16.06315040588379
23,28,D7,D,55.0,221.1976776123047,43.812984466552734,21.4329891204834,78.28067779541016,358.9327697753906,56.64152908325195,36.247066497802734,191.12086486816406,48.028900146484375,64.7731704711914,17.816164016723633,52.64247512817383
24,29,Ebmaj7,Eb,56.0,454.3839416503906,115.26544952392578,190.62962341308594,60.66498947143555,126.3923568725586,78.54090118408203,312.5672607421875,141.9769744873047,42.81645584106445,117.34911346435547,31.72020149230957,78.53824615478516
25,29,D7,D,57.0,39.10856628417969,65.05201721191406,254.9091796875,632.1780395507812,151.22776794433594,30.027305603027344,62.92220687866211,208.52491760253906,38.31464767456055,41.13300323486328,200.2677764892578,48.93857955932617
26,30,Gmin7,G,58.0,428.540771484375,120.20169067382812,280.8796691894531,126.02950286865234,78.7867660522461,71.47251892089844,309.0772399902344,143.5458526611328,42.77753829956055,124.05150604248047,43.687992095947266,71.44511413574219
27,30,C7,C,59.0,20.93047523498535,41.13493347167969,140.79147338867188,154.72169494628906,110.41593170166016,377.23388671875,114.2108154296875,149.78147888183594,30.796310424804688,78.88056182861328,232.92372131347656,63.72465896606445
28,31,Fmin7,F,60.0,191.45928955078125,41.97318649291992,46.269229888916016,129.4375457763672,469.7704162597656,137.22506713867188,67.17176055908203,323.9676818847656,1118.7216796875,217.8865203857422,231.9453125,77.26085662841797
29,31,Bb7,Bb,61.0,292.9229431152344,61.8795051574707,91.40829467773438,352.2755126953125,191.1315460205078,228.2107391357422,42.60377502441406,52.26762390136719,82.07324981689453,24.618057250976562,17.484338760375977,53.93012619018555
30,32,Ebmaj7,Eb,62.0,65.3868408203125,48.8725700378418,220.01171875,115.60430908203125,109.74918365478516,389.9914855957031,119.71891021728516,237.05271911621094,125.57085418701172,79.41028594970703,124.94896697998047,38.17180633544922
31,32,Bb7,Bb,63.0,658.7409057617188,1135.1151123046875,5759.962890625,6087.40576171875,2310.915771484375,6695.64892578125,1917.7882080078125,2247.323974609375,2911.3916015625,1921.5201416015625,4932.52099609375,879.09814453125
