,Measure,Horace,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
11,11,C,C,20.0,6514.85205078125,1228.8580322265625,1745.66552734375,1383.0479736328125,6825.95751953125,3251.3056640625,1333.430908203125,6510.01318359375,1427.8857421875,556.9471435546875,186.24330139160156,1248.486083984375
12,13,G9,G,24.0,168.89566040039062,115.63507080078125,399.5578308105469,130.85031127929688,119.4722671508789,564.3590698242188,251.6642303466797,239.01353454589844,81.6822280883789,200.30548095703125,130.6852569580078,360.3648681640625
13,13,F9,F,25.0,413.93505859375,101.8219223022461,178.7184295654297,516.7486572265625,342.8677673339844,304.3927307128906,141.2938690185547,457.6349792480469,296.4899597167969,1390.1094970703125,214.8164520263672,152.95108032226562
14,14,Emin7,E,26.0,133.20423889160156,110.59042358398438,518.9916381835938,336.4557189941406,626.5261840820312,243.53892517089844,167.0947265625,913.0966186523438,194.0349578857422,45.560089111328125,51.495548248291016,323.0111389160156
15,14,Dmin7,D,27.0,209.82989501953125,175.43035888671875,1053.8880615234375,234.1132354736328,160.5826873779297,369.7243347167969,181.0778045654297,790.4708862304688,199.93927001953125,379.9618225097656,98.7508316040039,65.58910369873047
16,15,Cmin7,C,28.0,377.6847839355469,75.4886245727539,144.6160125732422,469.6233215332031,195.7466583251953,113.48825073242188,55.28335189819336,225.4748992919922,55.278568267822266,57.06589889526367,210.22129821777344,137.9151153564453
17,15,F7,F,29.0,369.3127136230469,74.25582885742188,118.83981323242188,502.3714904785156,260.1337585449219,247.17759704589844,59.87435531616211,72.61991882324219,60.20240783691406,199.4900665283203,52.2085075378418,81.24198150634766
18,16,Dmin7/A,D,30.0,952.0346069335938,311.5435791015625,961.870849609375,628.0802612304688,764.27685546875,2139.02734375,428.3255920410156,101.73358154296875,155.91366577148438,670.2704467773438,114.956298828125,191.9894561767578
19,17,G9,G,32.0,184.6276092529297,150.5331573486328,563.227783203125,250.23565673828125,232.0100860595703,1141.647705078125,420.0038146972656,559.856201171875,271.348388671875,392.1292419433594,171.19525146484375,507.1905517578125
20,17,F9,F,33.0,400.472900390625,94.34854888916016,149.13909912109375,509.6732177734375,403.3569030761719,602.66064453125,169.52725219726562,460.71875,308.2080993652344,1478.5972900390625,230.6317138671875,191.42262268066406
21,18,Emin7,E,34.0,146.4217071533203,76.76112365722656,351.2116394042969,314.6164855957031,589.4207153320312,196.6004638671875,180.63885498046875,920.1954956054688,186.98387145996094,39.06109619140625,78.92957305908203,466.3849182128906
22,18,Dmin7,D,35.0,454.2578125,170.84336853027344,361.3603820800781,100.2365951538086,264.7628479003906,689.5321655273438,206.72862243652344,495.6408386230469,110.74905395507812,150.43504333496094,36.675926208496094,114.93798065185547
23,19,C,C,36.0,5730.7421875,1747.2279052734375,6106.05322265625,2033.79443359375,5725.326171875,2686.750732421875,1213.803466796875,6113.337890625,3112.913818359375,2160.640625,408.3771057128906,1256.1510009765625
24,21,G9,G,40.0,189.08062744140625,98.90213775634766,311.4996337890625,95.516357421875,97.9444580078125,515.5595092773438,204.29469299316406,239.66490173339844,76.2575454711914,180.16363525390625,94.64192962646484,274.2795104980469
25,21,F9,F,41.0,350.6064147949219,113.43640899658203,179.0480499267578,485.4679870605469,277.8976745605469,278.6509094238281,142.8850860595703,658.3200073242188,325.0264587402344,1227.305908203125,193.5659637451172,146.48643493652344
26,22,Emin7,E,42.0,133.0678253173828,108.50261688232422,491.4120178222656,279.0701904296875,506.0732116699219,262.7440490722656,148.47303771972656,751.4395141601562,162.36485290527344,72.32120513916016,53.04901123046875,252.9373321533203
27,22,Dmin7,D,43.0,157.43603515625,168.4845428466797,890.1675415039062,160.92095947265625,170.9951629638672,312.77325439453125,184.92124938964844,1030.7694091796875,263.4622802734375,609.1345825195312,202.90972900390625,74.99404907226562
28,23,Cmin7,C,44.0,326.2962646484375,90.26587677001953,142.59095764160156,459.3235168457031,130.89938354492188,64.80025482177734,46.47056579589844,224.983642578125,37.44730758666992,39.25426483154297,169.66761779785156,106.16109466552734
29,23,F7,F,45.0,319.8312072753906,83.28462219238281,120.09099578857422,487.648193359375,230.80751037597656,199.42173767089844,37.645572662353516,61.37724685668945,62.7202262878418,137.69223022460938,43.233367919921875,74.7904281616211
30,24,Dmin7/A,D,46.0,888.3162231445312,290.87274169921875,908.6685180664062,536.9950561523438,619.1906127929688,1960.0751953125,359.9810485839844,103.9578857421875,162.36781311035156,531.6858520507812,114.66787719726562,196.57769775390625
31,25,G9,G,48.0,216.381591796875,142.65740966796875,394.5162353515625,213.62847900390625,294.7716064453125,1702.0782470703125,522.8453369140625,576.5987548828125,177.976806640625,525.6171875,265.36053466796875,823.7651977539062
32,26,G9,G,50.0,180.506591796875,142.9195556640625,420.8454895019531,192.34523010253906,274.1529541015625,1717.9676513671875,529.2608642578125,577.0183715820312,180.6049346923828,555.5098266601562,268.3460693359375,820.7098999023438
33,27,C7,C,52.0,905.3093872070312,165.66448974609375,95.29672241210938,340.7514343261719,1773.265625,371.959228515625,147.35658264160156,775.2813110351562,212.04933166503906,154.5489959716797,658.7540893554688,323.7037353515625
34,28,Bb7,Bb,54.0,109.80353546142578,181.1552734375,859.284423828125,180.13914489746094,312.1323547363281,1605.4954833984375,304.77337646484375,79.9775390625,360.3522644042969,339.0641784667969,619.2008056640625,153.76995849609375
35,29,E,E,56.0,137.01925659179688,20.90839195251465,44.70054626464844,308.5489501953125,1657.9598388671875,347.6783142089844,69.99073791503906,86.26923370361328,421.7091979980469,69.44892120361328,115.03263092041016,689.9923706054688
36,30,Eb,Eb,58.0,15.922599792480469,21.355260848999023,95.79644775390625,434.602783203125,88.1728744506836,24.57843017578125,40.656166076660156,216.88136291503906,33.327327728271484,40.30653762817383,223.46636962890625,57.21268844604492
37,30,F7,F,59.0,322.2643737792969,84.44854736328125,104.86457061767578,484.3530578613281,230.43707275390625,183.1255340576172,35.89152908325195,58.72333908081055,62.80839538574219,131.34249877929688,35.73647689819336,71.83060455322266
38,31,A7,A,60.0,353.704345703125,906.1286010742188,233.820556640625,542.7924194335938,1420.6436767578125,418.7507019042969,146.76852416992188,718.7106323242188,320.4896545410156,362.8176574707031,96.96560668945312,121.70490264892578
39,32,Bb7,Bb,62.0,105.69751739501953,199.6542510986328,833.3002319335938,207.87437438964844,331.0168762207031,1580.4075927734375,295.9814758300781,73.38569641113281,350.6044616699219,303.7955322265625,630.7876586914062,141.69097900390625
40,33,Dmin7,D,64.0,914.5984497070312,321.07269287109375,816.5433959960938,169.2487335205078,272.7926330566406,1772.9139404296875,329.081787109375,58.08366394042969,110.7977066040039,559.6981811523438,85.45983123779297,151.36044311523438
41,34,Cmin7,C,66.0,230.6184844970703,63.88624954223633,112.37213897705078,456.6330871582031,116.79679107666016,41.693363189697266,41.8792724609375,225.25140380859375,115.60050201416016,581.5144653320312,293.35736083984375,91.41500091552734
42,34,F,F,67.0,375.4076232910156,73.86033630371094,37.950069427490234,98.9108657836914,87.711181640625,514.0980834960938,99.00402069091797,32.07701873779297,34.711421966552734,150.56800842285156,31.719141006469727,58.90556716918945
43,35,F9,F,68.0,1300.375244140625,280.97705078125,335.3802185058594,1658.078125,757.579345703125,919.339599609375,231.56451416015625,809.1557006835938,242.31959533691406,394.1097717285156,126.44635772705078,289.7467041015625
44,36,Cmin7,C,70.0,277.0414123535156,75.3045425415039,106.90029907226562,453.9646301269531,119.7608413696289,42.289520263671875,42.52635955810547,229.79579162597656,124.54739379882812,633.6915283203125,309.2198486328125,100.84046173095703
45,36,F,F,71.0,363.5506896972656,69.96256256103516,33.8950309753418,98.8696060180664,85.68545532226562,506.5483703613281,99.16483306884766,32.67453384399414,34.750789642333984,153.80259704589844,33.57727813720703,58.304080963134766
46,37,F9,F,72.0,1301.4017333984375,280.5928649902344,314.6997985839844,1653.8720703125,745.1581420898438,920.430419921875,230.82444763183594,807.7080688476562,243.26678466796875,402.0185241699219,127.80106353759766,289.1389465332031
47,38,Dmaj,D,74.0,59.5948371887207,203.52015686035156,882.71826171875,207.68092346191406,73.21788787841797,338.2862243652344,1550.8372802734375,253.5662078857422,89.1941146850586,487.3517761230469,93.64148712158203,20.591459274291992
48,39,Fmaj,F,76.0,3647.947021484375,623.9955444335938,216.42344665527344,258.4850769042969,971.70703125,6233.3046875,1094.56201171875,178.3488311767578,303.4278869628906,1581.7838134765625,241.70533752441406,555.2374877929688
