,Measure,PCH,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
26,27,Ab9,Ab,52.0,157.5290069580078,58.84529113769531,201.3511962890625,140.17979431152344,127.14385986328125,714.2125854492188,135.1634521484375,216.91734313964844,106.50023651123047,32.93727111816406,44.562259674072266,35.39853286743164
27,28,Ab,Ab,54.0,1671.4002685546875,444.7740478515625,707.294921875,2728.43994140625,881.3311157226562,753.72021484375,819.0792846679688,1537.0396728515625,1800.44287109375,654.3123168945312,470.96923828125,434.4012756347656
28,29,Cmin7,C,56.0,26329.947265625,6790.20458984375,18143.060546875,52462.49609375,14104.2724609375,9509.8740234375,8304.9404296875,35664.7734375,7361.330078125,7301.94970703125,30764.8671875,10493.8857421875
29,36,Fmin7,F,70.0,303.55712890625,89.45064544677734,108.4987564086914,361.7989807128906,207.11102294921875,171.73802185058594,52.487701416015625,123.32071685791016,303.5660400390625,76.86975860595703,30.146621704101562,89.3414535522461
30,36,G7,G,70.66666666666667,88.86640167236328,26.776405334472656,39.33070755004883,130.70970153808594,58.91093444824219,51.4588623046875,11.073036193847656,31.003339767456055,78.79307556152344,37.32057571411133,65.28897857666016,27.78495979309082
31,36,Cmin9,C,71.33333333333333,3229.625732421875,1229.4893798828125,4118.21533203125,5024.92724609375,2618.351806640625,5998.158203125,2506.43603515625,4634.82373046875,1332.781494140625,1114.6224365234375,2925.629638671875,3756.470703125
32,38,C7(#11),C,74.0,1197.1212158203125,424.6210021972656,594.5817260742188,780.3037719726562,1861.8619384765625,1480.7122802734375,4277.94091796875,2611.3310546875,520.355712890625,535.2979736328125,2258.18896484375,723.061767578125
33,39,Bb7(#11),Bb,76.0,355.8519287109375,293.8350830078125,801.886474609375,1147.962890625,4037.992431640625,2398.4150390625,662.7925415039062,646.3673095703125,1856.4569091796875,1112.16748046875,4778.39501953125,890.5855102539062
34,40,Ab7(#11),Ab,78.0,1752.5078125,737.01220703125,2585.696044921875,3006.402587890625,976.3956909179688,894.880859375,3772.006103515625,1530.728515625,4288.92724609375,820.6755981445312,259.727783203125,422.2726745605469
35,41,Fmin7,F,80.0,632.5330200195312,164.0304412841797,205.149658203125,735.230712890625,401.881591796875,444.3542785644531,113.84088134765625,231.25880432128906,481.5830383300781,152.84690856933594,67.24767303466797,160.68603515625
36,41,G13,G,81.0,703.4108276367188,265.6412658691406,493.0892333984375,576.2810668945312,570.6541748046875,1298.678466796875,595.9949340820312,1395.63330078125,395.3658142089844,453.5658874511719,216.79420471191406,691.7942504882812
37,42,Fmin7,F,82.0,537.5431518554688,148.3330535888672,282.6512145996094,760.6465454101562,415.6556091308594,499.1425476074219,141.95455932617188,285.5902404785156,495.7919006347656,187.4480743408203,84.78068542480469,193.93115234375
38,42,G13,G,83.0,6404.96337890625,2046.5091552734375,3992.129150390625,4451.84716796875,4256.6875,12420.64453125,4846.52587890625,12274.4951171875,2835.564697265625,3693.8447265625,1758.1859130859375,6663.23388671875
