,Measure,OneManSection,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
33,28,Emin7,E,54.0,176.8910675048828,150.48118591308594,747.43017578125,366.6239318847656,1014.2284545898438,250.1385955810547,219.17059326171875,468.7088317871094,119.63521575927734,115.05572509765625,393.7505187988281,952.2974243164062
34,28,A7,A,55.0,207.38218688964844,46.070796966552734,59.65446472167969,54.52469253540039,193.64698791503906,56.051025390625,21.93767738342285,131.328369140625,31.88123321533203,8.62817668914795,14.624679565429688,74.29255676269531
35,29,Dmin7,D,56.0,2161.513427734375,1357.3861083984375,1998.5572509765625,652.8007202148438,2125.277587890625,3831.091552734375,920.8932495117188,709.3259887695312,811.66845703125,4021.6513671875,627.1613159179688,401.2559509277344
36,30,F#dim,F#,58.0,854.4000854492188,287.59686279296875,327.39642333984375,105.69284057617188,162.56483459472656,458.4455871582031,1692.67626953125,311.0940246582031,142.63011169433594,759.80810546875,171.39833068847656,151.8069610595703
37,31,Emin7,E,60.0,576.270263671875,501.3826599121094,2654.599609375,1126.1942138671875,3437.9296875,685.8732299804688,623.7210693359375,1582.1732177734375,387.9478454589844,299.8056945800781,1031.6541748046875,3097.6748046875
38,32,A7,A,62.0,4.336994171142578,9.601652145385742,24.108625411987305,14.708809852600098,64.07828521728516,31.65892791748047,23.67348289489746,15.441901206970215,3.7525599002838135,4.646533012390137,4.277472496032715,20.729028701782227
39,33,Dmin7,D,64.0,2034.0,1001.7024536132812,1897.7047119140625,479.0362548828125,1393.0228271484375,3852.281494140625,896.500244140625,587.5957641601562,392.44482421875,1523.8753662109375,334.9065246582031,364.1029357910156
40,34,Dmin7,D,66.0,2018.64599609375,754.000732421875,1832.3458251953125,407.72119140625,804.2940063476562,3564.736572265625,824.9307250976562,199.2409210205078,242.9066162109375,1220.2154541015625,237.99732971191406,337.2853088378906
41,35,G7,G,68.0,494.1423034667969,346.8478698730469,1052.2037353515625,582.2533569335938,756.1152954101562,3705.277099609375,1364.4786376953125,1637.6710205078125,343.0854187011719,301.4634094238281,425.3028869628906,1934.94384765625
42,36,G7,G,70.0,463.6733703613281,346.921875,1089.8477783203125,600.7138671875,749.31982421875,3656.649169921875,1356.46630859375,1652.23291015625,347.2005920410156,323.69281005859375,431.7259826660156,1942.7891845703125
43,37,Dmin7,D,72.0,1989.3499755859375,774.19287109375,1898.88427734375,450.5942077636719,827.14599609375,3703.514892578125,901.1157836914062,479.6203918457031,373.5975341796875,1561.3021240234375,339.3055114746094,402.5302429199219
44,38,Dmin7,D,74.0,2024.3748779296875,770.19384765625,1943.4761962890625,451.7793884277344,857.7893676757812,3591.393798828125,842.4800415039062,204.98924255371094,483.9561767578125,2886.4443359375,503.7886047363281,352.6543273925781
45,39,G7,G,76.0,490.1563720703125,352.9145812988281,1171.9317626953125,611.2156372070312,744.457275390625,3663.619140625,1370.2388916015625,1664.8270263671875,347.7414245605469,325.9344787597656,431.323486328125,1932.6517333984375
46,40,G7,G,78.0,460.7826232910156,342.9672546386719,1093.408935546875,603.3527221679688,746.779541015625,3654.047119140625,1356.9825439453125,1667.2401123046875,348.9390563964844,321.3264465332031,432.1645202636719,1937.4644775390625
47,41,Asus,A,80.0,138.94065856933594,712.6218872070312,2023.9793701171875,826.8003540039062,2742.448486328125,601.4241943359375,296.32806396484375,153.0616912841797,526.050537109375,1565.5413818359375,289.1946716308594,181.1820068359375
48,42,Gbsus,Gb,82.0,569.8372802734375,1776.9852294921875,364.0730285644531,140.58802795410156,204.17327880859375,738.8468627929688,3596.0595703125,586.6268310546875,186.02381896972656,221.93357849121094,1051.9488525390625,2245.326904296875
49,43,D9,D,84.0,1942.2470703125,618.1975708007812,683.8139038085938,762.2512817382812,3131.729248046875,1071.9176025390625,2248.879150390625,653.3644409179688,704.771484375,1901.02197265625,536.8330078125,561.343994140625
50,44,Gb13,Gb,86.0,1456.5216064453125,2082.732666015625,646.6188354492188,1380.7408447265625,3805.187255859375,1819.7235107421875,1911.1080322265625,805.976806640625,1545.0120849609375,815.4168090820312,2355.16357421875,2426.867919921875
51,45,Dmin7,D,88.0,2268.649658203125,810.9695434570312,1913.8319091796875,492.46923828125,916.9618530273438,3823.075439453125,917.6891479492188,203.93882751464844,257.4955139160156,1288.0377197265625,267.0052795410156,408.0874938964844
52,46,Dmin7,D,90.0,2054.961181640625,766.9537963867188,1880.7364501953125,439.1314697265625,786.9098510742188,3531.3642578125,834.905029296875,217.42486572265625,255.01173400878906,1246.4268798828125,244.53904724121094,341.7410583496094
53,47,G7,G,92.0,490.3398742675781,349.2030334472656,1073.302978515625,591.86767578125,751.856689453125,3683.275146484375,1344.2509765625,1665.4468994140625,346.6813049316406,291.4353332519531,418.8974609375,1908.8072509765625
54,48,G7,G,94.0,459.1176452636719,344.8877258300781,1087.850830078125,602.8159790039062,751.1897583007812,3643.72265625,1341.538818359375,1663.8568115234375,350.4844970703125,320.5984802246094,433.6197814941406,1943.6861572265625
55,49,Dmin7,D,96.0,2014.8350830078125,769.6619262695312,1913.7921142578125,436.9733581542969,790.2404174804688,3563.44921875,836.5630493164062,199.59332275390625,284.9979248046875,1544.6353759765625,328.59002685546875,396.1329345703125
56,50,Dmin7,D,98.0,2055.39404296875,771.9472045898438,1927.8448486328125,447.7453918457031,772.318115234375,3554.042724609375,901.3380737304688,710.7529907226562,386.17529296875,1335.4718017578125,269.287841796875,362.4209289550781
57,51,Ebmaj6,Eb,100.0,2049.0830078125,475.792236328125,815.4127807617188,3107.457275390625,632.9635009765625,232.3309326171875,304.7955627441406,1554.2315673828125,316.3176574707031,356.5424499511719,1946.42822265625,676.4125366210938
58,52,Dmin,D,102.0,150.4746856689453,477.0726013183594,1958.4444580078125,507.6799011230469,795.0925903320312,3622.904052734375,786.03955078125,141.20162963867188,232.6544952392578,1278.2169189453125,212.0214080810547,74.286376953125
59,53,Dmin,D,104.0,135.70333862304688,458.6780700683594,1863.61376953125,445.0232238769531,716.7485961914062,3548.906005859375,802.687255859375,133.7335662841797,228.23486328125,1231.50390625,202.71205139160156,71.97183990478516
60,54,Bbmin7,Bb,106.0,507.2068786621094,1719.0570068359375,412.8165588378906,238.42274475097656,648.8260498046875,3129.784912109375,581.7991333007812,255.3732452392578,1350.6715087890625,720.2760620117188,1986.8511962890625,390.6646423339844
61,55,A7,A,108.0,420.6451110839844,1796.2139892578125,459.3454895019531,624.05517578125,2826.610595703125,927.816162109375,347.9352722167969,1643.84521484375,923.9473266601562,1624.1131591796875,323.4117126464844,260.17034912109375
62,56,Dmin,D,110.0,152.4668426513672,527.7108154296875,2068.583984375,504.6617431640625,825.53955078125,3602.704833984375,803.783935546875,147.91770935058594,236.7203369140625,1231.4012451171875,200.41888427734375,77.22696685791016
63,57,Emin7,E,112.0,121.9664535522461,139.02130126953125,731.3130493164062,331.5151062011719,1017.2684936523438,235.39930725097656,114.23577117919922,445.9959716796875,111.05634307861328,86.0365982055664,106.96148681640625,555.8472290039062
64,57,A7,A,113.0,157.06126403808594,549.2485961914062,185.50762939453125,215.567138671875,787.541748046875,261.1777038574219,156.7510223388672,790.6470336914062,383.71875,508.3281555175781,118.50191497802734,119.165771484375
65,58,Fmin7,F,114.0,607.2108154296875,225.49107360839844,204.60597229003906,838.207275390625,597.5128784179688,410.0124816894531,108.5074462890625,282.89007568359375,508.9129943847656,142.02862548828125,69.63019561767578,182.63157653808594
66,58,Bb7,Bb,115.0,229.6550750732422,213.79734802246094,673.4774780273438,487.5191345214844,340.3816833496094,1059.0435791015625,276.7455749511719,118.57916259765625,482.8744201660156,328.53863525390625,581.2587280273438,151.4025421142578
67,59,Ebmin7,Eb,116.0,451.0359191894531,2300.235107421875,1201.995849609375,3267.9404296875,788.1350708007812,1907.7989501953125,3744.750244140625,657.4362182617188,219.28550720214844,404.0539245605469,2009.66357421875,350.2801208496094
68,60,Ab7,Ab,118.0,1871.736328125,522.1180419921875,662.3211059570312,2541.502685546875,1202.2554931640625,884.6570434570312,3747.5556640625,1205.4422607421875,1682.0225830078125,343.4288635253906,193.22682189941406,409.3634948730469
69,61,Cmin7,C,120.0,1829.42138671875,439.6221008300781,842.1767578125,3314.1396484375,954.0033569335938,243.52716064453125,336.83074951171875,1477.1434326171875,341.0918273925781,606.0946655273438,2016.142578125,749.3225708007812
70,62,Bbmaj7,Bb,122.0,234.7865753173828,631.4965209960938,2871.337646484375,703.4647827148438,791.578857421875,2992.681396484375,774.4133911132812,181.95668029785156,314.4007873535156,1877.5020751953125,2024.8780517578125,358.9732360839844
71,63,Dmin7,D,124.0,2260.819580078125,774.1825561523438,1851.9283447265625,462.7314758300781,824.3820190429688,3768.586181640625,865.059814453125,195.81175231933594,577.3682250976562,3604.766357421875,570.6835327148438,374.3010559082031
72,64,Eb,Eb,126.0,154.75437927246094,178.3251190185547,771.559814453125,3087.269287109375,635.4896850585938,364.9522399902344,318.2388610839844,1500.9208984375,306.6702575683594,662.9909057617188,4239.21240234375,756.0012817382812
73,65,Emin7,E,128.0,384.66455078125,449.334228515625,2601.305908203125,1160.6658935546875,3444.641357421875,646.9957275390625,341.9064636230469,1507.1519775390625,403.6807861328125,393.7676086425781,399.6521301269531,2007.4295654296875
74,66,Bbmaj7,Bb,130.0,173.17295837402344,601.8047485351562,2722.49560546875,669.1587524414062,792.901123046875,2950.4814453125,756.5106811523438,187.34063720703125,332.49530029296875,1922.8973388671875,2093.302978515625,371.1849670410156
75,67,B13,B,132.0,734.3096313476562,2189.944091796875,1024.76318359375,2150.512451171875,3283.052490234375,1977.6851806640625,1859.5946044921875,635.2689819335938,1807.3878173828125,2018.98974609375,635.147216796875,719.19384765625
76,68,B13,B,134.0,704.1566772460938,2139.267822265625,1066.7913818359375,2126.689453125,3198.607177734375,1467.9881591796875,1816.9991455078125,1095.6375732421875,1977.7939453125,1937.2681884765625,582.5346069335938,716.7236328125
77,69,Emin7,E,136.0,378.6037292480469,444.3403015136719,2249.89208984375,1046.6031494140625,3485.3388671875,664.3549194335938,371.4535217285156,1501.2489013671875,419.3782958984375,415.0344543457031,383.7848815917969,1877.77392578125
78,70,Bbmaj7,Bb,138.0,179.01580810546875,605.4549560546875,2700.829345703125,642.6417236328125,808.6742553710938,2965.7216796875,767.29931640625,191.30577087402344,337.5201110839844,1926.5086669921875,2133.4765625,376.0716247558594
79,71,Eb,Eb,140.0,116.49890899658203,169.70225524902344,753.4006958007812,3083.605224609375,633.3731689453125,313.1967468261719,296.40716552734375,1496.7811279296875,294.5141906738281,751.1531372070312,4811.26611328125,826.1115112304688
80,72,Eb,Eb,142.0,130.13800048828125,165.57546997070312,734.9166870117188,3041.1669921875,673.705322265625,806.3533325195312,401.9657897949219,1540.83154296875,287.9345703125,397.1897277832031,1919.24462890625,396.5719299316406
81,73,Emin7,E,144.0,383.3625183105469,394.2973937988281,2222.447021484375,1104.8841552734375,3453.765625,666.7677001953125,341.0586853027344,1500.6395263671875,405.7408142089844,399.8877868652344,400.3688659667969,2004.6060791015625
82,74,Bb,Bb,146.0,147.85174560546875,480.9436340332031,2693.43212890625,607.7984619140625,690.5560913085938,2933.655517578125,709.9639282226562,104.06995391845703,163.18923950195312,890.4484252929688,1947.0076904296875,334.9269714355469
83,75,Gmaj,G,148.0,378.2358703613281,446.8416442871094,2724.085693359375,476.1846923828125,136.7694549560547,227.7367706298828,332.0177307128906,1456.4459228515625,262.3154602050781,185.9840087890625,339.5620422363281,2047.34033203125
84,76,G,G,150.0,118.69622802734375,133.4205780029297,734.9990234375,136.99798583984375,45.11540603637695,64.11274719238281,106.6363525390625,440.520751953125,83.009765625,61.1247673034668,102.04671478271484,577.5236206054688
85,76,Bmin7,B,151.0,103.42444610595703,186.66685485839844,541.7937622070312,220.6653289794922,87.76212310791016,265.99627685546875,1172.0189208984375,267.877685546875,99.27014923095703,438.4984436035156,167.49270629882812,414.7267761230469
86,77,A7,A,152.0,428.7647399902344,1902.3140869140625,738.5380249023438,688.142333984375,2812.151611328125,870.4109497070312,744.570068359375,1720.4169921875,965.1464233398438,2004.20849609375,449.6180725097656,455.2254943847656
87,78,Bbmaj7,Bb,154.0,64.15547943115234,215.1707000732422,860.166015625,238.7737579345703,277.0444030761719,837.132080078125,254.099853515625,71.04047393798828,125.0196762084961,665.3217163085938,614.600341796875,127.83675384521484
88,78,A7,A,155.0,344.5992736816406,609.796630859375,244.69471740722656,247.7028350830078,834.847900390625,432.1621398925781,149.39016723632812,609.4644775390625,343.3103942871094,573.8480834960938,139.75308227539062,115.06744384765625
89,79,Dmin7,D,156.0,2038.6639404296875,1011.900390625,2068.45703125,493.8367004394531,1353.1512451171875,3887.677001953125,884.3667602539062,304.9453125,271.02508544921875,1242.25244140625,253.8594207763672,361.8950500488281
90,80,Dmin7,D,158.0,7874.57763671875,2802.347900390625,7130.68603515625,1472.3377685546875,2935.477783203125,14387.6416015625,2970.699462890625,647.5125122070312,846.90771484375,4514.36376953125,830.49755859375,1271.7398681640625
