,Measure,Lotus Blossom,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
10,5,A7,A,9.333333333333334,724.6463012695312,2461.810302734375,2127.624755859375,3069.547119140625,3738.416259765625,1267.3583984375,2037.1158447265625,2632.086181640625,4909.76416015625,3107.166259765625,671.1703491210938,1264.8387451171875
11,7,Dmin7,D,12.0,531.5551147460938,322.8593444824219,762.8831176757812,178.8767852783203,320.5130310058594,1045.4033203125,270.1081848144531,70.5116195678711,116.32193756103516,430.6750183105469,91.20428466796875,102.12569427490234
12,7,C7,C,13.0,78.95372772216797,42.422359466552734,71.45276641845703,56.80104446411133,131.0451202392578,235.17970275878906,54.5811653137207,39.17146682739258,31.532852172851562,115.0876235961914,52.68198776245117,52.83291244506836
13,8,Emin7,E,14.0,160.41636657714844,56.17820739746094,61.86883544921875,84.47185516357422,281.7405090332031,75.57430267333984,60.138397216796875,341.2740783691406,79.94921112060547,27.55997657775879,68.22891998291016,82.67626190185547
14,8,A7,A,15.0,2411.37548828125,7183.26513671875,1829.0738525390625,2446.204833984375,11202.234375,3041.857666015625,1360.51513671875,7009.68798828125,3275.818359375,5374.939453125,1259.7442626953125,2026.8092041015625
15,11,Amin7,A,20.0,2171.493896484375,568.7536010742188,928.8776245117188,743.3963012695312,3024.749267578125,565.0499877929688,348.0726013183594,1606.3389892578125,797.7299194335938,2050.265380859375,434.7970275878906,670.4662475585938
16,12,D7,D,22.0,2450.406494140625,874.5062866210938,1842.494140625,504.317626953125,348.9450988769531,745.2493286132812,3871.674560546875,724.727294921875,254.4691619873047,1326.8563232421875,936.12939453125,904.06982421875
17,13,Gmin7,G,24.0,643.5526733398438,853.490478515625,2842.637451171875,766.589599609375,1850.5947265625,9306.259765625,3023.041748046875,4449.77197265625,1027.9364013671875,2919.869140625,10323.4619140625,1642.7042236328125
18,15,Gmin,G,28.0,665.2817993164062,516.8911743164062,2680.474365234375,489.8097229003906,280.2152404785156,234.21556091308594,310.2607421875,1733.439453125,365.0370178222656,370.3777770996094,1661.6226806640625,436.32421875
19,16,C7,C,30.0,1777.9287109375,388.644287109375,296.08148193359375,778.3528442382812,3785.939453125,679.0747680664062,282.07159423828125,1511.0338134765625,732.463134765625,2728.526123046875,2212.771240234375,776.9093627929688
20,17,Fmaj7,F,32.0,2111.421630859375,447.610595703125,179.59197998046875,676.8672485351562,3429.236572265625,1737.7623291015625,371.9532470703125,766.212890625,1214.1011962890625,5860.376953125,994.0473022460938,530.4365844726562
21,18,Emin7,E,34.0,142.13909912109375,143.00904846191406,755.2627563476562,395.60400390625,1287.6348876953125,258.5961608886719,124.6441421508789,463.5445251464844,111.63750457763672,69.23475646972656,104.05194854736328,556.514892578125
22,18,A7,A,35.0,75.87361907958984,355.3580017089844,105.00591278076172,127.99748992919922,508.6334228515625,131.8820343017578,71.16304779052734,332.2349853515625,148.20721435546875,416.5141296386719,88.14077758789062,79.0223159790039
23,19,Dmin7,D,36.0,269.8149719238281,170.06222534179688,413.3947448730469,92.1331787109375,156.04396057128906,476.8026428222656,140.70033264160156,39.603389739990234,51.678524017333984,261.3129577636719,60.171844482421875,58.922977447509766
24,19,C7,C,36.66666666666666,105.9824447631836,37.308265686035156,72.4844741821289,18.231029510498047,56.08192825317383,159.22633361816406,24.12406349182129,28.588407516479492,14.287318229675293,48.38005447387695,10.677265167236328,22.377363204956055
25,19,Dmin7,D,37.333333333333336,5881.498046875,1560.41259765625,3303.414794921875,1203.8563232421875,4392.1328125,4881.39208984375,1266.5015869140625,1444.2242431640625,703.817138671875,1889.146484375,1438.3956298828125,1197.9503173828125
26,21,C7,C,40.0,224.553466796875,74.36129760742188,71.19640350341797,134.05377197265625,509.7810974121094,121.87737274169922,57.65287399291992,294.6763610839844,166.250244140625,697.282958984375,339.52117919921875,125.76399993896484
27,21,F7,F,40.66666666666666,141.4873809814453,48.30912399291992,72.12723541259766,209.284423828125,234.0405731201172,84.25988006591797,81.68718719482422,349.7066955566406,127.14775848388672,203.36993408203125,93.00924682617188,53.6453971862793
28,21,Bbmaj7,Bb,41.333333333333336,1437.4422607421875,966.127197265625,2868.790283203125,2710.40966796875,2021.0025634765625,4631.89013671875,1091.6612548828125,1057.2127685546875,1090.3546142578125,5692.18701171875,3268.083984375,689.200439453125
29,23,Bmin7,B,44.0,85.38822174072266,180.26622009277344,611.5068359375,176.99232482910156,68.94136810302734,195.93328857421875,543.7119750976562,115.71286010742188,58.060455322265625,238.25323486328125,108.12279510498047,247.78118896484375
30,23,Bb7,Bb,44.66666666666666,34.1524772644043,35.932437896728516,122.01528930664062,60.401981353759766,60.507450103759766,164.73423767089844,198.9457550048828,246.7845458984375,143.7946014404297,111.73249053955078,102.14813995361328,77.17481231689453
31,23,A7,A,45.33333333333334,10.373103141784668,18.748682022094727,70.45735931396484,21.734922409057617,35.579036712646484,154.425048828125,63.452396392822266,22.64544105529785,68.27337646484375,41.0529899597168,61.57320022583008,26.1140079498291
32,24,Dmin7,D,46.0,263.8492126464844,1467.7099609375,1675.9613037109375,611.7166137695312,1882.2640380859375,920.1318359375,333.0197448730469,958.45751953125,387.3732604980469,682.4113159179688,203.1775665283203,189.8238525390625
33,25,C,C,48.0,3415.134765625,848.7736206054688,1434.4638671875,1552.7120361328125,7400.88427734375,2491.720947265625,715.685791015625,2861.040771484375,708.1170043945312,311.4247131347656,215.98887634277344,967.111572265625
