,Measure,SoulfulStrut,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
21,26,Abmaj7,Ab,50.0,836.045654296875,1445.5126953125,276.39910888671875,220.92384338378906,533.3965454101562,2711.24658203125,518.1304321289062,345.1885986328125,961.1727905273438,470.7002868652344,1416.7547607421875,397.6864318847656
22,27,Bbmin7,Bb,52.0,1430.7943115234375,355.1466369628906,470.2894592285156,2124.122314453125,701.3623657226562,240.29237365722656,237.72828674316406,1339.9241943359375,1306.8599853515625,282.3340148925781,139.71376037597656,354.3048095703125
23,28,Abmaj7,Ab,54.0,434.1363830566406,1370.1871337890625,274.07489013671875,289.1750183105469,524.2280883789062,2725.177490234375,495.4638671875,423.292724609375,2577.324462890625,885.7192993164062,2551.568115234375,503.8839111328125
24,29,Bbmin7,Bb,56.0,1406.36767578125,350.4543762207031,470.7928161621094,2129.524169921875,701.85009765625,238.51214599609375,237.3994903564453,1360.671875,1498.646484375,311.5467224121094,141.99899291992188,351.16796875
25,30,Abmaj7,Ab,58.0,1695.8824462890625,1609.853515625,297.50067138671875,207.35211181640625,506.366943359375,2671.199462890625,506.422607421875,227.11956787109375,856.790283203125,425.1040954589844,1269.715087890625,532.2396850585938
26,31,Bbmin7,Bb,60.0,1289.726806640625,338.2859191894531,470.93212890625,2121.628173828125,705.1002807617188,239.8043975830078,236.2237091064453,1331.73681640625,1308.2467041015625,284.5971984863281,140.787353515625,334.3547668457031
27,32,Abmaj7,Ab,62.0,457.3197326660156,1381.4215087890625,268.2110900878906,227.63902282714844,471.7138366699219,2501.794677734375,490.2021179199219,227.04331970214844,926.5810546875,528.4552612304688,1478.3701171875,343.3319091796875
28,33,Bbmin7,Bb,64.0,1392.9615478515625,353.0088806152344,475.3481750488281,2116.90625,694.1179809570312,240.39337158203125,236.2211151123047,1333.366455078125,1323.4356689453125,334.1069030761719,495.2115478515625,398.8226013183594
29,34,Abmaj7,Ab,66.0,1480.1944580078125,1570.4365234375,295.4158630371094,211.8119354248047,527.5332641601562,2833.2802734375,534.6345825195312,235.8099365234375,864.7826538085938,448.5591125488281,1276.575927734375,502.7061462402344
30,35,Bbmin7,Bb,68.0,1396.3623046875,350.293212890625,417.012939453125,1789.04833984375,657.1813354492188,238.39508056640625,241.5963592529297,1363.0360107421875,1308.4710693359375,283.88232421875,142.7686004638672,349.9853515625
31,36,Abmaj7,Ab,70.0,476.1482849121094,1374.8961181640625,264.0442810058594,213.85902404785156,542.6419067382812,3150.2041015625,567.6950073242188,203.8736572265625,922.6666870117188,507.79638671875,1449.0130615234375,350.6923828125
32,37,Bbmin7,Bb,72.0,1404.8812255859375,361.3009338378906,483.2970886230469,2133.68115234375,716.2234497070312,357.8695983886719,264.3221130371094,1382.1982421875,1617.5189208984375,399.4898681640625,496.7588806152344,402.5306701660156
33,38,Abmaj7,Ab,74.0,558.9635620117188,1381.7802734375,260.721435546875,205.9622802734375,507.0269775390625,2721.789306640625,510.4582824707031,264.92608642578125,933.2843627929688,469.52880859375,1437.806640625,358.4930725097656
34,39,Bbmin7,Bb,76.0,1432.3643798828125,356.9792175292969,479.8641662597656,2171.475830078125,706.2463989257812,232.8320770263672,231.700927734375,1576.6326904296875,3041.748046875,537.8086547851562,218.8113555908203,372.2314147949219
35,40,Abmaj7,Ab,78.0,1034.9757080078125,1453.67333984375,278.4773254394531,226.13946533203125,537.81640625,2698.350830078125,519.7886962890625,360.8663330078125,956.7998657226562,470.0579833984375,1424.4608154296875,445.6637878417969
36,41,Bbmin7,Bb,80.0,1445.7554931640625,362.1269836425781,482.4300842285156,2173.43798828125,725.2777709960938,348.0846252441406,255.36341857910156,1576.0303955078125,2933.630615234375,545.3283081054688,227.14915466308594,376.313720703125
37,42,Abmaj7,Ab,82.0,423.8560485839844,1372.61328125,447.19140625,255.3609619140625,496.7673034667969,2715.6298828125,886.25537109375,2854.493408203125,1315.4854736328125,478.8420715332031,1430.21923828125,367.5595397949219
38,43,Bbmin7,Bb,84.0,1413.9669189453125,364.0149841308594,676.5252075195312,2192.827392578125,711.11669921875,263.6355895996094,610.4320068359375,4157.83935546875,1758.3104248046875,301.2759704589844,148.38197326660156,389.9558410644531
39,44,Abmaj7,Ab,86.0,456.530517578125,1385.8636474609375,276.2120056152344,383.2208251953125,544.7611694335938,2699.789794921875,518.2499389648438,691.0029296875,4165.59814453125,962.841552734375,1443.8406982421875,346.682861328125
40,45,Bbmin7,Bb,88.0,1462.0772705078125,367.8692321777344,493.8210144042969,2275.85986328125,737.6044921875,246.0385284423828,258.3350524902344,1798.0498046875,4418.919921875,767.7265625,164.89476013183594,371.6289367675781
41,46,Abmaj7,Ab,90.0,423.6097412109375,1372.2506103515625,447.3715515136719,255.4044952392578,496.4078674316406,2713.094482421875,885.7733764648438,2853.802001953125,1317.497802734375,478.7623291015625,1429.7244873046875,367.5301208496094
42,47,Bbmin7,Bb,92.0,1413.9693603515625,364.0142822265625,676.5217895507812,2192.80078125,711.1140747070312,263.6360778808594,610.4338989257812,4157.84423828125,1758.3037109375,301.2763977050781,148.3842315673828,389.9570617675781
43,48,Abmaj7,Ab,94.0,456.4897155761719,1385.97900390625,276.068603515625,383.1488952636719,544.6033325195312,2699.2265625,518.3561401367188,690.2958374023438,4164.2001953125,962.85888671875,1443.7999267578125,346.60498046875
44,49,Bbmin7,Bb,96.0,1441.8701171875,365.2604064941406,467.955322265625,2099.79638671875,739.5126953125,517.3202514648438,290.5723876953125,1395.7774658203125,1448.97998046875,362.7283020019531,146.74105834960938,359.19970703125
45,50,Abmaj7,Ab,98.0,413.9678039550781,1371.9676513671875,336.575927734375,218.2860107421875,498.77197265625,2732.4970703125,737.1768188476562,1989.3050537109375,1169.6214599609375,470.8486633300781,1453.759765625,343.9548645019531
46,51,Bbmin7,Bb,100.0,2304.569580078125,487.9289855957031,495.4472351074219,2135.602294921875,699.0704956054688,270.5314636230469,283.1761779785156,1324.8623046875,1356.4674072265625,336.79827880859375,325.4170837402344,1558.4615478515625
47,52,Abmaj7,Ab,102.0,476.9765625,1386.8145751953125,310.4348449707031,219.06138610839844,526.2098999023438,2774.8759765625,517.2391967773438,275.989990234375,1286.011474609375,753.2318725585938,3156.250732421875,623.2293090820312
48,53,Bbmin7,Bb,104.0,1440.32568359375,366.3915100097656,469.1667175292969,2098.831787109375,739.3622436523438,518.5253295898438,294.1651611328125,1405.0787353515625,1567.4571533203125,383.5998840332031,153.78338623046875,360.3472595214844
49,54,Abmaj7,Ab,106.0,416.4998779296875,1379.4063720703125,386.1331481933594,235.8724822998047,505.6358947753906,2764.020751953125,831.180908203125,2618.98583984375,1259.080322265625,473.5589904785156,1449.67431640625,350.8128967285156
50,55,Bbmin7,Bb,108.0,40697.10546875,11757.58984375,2930.746826171875,6747.08447265625,3015.2109375,9206.1337890625,2928.003662109375,3734.054931640625,4640.23193359375,3670.141357421875,13213.05078125,20605.740234375
51,63,Abmaj7,Ab,124.0,408.9872131347656,1350.9908447265625,254.2396240234375,196.2642364501953,490.831298828125,2700.331787109375,501.3072509765625,191.2301025390625,913.4307250976562,467.501708984375,1443.31787109375,335.5117492675781
52,64,Bbmin7,Bb,126.0,3.267504951054434e-07,1.479232196288649e-06,1.3888313787902007e-07,1.3060738979220332e-07,3.1075663287083444e-07,1.41631817385246e-08,1.8728363304632012e-10,1.808802135849774e-10,2.2563366453010048e-10,2.1796595639500538e-09,2.506199905383255e-07,6.43874557226809e-07
