,Measure,Mr Syms,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
20,12,Cmin7,C,22.0,517.5317993164062,142.6621551513672,277.3678894042969,460.519287109375,169.0407257080078,150.62428283691406,72.4418716430664,230.12242126464844,62.7284049987793,61.02693176269531,266.6139221191406,167.0148468017578
21,12,Gmin,G,22.66666666666667,134.6152801513672,73.43151092529297,191.72523498535156,175.2421417236328,60.893184661865234,60.02557373046875,41.59560775756836,140.95567321777344,42.59589767456055,58.67900085449219,198.0568084716797,65.84467315673828
22,12,Cmin,C,23.33333333333333,34.130558013916016,19.954435348510742,69.1572265625,80.33493041992188,21.73619842529297,17.256271362304688,23.778532028198242,65.53327178955078,17.74175262451172,15.563281059265137,55.91583251953125,23.34435272216797
23,13,Cmin,C,24.0,14025.33984375,3156.923583984375,5411.01708984375,21896.9765625,5250.93798828125,1787.9981689453125,2233.060791015625,11673.2548828125,1764.8140869140625,602.2389526367188,1445.0814208984375,3285.450927734375
24,17,Fmin7,F,32.0,6418.21826171875,1354.9119873046875,1749.5506591796875,8124.83984375,3166.072021484375,3870.372802734375,762.9295043945312,1700.5311279296875,4225.20556640625,930.9041137695312,491.4312438964844,1300.4547119140625
25,19,Cmin7,C,36.0,5435.6630859375,1195.696533203125,2160.77880859375,9538.3671875,2530.91015625,546.7647094726562,775.3497924804688,4375.17236328125,824.19580078125,930.0514526367188,5233.20849609375,2011.8048095703125
26,21,Ddim7,D,40.0,508.4173889160156,453.4961853027344,1971.4254150390625,508.826171875,704.354248046875,3670.55078125,895.3384399414062,273.94122314453125,1336.7152099609375,457.6632385253906,375.1495361328125,1974.6962890625
27,22,G7,G,42.0,484.920166015625,338.04119873046875,1077.30078125,612.279296875,759.956787109375,3645.615234375,1349.9334716796875,1654.23828125,346.5857849121094,292.6242370605469,457.1967468261719,2070.83349609375
28,23,C,C,44.0,515.8154907226562,118.80963897705078,80.07901763916016,222.0654296875,1081.3123779296875,233.53126525878906,88.05484771728516,433.1243896484375,92.0210952758789,30.77692985534668,38.270572662353516,195.5847625732422
29,23,D,D,45.0,119.8262710571289,201.1066131591797,571.7417602539062,139.30419921875,224.68870544433594,307.3487243652344,1127.2066650390625,253.39227294921875,87.39934539794922,413.4964904785156,80.71268463134766,47.21800231933594
30,24,Eb,Eb,46.0,47.433170318603516,54.427978515625,314.1288146972656,928.0473022460938,198.20591735839844,82.42414093017578,224.11415100097656,486.6239013671875,99.03863525390625,131.7824249267578,549.616943359375,132.30349731445312
31,24,G,G,47.0,795.8822631835938,810.4614868164062,4954.41259765625,2032.0596923828125,399.4981689453125,330.4499206542969,738.4263305664062,2999.779296875,518.6405639648438,316.0201721191406,790.7754516601562,4107.85986328125
