,Measure,Reverend Green,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
15,11,G7,G,20.0,82.91472625732422,64.31427764892578,150.9442901611328,103.97150421142578,155.72535705566406,517.9663696289062,241.2246856689453,217.3327178955078,62.95048141479492,123.79080963134766,612.61181640625,334.1533508300781
16,11,G9,G,20.666666666666668,59.0882568359375,99.8409194946289,492.4866638183594,123.8936996459961,124.38369750976562,445.9337463378906,156.76324462890625,217.6685791015625,47.899417877197266,104.80331420898438,86.63690948486328,268.77044677734375
17,11,C9,C,21.33333333333333,2147.276123046875,901.3469848632812,3332.693115234375,1436.8515625,4795.08447265625,2227.169189453125,619.1387329101562,1914.9998779296875,596.4404907226562,700.986083984375,2145.545654296875,1470.2335205078125
18,13,G7,G,24.0,79.96270751953125,62.01470947265625,155.65797424316406,94.91236114501953,155.27224731445312,507.3157653808594,233.6689910888672,202.911376953125,58.92043685913086,44.854061126708984,73.05033111572266,242.9965362548828
19,13,G9,G,24.66666666666667,15.142556190490723,10.89312744140625,29.799835205078125,13.193951606750488,29.34642791748047,141.05987548828125,41.15304183959961,34.46567153930664,9.499786376953125,12.899825096130371,18.290163040161133,56.80506896972656
20,13,C7,C,25.33333333333333,2176.753173828125,843.2759399414062,1914.1783447265625,1397.5943603515625,3342.217041015625,6070.462890625,2395.227783203125,5272.6083984375,1339.3201904296875,2479.091064453125,6378.70654296875,4080.19140625
21,15,G7,G,28.0,76.57946014404297,70.23321533203125,183.25074768066406,107.03499603271484,155.0726318359375,494.2498474121094,239.07794189453125,219.6007537841797,62.34767532348633,145.75491333007812,721.815185546875,360.2343444824219
22,15,G9,G,28.66666666666667,57.07248306274414,47.78107833862305,130.80191040039062,74.34996795654297,115.01415252685547,439.4176025390625,161.9337921142578,219.5067596435547,46.46345901489258,109.99015045166016,87.48574829101562,273.5945129394531
23,15,C7,C,29.33333333333333,2049.714599609375,541.950439453125,734.8849487304688,978.7111206054688,4810.67041015625,2197.5625,592.3670043945312,1916.1575927734375,563.848388671875,643.7296142578125,2151.373046875,1455.392578125
24,17,G7,G,32.0,157.56065368652344,119.44009399414062,337.7013244628906,195.3844451904297,294.9107666015625,1110.9144287109375,458.5839538574219,483.1498107910156,117.65054321289062,92.61882781982422,143.42771911621094,546.0060424804688
25,17,G9,G,33.0,53.08835220336914,39.466556549072266,82.75117492675781,42.079200744628906,75.65987396240234,381.9022521972656,106.4815444946289,129.46031188964844,46.989253997802734,68.17163848876953,43.59868240356445,123.49153900146484
26,18,C7,C,34.0,1952.1077880859375,526.9841918945312,1002.0771484375,910.6779174804688,4107.27197265625,2015.4281005859375,580.2459106445312,1744.5367431640625,502.5216369628906,796.0514526367188,2028.7952880859375,1277.5211181640625
27,19,G7,G,36.0,163.33995056152344,127.17828369140625,346.1069641113281,213.9431915283203,299.9918212890625,1140.4180908203125,489.6204528808594,593.4266967773438,141.62120056152344,250.02960205078125,1208.47607421875,717.8716430664062
28,19,G9,G,37.0,38.55290222167969,87.63787078857422,418.7154235839844,83.8778305053711,88.3808822631836,393.3068542480469,109.67378997802734,161.02915954589844,59.922550201416016,152.0970001220703,59.1194953918457,146.90443420410156
29,20,C7,C,38.0,1709.8914794921875,362.5245666503906,332.1375732421875,791.5668334960938,3915.450927734375,915.33251953125,319.3441467285156,1463.0670166015625,411.7314147949219,363.3199157714844,1697.0103759765625,914.7529296875
30,21,Emin7,E,40.0,433.4447937011719,427.447021484375,2402.729736328125,1098.42431640625,3680.140869140625,746.1409301757812,421.5286560058594,1982.5838623046875,550.171875,210.90553283691406,354.145751953125,2114.482666015625
31,22,Cmaj7,C,42.0,2044.7069091796875,452.5380554199219,565.7728881835938,860.2866821289062,4020.7099609375,764.6012573242188,540.4638671875,2690.8525390625,921.9574584960938,2435.043212890625,738.8795776367188,2452.895751953125
32,23,Emin7,E,44.0,426.2808837890625,424.7174377441406,2418.689453125,1142.4114990234375,3850.150146484375,747.7615356445312,434.8123474121094,2184.931640625,656.961181640625,227.6170196533203,331.99493408203125,1994.8228759765625
33,24,Cmaj7,C,46.0,2011.6700439453125,413.9339599609375,372.1184387207031,796.4917602539062,3752.481689453125,686.1270141601562,557.6596069335938,3081.808349609375,891.60107421875,2140.886474609375,673.8693237304688,2370.6376953125
34,25,Emin7,E,48.0,425.0357971191406,415.5797424316406,2366.6904296875,1093.4293212890625,3685.014404296875,696.1946411132812,402.2422790527344,1975.3240966796875,550.5505981445312,205.70201110839844,339.9101867675781,2061.703857421875
35,26,Cmaj7,C,50.0,2016.326171875,464.3708190917969,647.8615112304688,847.3359985351562,3775.458984375,705.4125366210938,573.6854248046875,2968.112060546875,962.0010375976562,2688.820556640625,731.0248413085938,2327.54443359375
36,27,A7,A,52.0,422.3768310546875,1804.6365966796875,461.8415222167969,632.445068359375,2797.90234375,776.8840942382812,451.1874084472656,2612.287353515625,1116.7835693359375,1954.99658203125,378.9576721191406,287.6703796386719
37,28,C9,C,54.0,1819.9505615234375,845.302978515625,3082.5224609375,1283.69921875,3934.0283203125,748.5062866210938,570.2266845703125,1984.6353759765625,555.0037231445312,509.2181701660156,1772.2772216796875,1130.8929443359375
38,29,G7,G,56.0,164.77964782714844,137.2556915283203,398.252685546875,244.2597198486328,289.9558410644531,1084.7607421875,595.6372680664062,1647.3721923828125,357.1329345703125,98.62555694580078,139.1005096435547,540.7645874023438
39,29,G9,G,57.0,175.37994384765625,175.49322509765625,408.2857360839844,238.00848388671875,326.0022277832031,1082.7117919921875,498.2984313964844,622.933837890625,215.8565673828125,467.7539978027344,204.54722595214844,562.6089477539062
40,30,C9,C,58.0,2060.01318359375,960.36669921875,4110.19287109375,1471.0269775390625,4019.802001953125,1460.5980224609375,477.93017578125,1609.6318359375,488.0439147949219,702.4266967773438,1975.03271484375,1043.0489501953125
41,31,G7,G,60.0,162.4717254638672,130.13209533691406,369.2939453125,222.1782989501953,307.0572204589844,1114.5625,490.704345703125,584.6452026367188,139.52944946289062,287.0789489746094,1358.4464111328125,738.0620727539062
42,31,G9,G,61.0,366.1953125,118.3619384765625,207.44004821777344,128.76095581054688,149.91531372070312,676.4592895507812,270.17462158203125,420.6002502441406,166.6901092529297,299.6014709472656,616.5803833007812,699.393310546875
43,32,C7,C,62.0,1752.2027587890625,391.100341796875,408.1764221191406,816.9259643554688,3913.902587890625,1146.7171630859375,408.6004943847656,1584.5286865234375,422.81201171875,380.4256286621094,1721.3798828125,1048.8428955078125
44,33,G7,G,64.0,162.81201171875,122.82794189453125,347.5149230957031,208.97882080078125,273.451171875,1076.3221435546875,454.9947814941406,479.8109130859375,117.88391876220703,101.4082260131836,140.5429229736328,548.5338745117188
45,33,G9,G,65.0,171.3438262939453,165.5572052001953,389.5908203125,218.64768981933594,296.6431884765625,1004.370849609375,475.4177551269531,600.3419799804688,202.95770263671875,437.9873352050781,199.2810516357422,557.9238891601562
46,34,C7,C,66.0,1933.1597900390625,514.1903686523438,971.776611328125,941.2710571289062,4060.881591796875,1775.49853515625,526.0127563476562,1612.90234375,459.1685791015625,653.5014038085938,1972.5107421875,1026.5919189453125
47,35,G7,G,68.0,163.0897216796875,126.27954864501953,346.1117858886719,216.14247131347656,304.9836730957031,1169.26123046875,493.5806884765625,591.7865600585938,141.30995178222656,257.0296325683594,1207.5830078125,714.2965698242188
48,35,G9,G,69.0,38.377906799316406,87.88101196289062,420.4938049316406,84.26577758789062,87.69647979736328,390.5016174316406,109.28446197509766,160.70350646972656,59.87077713012695,151.86643981933594,58.985107421875,145.90008544921875
49,36,C9,C,70.0,3307.426025390625,1071.950927734375,3582.159423828125,1948.4581298828125,7504.28662109375,1743.39453125,621.7318115234375,2804.701904296875,840.5064086914062,765.581787109375,3177.956298828125,1682.48779296875
