,Measure,Straight Street,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
14,10,Fmin7,F,18.0,154.43502807617188,84.05963134765625,260.0809631347656,308.1146545410156,159.80494689941406,399.7558288574219,126.9799575805664,51.108951568603516,161.4345245361328,111.65350341796875,199.3785400390625,62.09796142578125
15,11,Bb7,Bb,20.0,119.7769546508789,240.01927185058594,206.08445739746094,226.50946044921875,190.36407470703125,730.2628784179688,291.17205810546875,261.3250732421875,1437.0015869140625,908.9234008789062,4384.107421875,662.0286865234375
16,12,Ebmin9,Eb,22.0,34.85688400268555,106.65707397460938,85.98505401611328,156.9276885986328,78.14742279052734,271.31884765625,208.66477966308594,363.1037902832031,69.99568939208984,13.018834114074707,15.639877319335938,9.924928665161133
17,13,Bbmin7,Bb,24.0,78.77095794677734,228.72125244140625,267.0601501464844,77.70987701416016,89.99819946289062,385.82373046875,186.12596130371094,64.53911590576172,136.6271514892578,180.75376892089844,184.15081787109375,104.08297729492188
18,13,Bmin7,B,25.0,201.95591735839844,647.2230834960938,363.3468017578125,384.0770263671875,288.8336486816406,1036.7896728515625,809.0276489257812,350.9617919921875,160.18356323242188,273.2681579589844,620.0422973632812,262.0721130371094
19,14,Ebmin9,Eb,26.0,243.62652587890625,515.6587524414062,244.43214416503906,483.3872985839844,478.5424499511719,882.0841674804688,735.5184936523438,366.02783203125,1643.4302978515625,338.6595764160156,185.755615234375,654.3121337890625
20,15,Dbmin7,Db,28.0,66.1214828491211,259.4783630371094,83.96138763427734,124.01494598388672,530.1621704101562,273.0639953613281,170.73095703125,46.3139762878418,68.98262786865234,69.95442962646484,179.1552734375,62.823246002197266
21,16,Gb7,Gb,30.0,86.18038177490234,306.17718505859375,194.4397430419922,403.9145202636719,313.8602600097656,314.2003173828125,514.0411987304688,642.3359985351562,1569.8955078125,826.9446411132812,3984.3076171875,607.2859497070312
22,17,Ebmin7,Eb,32.0,170.787109375,134.6243133544922,121.22333526611328,436.5409851074219,138.0200958251953,104.19393920898438,393.5446472167969,172.94866943359375,162.43328857421875,43.53535842895508,59.44610595703125,49.59698486328125
23,18,Ab7,Ab,34.0,248.3799285888672,607.1694946289062,308.1736755371094,397.6873779296875,212.35791015625,209.64967346191406,710.6221313476562,266.741943359375,259.1062316894531,112.1302719116211,124.4521713256836,236.3306884765625
24,19,Emin9,E,36.0,129.50979614257812,115.5340347290039,236.66197204589844,240.2019805908203,329.7330322265625,210.034912109375,525.8511352539062,235.83746337890625,67.83356475830078,69.52776336669922,99.46314239501953,349.2858581542969
25,20,A13,A,38.0,205.94610595703125,290.1888732910156,352.3267517089844,206.97877502441406,308.8816223144531,190.628662109375,675.4813842773438,172.20758056640625,331.9797668457031,1912.2401123046875,420.408447265625,663.01611328125
26,21,Dmaj7,D,40.0,94.99918365478516,114.19998931884766,183.73130798339844,126.6961898803711,232.62603759765625,371.4823303222656,222.03517150878906,186.15916442871094,98.56948852539062,231.1346435546875,223.3807830810547,103.51278686523438
27,22,C13,C,42.0,147.7256317138672,116.61600494384766,343.2523193359375,267.9617004394531,260.9632873535156,355.7681579589844,683.73974609375,357.0790710449219,1503.2198486328125,319.60125732421875,162.34690856933594,653.530029296875
28,23,Bmin,B,44.0,131.45291137695312,194.9471893310547,136.9058380126953,130.88108825683594,140.6735076904297,428.3249206542969,233.45013427734375,247.90362548828125,1338.5020751953125,262.3621826171875,80.75243377685547,278.6830749511719
29,24,C#7,C#,46.0,99.06229400634766,260.88232421875,98.06747436523438,224.5687713623047,415.0895080566406,447.0165100097656,273.7372741699219,503.4631042480469,2917.113525390625,518.2098999023438,203.2347869873047,141.55296325683594
30,25,F#7,F#,48.0,45.0886344909668,46.22294616699219,83.08052825927734,383.8692932128906,128.47970581054688,89.56977081298828,358.5894775390625,66.19692993164062,77.29210662841797,508.4734802246094,119.81293487548828,188.38555908203125
31,25,B7,B,49.0,48.039703369140625,43.2023811340332,122.66146087646484,104.81665802001953,99.61467742919922,389.1943359375,122.69603729248047,140.4443817138672,34.10686111450195,38.355655670166016,47.242794036865234,174.6064453125
32,26,G7,G,50.0,219.7620391845703,44.478328704833984,37.448707580566406,85.16248321533203,414.2071228027344,129.17074584960938,58.368282318115234,178.68406677246094,52.24464416503906,68.76300811767578,443.6695251464844,136.74261474609375
33,26,C7,C,51.0,144.6364288330078,219.94496154785156,600.3648071289062,262.2796936035156,137.3538055419922,274.1701965332031,1167.919677734375,228.46563720703125,109.74365234375,435.1257629394531,210.47669982910156,545.0259399414062
34,27,Bmin7,B,52.0,99.13109588623047,228.64146423339844,322.78778076171875,179.4901123046875,650.3538818359375,171.76759338378906,219.32318115234375,93.56250762939453,330.72332763671875,197.59617614746094,90.72130584716797,301.6343688964844
35,27,E7,E,53.0,217.6085968017578,67.06505584716797,68.87618255615234,88.5462417602539,361.5657958984375,84.11357879638672,126.06359100341797,221.6182861328125,108.7137680053711,206.0664825439453,46.36787033081055,75.3046875
36,28,Amin7,A,54.0,80.09181213378906,37.390140533447266,122.7776870727539,33.81081771850586,88.95612335205078,50.7086181640625,157.8308868408203,32.49946975708008,59.8936653137207,392.427001953125,62.7080192565918,28.202896118164062
37,28,D7,D,55.0,21.05352020263672,31.144968032836914,95.85884857177734,29.0616512298584,92.19670867919922,354.8333740234375,91.1689453125,116.31908416748047,41.83613204956055,152.60984802246094,143.7233123779297,47.210147857666016
38,29,Gmin7,G,56.0,255.78271484375,60.291805267333984,43.56593322753906,83.63541412353516,480.684814453125,158.61717224121094,61.29057312011719,197.04991149902344,242.81378173828125,1369.38134765625,368.4200134277344,79.18604278564453
39,29,C7,C,57.0,280.5815124511719,69.13066864013672,106.11834716796875,358.8734130859375,194.01805114746094,387.2518005371094,98.46261596679688,257.697509765625,139.50863647460938,57.63139724731445,22.765310287475586,57.252532958984375
40,30,Fmin7,F,58.0,67.4534683227539,53.75546646118164,226.9668426513672,122.19390106201172,110.0870361328125,427.0440673828125,99.26905059814453,52.69484329223633,177.29783630371094,289.93475341796875,1482.21826171875,236.447509765625
41,30,Bb7,Bb,59.0,39.71402359008789,192.03941345214844,136.02096557617188,402.9744567871094,90.94066619873047,118.6067886352539,296.4654235839844,70.27269744873047,24.742820739746094,34.53498458862305,157.52911376953125,26.359886169433594
42,31,Ebmin7,Eb,60.0,309.0927734375,1184.111572265625,462.8741455078125,362.1705017089844,440.7886047363281,714.671875,474.3724365234375,477.2586975097656,272.6445007324219,128.6019744873047,110.7164077758789,200.27552795410156
43,32,E7,E,62.0,180.2587432861328,456.4266357421875,134.52931213378906,240.24806213378906,340.0585632324219,419.957275390625,299.3330383300781,433.0209655761719,2634.287353515625,489.7019958496094,203.77220153808594,102.12680053710938
44,33,F#maj7,F#,64.0,209.30694580078125,189.6757354736328,210.61378479003906,205.4242401123047,159.95057678222656,377.8280944824219,701.8577270507812,495.5825500488281,2823.946044921875,590.9672241210938,95.7066650390625,53.70869445800781
45,34,D7,D,66.0,242.3246612548828,192.09059143066406,522.0123901367188,405.0075988769531,208.41648864746094,274.0382385253906,536.3919067382812,357.3757629394531,1602.4530029296875,389.7203369140625,478.7215270996094,132.83506774902344
46,35,Fmin7,F,68.0,154.43617248535156,84.05917358398438,260.0824890136719,308.1147766113281,159.8110809326172,399.7563171386719,126.97988891601562,51.10971450805664,161.4341583251953,111.65380096435547,199.3786163330078,62.098262786865234
47,36,Bb7,Bb,70.0,119.7758560180664,240.01806640625,206.0843505859375,226.5090789794922,190.3629150390625,730.259033203125,291.1715393066406,261.3245544433594,1436.9954833984375,908.923095703125,4384.115234375,662.0292358398438
48,37,Ebmin9,Eb,72.0,81.34986114501953,240.4228973388672,166.6016845703125,390.2787170410156,184.32847595214844,681.4215698242188,392.2647705078125,63.26101303100586,34.66425323486328,28.77834129333496,35.029640197753906,14.93616771697998
