,Measure,Sonny's Crib,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
14,10,F7,F,19.0,324.74798583984375,90.906494140625,68.23877716064453,222.1137237548828,767.9584350585938,173.39073181152344,70.16877746582031,278.1820373535156,76.15953826904297,96.71466827392578,331.2434387207031,172.095947265625
15,11,Bb,Bb,20.0,566.6068725585938,275.06976318359375,1052.294189453125,1286.0355224609375,1089.0701904296875,1858.84619140625,403.9440612792969,176.4158172607422,379.0674743652344,471.6999816894531,934.0183715820312,259.6676940917969
16,12,Bb7,Bb,22.0,18.215618133544922,25.699172973632812,96.2093276977539,39.37887954711914,62.12690734863281,153.73143005371094,39.31621551513672,13.300834655761719,55.99107360839844,68.58951568603516,250.34922790527344,61.47426986694336
17,12,Eb7,Eb,22.5,21.15198516845703,94.16947174072266,75.77674102783203,158.6393585205078,49.482357025146484,98.89764404296875,28.690839767456055,82.9483413696289,34.62417221069336,47.846309661865234,130.9873504638672,31.985342025756836
18,12,Edim,E,23.0,11.279083251953125,26.43573760986328,26.603485107421875,125.55472564697266,215.48455810546875,68.35365295410156,33.10713195800781,99.1026611328125,25.37967872619629,24.014856338500977,97.553466796875,31.1583309173584
19,12,Bb7,Bb,23.5,21.868375778198242,30.590700149536133,106.5418701171875,77.4700927734375,107.37139892578125,144.2421112060547,42.45036315917969,34.6377067565918,56.435115814208984,52.39881896972656,111.90637969970703,50.940826416015625
20,13,Bb,Bb,24.0,599.5447387695312,2083.778564453125,5332.67041015625,2052.97705078125,3584.3125,9539.8662109375,1904.4749755859375,504.1082763671875,1422.1927490234375,2960.107666015625,11593.14453125,1875.3514404296875
21,15,Eb7,Eb,28.0,66.20808410644531,366.6318054199219,200.43760681152344,553.1616821289062,103.81414794921875,37.238712310791016,47.693599700927734,272.6732482910156,66.33283233642578,76.67845153808594,355.2866516113281,83.21623992919922
22,15,Edim7,E,29.0,167.45472717285156,927.748046875,268.8744201660156,413.6292724609375,1045.9139404296875,230.4880828857422,103.0228271484375,523.6473388671875,241.36351013183594,131.49656677246094,512.3922119140625,150.9592742919922
23,16,Bb7,Bb,30.0,225.20765686035156,771.8701171875,1214.3160400390625,483.7420654296875,1078.0850830078125,2164.764404296875,484.7040710449219,265.9165344238281,985.8076171875,765.0701293945312,2869.235595703125,562.2935180664062
24,17,Eb7,Eb,32.0,65.47692108154297,366.062744140625,189.9540252685547,567.0569458007812,120.90116119384766,55.7784309387207,47.88160705566406,268.1810607910156,67.17129516601562,76.16356658935547,350.5711975097656,81.9567642211914
25,17,Edim7,E,33.0,83.01871490478516,476.3052978515625,182.43760681152344,298.34747314453125,652.4115600585938,152.0045166015625,57.99257278442383,308.4368591308594,161.82186889648438,85.64031219482422,284.2034606933594,85.0051498413086
26,18,Bb7,Bb,34.0,215.6183624267578,788.4902954101562,1233.0494384765625,472.1368408203125,906.1151733398438,2121.786376953125,469.9615783691406,205.25099182128906,986.15869140625,834.9469604492188,3268.0185546875,596.3338012695312
27,19,Eb7,Eb,36.0,65.87491607666016,365.1941223144531,187.3785400390625,554.1380004882812,113.7803726196289,52.59114074707031,48.49714660644531,270.2169494628906,67.19680786132812,75.20048522949219,346.7899475097656,81.92008209228516
28,19,Edim7,E,37.0,83.0456771850586,476.3088684082031,182.3643341064453,297.3133850097656,646.7401733398438,151.11973571777344,58.0422477722168,308.3947448730469,161.76136779785156,85.7178955078125,284.6238098144531,85.16449737548828
29,20,Bb7,Bb,38.0,215.23582458496094,788.3107299804688,1233.0577392578125,472.2960510253906,906.4497680664062,2121.5068359375,469.8833923339844,204.97547912597656,986.0029296875,835.2222290039062,3268.095947265625,596.1347045898438
30,21,C7,C,40.0,193.126708984375,51.28355026245117,28.20009422302246,74.53763580322266,337.67999267578125,64.3628921508789,30.72846794128418,133.91966247558594,31.141014099121094,37.34834289550781,172.14251708984375,91.70671844482422
31,21,C7(#9),C,40.66666666666666,165.32286071777344,45.93635940551758,36.816532135009766,108.18402862548828,361.9830322265625,85.5198745727539,73.74370574951172,180.85894775390625,54.3294792175293,47.05877685546875,192.51109313964844,91.90777587890625
32,21,F7,F,41.333333333333336,53.20085525512695,26.436363220214844,21.983335494995117,62.4754524230957,136.7166748046875,49.07402038574219,50.44150161743164,55.84223937988281,17.847455978393555,18.882970809936523,32.00729751586914,20.318307876586914
33,22,Bb,Bb,42.0,862.3529663085938,715.8513793945312,1439.345703125,1638.5677490234375,1428.05029296875,2727.969482421875,489.7310791015625,167.16624450683594,259.23175048828125,1090.2874755859375,5087.74853515625,935.9974975585938
34,23,F7(#9),F,44.0,3.715259552001953,2.912379503250122,12.888094902038574,19.741758346557617,21.1790714263916,37.646949768066406,6.692534923553467,2.701788902282715,3.120490312576294,83.90577697753906,571.6472778320312,77.80521392822266
35,23,Bb7,Bb,45.0,382.5865478515625,105.81465911865234,158.75213623046875,595.98486328125,305.1828308105469,330.042724609375,129.8878173828125,124.2883071899414,273.11383056640625,247.77198791503906,133.4251251220703,97.5999526977539
36,24,Bb,Bb,46.0,312.5752868652344,608.0880126953125,1808.6259765625,820.4453735351562,784.8855590820312,3196.147705078125,724.8479614257812,145.25015258789062,475.9471435546875,1258.24267578125,5112.7099609375,840.7505493164062
37,25,F7(#9),F,48.0,3.6824119091033936,3.5835354328155518,13.877211570739746,13.856048583984375,10.984663963317871,39.04960632324219,7.363353252410889,1.936093807220459,3.136761426925659,79.81703186035156,550.3890991210938,74.44698333740234
38,25,Bb7,Bb,49.0,383.2659606933594,108.78092193603516,159.07211303710938,594.1915283203125,306.14703369140625,314.9666442871094,127.67581176757812,117.42437744140625,274.3224792480469,244.9927520751953,126.1290512084961,94.9355697631836
39,26,Bb,Bb,50.0,311.9889221191406,608.1764526367188,1807.4149169921875,808.7482299804688,771.1886596679688,3197.122314453125,725.0927124023438,140.64979553222656,472.8489685058594,1249.5869140625,5067.56103515625,837.112060546875
40,27,Bb7,Bb,52.0,3.718623399734497,3.645583391189575,14.00064754486084,13.726061820983887,9.470373153686523,38.525142669677734,7.259812831878662,1.7354059219360352,3.171693801879883,81.88330078125,562.1848754882812,75.8843002319336
41,27,Eb7,Eb,53.0,55.71638870239258,116.42777252197266,365.6827392578125,171.2628173828125,170.15806579589844,589.5996704101562,142.32215881347656,66.22801208496094,193.7071075439453,162.47703552246094,378.8832092285156,111.91825103759766
42,28,Bb,Bb,54.0,233.27919006347656,853.923583984375,2265.903564453125,1354.3179931640625,945.03759765625,3287.200927734375,793.50048828125,401.5511474609375,346.904052734375,1172.2489013671875,5282.54443359375,873.2501831054688
43,29,F7(#9),F,56.0,1.7220702171325684,3.193709135055542,13.320334434509277,15.959522247314453,11.755173683166504,35.84998321533203,5.913818359375,1.845284342765808,3.266900062561035,71.20403289794922,494.6224670410156,67.09771728515625
44,29,Bb7,Bb,57.0,382.0001525878906,108.8576431274414,157.62229919433594,582.3927001953125,307.4600524902344,312.1075439453125,126.7899398803711,121.68018341064453,273.6633605957031,244.7286376953125,119.26880645751953,93.7046127319336
45,30,Bb,Bb,58.0,313.37591552734375,613.1542358398438,1808.57470703125,807.5673828125,769.1895141601562,3195.238037109375,722.5623168945312,141.57440185546875,473.3143310546875,1245.3521728515625,5030.93896484375,832.4465942382812
46,31,C7,C,60.0,3.021794080734253,4.608978271484375,17.554649353027344,40.28750991821289,13.62166976928711,31.93065643310547,5.702361583709717,3.2692883014678955,2.855564832687378,2.836843729019165,7.376785755157471,1.7587685585021973
47,31,F7,F,61.0,324.7472839355469,90.90596771240234,68.23717498779297,222.12245178222656,768.00244140625,173.3947296142578,70.16780090332031,278.182373046875,76.15998077392578,96.71630859375,331.2492370605469,172.09808349609375
48,32,Bb,Bb,62.0,566.6022338867188,275.06842041015625,1052.2940673828125,1286.0419921875,1089.075927734375,1858.8404541015625,403.941162109375,176.41558837890625,379.0637512207031,471.6964111328125,934.0173950195312,259.6660461425781
49,33,Bb7,Bb,64.0,18.21522331237793,25.69972801208496,96.20925903320312,39.37882614135742,62.126277923583984,153.7301025390625,39.31602478027344,13.30080509185791,55.991180419921875,68.58931732177734,250.3475341796875,61.47391128540039
50,33,Eb7,Eb,64.5,21.15198516845703,94.1701431274414,75.7768325805664,158.6392822265625,49.482177734375,98.89701080322266,28.6905460357666,82.94852447509766,34.62472915649414,47.84590530395508,130.98817443847656,31.98552894592285
51,33,Edim,E,65.0,11.278971672058105,26.435630798339844,26.603408813476562,125.55396270751953,215.484130859375,68.35433197021484,33.107749938964844,99.103759765625,25.379735946655273,24.014556884765625,97.55316925048828,31.158357620239258
52,33,Bb7,Bb,65.5,192.4624481201172,398.4467468261719,1704.2373046875,1187.1314697265625,1982.4417724609375,2921.665283203125,628.73876953125,507.7395935058594,851.4391479492188,680.2883911132812,1880.0880126953125,426.0838623046875
53,35,Bb7(b5),Bb,68.0,1404.0882568359375,5966.775390625,11774.0576171875,2637.677734375,2295.309814453125,5558.47119140625,2643.1513671875,1585.978515625,7532.25439453125,2888.531494140625,3201.407470703125,893.8349609375
