,Measure,Liberia,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
17,17,D,D,32.0,150.43760681152344,466.2230529785156,1864.6575927734375,409.056396484375,739.7276000976562,3610.714599609375,858.914794921875,136.23883056640625,222.1308135986328,1209.9190673828125,191.95574951171875,71.28144836425781
18,18,D7,D,34.0,2023.6102294921875,806.94189453125,1876.4405517578125,384.9218444824219,220.47471618652344,809.6691284179688,3915.364501953125,690.3307495117188,237.1649627685547,1222.3372802734375,275.652099609375,339.5981750488281
19,19,D7,D,36.0,2051.009033203125,810.8599243164062,1868.4346923828125,394.6196594238281,240.8302459716797,744.1799926757812,3830.545654296875,690.5392456054688,238.92405700683594,1226.806396484375,275.7111511230469,343.1050109863281
20,20,D7,D,38.0,2041.8944091796875,810.970458984375,1871.6826171875,387.4378662109375,221.2327117919922,710.9386596679688,3828.122802734375,686.2461547851562,237.0127716064453,1222.38330078125,275.6488342285156,342.1610412597656
21,21,D7,D,40.0,2144.875,840.0556640625,1884.3905029296875,455.9847106933594,252.62298583984375,740.3722534179688,3909.6845703125,709.9420776367188,248.28968811035156,1240.2542724609375,358.1485900878906,824.841796875
22,22,D7,D,42.0,2142.3486328125,841.2276000976562,1886.2161865234375,453.9666748046875,252.49273681640625,746.3729858398438,3908.02734375,711.4398803710938,251.572509765625,1329.43701171875,946.8676147460938,890.43994140625
23,23,D7,D,44.0,2141.52587890625,840.982177734375,1886.0379638671875,454.2840576171875,253.2732391357422,752.2150268554688,3910.6357421875,711.7023315429688,251.41917419433594,1326.41357421875,927.963134765625,885.45654296875
24,24,D7,D,46.0,2044.7435302734375,813.824462890625,1871.3570556640625,392.031982421875,228.66819763183594,720.206787109375,3823.248779296875,709.4334106445312,360.6408996582031,1244.36669921875,276.2230529785156,342.1613464355469
25,25,Fmin,F,48.0,2040.6246337890625,373.8780212402344,234.65032958984375,842.32275390625,808.172607421875,3627.533203125,726.5774536132812,373.3914489746094,1295.5167236328125,254.65721130371094,136.1654052734375,326.5397033691406
26,26,Cmin,C,50.0,2895.728515625,590.7913208007812,711.3610229492188,3138.177001953125,925.5131225585938,255.2301788330078,317.59100341796875,1692.9267578125,301.6761474609375,94.341064453125,168.84112548828125,629.5028076171875
27,27,Fmin,F,52.0,2350.847900390625,376.9527587890625,99.4350357055664,220.16796875,718.4496459960938,3619.295654296875,666.8370361328125,303.0760803222656,1253.4610595703125,242.24127197265625,96.94406127929688,354.770263671875
28,28,Cmin7,C,54.0,1594.8253173828125,401.365478515625,824.539794921875,3205.022216796875,945.0304565429688,272.9372863769531,287.7961120605469,1482.8511962890625,311.2048645019531,359.412109375,1934.31640625,700.6287231445312
29,29,Fmin7,F,56.0,2174.310302734375,521.7046508789062,676.5001831054688,2790.466064453125,1185.2301025390625,1279.267333984375,302.6288757324219,757.7959594726562,1667.9283447265625,367.9456787109375,200.4935760498047,488.2364501953125
30,30,Cmin7,C,58.0,2198.9833984375,496.7819519042969,829.6058959960938,3344.923583984375,966.6428833007812,258.3367004394531,285.87640380859375,1509.3424072265625,308.9362487792969,360.5143737792969,1933.7972412109375,789.867919921875
31,31,Dmin7,D,60.0,630.5219116210938,246.53887939453125,634.3348388671875,198.2138214111328,305.5623474121094,1034.8201904296875,406.5311584472656,1130.816162109375,272.2237243652344,416.8003845214844,94.20780181884766,127.09969329833984
32,31,G7,G,61.0,625.4177856445312,192.76025390625,400.8692932128906,209.166015625,247.05455017089844,989.64306640625,441.4314880371094,499.4516296386719,137.45870971679688,147.20803833007812,161.31759643554688,615.1614379882812
33,32,Cmin7,C,62.0,5413.16650390625,1622.3511962890625,4512.68896484375,13954.7490234375,4427.74853515625,4593.0078125,1995.1580810546875,8092.53271484375,1500.7286376953125,1696.9246826171875,9016.4462890625,4030.376708984375
34,35,Eb7,Eb,68.0,989.2467651367188,5306.80517578125,2426.248291015625,7157.58251953125,1399.2117919921875,544.2371215820312,790.1843872070312,4500.17919921875,914.8662109375,918.820068359375,5257.81884765625,1168.7490234375
35,37,Abmin7,Ab,72.0,1038.004638671875,574.9768676757812,1522.2999267578125,6852.9296875,1158.682861328125,1886.017578125,11122.0673828125,2900.298828125,4203.31494140625,870.8067016601562,1381.8330078125,5281.06005859375
36,39,B7,B,76.0,976.0853881835938,765.6278686523438,1657.1883544921875,8030.5625,1349.3790283203125,1911.46435546875,11274.65625,2069.640380859375,694.818603515625,3602.918212890625,1855.9207763671875,5267.9638671875
37,41,Emin7,E,80.0,1090.8956298828125,1116.7879638671875,6507.53759765625,3579.428466796875,10356.8154296875,1804.2340087890625,975.5354614257812,4325.19482421875,868.83056640625,434.8256530761719,1024.3525390625,6221.98486328125
38,43,G7,G,84.0,1216.2049560546875,882.446533203125,3010.716796875,2040.8983154296875,2313.776611328125,10885.7158203125,3609.283203125,4532.58984375,865.130859375,761.3544311523438,1191.175048828125,5496.35205078125
39,45,F7,F,88.0,4050.379150390625,883.0484008789062,1234.0374755859375,6108.02001953125,2961.116455078125,2517.18603515625,512.6414184570312,673.5111694335938,892.5568237304688,2958.798095703125,749.6609497070312,875.5061645507812
