,Measure,OnTheSunnySideOfTheStreet_II,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
22,20,Fma7,F,38.0,6697.14990234375,1149.9453125,291.7755432128906,826.6362915039062,3715.420654296875,1783.1923828125,432.7301940917969,1315.7484130859375,850.7245483398438,1926.9820556640625,476.8099060058594,1212.089599609375
23,21,Fmaj7,F,40.0,3387.7861328125,687.2046508789062,431.6709899902344,750.4917602539062,3551.403564453125,1854.3834228515625,394.8387451171875,676.5178833007812,884.3677368164062,3246.736572265625,642.41845703125,725.3713989257812
24,22,D7,D,42.0,7512.65576171875,1632.2032470703125,1977.623046875,577.1480712890625,703.81787109375,936.4225463867188,4348.5732421875,1708.28076171875,546.1359252929688,1630.71630859375,368.845703125,1111.1319580078125
25,23,D7,D,44.0,3769.957275390625,1175.0496826171875,2309.912353515625,512.7329711914062,378.2432556152344,807.550537109375,4277.69970703125,949.71533203125,345.7095031738281,1507.8145751953125,387.6431579589844,597.7069702148438
26,24,Dmin7,D,46.0,7029.01904296875,1521.60205078125,1940.5274658203125,545.2872314453125,1229.1683349609375,4285.09814453125,1077.0892333984375,1130.6236572265625,486.3664855957031,1300.82080078125,293.36767578125,1030.9290771484375
27,25,G7,G,48.0,1347.143310546875,566.1112670898438,1490.22265625,741.0508422851562,1098.7008056640625,3677.548095703125,1472.16162109375,2034.0218505859375,495.0875244140625,493.8297424316406,490.0264587402344,2038.9814453125
28,26,Cmaj7,C,50.0,4759.62744140625,972.5839233398438,1425.4471435546875,906.7969360351562,3804.138916015625,781.947509765625,367.65771484375,1415.0732421875,368.3212890625,182.88031005859375,387.382080078125,2645.696044921875
29,27,E7,E,52.0,496.121337890625,425.512451171875,2460.394775390625,1055.1722412109375,3302.090576171875,600.4816284179688,218.80555725097656,269.0115966796875,1383.0548095703125,323.4732971191406,362.0796813964844,2078.9287109375
30,28,Fmaj7,F,54.0,2077.903076171875,420.9503479003906,190.15325927734375,681.4689331054688,3320.494873046875,1805.0972900390625,324.55328369140625,346.2344970703125,605.4817504882812,1674.7972412109375,370.6821594238281,581.0859375
31,29,G7,G,56.0,174.3931884765625,128.0098114013672,341.5580749511719,238.34222412109375,457.6657409667969,1292.462890625,502.0152587890625,561.9656372070312,169.6624755859375,155.3128662109375,150.71908569335938,568.5559692382812
32,29,G#dim,G#,57.0,202.37286376953125,79.48468780517578,309.1113586425781,90.58409881591797,68.64591217041016,285.7380065917969,112.89533233642578,97.72293853759766,423.987548828125,104.232177734375,167.10147094726562,933.7544555664062
33,30,Amin7,A,58.0,2165.132080078125,476.290283203125,297.8601989746094,681.237548828125,3154.462158203125,691.3128051757812,329.431396484375,1585.830078125,814.4335327148438,1678.0782470703125,416.7615051269531,857.2393188476562
34,31,D7,D,60.0,2387.84521484375,830.0252075195312,1740.9964599609375,446.7935791015625,336.9688415527344,738.6976928710938,3797.377685546875,712.343017578125,253.3059844970703,1226.20654296875,305.2981872558594,557.7054443359375
35,32,Dmin7,D,62.0,774.2876586914062,268.4449157714844,537.6041259765625,150.9243927001953,270.2497863769531,1057.9898681640625,290.19140625,68.04856872558594,89.91241455078125,424.5981140136719,87.84056854248047,136.25718688964844
36,32,G7,G,63.0,364.737548828125,195.74000549316406,589.8484497070312,256.4537048339844,286.7412414550781,1007.108642578125,455.1454772949219,546.8900756835938,214.138671875,577.1635131835938,203.9525146484375,578.1044311523438
37,33,Cmaj7,C,64.0,770.3430786132812,204.14915466308594,160.15187072753906,287.7087707519531,1107.967041015625,409.0018005371094,146.3824920654297,454.7110290527344,103.88712310791016,57.93815231323242,168.76651000976562,1015.4990234375
38,33,Dbmaj7,Db,65.0,1294.38330078125,764.603515625,167.6620635986328,104.87187957763672,444.8094482421875,1130.0501708984375,232.85865783691406,284.187744140625,495.858642578125,107.44711303710938,67.91973876953125,268.6903076171875
39,34,Cmaj7,C,66.0,2189.728759765625,1057.0750732421875,343.1983947753906,765.8634643554688,3781.7646484375,1379.81298828125,431.5897216796875,1522.689453125,591.3978881835938,209.1712646484375,322.3146667480469,2048.718017578125
40,35,E7,E,68.0,1918.0758056640625,1489.8507080078125,8053.07080078125,4008.637451171875,15008.7119140625,2828.36328125,830.261474609375,981.6663208007812,5111.63916015625,1113.2484130859375,1264.1917724609375,7607.95654296875
