,Measure,FlyingHome,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
17,8,Ab,Ab,15.333333333333336,83.68843841552734,46.96970748901367,160.23252868652344,185.00604248046875,134.0325164794922,126.6095962524414,315.59423828125,176.93150329589844,627.8804931640625,183.3910369873047,254.0217742919922,230.5261993408203
18,9,Ab,Ab,16.0,1276.5477294921875,273.0420837402344,283.2030334472656,685.9812622070312,311.7976379394531,87.81250762939453,201.4947967529297,238.84217834472656,446.5551452636719,110.47277069091797,84.6378402709961,296.9376525878906
19,9,Ab9,Ab,17.0,322.2248229980469,90.75650024414062,124.34004974365234,452.9669494628906,167.56346130371094,122.2204818725586,611.6477661132812,200.74806213378906,364.2476806640625,131.87327575683594,406.0382995605469,177.04896545410156
20,10,Ab9,Ab,18.0,548.6469116210938,166.46087646484375,276.7505187988281,792.9163208007812,262.5061950683594,307.8983154296875,1216.7056884765625,432.7868957519531,501.7704772949219,193.03350830078125,591.626708984375,226.11273193359375
21,10,Eb6,Eb,19.0,92.3864517211914,21.925031661987305,37.276206970214844,192.4047393798828,31.14332389831543,20.546039581298828,116.53539276123047,23.400846481323242,7.752425670623779,6.10056734085083,32.3083610534668,26.836881637573242
22,11,Ab9,Ab,20.0,1211.913818359375,279.0979309082031,285.7412414550781,660.4735717773438,248.6312255859375,295.90106201171875,1154.5152587890625,547.4691162109375,525.1430053710938,190.6422119140625,543.986328125,272.4928894042969
23,11,Ab9,Ab,21.0,2036.1781005859375,548.3490600585938,675.1798706054688,2936.6259765625,719.9168090820312,725.8611450195312,3641.616943359375,1109.3009033203125,1450.8013916015625,508.0687255859375,1443.5126953125,619.4663696289062
24,13,Ab7,Ab,24.0,5338.0107421875,1286.4267578125,1715.7366943359375,8103.197265625,2141.8330078125,1972.3544921875,10717.3173828125,3402.980712890625,5319.21923828125,955.44384765625,643.6570434570312,1096.0284423828125
25,15,Db,Db,28.0,1335.7884521484375,4968.6513671875,988.145751953125,638.8782348632812,1940.6580810546875,11194.8427734375,1968.2841796875,589.7188110351562,3333.051025390625,644.9635620117188,191.05255126953125,237.5513153076172
26,17,Bb7,Bb,32.0,580.7276000976562,1178.6900634765625,5670.29296875,1308.1561279296875,1823.2694091796875,9177.7431640625,2105.43798828125,699.5758666992188,3612.954833984375,2277.72119140625,5230.97021484375,874.5332641601562
27,19,Eb7,Eb,36.0,936.3552856445312,5062.76318359375,2682.713134765625,9166.9912109375,1692.1685791015625,623.051513671875,770.5138549804688,4377.71240234375,903.0484008789062,905.1626586914062,5156.56005859375,1136.435791015625
28,21,Ab,Ab,40.0,516.1468505859375,138.59019470214844,195.084716796875,751.4363403320312,222.5878448486328,32.77158737182617,53.73894119262695,230.50531005859375,463.9057312011719,99.3629379272461,40.84130859375,119.1910629272461
29,21,Ab7,Ab,41.0,502.4373779296875,153.50833129882812,214.08412170410156,804.90087890625,239.31207275390625,243.1627960205078,1085.37451171875,400.638671875,485.5177917480469,110.62999725341797,63.674808502197266,121.07271575927734
30,22,Db,Db,42.0,281.7055358886719,533.7028198242188,149.4846649169922,305.6039733886719,267.2778015136719,1130.6103515625,334.1498718261719,107.21798706054688,410.0948486328125,80.54959106445312,31.264986038208008,46.98423767089844
31,22,Ddim,D,43.0,111.98802947998047,201.6531982421875,608.3886108398438,181.00274658203125,235.95257568359375,1014.5210571289062,276.15191650390625,92.10570526123047,432.718505859375,130.92291259765625,34.619224548339844,34.31474685668945
32,23,Ab,Ab,44.0,517.8082885742188,159.4501190185547,256.70440673828125,748.6630249023438,256.5203552246094,251.65940856933594,89.47286987304688,231.58030700683594,524.5623779296875,119.14116668701172,50.374698638916016,122.4437255859375
33,23,Fmin7,F,45.0,595.5396118164062,163.75372314453125,211.10894775390625,831.402099609375,404.6850280761719,440.0572509765625,112.55523681640625,220.24742126464844,466.0402526855469,124.3241958618164,58.74819564819336,151.29249572753906
34,24,Bbmin7,Bb,46.0,318.99298095703125,549.6845092773438,158.79530334472656,317.7760314941406,281.6396789550781,1074.37890625,210.1871795654297,100.7979736328125,448.5129089355469,247.560791015625,583.184814453125,157.12867736816406
35,24,Eb7,Eb,47.0,31.481491088867188,70.83052062988281,32.220069885253906,31.54170799255371,40.37043380737305,223.90301513671875,38.167728424072266,5.2547221183776855,20.832855224609375,10.386678695678711,11.708996772766113,8.593854904174805
36,25,Ab,Ab,48.0,547.9453735351562,229.2429656982422,196.2454833984375,615.4371948242188,215.19810485839844,69.46177673339844,72.2991714477539,323.6398010253906,469.9988098144531,134.68675231933594,247.96534729003906,152.90660095214844
37,25,Ab7,Ab,49.0,505.6864929199219,165.98165893554688,223.09483337402344,806.6582641601562,242.7186279296875,255.81932067871094,1089.3280029296875,422.2635803222656,485.3581848144531,111.16971588134766,69.33959197998047,125.64063262939453
38,26,Db,Db,50.0,292.7032165527344,563.3555908203125,154.7947540283203,306.8045654296875,268.5916442871094,1138.8919677734375,338.5802307128906,110.98261260986328,406.6082763671875,80.006103515625,34.28544616699219,48.1702880859375
39,26,Ddim,D,51.0,117.6001205444336,210.2599639892578,605.5825805664062,181.73468017578125,238.7930145263672,1031.6700439453125,279.1546936035156,91.93975830078125,433.3181457519531,130.22079467773438,34.900489807128906,35.52315902709961
40,27,Ab,Ab,52.0,1809.40673828125,492.9062805175781,786.4639282226562,2601.77685546875,823.7692260742188,817.8469848632812,269.19415283203125,687.68896484375,1768.6968994140625,343.9510498046875,162.74156188964844,374.3302307128906
41,28,Eb7,Eb,54.0,59.96205139160156,31.491159439086914,51.19493103027344,85.86205291748047,27.38462257385254,62.54774856567383,24.269243240356445,11.84896183013916,14.95156192779541,4.436544895172119,2.60776686668396,10.919140815734863
42,29,Ab,Ab,56.0,525.3551635742188,173.94813537597656,216.0315704345703,821.8140258789062,238.14222717285156,40.456302642822266,61.81446838378906,263.349853515625,467.668701171875,106.88886260986328,80.27544403076172,132.09780883789062
43,29,Fmin7,F,57.0,603.0831909179688,172.55384826660156,228.13099670410156,829.6041870117188,399.6878662109375,410.6197204589844,103.44210815429688,231.3613739013672,482.0179748535156,122.97257232666016,52.76625061035156,141.51776123046875
44,30,Bbmin7,Bb,58.0,315.4720458984375,529.6400756835938,155.49966430664062,321.9806213378906,281.9996643066406,1060.2493896484375,205.3988800048828,102.80078887939453,450.5638732910156,247.59547424316406,579.218994140625,155.89190673828125
45,30,Eb7,Eb,59.0,137.8312225341797,551.2868041992188,337.6615905761719,977.535400390625,247.7320098876953,282.1401672363281,121.49500274658203,466.2886047363281,137.97000122070312,123.53238677978516,563.5171508789062,151.7494354248047
46,31,Ab,Ab,60.0,534.8242797851562,211.45335388183594,218.68548583984375,826.4400024414062,249.3350830078125,60.9405403137207,59.211151123046875,254.13246154785156,452.033203125,106.70844268798828,86.7171859741211,136.1925048828125
47,31,Fmin7,F,61.0,599.6377563476562,186.2532196044922,226.0266876220703,828.931396484375,403.6219482421875,440.7852478027344,109.61199951171875,234.0064697265625,478.0608215332031,122.85675811767578,55.94700241088867,143.70437622070312
48,32,Bbmin7,Bb,62.0,316.5885925292969,536.0401000976562,154.9227752685547,320.1287536621094,281.8232727050781,1062.0709228515625,204.48516845703125,101.78668212890625,448.2392272949219,247.4834442138672,578.5184936523438,156.06089782714844
49,32,Eb7,Eb,63.0,137.6864471435547,550.694091796875,332.3332824707031,976.7468872070312,247.6034393310547,284.0314636230469,121.603515625,467.785888671875,137.6152801513672,123.4666519165039,563.9264526367188,151.61598205566406
50,33,Ab,Ab,64.0,534.9022827148438,210.06507873535156,219.03639221191406,826.5768432617188,249.30162048339844,61.0904426574707,59.51447677612305,253.99456787109375,452.1024475097656,106.68683624267578,86.65241241455078,136.7871551513672
51,33,Ab7,Ab,65.0,507.7367248535156,179.88519287109375,220.63706970214844,806.252197265625,242.94786071777344,255.10060119628906,1092.5814208984375,413.2198486328125,483.8125915527344,108.8326644897461,56.234161376953125,117.14765167236328
52,34,Db9,Db,66.0,289.3382263183594,198.6195068359375,272.5022277832031,939.3944702148438,326.9927062988281,446.5041198730469,316.49969482421875,222.3269805908203,572.8522338867188,170.29454040527344,170.6937255859375,617.2896118164062
53,34,Ddim,D,67.0,104.50851440429688,148.1531219482422,634.095947265625,414.9549560546875,315.43634033203125,1296.2286376953125,324.7912292480469,98.218017578125,397.8907775878906,127.67660522460938,67.11485290527344,121.71044921875
54,35,Ab,Ab,68.0,5479.56787109375,1300.5626220703125,2178.281982421875,8020.95458984375,2345.63330078125,2421.075439453125,757.37353515625,1760.4234619140625,4758.01025390625,876.1675415039062,464.3716125488281,1282.6038818359375
55,37,Ab,Ab,72.0,523.41162109375,135.48016357421875,195.4442596435547,755.7877807617188,225.87074279785156,37.4830207824707,54.68558120727539,227.45542907714844,462.1728515625,100.43487548828125,45.1670036315918,128.56922912597656
56,37,Fmin7,F,73.0,594.6844482421875,159.8887176513672,225.06797790527344,828.2493286132812,398.930908203125,409.9620361328125,101.79937744140625,222.8374481201172,480.5230712890625,123.60456085205078,59.7591667175293,145.07411193847656
57,38,Bbmin7,Bb,74.0,319.66461181640625,545.3523559570312,156.843017578125,321.8718566894531,280.9655456542969,1059.7369384765625,205.84608459472656,101.57769775390625,450.6275634765625,247.2832794189453,581.9078979492188,157.0784149169922
58,38,Eb7,Eb,75.0,138.2758331298828,550.143798828125,337.7845764160156,977.453857421875,247.66339111328125,282.3850402832031,121.02617645263672,462.5110778808594,137.06980895996094,123.74978637695312,568.8147583007812,154.04896545410156
59,39,Ab,Ab,76.0,534.0551147460938,211.9778594970703,219.11016845703125,826.54248046875,249.16148376464844,60.9133186340332,59.34139633178711,254.2081298828125,452.1845397949219,106.69356536865234,86.7397232055664,135.7613067626953
60,39,Fmin7,F,77.0,599.4202880859375,186.35357666015625,226.08729553222656,829.1378784179688,403.646728515625,440.912841796875,109.58065795898438,233.96522521972656,477.9110412597656,122.8783187866211,55.783992767333984,142.53688049316406
61,40,Bbmin7,Bb,78.0,316.7461853027344,536.4085693359375,154.88914489746094,320.0478210449219,281.80023193359375,1061.9212646484375,204.5953826904297,101.85067749023438,448.3799743652344,247.4227294921875,578.488037109375,155.81178283691406
62,40,Eb7,Eb,79.0,137.5809783935547,551.1456298828125,332.3400573730469,976.8158569335938,247.62156677246094,284.0997009277344,121.59832763671875,467.7169189453125,137.61566162109375,123.4805908203125,563.8280639648438,151.87130737304688
63,41,Ab,Ab,80.0,534.8109741210938,210.00389099121094,219.01539611816406,826.6331176757812,249.31446838378906,61.097415924072266,59.53157043457031,254.015625,452.132080078125,106.6845932006836,86.62566375732422,136.38429260253906
64,41,Ab7,Ab,81.0,507.8441467285156,179.75514221191406,220.6235809326172,806.2680053710938,242.97325134277344,255.17237854003906,1092.5875244140625,413.2127990722656,483.7820129394531,108.83429718017578,56.2180061340332,117.3810043334961
65,42,Db9,Db,82.0,289.3510437011719,198.6248779296875,272.5036315917969,939.3849487304688,326.9973449707031,446.5363464355469,316.5473327636719,222.33119201660156,572.8513793945312,170.2992401123047,170.709716796875,617.301025390625
66,42,Ddim,D,83.0,104.50963592529297,148.15451049804688,634.0963745117188,414.9520263671875,315.4353942871094,1296.2269287109375,324.7893981933594,98.21804809570312,397.8924255371094,127.67721557617188,67.11481475830078,121.71495819091797
67,43,Ab,Ab,84.0,5479.5703125,1300.5582275390625,2178.283935546875,8020.94970703125,2345.628662109375,2421.06982421875,757.3701782226562,1760.4185791015625,4758.01513671875,876.1679077148438,464.3694152832031,1282.601318359375
68,45,Ab7,Ab,88.0,5480.806640625,1305.6546630859375,1743.4881591796875,8055.14501953125,2142.639892578125,2039.33251953125,10385.5009765625,3086.539794921875,4202.171875,778.6151733398438,515.50927734375,1120.6910400390625
69,47,Db,Db,92.0,1338.683349609375,4969.69873046875,993.6040649414062,638.3671875,1933.716796875,11157.83984375,1964.1151123046875,590.1863403320312,3333.1201171875,643.9085083007812,183.77452087402344,238.64288330078125
70,49,Bb7,Bb,96.0,578.3880615234375,1176.844482421875,5660.70166015625,1306.4378662109375,1823.6295166015625,9177.646484375,2104.902099609375,700.5527954101562,3615.0166015625,2281.248291015625,5260.44091796875,878.72802734375
71,51,Eb7,Eb,100.0,936.2741088867188,5062.17529296875,2682.783203125,9167.01953125,1692.4610595703125,623.2431030273438,770.54638671875,4377.52783203125,902.940673828125,905.0608520507812,5156.0859375,1136.2247314453125
72,53,Ab,Ab,104.0,516.1627807617188,138.5843048095703,195.08399963378906,751.4501953125,222.5881805419922,32.76106643676758,53.73739242553711,230.51654052734375,463.9075622558594,99.36132049560547,40.8438835144043,119.23287200927734
73,53,Fmin7,F,105.0,596.8826293945312,159.502197265625,218.9649200439453,827.1902465820312,394.4488220214844,384.7504577636719,100.0391616821289,226.97186279296875,481.4759216308594,125.2287368774414,65.63675689697266,149.7902069091797
74,54,Bbmin7,Bb,106.0,318.9772033691406,542.4498901367188,155.35707092285156,319.57305908203125,279.0052185058594,1053.2342529296875,203.44468688964844,102.61028289794922,452.688232421875,249.1497039794922,590.5790405273438,157.70787048339844
75,54,Eb7,Eb,107.0,137.7691192626953,551.1227416992188,335.8019104003906,977.177490234375,247.4654998779297,283.9258117675781,121.22502899169922,464.4938659667969,136.8600616455078,123.76708221435547,569.0209350585938,152.9468536376953
76,55,Ab,Ab,108.0,534.9459838867188,210.0496826171875,218.16015625,826.4649047851562,249.19215393066406,61.04963684082031,59.507450103759766,254.04310607910156,452.1085205078125,106.68356323242188,86.5626449584961,136.69456481933594
77,55,Fmin7,F,109.0,599.92333984375,186.5212860107422,226.49879455566406,828.9677734375,403.6432800292969,440.7451171875,108.9177474975586,233.751953125,478.1719665527344,123.02271270751953,55.95767593383789,143.57635498046875
78,56,Bbmin7,Bb,110.0,316.66900634765625,536.0397338867188,154.73304748535156,320.1027526855469,281.9068298339844,1061.8397216796875,204.25975036621094,101.95364379882812,448.5365905761719,247.5450439453125,578.4129028320312,156.01026916503906
79,56,Eb7,Eb,111.0,137.7957000732422,551.0379028320312,333.1997985839844,976.7747192382812,247.65968322753906,283.7008361816406,121.5294418334961,467.5403137207031,137.68380737304688,123.50176239013672,563.8683471679688,151.6743621826172
80,57,Ab,Ab,112.0,534.9254760742188,210.3375244140625,219.349609375,826.56884765625,249.27374267578125,61.06654357910156,59.44276428222656,253.96510314941406,452.0950622558594,106.6946029663086,86.65251922607422,136.69973754882812
81,57,Ab7,Ab,113.0,507.7277526855469,179.6706085205078,220.41162109375,806.3351440429688,242.90916442871094,255.0591583251953,1092.6064453125,413.2250061035156,483.8021240234375,108.81133270263672,56.236663818359375,117.18575286865234
82,58,Db9,Db,114.0,289.34588623046875,198.5538787841797,272.7261657714844,939.4330444335938,326.997314453125,446.5019836425781,316.4992980957031,222.323486328125,572.8723754882812,170.3423614501953,170.6924591064453,617.3181762695312
83,58,Ddim,D,115.0,104.51275634765625,148.21511840820312,634.4207763671875,415.0077209472656,315.4286193847656,1296.2205810546875,324.67657470703125,98.20647430419922,397.8952941894531,127.68316650390625,67.11531829833984,121.71019744873047
84,59,Ab,Ab,116.0,3554.5595703125,857.947998046875,1425.60400390625,5064.8125,1549.7606201171875,1576.5343017578125,497.5981750488281,1210.2979736328125,3286.96875,613.5537109375,316.7845764160156,845.3045043945312
