,Measure,ThatIsWhyYouAreOverweight,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
33,20,Eb,Eb,38.0,43.53849792480469,20.560508728027344,81.72409057617188,359.2386474609375,119.79288482666016,46.552310943603516,34.68156814575195,154.43617248535156,26.584383010864258,28.384292602539062,143.6243438720703,35.75130081176758
34,20,D,D,39.0,14.845356941223145,41.890869140625,198.5645294189453,105.7156982421875,35.25595474243164,74.09493255615234,311.3459777832031,55.29972457885742,21.199811935424805,122.7774429321289,34.846221923828125,7.305081844329834
35,21,G,G,40.0,6.5702996253967285,10.547119140625,31.604013442993164,9.024248123168945,2.69848895072937,5.352132320404053,12.738574028015137,50.68825912475586,10.119354248046875,2.65338134765625,7.735443592071533,36.388736724853516
36,21,G,G,40.4,6.745723247528076,3.1144495010375977,8.580487251281738,5.979649066925049,4.39976167678833,3.8979976177215576,7.019796371459961,14.254572868347168,3.539929151535034,2.6478188037872314,4.303328514099121,15.972033500671387
37,21,F#,F#,40.8,34.39772415161133,106.04424285888672,101.3946304321289,22.330785751342773,6.665220260620117,40.35273361206055,199.07945251464844,74.90381622314453,16.360300064086914,19.916902542114258,104.5232925415039,101.32601165771484
38,21,F,F,41.2,114.14359283447266,73.49658203125,43.8262825012207,43.85064697265625,82.7782974243164,162.332763671875,102.65594482421875,64.1652603149414,63.73969650268555,100.2906723022461,63.89055252075195,79.11750030517578
39,21,E,E,41.6,57.92416000366211,36.866058349609375,32.465965270996094,57.337955474853516,154.57237243652344,79.45545196533203,58.85357666015625,69.81755065917969,54.32513427734375,113.36566162109375,71.74739837646484,89.44171142578125
40,22,Amin7,A,42.0,84.9038314819336,29.53191566467285,30.865774154663086,79.371826171875,375.192626953125,276.0491027832031,138.12196350097656,236.1697998046875,119.72571563720703,121.02770233154297,52.52821731567383,105.57723999023438
41,22,D7,D,43.0,324.21820068359375,100.39703369140625,170.776611328125,50.97080612182617,123.51972198486328,99.96256256103516,300.6620178222656,60.708038330078125,28.965383529663086,122.960205078125,30.231660842895508,66.14238739013672
42,23,Gmin7,G,44.0,96.07103729248047,114.3546371459961,329.62017822265625,149.11167907714844,269.7995300292969,884.75048828125,430.0690612792969,504.5650329589844,150.69850158691406,282.1296691894531,587.8252563476562,272.7333679199219
43,23,F,F,45.0,553.9107666015625,152.0452117919922,122.98458099365234,112.3642349243164,286.2022399902344,1140.4180908203125,322.0422058105469,97.70752716064453,95.8097915649414,472.064453125,141.3492889404297,279.2660827636719
44,24,C7,C,46.0,290.2776184082031,66.12267303466797,92.35164642333984,244.14222717285156,1491.33154296875,880.2060546875,213.3616943359375,588.8247680664062,164.88197326660156,162.48159790039062,467.4515380859375,152.83871459960938
45,25,Gmin7,G,48.0,89.07113647460938,115.63294219970703,342.6225891113281,138.4387664794922,256.94677734375,896.5585327148438,431.95458984375,501.7275085449219,146.49484252929688,274.5013427734375,617.8237915039062,273.9098205566406
46,25,F,F,49.0,558.39794921875,153.49649047851562,122.26714324951172,109.2490463256836,287.6727294921875,1134.8092041015625,303.5321960449219,94.75188446044922,94.60494232177734,477.1873779296875,142.8147430419922,279.2652282714844
47,26,C7,C,50.0,1375.18017578125,274.7170715332031,366.9289855957031,841.9575805664062,5267.77099609375,3054.7626953125,643.7136840820312,1844.40576171875,487.5545349121094,494.7894592285156,1401.0546875,591.88916015625
