,Measure,Chill,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
12,7,Ebmin7,Eb,12.0,202.4590301513672,617.8556518554688,363.9678955078125,1092.3218994140625,212.0368194580078,279.47796630859375,1078.5025634765625,214.3751220703125,60.03657913208008,131.5061492919922,710.349853515625,138.57794189453125
13,7,Bb,Bb,13.0,67.13553619384766,126.654541015625,472.5445556640625,348.7711181640625,216.42298889160156,685.8535766601562,297.5816650390625,210.2781982421875,1255.20654296875,315.2240295410156,495.0568542480469,92.70690155029297
14,8,A,A,14.0,129.6741180419922,496.7035827636719,156.0511016845703,337.24676513671875,834.0114135742188,391.6683044433594,108.68315887451172,83.6943130493164,227.7261505126953,509.5752868652344,147.0767059326172,56.332244873046875
15,8,Ab,Ab,15.0,528.0978393554688,190.7613525390625,151.34634399414062,614.8999633789062,386.5133361816406,80.56949615478516,66.00202941894531,238.10089111328125,485.7201843261719,118.60863494873047,65.52246856689453,138.9259490966797
16,9,Ebmin,Eb,16.0,136.2782745361328,111.95690155029297,304.5787048339844,1110.1951904296875,203.8194580078125,258.4977722167969,1082.0052490234375,227.79754638671875,40.69123458862305,133.73695373535156,755.596923828125,129.93544006347656
17,9,Bb,Bb,17.0,74.13307189941406,131.5273895263672,626.6467895507812,449.7392578125,273.2761535644531,864.197021484375,343.531982421875,196.04734802246094,1037.040771484375,390.0352783203125,585.4800415039062,122.34925079345703
18,10,A7(#11),A,18.0,170.5761260986328,592.9743041992188,314.2285461425781,763.045166015625,946.99462890625,529.6929931640625,239.20664978027344,620.4579467773438,297.1593933105469,541.1157836914062,248.2061767578125,122.99105072021484
19,10,Ab7,Ab,19.0,361.7477111816406,177.20774841308594,161.5688018798828,704.7275390625,333.5386657714844,174.4684600830078,751.4078979492188,256.3121032714844,321.22418212890625,88.71868896484375,37.16362762451172,75.42780303955078
20,11,G7(#5),G,20.0,214.98277282714844,156.22508239746094,407.2171325683594,581.2671508789062,314.8369445800781,1141.0975341796875,530.0315551757812,555.075439453125,127.75011444091797,104.06732940673828,187.833251953125,551.5234985351562
21,11,Gb7,Gb,21.0,121.29824829101562,381.615234375,134.37998962402344,250.78582763671875,744.0639038085938,472.4961853027344,363.2778625488281,70.92339324951172,74.26131439208984,117.35159301757812,322.59051513671875,178.39454650878906
22,12,F7,F,22.0,617.7178344726562,184.1082763671875,223.6839599609375,968.5731811523438,614.1227416992188,491.3758544921875,139.5816650390625,136.25218200683594,181.12510681152344,541.46435546875,189.07566833496094,190.1214599609375
23,12,Emaj7,E,23.0,232.20965576171875,98.1845932006836,129.19595336914062,650.8511352539062,971.996337890625,256.1473388671875,96.1296615600586,116.0424575805664,448.6740417480469,99.30864715576172,102.74132537841797,470.0854797363281
24,13,F7,F,24.0,609.6101684570312,148.65084838867188,202.8336181640625,1039.3509521484375,848.1720581054688,466.3331604003906,135.5606231689453,124.3323974609375,194.1376190185547,541.4344482421875,190.0364227294922,184.19020080566406
25,13,Emaj7,E,25.0,189.19984436035156,60.39699172973633,74.3296890258789,470.5794372558594,839.0582885742188,199.78155517578125,100.59243774414062,89.56741333007812,247.25340270996094,61.03947067260742,121.37420654296875,429.1342468261719
26,14,Eb7,Eb,26.0,144.4330596923828,629.0729370117188,371.823974609375,980.3973999023438,342.9339904785156,103.95111846923828,124.82327270507812,651.9998168945312,176.29335021972656,115.7640380859375,536.7572631835938,185.6151123046875
27,14,Dbmaj7,Db,27.0,564.9265747070312,273.5077209472656,69.57080078125,199.90882873535156,167.45077514648438,679.7832641601562,137.96800231933594,75.01631927490234,170.13819885253906,56.62379837036133,51.526824951171875,112.9487075805664
28,15,Eb7,Eb,28.0,113.5199966430664,415.8078918457031,357.494873046875,945.75048828125,237.00579833984375,221.86952209472656,152.1661834716797,681.5974731445312,171.42955017089844,119.314453125,566.6231689453125,145.90745544433594
29,15,Dbmaj7,Db,29.0,606.3117065429688,685.5592651367188,184.16148376464844,326.43890380859375,285.6770324707031,1138.0814208984375,234.3104248046875,150.8402099609375,407.588134765625,87.46602630615234,66.06631469726562,102.23336029052734
30,16,Cmin7,C,30.0,490.6586608886719,204.70606994628906,320.1357421875,1074.9188232421875,352.0987854003906,281.2124938964844,127.45989227294922,494.675537109375,130.14939880371094,120.28154754638672,570.1187133789062,249.3251495361328
31,16,Ab7,Ab,31.0,353.3564453125,102.41473388671875,93.03629302978516,433.0794982910156,148.03343200683594,145.52090454101562,712.0252075195312,260.5535583496094,308.7491760253906,76.03487396240234,76.80193328857422,86.70902252197266
32,17,Gbmaj7,Gb,32.0,189.7568817138672,599.5908813476562,243.00669860839844,453.9527282714844,282.4363708496094,1029.9566650390625,639.6401977539062,189.736328125,134.0642852783203,206.6757354736328,546.1072387695312,144.19935607910156
33,17,Ab7,Ab,33.0,506.5510559082031,235.32386779785156,208.1056365966797,756.1358032226562,280.8009948730469,505.7418518066406,1305.152099609375,438.47021484375,485.8472595214844,133.895751953125,196.20018005371094,151.9578094482422
34,18,Eb,Eb,34.0,147.72972106933594,105.44744873046875,321.7425231933594,1146.9190673828125,241.1564178466797,92.53333282470703,223.63824462890625,663.4698486328125,152.0625457763672,107.58460235595703,509.0888977050781,141.87542724609375
35,18,Dbmaj7,Db,35.0,551.0541381835938,364.1065673828125,81.90220642089844,192.40234375,166.45310974121094,703.4713745117188,147.19190979003906,79.01517486572266,168.4580841064453,57.20405960083008,50.334110260009766,117.50729370117188
36,19,Eb,Eb,36.0,61.02642822265625,99.2534408569336,297.5383605957031,956.1392211914062,223.68995666503906,198.9856414794922,152.02235412597656,678.6868286132812,157.1513214111328,114.09054565429688,558.4202880859375,130.7367401123047
37,19,Dbmaj7,Db,37.0,455.1382751464844,370.0514221191406,85.39596557617188,194.3506622314453,159.80284118652344,693.8504028320312,138.6887969970703,73.17259216308594,171.56944274902344,55.6692008972168,48.45998764038086,93.61432647705078
38,20,Cmin7,C,38.0,473.2569274902344,171.00970458984375,340.3577575683594,1067.9376220703125,340.9187316894531,237.3321533203125,140.28834533691406,504.3738098144531,120.4881362915039,118.524658203125,581.3487548828125,227.8700714111328
39,20,Ab,Ab,39.0,561.7957153320312,143.84132385253906,207.3067626953125,806.295166015625,229.2267608642578,53.99814224243164,65.38667297363281,270.4407653808594,453.221435546875,104.23566436767578,82.37989807128906,133.4798126220703
40,21,A,A,40.0,246.21368408203125,549.1226196289062,190.45367431640625,638.634765625,851.53173828125,234.66966247558594,39.937068939208984,85.58731842041016,247.7386016845703,504.0461120605469,124.9952163696289,67.53044891357422
41,21,Ab,Ab,41.0,549.6080932617188,200.00360107421875,179.85797119140625,800.0844116210938,408.1580810546875,66.25352478027344,52.472599029541016,229.14422607421875,493.3393859863281,121.96866607666016,62.88330078125,138.8792724609375
42,22,Ebmin7,Eb,42.0,206.53306579589844,617.9125366210938,372.6020812988281,1133.868408203125,216.78123474121094,244.7872314453125,1036.2203369140625,210.53314208984375,59.3387565612793,110.16707611083984,566.5026245117188,113.5344009399414
43,22,Bb,Bb,43.0,36.12224578857422,60.01332473754883,43.45881271362305,247.5570526123047,60.203983306884766,30.025283813476562,109.5699691772461,162.39871215820312,1046.587158203125,175.8841552734375,37.069541931152344,14.978618621826172
44,23,A,A,44.0,131.9834747314453,518.7291259765625,402.2861022949219,382.0915832519531,845.38232421875,558.3958129882812,156.36509704589844,103.65457153320312,266.7388000488281,491.041259765625,233.66845703125,87.39571380615234
45,23,Ab,Ab,45.0,535.2445678710938,195.9225311279297,174.7717742919922,613.509033203125,394.6041564941406,132.9154815673828,85.2241439819336,231.745849609375,490.2541198730469,123.89990234375,70.70384979248047,136.02513122558594
46,24,Ebmin7,Eb,46.0,203.29547119140625,619.0614013671875,364.2137451171875,1089.9471435546875,211.7645721435547,280.3379211425781,1076.3402099609375,213.807373046875,60.476993560791016,131.3922576904297,710.8860473632812,137.48114013671875
47,24,Bb,Bb,47.0,68.5682144165039,126.8092269897461,471.88330078125,350.2421875,216.56065368652344,686.2365112304688,297.486083984375,212.0770721435547,1266.7703857421875,316.5819091796875,493.3406066894531,92.41900634765625
48,25,A,A,48.0,129.5155487060547,496.4831848144531,155.4765167236328,332.6944274902344,833.261474609375,391.8883056640625,110.02874755859375,83.96817016601562,226.8641815185547,509.1562194824219,146.77987670898438,57.37020492553711
49,25,Ab,Ab,49.0,527.9844360351562,191.83819580078125,148.9915313720703,602.5390014648438,386.3157653808594,80.60699462890625,65.95145416259766,237.71856689453125,486.8560485839844,118.9636459350586,64.23883819580078,134.7474822998047
50,26,Ebmin,Eb,50.0,136.33053588867188,112.60592651367188,305.3367614746094,1108.1873779296875,203.96241760253906,258.0067443847656,1081.876708984375,232.4300079345703,41.3321418762207,134.10829162597656,758.03173828125,129.61476135253906
51,26,Bb,Bb,51.0,74.00872039794922,130.4004669189453,627.1929931640625,442.7972106933594,271.2386169433594,863.5442504882812,343.9082946777344,197.23731994628906,1040.9881591796875,390.6360778808594,587.4171752929688,122.5999755859375
52,27,A7,A,52.0,164.64759826660156,581.9692993164062,241.8793487548828,377.8192138671875,867.9390258789062,467.9635314941406,190.6719512939453,531.657470703125,300.5975036621094,530.8931274414062,163.56382751464844,94.11688995361328
53,27,Ab7,Ab,53.0,361.9002380371094,177.2874298095703,159.54568481445312,699.0825805664062,332.6405334472656,174.4771270751953,752.9750366210938,257.0399475097656,321.6674499511719,88.7968978881836,37.178993225097656,75.35785675048828
54,28,G7,G,54.0,215.0293731689453,156.2276153564453,407.2812194824219,581.5997924804688,314.9303894042969,1141.0968017578125,530.17724609375,555.1564331054688,127.67618560791016,104.0495834350586,187.9687957763672,551.8904418945312
55,28,Ab7,Ab,55.0,347.9351501464844,101.99197387695312,158.53338623046875,614.5175170898438,223.2545928955078,356.6017150878906,713.2717895507812,206.67979431152344,284.9518737792969,69.53121948242188,53.77546310424805,190.25323486328125
56,29,F7,F,56.0,621.6168212890625,167.48924255371094,229.9914093017578,973.22216796875,561.457275390625,492.6111755371094,193.1455078125,153.33094787597656,201.6614227294922,543.9469604492188,185.90101623535156,187.1661834716797
57,29,Emaj7,E,57.0,2753.920654296875,741.6399536132812,1192.2528076171875,6793.70166015625,14180.48046875,3454.639892578125,1189.70556640625,1154.14501953125,5074.62158203125,1080.106201171875,1179.3673095703125,6282.92626953125
58,32,Ebmin7,Eb,62.0,101.96365356445312,552.0146484375,351.7053527832031,1049.7822265625,218.75343322753906,243.43572998046875,1053.6817626953125,243.35218811035156,61.83552932739258,103.44595336914062,577.5313110351562,109.35555267333984
59,32,Bb,Bb,63.0,43.49777603149414,111.5718002319336,388.7964172363281,276.2587890625,157.9001007080078,575.2412719726562,209.3448028564453,30.451997756958008,20.650236129760742,127.39224243164062,354.7421569824219,97.5569076538086
60,33,A,A,64.0,118.96759796142578,478.8560791015625,186.9457550048828,459.7021179199219,827.913330078125,346.1831970214844,76.49857330322266,89.00762176513672,261.6958312988281,504.265380859375,124.59683990478516,54.285919189453125
61,33,Ab,Ab,65.0,361.0248107910156,163.32643127441406,119.12561798095703,570.989501953125,313.4889831542969,78.13019561767578,24.616043090820312,85.5211410522461,316.1403503417969,88.392333984375,22.872800827026367,70.48194122314453
62,34,Ebmin7,Eb,66.0,155.12240600585938,636.7103881835938,334.88751220703125,995.8353881835938,217.7851104736328,267.52655029296875,1081.9991455078125,252.1250762939453,65.24976348876953,103.99767303466797,556.9556274414062,122.13164520263672
63,34,Bb7,Bb,67.0,112.28179168701172,185.6214599609375,629.974365234375,392.0262756347656,263.4725036621094,870.065673828125,357.2198181152344,123.81753540039062,479.1303405761719,301.1138916015625,581.4512329101562,127.63069915771484
64,35,A,A,68.0,126.37765502929688,530.0538940429688,228.3302459716797,466.6369323730469,858.2902221679688,390.185302734375,71.3406753540039,86.98401641845703,267.64935302734375,516.1261596679688,137.2157440185547,54.84165573120117
65,35,Ab,Ab,69.0,771.130615234375,935.1106567382812,1496.8538818359375,7475.42333984375,2740.86328125,726.9766235351562,461.7386169433594,670.7675170898438,2125.534423828125,539.8868408203125,806.8234252929688,3295.722412109375
