,Measure,Gibraltar,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
13,14,C13,C,26.0,728.5607299804688,536.7573852539062,1053.6005859375,890.2578125,2280.770263671875,3310.807373046875,1270.8956298828125,1960.4473876953125,701.784423828125,1779.0384521484375,2211.357177734375,619.5945434570312
14,15,Gmin7,G,28.0,174.5477294921875,305.6437072753906,1001.261962890625,296.9391174316406,697.7389526367188,2960.184814453125,1049.3316650390625,1618.3359375,394.6679382324219,737.059326171875,1940.0765380859375,369.6690979003906
15,16,C13,C,30.0,760.3995971679688,635.8203735351562,1710.3109130859375,1011.7067260742188,2271.717041015625,3331.61328125,1344.84765625,2277.943603515625,772.171875,1803.6397705078125,2207.52001953125,629.8793334960938
16,17,C13,C,32.0,219.00621032714844,186.21800231933594,344.1507263183594,324.7411804199219,683.5060424804688,957.93798828125,405.4624328613281,568.5363159179688,244.86814880371094,583.142822265625,654.9656982421875,210.26014709472656
17,17,Bb7,Bb,33.0,110.21150970458984,178.7950439453125,732.62060546875,207.02076721191406,311.0816955566406,833.560546875,264.0242004394531,223.77723693847656,507.9302062988281,493.6186828613281,1674.9183349609375,316.3241882324219
18,18,Ebmaj7,Eb,34.0,167.2615509033203,501.1791076660156,3286.243408203125,3555.379638671875,808.3187866210938,900.4431762695312,447.3395690917969,1919.07861328125,505.5956115722656,461.1995849609375,1979.5703125,418.1111755371094
19,19,A7(#9),A,36.0,2333.51220703125,2149.656494140625,486.7755432128906,758.9990234375,2826.037109375,839.5960083007812,380.8390197753906,1717.8363037109375,931.3408813476562,1649.1795654296875,385.82373046875,534.6900634765625
20,20,Abmaj7,Ab,38.0,1660.736328125,514.5850219726562,723.53759765625,2648.082275390625,897.1941528320312,719.1802368164062,453.7357482910156,1899.7156982421875,1753.99755859375,510.8038635253906,824.3402709960938,551.5741577148438
21,21,D7(#9),D,40.0,2170.13427734375,636.6932983398438,607.154541015625,496.3685607910156,1647.8031005859375,4171.22021484375,2303.59375,608.45703125,612.3157958984375,1924.3846435546875,481.6272888183594,486.7161560058594
22,22,Gmin9,G,42.0,284.4224853515625,475.1645202636719,1237.8768310546875,443.7071838378906,786.7456665039062,3217.982177734375,1583.76171875,4452.20703125,994.038330078125,1651.3980712890625,2038.6409912109375,438.9907531738281
23,23,C13,C,44.0,708.792724609375,546.6386108398438,1111.5831298828125,902.2037963867188,2282.16357421875,3311.773193359375,1273.733642578125,1936.9874267578125,693.16455078125,1756.5594482421875,2216.850341796875,620.1326293945312
24,24,Gmin7,G,46.0,180.2845916748047,316.1998596191406,1045.9783935546875,310.4967346191406,702.3268432617188,2957.053466796875,1029.6177978515625,1610.5985107421875,392.6584777832031,739.535888671875,1940.9207763671875,370.5338134765625
25,25,C13,C,48.0,2140.4755859375,1831.0777587890625,5890.84716796875,2824.931396484375,6641.24462890625,10183.7275390625,4037.357177734375,8848.0673828125,2462.884033203125,5177.99072265625,7375.62109375,1887.0203857421875
26,27,Dmin/A,D,52.0,1031.8082275390625,4029.322998046875,24736.224609375,5007.23681640625,6501.48486328125,22781.455078125,4307.1015625,813.609619140625,2229.126708984375,8703.8095703125,1446.7886962890625,503.8254089355469
27,31,Fmin/C,F,60.0,14206.5087890625,2333.071533203125,730.5361328125,1474.0531005859375,6524.74658203125,26894.609375,4552.52392578125,3027.531982421875,11052.9189453125,2449.057373046875,819.8921508789062,2582.888427734375
28,35,Abmin/Eb,Ab,68.0,2854.817138671875,947.018798828125,4382.29296875,24220.751953125,3574.904541015625,731.3483276367188,1451.78955078125,4339.73681640625,27326.349609375,4512.97802734375,2648.824951171875,13264.03125
29,39,Bmin/F#,B,76.0,2230.161376953125,1698.8848876953125,9673.037109375,1899.8529052734375,468.9409484863281,3014.211669921875,17544.033203125,2618.92822265625,535.6359252929688,659.0338134765625,2275.762451171875,13770.7880859375
30,42,C13,C,82.0,742.20849609375,559.8538818359375,1143.68408203125,906.5289916992188,2310.12744140625,3384.925537109375,1323.8150634765625,2276.90869140625,755.61474609375,1777.2239990234375,2202.907958984375,620.1824340820312
31,43,Gmin7,G,84.0,177.8926239013672,315.8067321777344,1033.3656005859375,303.9784851074219,696.9346313476562,2960.912353515625,1049.5531005859375,1617.1739501953125,391.8482971191406,728.7379760742188,1938.2557373046875,372.0831604003906
32,44,C13,C,86.0,731.3942260742188,551.5661010742188,1129.4990234375,897.3770141601562,2278.7666015625,3312.088623046875,1269.7125244140625,1959.0362548828125,700.71826171875,1779.8841552734375,2209.3505859375,619.66357421875
33,45,Gmin7,G,88.0,174.650390625,313.31207275390625,1043.8555908203125,304.6612243652344,698.2633666992188,2960.41015625,1050.6343994140625,1618.1024169921875,394.5738525390625,737.6034545898438,1940.2635498046875,369.7363586425781
34,46,C13,C,90.0,731.3735961914062,552.4298706054688,1132.1793212890625,899.53955078125,2280.395751953125,3308.7939453125,1268.8182373046875,1959.82958984375,701.3554077148438,1781.5423583984375,2208.965576171875,619.7000122070312
35,47,Gmin7,G,92.0,174.6311798095703,313.51971435546875,1045.1217041015625,304.5873107910156,697.9059448242188,2960.817626953125,1049.7557373046875,1618.00146484375,394.5480041503906,737.41357421875,1940.2393798828125,369.7030944824219
36,48,C13,C,94.0,731.3993530273438,552.4866333007812,1132.6702880859375,899.34326171875,2280.033203125,3309.370849609375,1268.90771484375,1959.5203857421875,701.2000122070312,1781.2049560546875,2209.127685546875,619.8966064453125
37,49,Gmin7,G,96.0,174.63478088378906,313.5186462402344,1045.0123291015625,304.6739807128906,698.1030883789062,2960.412353515625,1049.7054443359375,1618.0545654296875,394.565185546875,737.483154296875,1940.1959228515625,369.6687927246094
38,50,C13,C,98.0,731.3945922851562,552.4950561523438,1132.6571044921875,899.39208984375,2280.092041015625,3309.261962890625,1268.7930908203125,1959.5625,701.2265625,1781.2589111328125,2209.114501953125,619.8818969726562
39,51,C13,C,100.0,218.30751037597656,184.35169982910156,343.7222595214844,326.71551513671875,685.7902221679688,957.6520385742188,406.0666809082031,570.8765258789062,245.8270721435547,585.306640625,656.0081176757812,209.45375061035156
40,51,Bb7(#9),Bb,101.0,161.62612915039062,659.6976318359375,829.0086059570312,234.3871612548828,343.0604248046875,816.252685546875,244.9086151123047,139.56483459472656,486.31201171875,375.2881164550781,629.0442504882812,163.07203674316406
41,52,Ebmaj7,Eb,102.0,173.3041229248047,579.7816772460938,3314.880126953125,3520.154296875,798.6073608398438,884.6450805664062,377.7135009765625,1453.0264892578125,382.1366271972656,437.5414123535156,1981.84033203125,409.344482421875
42,53,A7,A,104.0,412.4349365234375,1753.3841552734375,424.8275146484375,706.9953002929688,2789.923583984375,822.3356323242188,346.072509765625,1691.0748291015625,900.5697631835938,1606.5992431640625,330.5643005371094,266.51605224609375
43,54,Abmaj7,Ab,106.0,1825.1624755859375,531.9052124023438,714.0986328125,2637.384033203125,833.4882202148438,224.24462890625,344.4402160644531,1883.12109375,1735.626953125,329.71112060546875,168.63986206054688,517.1110229492188
44,55,D7(#9),D,108.0,2081.931884765625,632.9474487304688,638.7463989257812,487.7714538574219,1635.5364990234375,4296.298828125,2374.250244140625,605.54541015625,649.962890625,2531.203369140625,4712.9326171875,1069.3797607421875
45,56,Gmin7,G,110.0,247.96514892578125,338.9383850097656,1052.4296875,328.4657287597656,629.908203125,2970.419921875,1173.196044921875,1668.9869384765625,406.9563293457031,820.6613159179688,1937.9459228515625,373.5954284667969
46,57,C13,C,112.0,708.751708984375,547.4115600585938,1112.058837890625,903.326416015625,2282.516845703125,3312.564208984375,1274.290283203125,1941.9322509765625,695.1090698242188,1773.50048828125,2219.62939453125,619.8038940429688
47,58,Gmin7,G,114.0,179.7407989501953,316.0647888183594,1045.9364013671875,310.5435485839844,702.3486328125,2957.060302734375,1029.6083984375,1610.578125,392.6463623046875,739.5272827148438,1940.9271240234375,370.4388122558594
48,59,C13,C,116.0,1380.8983154296875,995.8350219726562,2111.7236328125,1582.5223388671875,4320.05078125,6404.49169921875,2302.499755859375,3609.670166015625,1237.03125,3240.845947265625,4054.491943359375,1108.682861328125
