,Measure,Soon,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
10,12,Gmin7,G,22.0,75.31836700439453,107.05130767822266,344.455810546875,134.2729949951172,227.4200439453125,843.7625122070312,347.6764831542969,478.8290100097656,141.20401000976562,243.7224884033203,591.6380004882812,134.22265625
11,12,C7,C,23.0,514.6058959960938,138.61346435546875,169.28504943847656,284.4123840332031,1126.8419189453125,400.9967956542969,123.45816040039062,474.2962951660156,127.73099517822266,120.9610366821289,532.2166137695312,249.55885314941406
12,13,Fmin7,F,24.0,2154.237060546875,478.7860107421875,619.8937377929688,2856.550048828125,1882.0810546875,1791.701171875,384.2692565917969,835.254638671875,1685.7144775390625,437.4256591796875,303.1047058105469,502.1081237792969
13,14,Bb7,Bb,26.0,296.1410217285156,579.6783447265625,3045.379150390625,736.5503540039062,784.5551147460938,3205.572265625,784.8921508789062,322.6435241699219,1512.4461669921875,1084.0576171875,2043.5364990234375,383.872314453125
14,15,Gmin7,G,28.0,60.48360824584961,108.65372467041016,346.056884765625,108.77918243408203,198.77232360839844,833.4244995117188,348.1492919921875,467.3794860839844,143.4084014892578,258.9447937011719,578.4459838867188,126.51602935791016
15,15,Cmin7,C,29.0,506.077880859375,160.5467071533203,394.3092346191406,960.0673828125,320.9884948730469,291.4391784667969,133.37599182128906,478.9893798828125,106.63361358642578,128.7153778076172,598.0617065429688,240.1429901123047
16,16,Fmin7,F,30.0,596.5909423828125,153.87889099121094,212.3375701904297,840.858154296875,414.5279541015625,456.1832275390625,116.576171875,262.902587890625,485.5946044921875,131.8507843017578,102.16065216064453,160.6937713623047
17,16,Bb7,Bb,31.0,245.1129913330078,198.08251953125,627.4035034179688,436.5620422363281,321.8216247558594,1133.6962890625,278.8226013183594,141.667724609375,486.8205261230469,308.1064453125,579.8857421875,161.73036193847656
18,17,Ebmaj7,Eb,32.0,579.4188232421875,1283.296630859375,8368.5546875,10650.263671875,2138.533203125,2953.444580078125,1185.986083984375,4483.90673828125,1139.764892578125,2045.2882080078125,12190.8828125,2130.62060546875
19,19,Gmin7,G,36.0,252.36114501953125,775.2316284179688,1089.832763671875,340.1103210449219,667.8894653320312,3043.361328125,1049.7069091796875,1645.9306640625,563.0064086914062,764.321044921875,1971.10693359375,387.6402587890625
20,20,C7,C,38.0,1807.0411376953125,390.1270751953125,327.4441833496094,811.490966796875,3821.158935546875,765.15625,286.8108825683594,1635.1324462890625,1445.1590576171875,518.1367797851562,1737.00146484375,763.3945922851562
21,21,Fmin7,F,40.0,6524.93310546875,1389.7529296875,1818.03759765625,8369.4638671875,3360.369384765625,3759.0673828125,808.929443359375,2808.835205078125,11197.328125,2052.894287109375,518.2282104492188,1325.3209228515625
22,23,Abmin7,Ab,44.0,551.4340209960938,249.3316192626953,680.1096801757812,2931.2216796875,505.32080078125,716.49072265625,3968.944091796875,1078.7960205078125,1684.4031982421875,403.298583984375,802.3602905273438,2774.035400390625
23,24,Bb7,Bb,46.0,234.64747619628906,460.5147705078125,2064.089599609375,554.3275756835938,707.4712524414062,3054.591552734375,1028.6585693359375,315.2248840332031,1423.4749755859375,891.29150390625,2000.005859375,406.5191650390625
24,25,Ebmaj7,Eb,48.0,163.84262084960938,476.2211608886719,3038.048095703125,3543.265869140625,645.6757202148438,255.16209411621094,480.8637390136719,2626.215087890625,524.1028442382812,406.548828125,1901.6961669921875,438.4634094238281
25,26,Bbmin7,Bb,50.0,184.99090576171875,517.8134155273438,138.2423095703125,101.6705322265625,259.306884765625,977.59619140625,194.6572723388672,98.71088409423828,446.9361267089844,262.6414489746094,603.2830810546875,143.66207885742188
26,26,Eb7,Eb,51.0,138.00338745117188,551.9454345703125,345.9917297363281,928.84375,266.4161071777344,523.8917236328125,174.6129608154297,463.0691223144531,139.54319763183594,154.72372436523438,592.0867309570312,148.1967315673828
27,27,Abmaj7,Ab,52.0,1859.6243896484375,690.310302734375,774.578125,2807.984619140625,832.537841796875,324.5755615234375,368.5285339355469,1971.48095703125,1753.83984375,352.0318298339844,288.8385314941406,547.8426513671875
28,28,Abmin7,Ab,54.0,129.56178283691406,82.5638656616211,197.93186950683594,790.3330688476562,152.22109985351562,224.03472900390625,1107.6556396484375,364.3959045410156,560.0220336914062,138.23057556152344,169.9344482421875,501.2076110839844
29,28,Db7,Db,55.0,320.7120666503906,512.2891845703125,160.48573303222656,331.9823303222656,272.9399108886719,1133.6314697265625,341.5947265625,104.3996353149414,401.3411560058594,98.30587768554688,177.82789611816406,940.8161010742188
30,29,Gmin7,G,56.0,98.1388931274414,172.20030212402344,370.0953674316406,137.10667419433594,214.3325958251953,822.5678100585938,366.779052734375,550.4946899414062,176.7775421142578,244.94761657714844,575.3983764648438,199.1437225341797
31,29,Cmin7,C,57.0,537.329345703125,178.498291015625,406.4540100097656,996.924072265625,333.3725891113281,360.7425842285156,158.4283905029297,530.1406860351562,140.4930419921875,240.0823974609375,1390.5128173828125,404.4118347167969
32,30,Fmin7,F,58.0,594.1787719726562,164.28855895996094,218.0651397705078,849.4529418945312,434.6662292480469,602.8178100585938,144.9711151123047,268.8729553222656,468.5643005371094,132.65647888183594,97.4856948852539,159.33660888671875
33,30,Bb7,Bb,59.0,112.2641830444336,34.163055419921875,114.76626586914062,221.8542938232422,53.38820266723633,80.2253646850586,161.54615783691406,1055.6741943359375,180.06239318847656,10.913593292236328,13.297135353088379,40.1964225769043
34,31,Ebmaj7,Eb,60.0,1201.9879150390625,4160.8330078125,25921.125,21296.111328125,4788.4560546875,9798.650390625,3134.666748046875,9209.4716796875,2861.054931640625,2582.251708984375,10753.7763671875,2322.498779296875
