,Measure,Velocity,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
14,16,A13,A,30.0,378.4819030761719,251.11878967285156,769.1629028320312,682.3677978515625,965.979248046875,454.8482666015625,2059.966064453125,4445.9501953125,841.1671752929688,305.8011779785156,482.361572265625,1866.0205078125
15,18,Ab13,Ab,34.0,271.69879150390625,656.53515625,422.9193115234375,852.702880859375,599.084716796875,2581.625244140625,2095.78564453125,379.1945495605469,375.7795715332031,1640.93603515625,10041.8076171875,1513.6279296875
16,20,G13,G,38.0,354.7779235839844,198.2216033935547,559.6475219726562,251.6454620361328,901.4595336914062,2207.912841796875,440.3315124511719,171.4256134033203,345.4613342285156,2355.403564453125,7504.27490234375,1627.5599365234375
17,22,Bbmin7,Bb,42.0,235.07945251464844,404.2548828125,195.90013122558594,537.5802001953125,116.67772674560547,153.6534881591797,75.59412384033203,294.49114990234375,75.66576385498047,80.69597625732422,370.228759765625,110.97090911865234
18,22,Eb7,Eb,43.0,69.1241683959961,118.39473724365234,405.2839660644531,299.2794494628906,57.30323791503906,154.45945739746094,796.684814453125,175.13751220703125,245.1492919921875,252.9718475341797,135.5563201904297,382.8163146972656
19,23,Bmin7,B,44.0,29.09895896911621,40.504150390625,155.53843688964844,109.71734619140625,408.2203674316406,80.47150421142578,90.68411254882812,49.61275100708008,103.40056610107422,24.248069763183594,26.209699630737305,152.62786865234375
20,23,E7,E,45.0,81.88047790527344,44.77033615112305,118.064697265625,524.3135375976562,154.46461486816406,151.81167602539062,774.8619995117188,177.9630889892578,298.45458984375,105.82508087158203,321.5125732421875,495.7571105957031
21,24,Abmin7,Ab,46.0,211.77635192871094,344.8820495605469,96.88227081298828,154.1851043701172,194.99676513671875,756.1767578125,194.23419189453125,55.77275466918945,192.99916076660156,79.0040512084961,320.0320129394531,719.0802612304688
22,24,Db7,Db,47.0,310.7369689941406,127.74172973632812,53.0745735168457,187.74559020996094,650.9627075195312,271.9546203613281,315.1631774902344,354.3014221191406,115.88666534423828,212.439697265625,85.6988525390625,133.57176208496094
23,25,Amin7,A,48.0,237.8162384033203,84.20100402832031,183.7127227783203,79.90477752685547,127.74630737304688,83.19243621826172,322.0409240722656,67.5262222290039,26.234830856323242,122.95932006835938,29.98603057861328,65.10211944580078
24,25,D7,D,49.0,91.81156158447266,406.7289123535156,105.45586395263672,143.66500854492188,520.5996704101562,205.43035888671875,303.5065002441406,83.5432357788086,228.71339416503906,248.02532958984375,67.51548767089844,37.1550407409668
25,26,F#min7,F#,50.0,77.30445098876953,89.94564819335938,117.94165802001953,613.4200439453125,220.5314483642578,164.1747589111328,854.6655883789062,177.87896728515625,263.2196960449219,265.4622802734375,143.6479034423828,401.1374206542969
26,26,B7,B,51.0,59.04350280761719,71.76053619384766,240.36521911621094,420.5666809082031,222.353515625,619.5875854492188,230.68067932128906,333.2658386230469,120.38040924072266,194.15736389160156,336.97235107421875,145.39804077148438
27,27,Gmin7,G,52.0,309.6830749511719,86.99027252197266,71.44229888916016,186.68458557128906,747.6611938476562,276.352294921875,120.6916732788086,295.6535339355469,85.43439483642578,71.7059555053711,321.7757263183594,160.12474060058594
28,27,C7,C,53.0,427.2425842285156,236.61436462402344,405.2490234375,510.5097351074219,1556.2222900390625,873.375732421875,655.2157592773438,282.7927551269531,195.61167907714844,1135.7138671875,559.5407104492188,299.2757568359375
29,30,Gmin,G,58.0,4294.79443359375,3932.7177734375,2097.53271484375,3816.64453125,4132.177734375,1873.2608642578125,3595.9140625,12397.3623046875,5142.71337890625,12345.3466796875,14038.40234375,2617.314453125
