,Measure,Recado Bossa Nova,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
30,38,D7,D,74.0,2359.609619140625,933.8502807617188,2052.90625,527.791259765625,306.5691223144531,739.532470703125,3656.155029296875,663.64111328125,356.8206481933594,1285.6783447265625,341.7543640136719,425.7142333984375
31,39,Gmin7,G,76.0,233.3881378173828,326.0428771972656,1086.6680908203125,321.0756530761719,627.7476806640625,3024.394775390625,1259.796142578125,2811.5771484375,556.3445434570312,708.9479370117188,2013.6234130859375,385.6133728027344
32,40,Gmin7,G,78.0,177.7030029296875,315.94921875,1062.1695556640625,299.1532897949219,633.0330200195312,2949.704833984375,1068.234130859375,1653.9130859375,400.8505554199219,759.0595092773438,1936.4208984375,365.4883117675781
33,41,G7,G,80.0,490.7160339355469,339.8945617675781,1093.483642578125,721.201904296875,833.115234375,3865.260009765625,1412.8721923828125,2109.064697265625,3267.802490234375,706.3964233398438,429.1635437011719,1931.00439453125
34,42,G7,G,82.0,728.855224609375,389.0645751953125,1105.4871826171875,617.817626953125,777.3402709960938,3614.783447265625,1357.5093994140625,1750.7667236328125,367.1705322265625,281.2837829589844,433.2621765136719,1969.0411376953125
35,43,Cmin7,C,84.0,1804.3826904296875,424.7270202636719,818.6774291992188,3178.630126953125,941.04833984375,277.0710754394531,284.4468078613281,1441.6890869140625,300.07427978515625,365.3593444824219,1952.8270263671875,802.1472778320312
36,44,Cmin7,C,86.0,1894.1483154296875,459.0328063964844,799.5271606445312,3114.009765625,920.6932983398438,243.1648712158203,289.7278137207031,1505.6318359375,303.35430908203125,362.6195983886719,1941.4371337890625,748.552001953125
37,45,A7,A,88.0,457.6701965332031,1826.2037353515625,454.9883728027344,689.3275756835938,2833.278076171875,899.588623046875,368.2565002441406,1683.5523681640625,934.1358032226562,2326.604248046875,5072.443359375,975.7171020507812
38,46,A7,A,90.0,434.9215087890625,1837.4674072265625,729.809814453125,718.7157592773438,2783.627197265625,776.6654663085938,363.1473388671875,1678.8221435546875,915.6539916992188,1750.9544677734375,352.6773986816406,267.2659912109375
39,47,Dmin7,D,92.0,2029.1192626953125,806.3593139648438,1895.9560546875,487.953369140625,877.8659057617188,3609.140869140625,826.8184204101562,207.9261932373047,247.94586181640625,1231.269775390625,248.0420684814453,341.7889709472656
40,48,D7,D,94.0,1958.8858642578125,798.9528198242188,1877.6917724609375,402.7452392578125,241.5369415283203,788.8694458007812,3805.1455078125,677.416015625,240.1195831298828,1227.2960205078125,277.0720520019531,331.2388916015625
41,49,Gmin7,G,96.0,38.94646072387695,62.16078567504883,301.2356872558594,98.7589111328125,85.44237518310547,318.6358642578125,594.6378784179688,3313.2763671875,547.3657836914062,95.29534912109375,173.7740936279297,63.06772994995117
42,50,Gmin7,G,98.0,176.26258850097656,311.0019226074219,1012.4299926757812,293.4552917480469,617.6009521484375,2893.670654296875,1042.1448974609375,1655.5496826171875,399.6912841796875,751.744873046875,1983.0501708984375,377.1070556640625
43,51,D7,D,100.0,2057.252197265625,911.0741577148438,1981.3453369140625,404.1367492675781,247.69105529785156,778.578857421875,3682.934326171875,857.273681640625,337.0663757324219,1278.2052001953125,346.93994140625,358.1085205078125
44,52,D7,D,102.0,2048.378173828125,817.3115234375,1929.140625,413.177734375,242.61351013183594,745.475341796875,3839.3447265625,692.3380737304688,239.16090393066406,1230.0113525390625,277.07293701171875,343.2935485839844
45,53,Dmin7(b5),D,104.0,2010.46142578125,748.4281616210938,1863.8905029296875,420.781982421875,785.1146850585938,3592.791015625,880.4146118164062,201.43170166015625,242.10198974609375,1229.7391357421875,239.96095275878906,334.7148132324219
46,54,G7,G,106.0,507.4991760253906,473.1346435546875,1900.3817138671875,730.1995239257812,781.2781372070312,3684.2255859375,1484.9453125,1649.7789306640625,360.4814758300781,516.2025756835938,492.6512145996094,2002.1190185546875
47,55,Cmin7,C,108.0,1781.19384765625,449.8633728027344,816.773681640625,3022.095458984375,922.0039672851562,323.7716979980469,314.5819396972656,1501.6483154296875,304.1746520996094,381.2934875488281,1954.9061279296875,795.2120971679688
48,56,Cmin,C,110.0,1866.8863525390625,443.2544250488281,665.283447265625,3059.759765625,835.3618774414062,189.9031982421875,271.6255187988281,1480.4007568359375,232.31268310546875,93.70755767822266,156.96591186523438,483.1514587402344
49,57,Amin7,A,112.0,1797.02685546875,389.496337890625,212.4174346923828,746.1931762695312,3063.1572265625,558.3330078125,294.04327392578125,1564.9193115234375,737.4934692382812,1662.3106689453125,388.5820007324219,573.9600830078125
50,58,D7,D,114.0,2373.101806640625,873.7656860351562,1917.5316162109375,607.9299926757812,415.0838623046875,1208.0028076171875,3893.917236328125,721.988525390625,261.1072082519531,1300.00537109375,305.83966064453125,401.0687255859375
51,59,Gmin7,G,116.0,644.0413818359375,381.9019775390625,1024.7137451171875,330.9019775390625,717.7880859375,3043.561279296875,1125.7822265625,1816.50830078125,433.853271484375,695.30078125,1929.56201171875,439.8042297363281
52,60,Gmin7,G,118.0,179.24681091308594,316.5052490234375,1055.0804443359375,296.5749816894531,630.3126831054688,2998.271484375,1080.984375,1635.6436767578125,425.65966796875,1208.7528076171875,3855.60546875,613.3370971679688
53,61,A7,A,120.0,473.8177185058594,1843.19189453125,546.1221923828125,877.1475219726562,2885.937255859375,894.10400390625,389.0074768066406,2308.745849609375,4229.19482421875,2186.73388671875,351.6771545410156,265.2962951660156
54,62,A7,A,122.0,418.97216796875,1843.1524658203125,476.3797912597656,637.2312622070312,2777.8310546875,825.7282104492188,673.6347045898438,1734.4263916015625,985.1211547851562,1703.4473876953125,384.4673156738281,261.5170593261719
55,63,D7,D,124.0,2044.2928466796875,875.9347534179688,1965.2554931640625,457.8868713378906,326.5611877441406,721.48388671875,3966.043701171875,1935.75048828125,417.1123962402344,1253.868408203125,322.377685546875,352.2200927734375
56,64,D7,D,126.0,5497.71337890625,2031.6083984375,4826.74462890625,968.3078002929688,556.9644775390625,1739.6820068359375,9735.4169921875,1702.7989501953125,582.1382446289062,3114.6669921875,679.0851440429688,888.5794067382812
