,Measure,Whilemyladysleeps,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
10,16,G7,G,31.0,149.66224670410156,66.18446350097656,41.661983489990234,64.10930633544922,307.7320861816406,171.6405792236328,48.503116607666016,147.0198516845703,63.90861892700195,26.622201919555664,71.76325988769531,65.1902084350586
11,17,C7,C,32.0,122.81417846679688,148.7565460205078,93.42853546142578,161.4811248779297,206.3669891357422,430.5044860839844,125.10296630859375,339.1084289550781,133.00567626953125,60.33137130737305,125.95584106445312,71.4065933227539
12,17,Dbmaj7,Db,33.0,166.8367919921875,57.09755325317383,19.897916793823242,50.09663391113281,309.2291564941406,136.09683227539062,156.9987030029297,219.19886779785156,68.03799438476562,29.547731399536133,86.88534545898438,64.8620834350586
13,18,C7,C,34.0,526.1161499023438,508.69970703125,166.09596252441406,66.99209594726562,200.30938720703125,458.1455078125,121.24951934814453,193.36766052246094,568.7247924804688,134.01991271972656,252.06138610839844,174.00416564941406
14,18,Dbmaj7,Db,35.0,343.0362548828125,122.1811752319336,312.5995788574219,122.32352447509766,341.5517272949219,189.9978790283203,103.9148941040039,375.8096008300781,139.9996337890625,50.586910247802734,76.72576141357422,127.65229034423828
15,19,C7,C,36.0,1035.2408447265625,396.4769287109375,846.1157836914062,235.44508361816406,537.2835693359375,1685.40283203125,422.3229675292969,333.53070068359375,178.7149658203125,596.14013671875,152.7777557373047,185.5659637451172
16,20,Dmin7,D,38.0,638.2654418945312,201.6809539794922,705.447265625,172.2119140625,193.3160400390625,465.4994201660156,175.12400817871094,237.8844757080078,53.73695373535156,64.13103485107422,113.28878784179688,351.0513916015625
17,20,G7,G,39.0,70.07677459716797,21.344266891479492,30.865995407104492,51.3521614074707,293.34625244140625,134.50648498535156,43.13670349121094,134.3058624267578,30.587121963500977,20.195789337158203,63.45633316040039,54.51665115356445
18,21,C7,C,40.0,121.33985137939453,58.69954299926758,184.4601287841797,95.39708709716797,383.02001953125,374.2756042480469,68.5808334350586,71.99627685546875,20.751924514770508,38.90420150756836,95.49324798583984,159.4294891357422
19,23,Dmin7,D,44.0,300.0131530761719,217.0720977783203,656.5553588867188,369.714599609375,505.7144470214844,1754.4854736328125,957.3731079101562,2587.100830078125,886.0625,2500.838134765625,1266.58984375,980.398681640625
20,24,G7(#9),G,46.0,986.1327514648438,256.7160949707031,203.0875244140625,417.6329650878906,1749.1175537109375,491.7528991699219,402.625244140625,691.94189453125,437.3440856933594,1932.0672607421875,525.09326171875,1461.6903076171875
21,25,Cmaj7,C,48.0,925.5042114257812,205.0662078857422,137.2801513671875,367.8470764160156,1781.94091796875,363.2115783691406,218.77842712402344,1074.4715576171875,218.30859375,80.18585968017578,184.3343963623047,1057.296142578125
22,26,Cmaj7,C,50.0,1390.0277099609375,341.7813720703125,235.43064880371094,412.8934020996094,1561.0770263671875,364.3594055175781,717.5719604492188,2133.389892578125,906.486083984375,2489.135498046875,563.1765747070312,759.2230834960938
23,27,Amin7,A,52.0,1831.1446533203125,540.6283569335938,891.586181640625,301.9002990722656,326.58624267578125,416.1119384765625,1965.060546875,559.84423828125,206.8804473876953,792.7651977539062,248.35658264160156,759.8096313476562
24,28,D7,D,54.0,64.35636138916016,108.13947296142578,252.9319305419922,286.3703308105469,61.06325149536133,20.324234008789062,53.97563171386719,113.8484115600586,26.73406219482422,95.6737060546875,71.60706329345703,28.0054874420166
25,28,Eb7(b5),Eb,55.0,18.854907989501953,20.16661834716797,54.69050216674805,75.55290985107422,76.88033294677734,20.572050094604492,27.313621520996094,39.644901275634766,10.79093074798584,11.317330360412598,21.44581413269043,75.09906768798828
26,29,Emin7,E,56.0,230.1634979248047,563.2901000976562,238.01759338378906,259.3625183105469,808.575927734375,328.0458068847656,237.61854553222656,640.6937866210938,333.041748046875,550.54296875,159.97189331054688,242.69117736816406
27,29,A7,A,57.0,177.2774658203125,236.607177734375,767.3395385742188,184.3474578857422,231.3016815185547,392.8964538574219,121.54230499267578,101.45480346679688,85.61251831054688,267.5682373046875,73.14541625976562,102.2571792602539
28,30,Dmin7,D,58.0,208.4813232421875,77.2282485961914,207.08868408203125,111.05512237548828,168.65086364746094,308.2313232421875,228.21421813964844,1254.0819091796875,220.05845642089844,60.99220657348633,147.97689819335938,547.3936767578125
29,30,G7,G,59.0,154.23216247558594,29.251205444335938,16.07663917541504,54.8143196105957,299.1204528808594,100.64173126220703,30.50428009033203,131.3870086669922,32.77877426147461,16.580228805541992,73.69070434570312,85.492431640625
30,31,C7,C,60.0,410.8883056640625,248.92628479003906,96.52758026123047,144.7891387939453,198.34617614746094,429.22802734375,152.08123779296875,342.4089050292969,169.88809204101562,71.93405151367188,143.7830352783203,151.22817993164062
31,31,Dbmaj7,Db,61.0,129.03736877441406,44.62074661254883,15.183319091796875,47.91996765136719,242.41094970703125,112.29796600341797,80.04141998291016,441.9164733886719,93.6526870727539,15.984236717224121,24.530982971191406,79.41951751708984
32,32,Cmaj7,C,62.0,598.4940185546875,1015.4049682617188,235.47544860839844,69.06888580322266,195.78099060058594,437.5759582519531,116.51260375976562,195.177490234375,580.283935546875,130.0919952392578,228.8660430908203,197.8148193359375
33,32,Dbmaj7,Db,63.0,289.1496887207031,108.26082611083984,26.97121238708496,53.7978401184082,243.71742248535156,112.71529388427734,111.61029052734375,678.5156860351562,139.04800415039062,22.190359115600586,59.8006591796875,121.52862548828125
34,33,Cmaj7,C,64.0,86.8294448852539,328.2630615234375,181.29539489746094,538.5860595703125,190.2908477783203,85.1797103881836,58.757415771484375,306.74237060546875,82.03890228271484,102.34832763671875,370.59912109375,107.68209838867188
35,33,Eb7(b5),Eb,65.0,32.042781829833984,150.51812744140625,52.81350326538086,151.61854553222656,244.5498809814453,59.19643020629883,17.408727645874023,90.5397720336914,27.166397094726562,27.578432083129883,18.787424087524414,11.4198637008667
36,34,A7,A,66.0,885.0889282226562,601.7984619140625,2041.06689453125,550.6519775390625,805.3740844726562,1756.3271484375,459.4924011230469,162.02647399902344,220.9121551513672,599.4548950195312,164.37269592285156,212.51429748535156
37,35,Dmin7,D,68.0,179.33709716796875,43.61512756347656,21.262170791625977,72.14827728271484,337.072509765625,137.3802947998047,38.82176971435547,134.08596801757812,47.9925537109375,43.21762466430664,29.353620529174805,108.42774200439453
38,35,Cmaj7,C,69.0,297.5050964355469,95.4664306640625,42.52727127075195,97.49475860595703,332.5655822753906,217.0126495361328,98.8744125366211,91.81405639648438,44.861881256103516,50.33382797241211,70.57360076904297,217.58924865722656
39,36,Fmaj7,F,70.0,163.60870361328125,130.34031677246094,151.29330444335938,490.8753967285156,250.3810272216797,192.54701232910156,490.6475830078125,148.6016845703125,65.28743743896484,220.2481231689453,131.19940185546875,272.8368225097656
40,36,F#7(b5),F#,70.66666666666667,135.85386657714844,56.65339660644531,69.09748077392578,190.4405517578125,316.2903137207031,102.2869644165039,162.12010192871094,125.11219024658203,51.062007904052734,41.884178161621094,57.85699462890625,274.2074890136719
41,36,B7,B,71.33333333333333,25.972854614257812,8.79679012298584,18.86958885192871,54.63218307495117,73.28515625,23.762189865112305,38.225181579589844,22.48137092590332,5.547379016876221,7.6967453956604,13.992138862609863,56.50814437866211
42,37,Cmaj7,C,72.0,212.6942901611328,304.7323913574219,1679.919921875,680.862548828125,1655.2252197265625,347.8618469238281,247.943603515625,692.3767700195312,188.09349060058594,234.91123962402344,192.52691650390625,804.04541015625
43,38,Emin7(b5),E,74.0,91.2659683227539,209.92198181152344,63.68063735961914,89.4637451171875,378.8736572265625,106.82341766357422,111.05513763427734,602.1238403320312,171.1584930419922,196.91021728515625,43.677494049072266,40.03529739379883
44,38,A7,A,75.0,142.1405792236328,48.19321823120117,11.779498100280762,48.8036003112793,258.96514892578125,124.78690338134766,26.56127166748047,25.204002380371094,55.07577133178711,266.0668029785156,40.59816360473633,35.32619857788086
45,39,Fmaj7,F,76.0,296.8013916015625,605.754150390625,3769.378662109375,945.5444946289062,1700.0758056640625,421.9072570800781,234.7283477783203,683.9153442382812,229.132568359375,192.84373474121094,194.55584716796875,910.1693725585938
46,40,Emin7,E,78.0,54.33798599243164,76.6993637084961,118.19473266601562,333.88543701171875,248.80577087402344,108.5828857421875,45.40925979614258,106.42252349853516,53.70218276977539,137.072265625,75.42286682128906,39.50314712524414
47,40,Eb7,Eb,79.0,97.59912109375,43.485774993896484,117.5626220703125,69.40931701660156,66.15702056884766,280.982421875,40.4757194519043,8.503296852111816,58.42500686645508,408.2406921386719,63.27737045288086,27.621122360229492
48,41,Dmin7,D,80.0,281.4434814453125,201.837158203125,525.8339233398438,329.59246826171875,402.8309326171875,1725.9300537109375,679.2495727539062,748.953857421875,189.3039093017578,278.7807312011719,243.58885192871094,847.1537475585938
49,42,G7,G,82.0,968.9364624023438,396.002197265625,1339.6468505859375,599.4703979492188,1771.494140625,459.1819152832031,395.6143493652344,2118.6171875,443.2403564453125,209.283935546875,802.0852661132812,626.9981079101562
50,43,C7,C,84.0,24912.962890625,6845.1875,21390.130859375,4283.18408203125,5153.43798828125,3031.653076171875,1788.3692626953125,2389.53076171875,6266.71337890625,1872.6240234375,1251.7252197265625,4509.37060546875
51,48,A7,A,94.0,1422.3966064453125,4196.6240234375,4398.20068359375,867.9292602539062,1340.3848876953125,1798.3896484375,505.661865234375,460.1249084472656,368.2304992675781,737.4982299804688,195.74598693847656,295.6543273925781
52,49,Dmin7,D,96.0,488.2546691894531,111.09152221679688,42.222171783447266,154.36915588378906,732.2680053710938,231.67958068847656,111.62154388427734,317.1949157714844,128.4031219482422,306.1835632324219,140.0961151123047,460.4252624511719
53,49,Cmaj7,C,97.0,354.5380859375,409.3889465332031,161.5692901611328,101.1159439086914,250.4324188232422,537.3526000976562,822.2266235351562,895.5441284179688,188.43128967285156,116.68941497802734,329.1519470214844,254.95777893066406
54,50,F,F,98.0,147.5955352783203,72.2748794555664,62.067230224609375,263.7093811035156,106.35271453857422,80.0794677734375,299.5249938964844,124.0179443359375,100.65518951416016,494.8703918457031,139.86180114746094,218.7390594482422
55,50,F#,F#,98.66666666666669,101.05245208740234,26.233871459960938,27.07221794128418,117.29794311523438,242.9673309326172,72.42074584960938,81.64286804199219,121.12061309814453,48.22918701171875,40.33839797973633,31.640579223632812,130.09165954589844
56,50,B7,B,99.33333333333331,21.12101936340332,6.444824695587158,8.158371925354004,41.57878494262695,74.38668823242188,15.587093353271484,15.745098114013672,19.127904891967773,3.9290263652801514,4.653566360473633,4.870468616485596,19.44795036315918
57,51,Cmaj7,C,100.0,229.22247314453125,190.47816467285156,1017.5977172851562,555.5177001953125,1643.5478515625,360.3133239746094,224.5880126953125,685.298583984375,173.85797119140625,102.3299789428711,202.72662353515625,1047.8800048828125
58,52,Emin7,E,102.0,135.6538848876953,247.3399200439453,130.00967407226562,158.9854278564453,677.05859375,167.05226135253906,226.18666076660156,1234.529541015625,293.4038391113281,244.08941650390625,67.51669311523438,94.02574920654297
59,52,A7,A,103.0,145.7532958984375,51.06065368652344,11.50875186920166,51.292964935302734,249.2223358154297,127.9430923461914,28.50929832458496,29.07355499267578,56.44865417480469,271.54583740234375,44.13568115234375,42.08189392089844
60,53,Fmaj7,F,104.0,362.648193359375,95.3773193359375,107.3387222290039,547.7987670898438,316.06256103515625,232.4706573486328,76.64502716064453,72.66525268554688,72.55493927001953,228.4425048828125,66.75615692138672,84.15798950195312
61,53,F7,F,105.0,153.52381896972656,117.4815902709961,480.7740783691406,313.818359375,689.794921875,261.9416809082031,122.94499969482422,476.7054748535156,284.4924011230469,1160.78076171875,261.0130310058594,466.2578430175781
62,54,Emin7,E,106.0,384.9270935058594,1898.6849365234375,693.6803588867188,960.324951171875,510.9881591796875,224.43601989746094,166.4609832763672,478.4725341796875,173.8199920654297,246.96533203125,627.8391723632812,206.10203552246094
63,54,Eb7,Eb,107.0,70.9105224609375,59.69283676147461,170.6168212890625,196.98997497558594,90.06228637695312,287.97186279296875,49.25180435180664,33.875553131103516,62.84971237182617,412.7088928222656,89.681640625,24.468894958496094
64,55,Dmin7,D,108.0,240.29212951660156,114.69852447509766,159.32327270507812,153.70745849609375,171.33355712890625,502.6228942871094,172.2606201171875,165.25372314453125,65.07683563232422,163.55117797851562,86.2120590209961,205.8560791015625
65,56,G7,G,110.0,968.79541015625,566.5966796875,2439.948486328125,720.39208984375,1805.7078857421875,876.2767944335938,474.2313537597656,2127.297119140625,457.6958312988281,234.8990478515625,799.0670776367188,550.12109375
66,57,C7,C,112.0,193.0848846435547,88.49597930908203,307.9081115722656,240.81703186035156,700.49462890625,479.6608581542969,101.78166961669922,170.5303955078125,39.36032485961914,64.95502471923828,180.1521453857422,190.58575439453125
67,60,Cdim,C,118.0,70.19190216064453,13.752989768981934,52.60011672973633,320.8100891113281,59.83854293823242,30.222084045410156,141.4839630126953,23.10479736328125,2.1688742637634277,2.8314764499664307,8.252742767333984,23.27178382873535
