,Measure,FlyMeToTheMoon,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
13,12,Emin7,E,22.0,141.9170684814453,147.17984008789062,772.2682495117188,343.5184020996094,981.7195434570312,199.98329162597656,115.1171875,468.2267150878906,109.82172393798828,64.91341400146484,106.44385528564453,595.0786743164062
14,12,A7,A,23.0,175.1113739013672,553.5684204101562,150.09222412109375,197.3618927001953,782.3291015625,246.248291015625,125.98892974853516,590.9493408203125,322.4701232910156,513.4625854492188,125.40880584716797,129.7445526123047
15,13,Dmin7,D,24.0,7304.14599609375,1795.6363525390625,1898.3736572265625,513.8934936523438,1416.6240234375,3655.748291015625,919.2785034179688,504.3016357421875,355.0508117675781,1346.3272705078125,528.326416015625,1868.5345458984375
16,14,G7,G,26.0,496.784912109375,360.6335754394531,1054.3677978515625,582.4273071289062,791.3965454101562,3615.316650390625,1336.44287109375,1641.8641357421875,409.3736877441406,727.4511108398438,467.6029357910156,1807.8604736328125
17,15,Cmaj7,C,28.0,2143.008544921875,410.3375549316406,250.80604553222656,760.094970703125,3790.557373046875,1266.2174072265625,427.8969421386719,1628.73046875,411.0955505371094,249.79872131347656,360.8147277832031,2307.857421875
18,16,Bminor-seventh(b5),B,30.0,137.40589904785156,199.69659423828125,614.1644897460938,264.779052734375,121.45244598388672,241.0310516357422,1153.86083984375,224.7119903564453,95.35997772216797,433.2590026855469,207.012451171875,558.6157836914062
19,16,E7,E,31.0,193.7765655517578,137.48681640625,778.233154296875,379.0010681152344,960.5654907226562,205.89781188964844,169.34461975097656,102.57552337646484,440.337158203125,122.16110229492188,166.51002502441406,925.3809204101562
20,17,Amin7,A,32.0,2916.768310546875,562.3413696289062,294.0617370605469,694.9042358398438,3124.226318359375,598.2369995117188,378.6301574707031,1847.92529296875,863.5982055664062,1742.96142578125,429.7176513671875,982.668701171875
21,18,Dmin7,D,34.0,2364.609130859375,841.17138671875,2124.907470703125,530.4595947265625,1040.560546875,4765.50830078125,1245.252197265625,1812.744140625,515.8709716796875,1289.6109619140625,262.36627197265625,419.0345458984375
22,19,G7,G,36.0,678.7235107421875,377.29345703125,1094.3973388671875,676.48828125,794.1106567382812,3679.117919921875,1591.2750244140625,1719.0780029296875,354.4117431640625,289.3226013183594,552.548583984375,2800.094482421875
23,20,Cmaj7,C,38.0,618.8558959960938,137.52378845214844,94.6095199584961,292.9501037597656,1350.2657470703125,282.2159118652344,114.10336303710938,432.3490905761719,100.2598876953125,52.384124755859375,109.76737213134766,671.8385009765625
24,20,C7,C,39.0,525.0137329101562,128.67469787597656,120.38640594482422,256.9346618652344,1052.0457763671875,223.03587341308594,111.2557144165039,503.4725036621094,127.89007568359375,110.5899887084961,512.718994140625,262.9367980957031
25,21,Fmaj7,F,40.0,2066.741455078125,447.3164978027344,182.8984832763672,676.03759765625,3446.7421875,1699.8592529296875,330.6390686035156,512.7465209960938,1062.046875,4979.0341796875,950.8291015625,546.7147827148438
26,22,Bminor-seventh(b5),B,42.0,433.7750549316406,964.012451171875,4177.09814453125,1118.2987060546875,564.7258911132812,824.1602172851562,4047.197509765625,708.60595703125,303.6819763183594,1308.6597900390625,622.7897338867188,1873.83056640625
27,23,E7,E,44.0,480.3374938964844,412.8244323730469,2403.254150390625,1214.30078125,3456.860107421875,610.05810546875,245.0845489501953,533.1802368164062,3414.301025390625,858.1964721679688,386.1101989746094,1937.9908447265625
28,24,Amin7,A,46.0,1249.8675537109375,308.5777893066406,330.13287353515625,256.2082214355469,874.487548828125,177.438232421875,108.82384490966797,498.3644714355469,259.633544921875,520.3997802734375,139.4245147705078,318.1200256347656
29,24,A7,A,47.0,310.5182800292969,580.0665283203125,158.14340209960938,202.0732421875,751.4453125,237.60777282714844,132.18812561035156,606.4590454101562,329.5970764160156,499.4169921875,116.73779296875,113.74072265625
30,25,Dmin7,D,48.0,2406.6787109375,1516.5426025390625,4787.28955078125,896.51171875,1528.0491943359375,3788.034912109375,863.7699584960938,334.3713073730469,575.61767578125,3074.508544921875,553.7837524414062,435.2618713378906
31,26,G7,G,50.0,600.8074340820312,367.7048645019531,1037.9952392578125,584.35595703125,793.4248657226562,3664.40625,1357.641845703125,1675.2786865234375,373.51220703125,444.0906677246094,445.6236267089844,1933.4417724609375
32,27,Emin7,E,52.0,400.6936950683594,489.5068359375,2934.228515625,1091.1221923828125,3436.263671875,752.083740234375,625.2315673828125,3535.023193359375,711.1530151367188,208.95831298828125,349.0827941894531,2085.828125
33,28,A7,A,54.0,423.3939208984375,1814.5755615234375,511.4505920410156,641.0551147460938,2760.411376953125,784.13671875,341.6808776855469,1692.1234130859375,916.9420776367188,1637.7845458984375,325.4045715332031,281.18585205078125
34,29,Dmin7,D,56.0,1993.3692626953125,836.9439086914062,1920.1439208984375,525.6868896484375,1043.2613525390625,3650.298583984375,846.00244140625,221.9191131591797,727.8383178710938,4042.456298828125,701.2247924804688,378.8905944824219
35,30,G7,G,58.0,617.6530151367188,377.5963134765625,1058.2486572265625,603.2144165039062,761.373779296875,3666.9853515625,1368.5709228515625,1663.9722900390625,345.8203430175781,295.6766662597656,429.869140625,1925.07958984375
36,31,Cmaj7,C,60.0,5521.75244140625,995.710693359375,767.9192504882812,904.8948364257812,3719.9453125,772.1754760742188,355.9422607421875,1407.36962890625,355.6083679199219,173.1895751953125,386.3116760253906,2751.033935546875
37,32,Bminor-seventh(b5),B,62.0,145.089111328125,199.46311950683594,605.6759643554688,262.45697021484375,122.04181671142578,240.94464111328125,1154.7672119140625,225.24267578125,96.3669662475586,436.1233215332031,206.1133575439453,559.4341430664062
38,32,E7,E,63.0,22.968896865844727,13.573478698730469,54.024898529052734,12.993653297424316,12.555527687072754,26.296754837036133,120.69145965576172,18.45756721496582,4.78810453414917,24.494354248046875,20.11098289489746,92.54446411132812
39,33,Emin7,E,64.0,467.6166076660156,501.4062194824219,2947.835693359375,1205.7618408203125,3957.226806640625,774.83447265625,413.7706298828125,1606.8551025390625,692.8040161132812,247.8082733154297,391.80615234375,2324.3125
40,34,A,A,66.0,367.1790771484375,1751.08251953125,452.8375244140625,587.4736328125,2677.651123046875,685.2997436523438,107.64950561523438,165.75209045410156,705.7476196289062,1563.9573974609375,283.954833984375,159.54371643066406
41,35,Dmin7,D,68.0,1922.9111328125,918.9755859375,2704.269775390625,623.33349609375,984.0125122070312,3643.314453125,876.2993774414062,228.4364471435547,536.9729614257812,3276.445068359375,575.9390258789062,340.7865295410156
42,36,G7,G,70.0,484.4551086425781,353.8240051269531,1055.8414306640625,600.6388549804688,758.3395385742188,3659.691162109375,1368.04345703125,1648.9920654296875,363.7706604003906,429.4366455078125,438.2684631347656,1910.7027587890625
43,37,Cmaj7,C,72.0,12945.35546875,2199.52587890625,1050.9268798828125,3193.0869140625,17197.341796875,3523.072998046875,1460.146484375,7211.03857421875,1756.13037109375,604.0481567382812,1415.1632080078125,9876.5322265625
