,Measure,SingASongOfSong,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
21,42,Bmaj7/D#,B,82.0,991.3853149414062,564.3765258789062,2091.752685546875,9864.6591796875,1879.3245849609375,2078.664794921875,11048.44921875,1909.49462890625,339.96136474609375,1010.3757934570312,6184.44677734375,6100.03515625
22,44,C#min7,C#,86.0,820.593994140625,1700.244140625,433.3581237792969,875.5504760742188,3392.317138671875,885.2069702148438,477.2512512207031,309.7475280761719,1318.3695068359375,279.3525085449219,462.2752380371094,2736.001953125
23,45,B9,B,88.0,1189.95751953125,2416.3642578125,1045.45458984375,3422.1611328125,699.2179565429688,755.3237915039062,3821.337158203125,908.35205078125,375.7188415527344,1384.97314453125,718.7124633789062,2073.9453125
24,46,E9,E,90.0,473.3036804199219,542.8937377929688,2272.3095703125,1756.1080322265625,1617.4102783203125,937.3322143554688,4114.45166015625,1087.892333984375,1759.1697998046875,555.42578125,580.501953125,2303.1103515625
25,47,B9/F#,B,92.0,903.2090454101562,2954.6171875,681.0800170898438,801.2328491210938,826.5081176757812,956.5849609375,1639.4095458984375,404.6106872558594,741.4085083007812,1741.8709716796875,733.1901245117188,2115.64794921875
26,48,Bmaj7,B,94.0,519.4110107421875,255.5601348876953,772.4872436523438,3378.058349609375,592.3837280273438,722.0311889648438,3824.309814453125,684.04443359375,136.70582580566406,368.1846008300781,2323.652587890625,3076.379150390625
27,49,Gmaj7,G,96.0,409.5041809082031,389.6866455078125,1151.4449462890625,663.0880737304688,232.54051208496094,781.6253051757812,4343.73193359375,2163.403076171875,330.1435546875,247.9307861328125,467.5440368652344,1910.7860107421875
28,50,Bb7/D#,Bb,98.0,246.6405029296875,442.2870788574219,2018.0213623046875,509.62646484375,729.99365234375,3649.422119140625,925.1520385742188,307.1537170410156,1370.974609375,669.078369140625,1729.76123046875,347.2236328125
29,51,G7/F,G,100.0,459.1807861328125,441.6950988769531,2562.720947265625,505.7833251953125,741.4744262695312,3590.940673828125,853.3574829101562,1485.0738525390625,279.4590148925781,221.29164123535156,376.8888854980469,2210.035400390625
30,52,E,E,102.0,984.4464721679688,263.9145202636719,434.6514587402344,2056.088134765625,10112.8193359375,2156.1181640625,1241.228515625,967.9252319335938,4786.21826171875,1149.2431640625,960.247314453125,4860.30029296875
31,54,Cmaj7,C,106.0,6125.376953125,1066.364501953125,452.0440368652344,2046.5836181640625,10934.54296875,1895.740234375,881.8204956054688,4310.30078125,1036.1524658203125,367.3384704589844,948.0292358398438,6359.05029296875
32,56,D7,D,110.0,7922.03759765625,2514.09912109375,5458.0205078125,1173.848388671875,1412.0545654296875,2146.499755859375,11173.0888671875,2256.104248046875,808.5183715820312,3544.823486328125,1029.9456787109375,1339.5455322265625
33,58,E,E,114.0,1000.372802734375,200.36839294433594,297.6268005371094,1948.4071044921875,9937.5263671875,1629.0457763671875,563.5018920898438,633.9375610351562,3606.595703125,670.3043823242188,847.62353515625,5236.390625
34,60,E,E,118.0,997.271240234375,190.32098388671875,258.7390441894531,1933.0941162109375,9869.5087890625,1605.5906982421875,501.0335998535156,624.8533325195312,3599.462646484375,661.2811889648438,847.3378295898438,5226.46142578125
35,62,Cmaj7,C,122.0,6127.16552734375,1065.103271484375,455.2569580078125,2044.0985107421875,10843.396484375,1822.08447265625,876.2588500976562,4307.3466796875,1032.4083251953125,365.0591125488281,943.6976928710938,6359.056640625
36,64,D7,D,126.0,7917.82763671875,2449.5498046875,5408.2109375,1077.847412109375,622.7138061523438,1859.4556884765625,10493.3515625,1872.2501220703125,649.1538696289062,3458.961181640625,842.866455078125,1245.627197265625
37,66,E,E,130.0,683.8112182617188,141.84422302246094,206.9302520751953,1290.996337890625,6366.955078125,1064.912109375,376.7730712890625,433.2912902832031,2439.97216796875,458.4870300292969,573.787353515625,3516.267333984375
