,Measure,SoulVillage,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
14,14,Fmin7,F,26.0,584.0558471679688,157.8782196044922,221.2412109375,852.756591796875,447.0224609375,454.5809020996094,122.40155029296875,241.94244384765625,489.9596862792969,138.50950622558594,84.64079284667969,168.10084533691406
15,14,Cmin7,C,27.0,428.7758483886719,140.0891876220703,365.515869140625,1147.952880859375,345.3807373046875,149.0945587158203,114.9068832397461,441.620361328125,103.05270385742188,123.27828216552734,572.4536743164062,219.45860290527344
16,15,Cmin7,C,28.0,14846.96484375,3434.685546875,7350.73779296875,34849.41015625,9125.6376953125,2845.608642578125,2911.592529296875,14842.7734375,2743.331298828125,2648.115478515625,14497.8271484375,5773.50390625
17,20,Cmin7,C,38.0,8251.8349609375,1848.3187255859375,3610.1630859375,16607.5,4662.6513671875,921.338623046875,1356.835693359375,7575.97119140625,1420.1483154296875,1553.0379638671875,8643.8818359375,3245.130615234375
18,23,Cmin7,C,44.0,31256.90625,7087.66943359375,14475.90234375,56110.5,15528.6982421875,7760.14501953125,11715.7646484375,69559.546875,12295.40234375,20863.5703125,132249.09375,26127.845703125
19,31,Fmin7,F,60.0,2043.36962890625,469.0677490234375,620.6849365234375,2643.656982421875,1251.8802490234375,1347.8807373046875,298.5722351074219,663.3638305664062,1620.2723388671875,369.9754943847656,186.9722900390625,474.1000671386719
20,32,Gmin7,G,62.0,204.09783935546875,316.7414855957031,1105.3292236328125,392.2741394042969,718.2908325195312,3154.640380859375,1033.1923828125,1658.8812255859375,396.8941955566406,699.5557250976562,1935.38134765625,376.3043212890625
21,33,Cmin7,C,64.0,5994.08154296875,1342.7467041015625,2374.0419921875,9909.8984375,3067.538818359375,959.844482421875,901.6530151367188,4978.03271484375,1006.1183471679688,990.0816040039062,5266.666015625,2164.253173828125
22,35,Fmin7,F,68.0,2147.53955078125,493.859130859375,639.2352294921875,2682.71533203125,1268.6275634765625,1427.482421875,309.9464416503906,668.3513793945312,1626.861328125,372.5960693359375,181.9825897216797,490.6014404296875
23,36,Gmin7,G,70.0,203.9759521484375,315.9507751464844,1099.7073974609375,392.2307434082031,721.0573120117188,3152.349609375,1032.4913330078125,1642.5343017578125,394.3282470703125,705.509521484375,1969.8104248046875,380.87109375
24,37,Cmin7,C,72.0,5993.662109375,1342.7042236328125,2374.404052734375,9909.8486328125,3067.58203125,959.9984741210938,901.8233032226562,4978.69482421875,1006.197509765625,991.299072265625,5275.392578125,2165.397705078125
25,39,Fmin7,F,76.0,2147.538330078125,493.8589172363281,639.23193359375,2682.712158203125,1268.6260986328125,1427.4830322265625,309.9471130371094,668.354736328125,1626.8651123046875,372.5968322753906,181.981201171875,490.6015625
26,40,Gmin,G,78.0,129.44691467285156,363.2650146484375,2232.171630859375,471.3685302734375,246.7267303466797,230.55682373046875,280.09503173828125,1480.5906982421875,311.4416809082031,360.0948181152344,1659.6300048828125,362.4648132324219
27,41,Gmin7,G,80.0,108.8686294555664,117.49066925048828,379.3495788574219,123.32088470458984,208.03173828125,850.8827514648438,463.1832275390625,1377.6800537109375,306.0208435058594,228.16749572753906,532.5966796875,148.0787811279297
28,41,Gbdim7,Gb,81.0,525.2426147460938,190.9588165283203,312.3465881347656,987.2321166992188,441.0605163574219,435.4051208496094,554.0490112304688,299.02685546875,196.0726318359375,537.0067138671875,209.1336212158203,149.1675567626953
29,42,Fmin7,F,82.0,611.4469604492188,160.26803588867188,218.1696014404297,848.5250854492188,447.8573303222656,514.5498046875,134.6112060546875,249.98301696777344,500.524169921875,164.76675415039062,71.22242736816406,169.14976501464844
30,42,Cmin7,C,83.0,85.37774658203125,32.990169525146484,65.42650604248047,308.1423645019531,75.04438781738281,93.87220001220703,42.29353713989258,51.81329345703125,17.97208595275879,10.8507719039917,30.728166580200195,27.724973678588867
31,43,Gmin7,G,84.0,190.5694580078125,138.5066680908203,501.2859191894531,455.6087341308594,361.5791320800781,922.4901733398438,516.7946166992188,1646.1416015625,336.6671447753906,252.4529266357422,700.5068359375,189.8876495361328
32,43,Gbdim7,Gb,85.0,545.8822021484375,193.04486083984375,314.53466796875,1028.5220947265625,451.5685119628906,426.9700927734375,549.9945678710938,320.7422180175781,196.2407684326172,537.9711303710938,206.84336853027344,154.05426025390625
33,44,Fmin7,F,86.0,612.3190307617188,159.44549560546875,218.5848846435547,850.6376342773438,447.320068359375,514.7067260742188,134.266357421875,248.3479766845703,500.5623779296875,166.77915954589844,84.9012680053711,174.1754608154297
34,44,Cmin7,C,87.0,4290.4140625,1160.8226318359375,2658.785400390625,10870.306640625,3116.435546875,1523.82373046875,1122.9052734375,4611.888671875,907.4088745117188,1036.3048095703125,5421.5869140625,1906.9822998046875
