,Measure,Selma,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
13,12,D7(#9),D,22.0,127.8626708984375,100.349365234375,356.8999938964844,138.04502868652344,171.91961669921875,603.7050170898438,620.1704711914062,2478.1005859375,401.248046875,64.22247314453125,61.82582473754883,224.6092071533203
14,13,G7,G,24.0,219.1186981201172,135.8394012451172,356.6992492675781,240.4718475341797,257.1359558105469,991.5933227539062,541.4751586914062,526.2437133789062,137.2543182373047,102.66779327392578,190.3512725830078,861.4942016601562
15,13,G7,G,25.0,192.5916290283203,46.09236526489258,59.77433776855469,79.46928405761719,440.3509826660156,269.2630920410156,72.46111297607422,206.3803253173828,53.68662643432617,61.64057540893555,348.9733581542969,179.56239318847656
16,14,C7,C,26.0,558.048828125,143.45733642578125,342.0539855957031,126.1511001586914,307.32830810546875,169.30918884277344,115.30380249023438,239.36561584472656,68.53910064697266,192.6631622314453,403.1911315917969,244.43731689453125
17,15,C7,C,28.0,1842.8197021484375,461.1298828125,455.9768981933594,969.7030639648438,4072.322509765625,1519.6102294921875,732.21484375,1785.8206787109375,495.8673095703125,515.9674682617188,2150.7255859375,1306.2183837890625
18,16,G7,G,30.0,653.6071166992188,192.10389709472656,445.9034118652344,184.15928649902344,271.7900695800781,594.05908203125,280.8562316894531,360.6378479003906,101.07115936279297,228.05059814453125,456.745849609375,482.4586181640625
19,17,G7,G,32.0,167.13258361816406,64.61016845703125,140.47410583496094,116.0655288696289,403.9683837890625,306.808837890625,81.95718383789062,145.5935516357422,43.0113525390625,40.64963150024414,185.45648193359375,206.03404235839844
20,18,C7,C,34.0,251.9517059326172,102.7533950805664,184.4697723388672,113.76911163330078,426.5223083496094,740.2681274414062,273.4804992675781,112.6767578125,80.69005584716797,250.2596893310547,105.97222900390625,91.2958984375
21,19,D7(#9),D,36.0,334.8436584472656,93.05828857421875,84.60848999023438,114.15924835205078,469.9509582519531,409.5365905761719,224.86231994628906,207.61915588378906,75.19389343261719,346.4555969238281,2096.947509765625,414.6476745605469
22,20,C7,C,38.0,102.6588134765625,65.19605255126953,216.50933837890625,132.7563018798828,304.3598937988281,421.7281188964844,409.6270751953125,1996.62548828125,344.1683044433594,42.54067611694336,72.40946197509766,198.44732666015625
23,21,G7,G,40.0,76.76109313964844,100.02350616455078,500.9476013183594,165.70018005371094,164.61293029785156,576.0374145507812,524.7444458007812,2561.478271484375,404.73681640625,48.6058235168457,86.12528228759766,288.1455993652344
24,22,G7,G,42.0,97.15921783447266,68.0110855102539,175.5544891357422,116.96466827392578,298.9814147949219,499.0322265625,231.78924560546875,301.3023986816406,73.8811264038086,46.6321907043457,125.11138916015625,275.7840270996094
25,22,C7,C,42.66666666666666,65.68329620361328,47.7439079284668,158.22767639160156,97.886962890625,148.0668487548828,417.0816345214844,190.08912658691406,465.462158203125,82.68379211425781,40.42745590209961,65.73233032226562,261.1148986816406
26,22,G7,G,43.33333333333334,15.064278602600098,51.02195739746094,246.59007263183594,46.386962890625,33.7160530090332,118.87859344482422,24.02521514892578,21.098669052124023,10.068865776062012,9.239831924438477,15.568831443786621,58.30242919921875
27,23,G7,G,44.0,84.33272552490234,100.2523193359375,499.8563537597656,169.3727264404297,162.76451110839844,575.6343994140625,533.1438598632812,2600.774169921875,412.3788146972656,51.853546142578125,94.97714233398438,290.8689270019531
28,24,G7,G,46.0,97.30328369140625,68.25747680664062,175.86212158203125,116.9368667602539,297.64349365234375,499.50732421875,235.75367736816406,301.7422790527344,73.92233276367188,46.7801628112793,125.28382110595703,275.7342224121094
29,24,C7,C,46.66666666666666,65.7372817993164,47.578369140625,158.36289978027344,97.73050689697266,147.9717559814453,416.8565979003906,190.32310485839844,467.5728759765625,82.75470733642578,40.85407638549805,65.9096908569336,261.4673156738281
30,24,G7,G,47.33333333333334,15.046608924865723,50.943546295166016,246.2360076904297,46.24314498901367,33.55527114868164,118.6026382446289,24.174346923828125,21.034082412719727,9.958320617675781,9.202593803405762,15.58864974975586,58.326595306396484
31,25,G7,G,48.0,84.3100357055664,100.23328399658203,500.1282958984375,169.35728454589844,162.31661987304688,575.64111328125,532.6890258789062,2600.46484375,412.2742919921875,51.72848892211914,94.89312744140625,290.8134765625
32,26,G7,G,50.0,97.31329345703125,68.36206817626953,175.81956481933594,116.94295501708984,297.9809875488281,499.2952575683594,236.90191650390625,301.7783508300781,73.72659301757812,46.86325454711914,125.2773208618164,275.6841735839844
33,26,C7,C,50.66666666666666,65.7533950805664,47.6257209777832,158.43226623535156,97.77758026123047,148.0083770751953,416.8068542480469,189.8361358642578,467.33642578125,82.72966766357422,41.01324462890625,65.9716567993164,261.45916748046875
34,26,G7,G,51.33333333333334,15.030056953430176,51.00372314453125,246.428466796875,46.2425537109375,33.544090270996094,118.5155029296875,24.05406379699707,20.990631103515625,9.926085472106934,9.211037635803223,15.57986831665039,58.31295394897461
35,27,G7,G,52.0,84.3328628540039,100.24994659423828,500.5887451171875,169.45230102539062,162.41380310058594,575.8052978515625,532.3422241210938,2600.16845703125,412.3128662109375,51.852691650390625,94.88335418701172,290.7852783203125
36,28,G7,G,54.0,100.5572738647461,70.45508575439453,204.85719299316406,129.38540649414062,305.3543701171875,496.9981994628906,284.0885314941406,727.935546875,153.79495239257812,48.367740631103516,125.77417755126953,278.34918212890625
37,28,C7,C,54.66666666666666,24.467988967895508,13.238468170166016,35.51416778564453,26.1556453704834,61.13773727416992,138.7270965576172,44.49278259277344,41.40743637084961,9.859472274780273,10.726547241210938,24.608474731445312,61.59413146972656
38,28,G7,G,55.33333333333334,35.02717971801758,18.242860794067383,88.59148406982422,34.52009963989258,103.02901458740234,266.55047607421875,63.64472579956055,27.035730361938477,6.132421016693115,6.246724605560303,31.04988670349121,101.19641876220703
