,Measure,HeHadAHat,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
17,4,Bmin11,B,6.0,90.16300201416016,105.97222900390625,98.35323333740234,171.363525390625,181.82122802734375,229.087158203125,186.88706970214844,48.7512092590332,75.32474517822266,118.74935913085938,223.048583984375,187.7528533935547
18,4,Ebmin11,Eb,6.4,41.90013122558594,57.75557327270508,33.85477828979492,63.608612060546875,170.81553649902344,125.02325439453125,71.9591064453125,24.620223999023438,35.47396469116211,73.03336334228516,228.5760040283203,94.03089141845703
19,4,Abmin11,Ab,6.8,31.070127487182617,72.86380767822266,32.514041900634766,87.60928344726562,97.0521011352539,176.17942810058594,110.5207748413086,30.904312133789062,38.220218658447266,67.45232391357422,257.5613708496094,71.00420379638672
20,4,Dmin11,D,7.2,74.60794830322266,120.73384857177734,69.21354675292969,127.08889770507812,92.4443130493164,114.40491485595703,206.0165557861328,61.85355758666992,67.04785919189453,51.0212287902832,193.5297393798828,132.49725341796875
21,4,Gbmin11,Gb,7.6,103.7177734375,68.9122543334961,63.721282958984375,111.4189453125,122.05390167236328,155.0600128173828,109.63363647460938,87.3990707397461,52.28398513793945,102.18771362304688,241.8877410888672,87.03003692626953
22,5,F7(#11),F,8.0,2779.013427734375,1541.9342041015625,1230.079345703125,4234.1630859375,4326.00927734375,2636.994384765625,1696.5032958984375,1084.4334716796875,1406.8902587890625,1966.3262939453125,1463.5458984375,3748.910400390625
23,6,Eb7(#11),Eb,10.0,470.3028869628906,1884.5943603515625,1163.5653076171875,1485.5948486328125,636.6240234375,903.7256469726562,720.8345336914062,1825.7220458984375,754.1976928710938,1777.78271484375,2138.489501953125,528.3900756835938
24,7,Bbmin11,Bb,12.0,2246.544921875,959.1903686523438,857.7656860351562,2904.9345703125,1333.74951171875,1760.3797607421875,530.1055908203125,882.2515258789062,1749.0264892578125,481.8056640625,417.1158752441406,616.20703125
25,8,C7(#9),C,14.0,660.5945434570312,462.8232727050781,1303.83056640625,3744.086669921875,2199.0673828125,985.16796875,801.242919921875,2235.950927734375,1857.0755615234375,818.38134765625,2554.584716796875,721.9841918945312
26,9,F7(#11),F,16.0,2458.002685546875,529.7199096679688,739.3075561523438,3374.390380859375,1791.1256103515625,1549.3970947265625,410.2605285644531,415.1847839355469,516.8483276367188,1707.88623046875,689.048828125,2266.656494140625
27,10,Eb7(#11),Eb,18.0,478.9584045410156,1987.82080078125,1182.5247802734375,1450.6976318359375,530.683349609375,974.6626586914062,600.1725463867188,1808.2593994140625,745.7200317382812,1799.5653076171875,2205.761962890625,493.9363098144531
28,11,Dmin11,D,20.0,2207.252685546875,620.5191040039062,760.9749145507812,944.6940307617188,3592.0791015625,2067.742919921875,704.5645141601562,1706.9332275390625,938.125732421875,1942.6324462890625,470.2413330078125,681.3936157226562
29,12,Dbmaj9,Db,22.0,639.1918334960938,276.890625,254.36512756347656,785.2620239257812,420.9183349609375,449.4682312011719,131.74754333496094,274.1429138183594,549.01953125,152.16598510742188,73.28141021728516,180.5525665283203
30,12,Gb13,Gb,23.0,118.8296890258789,34.491207122802734,38.210411071777344,192.7804412841797,57.793636322021484,66.9499740600586,15.198121070861816,16.450654983520508,15.328194618225098,6.688612461090088,8.396868705749512,32.24137878417969
31,13,F7(#11),F,24.0,2671.679443359375,1330.8043212890625,957.7540893554688,4084.4404296875,3224.184326171875,1962.4052734375,716.9391479492188,543.93359375,1006.0591430664062,1786.30859375,1083.9322509765625,2562.233642578125
32,14,Eb7(#11),Eb,26.0,485.4792175292969,1990.32373046875,1187.9305419921875,1473.6282958984375,596.0383911132812,922.4418334960938,653.832763671875,1797.2625732421875,721.845458984375,1795.8692626953125,2135.489990234375,486.652587890625
33,15,Bbmin11,Bb,28.0,2239.545166015625,965.3555297851562,866.2975463867188,2934.971923828125,1346.8245849609375,1762.9227294921875,523.6640014648438,870.6430053710938,1765.5003662109375,484.868408203125,420.3064880371094,604.2708129882812
34,16,C7(#9),C,30.0,655.658447265625,456.0273132324219,1302.682861328125,3746.841064453125,2191.39306640625,975.7637329101562,795.004638671875,2213.03857421875,1856.0413818359375,821.6967163085938,2585.429443359375,706.856689453125
35,17,F7(#11),F,32.0,2461.3935546875,528.1898803710938,737.94091796875,3380.536376953125,1824.3887939453125,1541.0430908203125,404.1043701171875,420.2358093261719,517.5406494140625,1709.6212158203125,699.1218872070312,2306.705810546875
36,18,Eb7(#11),Eb,34.0,481.5888671875,2001.42529296875,1182.9713134765625,1449.33251953125,525.5899047851562,962.6038208007812,599.5328369140625,1814.4298095703125,746.4771118164062,1796.7996826171875,2202.18896484375,499.4443664550781
37,19,Dmin11,D,36.0,2207.164794921875,620.7216186523438,761.2229614257812,945.1998901367188,3590.263671875,2057.760009765625,703.2926635742188,1707.7305908203125,938.370361328125,1942.5848388671875,469.8872985839844,680.5186157226562
38,20,Dbmaj9,Db,38.0,639.1790771484375,276.9266662597656,254.3089599609375,785.158203125,421.3500671386719,451.380859375,131.74867248535156,274.0712890625,549.0469970703125,152.20692443847656,73.33653259277344,180.35789489746094
39,20,Gb13,Gb,39.0,118.83541870117188,34.5044059753418,38.227455139160156,192.9431610107422,57.90168762207031,67.16996765136719,15.201038360595703,16.45667839050293,15.322399139404297,6.692812442779541,8.41539478302002,32.33181381225586
40,21,C7(#11),C,40.0,448.861083984375,392.3070068359375,247.0128936767578,390.8138732910156,874.9345703125,608.2850341796875,1783.7515869140625,924.9501953125,305.5398254394531,217.2123565673828,850.0158081054688,380.6144714355469
41,21,D7(#11),D,41.0,608.5859375,225.95762634277344,264.7803649902344,221.74986267089844,584.8245849609375,345.1445617675781,752.4468383789062,329.19482421875,611.582763671875,630.4260864257812,188.3502960205078,161.6949462890625
42,22,Ab/Bb,Ab,42.0,544.0677490234375,157.28123474121094,223.6553955078125,838.7172241210938,332.88848876953125,181.51080322265625,167.7107696533203,395.2354431152344,1413.4554443359375,288.35772705078125,111.57315826416016,140.9379119873047
43,22,Bb/C,Bb,43.0,272.849853515625,172.6390838623047,681.2291870117188,398.5514831542969,157.32101440429688,228.75669860839844,131.92938232421875,99.54833221435547,88.84814453125,173.81532287597656,709.7996215820312,163.8418426513672
44,23,F#min11,F#,44.0,281.5883483886719,616.0133056640625,184.41993713378906,276.0976257324219,782.7114868164062,459.3981628417969,726.544677734375,210.2631378173828,560.0106201171875,566.7735595703125,269.5614318847656,567.1819458007812
45,23,Abmin11,Ab,45.0,208.99769592285156,588.0911865234375,307.3197326660156,940.4816284179688,382.1854248046875,371.9142761230469,1291.2261962890625,497.6191101074219,1516.8807373046875,389.7294616699219,628.6400146484375,511.3583984375
46,24,Emaj9,E,46.0,164.11793518066406,164.10304260253906,298.0809631347656,1186.9736328125,531.5191040039062,331.3578796386719,1225.2952880859375,425.00634765625,569.53857421875,160.94703674316406,250.72674560546875,635.3683471679688
47,24,C7(#9),C,47.0,215.4318084716797,60.39714050292969,45.57014465332031,223.6204376220703,140.51014709472656,39.9715576171875,143.03538513183594,106.20751953125,28.558191299438477,7.888843536376953,37.20693588256836,148.5761260986328
48,25,F7(#11),F,48.0,2774.92578125,651.0313720703125,1081.1275634765625,3384.141357421875,2574.658447265625,1845.4521484375,591.207763671875,743.9878540039062,850.9263305664062,1814.7398681640625,1106.0513916015625,2296.605712890625
49,26,Eb7(#11),Eb,50.0,501.6578369140625,1968.80859375,1216.463623046875,1737.6241455078125,574.2613525390625,943.390625,618.719482421875,1826.271484375,727.9664916992188,2392.35693359375,6265.037109375,1136.462158203125
50,27,Dmin9,D,52.0,28.63567352294922,19.471759796142578,18.958099365234375,32.22926712036133,23.41827964782715,106.97100067138672,29.571908950805664,30.489774703979492,106.5051040649414,233.4977264404297,1204.9996337890625,209.0391387939453
51,27,Dbmaj9,Db,53.0,631.3762817382812,177.2717742919922,199.2355499267578,281.79052734375,1041.8245849609375,591.2933959960938,156.036865234375,151.8557891845703,269.6792907714844,581.07958984375,151.39356994628906,177.8446044921875
52,28,Gb13,Gb,54.0,2043.3966064453125,1020.8043823242188,698.3566284179688,2248.132080078125,1499.3134765625,1298.734619140625,362.3916015625,646.5023193359375,1522.9541015625,538.67578125,633.1805419921875,523.2645874023438
53,29,F7(#11),F,56.0,2539.613037109375,818.5757446289062,853.1292114257812,3440.697998046875,2035.3524169921875,1587.79541015625,728.892333984375,454.6755065917969,532.0602416992188,1755.0933837890625,737.3125,2358.103759765625
54,30,Eb7(#11),Eb,58.0,518.8074340820312,2003.8968505859375,1247.4708251953125,1743.7301025390625,616.5549926757812,979.7024536132812,619.8781127929688,1844.7891845703125,715.3740234375,2359.737060546875,6074.828125,1114.38671875
55,31,Dmin9,D,60.0,2280.802978515625,595.5054321289062,730.1748657226562,979.5785522460938,3803.0947265625,1994.4154052734375,511.3213195800781,737.904052734375,914.6217651367188,1938.9627685546875,441.2727355957031,618.3298950195312
56,32,Dbmaj9,Db,62.0,717.3490600585938,312.0554504394531,294.76922607421875,831.6804809570312,510.6741943359375,540.200439453125,236.1937255859375,325.1331481933594,761.083984375,422.0091857910156,1294.1412353515625,511.9071350097656
57,32,Gb13,Gb,63.0,1056.1705322265625,1221.5069580078125,426.1993103027344,1782.0596923828125,2185.7822265625,1159.7607421875,744.0449829101562,444.28173828125,1818.4765625,440.106689453125,391.5621032714844,732.4365234375
58,34,Dbmaj9,Db,66.0,712.8069458007812,329.5700378417969,299.0664978027344,844.7739868164062,510.4657897949219,555.8119506835938,244.5365753173828,337.0359802246094,770.12255859375,418.6714782714844,1374.2998046875,494.5735168457031
59,34,Gb13,Gb,67.0,1053.227294921875,1217.2969970703125,420.078857421875,1745.46923828125,2112.157958984375,1147.4364013671875,739.6580200195312,443.3751220703125,1817.7962646484375,460.3760681152344,527.5510864257812,747.5175170898438
60,36,Cmin7,C,70.0,143.08616638183594,67.73592376708984,177.52117919921875,271.1865539550781,96.05316162109375,53.386653900146484,87.81537628173828,416.9914855957031,105.29337310791016,104.6960220336914,500.0076599121094,135.8402862548828
61,36,Dbmaj7,Db,70.5,318.9896240234375,408.5758972167969,105.06576538085938,92.66302490234375,126.04822540283203,399.3315124511719,89.60995483398438,110.4681167602539,200.3548126220703,55.47560119628906,85.65889739990234,66.06158447265625
62,36,Bmin7,B,71.0,236.96348571777344,380.5953063964844,278.7336120605469,171.72080993652344,102.0008773803711,289.5592346191406,346.908203125,181.6659698486328,244.41273498535156,152.0911865234375,68.90959930419922,200.51710510253906
63,36,Cmin7,C,71.5,2880.1787109375,1623.1749267578125,1992.0667724609375,4876.55810546875,1563.8026123046875,1910.6219482421875,2607.25439453125,4454.84814453125,1758.69384765625,1906.3094482421875,7333.71728515625,2666.96240234375
64,38,Abmaj7,Ab,74.0,414.6228332519531,139.04736328125,217.2569580078125,453.9537658691406,152.13327026367188,60.24961471557617,162.87449645996094,925.9680786132812,333.7970275878906,69.3958511352539,46.32974624633789,133.87649536132812
65,38,Eb/G,Eb,74.66666666666667,101.8714828491211,48.8724365234375,98.34967041015625,307.4120178222656,103.41291046142578,67.54983520507812,86.88224029541016,351.1412658691406,265.5013427734375,175.9058380126953,715.636962890625,149.9485321044922
66,38,Gb13,Gb,75.33333333333333,983.928466796875,1786.9232177734375,886.545654296875,2730.76953125,3778.9853515625,1295.296630859375,1606.4454345703125,733.7916870117188,1584.1510009765625,755.5044555664062,2504.501708984375,1953.0030517578125
67,40,Cmin7,C,78.0,142.8838653564453,68.41118621826172,170.2620086669922,269.2301940917969,105.64395904541016,58.73033142089844,86.83061981201172,421.5538024902344,109.40389251708984,104.4659194946289,497.40283203125,136.38626098632812
68,40,Dbmaj7,Db,78.5,393.626953125,230.3002166748047,63.74855422973633,101.22368621826172,64.35289764404297,158.9330596923828,55.67597961425781,103.4590835571289,174.6476593017578,58.0967903137207,95.33294677734375,114.33763885498047
69,40,Bmin7,B,79.0,146.28924560546875,365.5166015625,227.0516357421875,193.33106994628906,76.49342346191406,145.6409912109375,317.1153869628906,135.28994750976562,193.0008544921875,135.91831970214844,84.82048797607422,168.6162872314453
70,40,Cmin7,C,79.5,139.09605407714844,148.9686279296875,157.74990844726562,246.5228729248047,89.37354278564453,116.3095932006836,160.45083618164062,285.604248046875,79.85767364501953,103.029296875,394.222900390625,161.5681915283203
71,41,Gmin11,G,80.0,1022.3743286132812,369.9445495605469,514.6683959960938,451.39501953125,428.1697082519531,1223.8450927734375,641.504638671875,1307.6097412109375,325.3055114746094,537.8197631835938,756.3585815429688,370.7348937988281
72,41,C7(#9),C,81.0,4820.912109375,1494.1839599609375,1850.58203125,3918.163330078125,7275.02685546875,4172.1826171875,1543.1903076171875,4041.8095703125,5402.041015625,2310.591796875,7624.15185546875,2683.5029296875
73,44,Fmin11,F,86.0,62.3853874206543,28.872886657714844,53.4779167175293,83.62916564941406,63.26727294921875,40.398216247558594,24.183015823364258,72.07884979248047,142.47483825683594,52.70841598510742,58.68928527832031,45.65568542480469
74,44,Bbmin11,Bb,86.33333333333331,62.68821716308594,20.249723434448242,36.19643020629883,57.5909423828125,34.391658782958984,20.31544303894043,19.796825408935547,39.354732513427734,55.53947830200195,43.386383056640625,120.0268783569336,46.10149002075195
75,44,Ebmin11,Eb,86.66666666666669,44.69059753417969,25.489103317260742,28.472824096679688,58.04691696166992,30.570363998413086,30.822248458862305,24.880645751953125,46.43727493286133,47.75099182128906,27.784812927246094,101.96466064453125,28.9207763671875
76,44,Abmin11,Ab,87.0,61.7403564453125,60.31486129760742,73.73426055908203,105.58612060546875,92.9659194946289,261.2715759277344,235.8138427734375,83.90784454345703,55.376922607421875,56.29269790649414,220.291015625,141.65489196777344
77,44,Dbmin11,Db,87.33333333333331,53.75688552856445,44.7633171081543,47.75770950317383,92.28060913085938,52.47214889526367,113.35884857177734,85.2092514038086,42.248939514160156,70.32396697998047,48.24794387817383,129.19859313964844,76.7238540649414
78,44,Gbmin11,Gb,87.66666666666669,52.18266677856445,21.10782814025879,29.69061279296875,86.37459564208984,35.631744384765625,70.01335144042969,111.39157104492188,38.27035140991211,40.75613784790039,38.801517486572266,129.61512756347656,80.26020812988281
79,45,Bmin11,B,88.0,89.14794921875,105.67179107666016,98.43701171875,170.57797241210938,181.6983642578125,229.4317169189453,186.3998260498047,48.51472091674805,75.52732849121094,119.38802337646484,222.23692321777344,184.1145477294922
80,45,Ebmin11,Eb,88.4,42.10539627075195,58.26338577270508,34.20100402832031,63.33759689331055,171.5996551513672,125.27869415283203,71.7139892578125,24.442506790161133,35.43967819213867,72.75518798828125,228.814453125,94.5787124633789
81,45,Abmin11,Ab,88.8,31.032350540161133,72.83563995361328,32.442684173583984,87.5185546875,97.0125503540039,176.1894073486328,110.4482650756836,30.826688766479492,38.06163787841797,67.46937561035156,257.7392883300781,70.7984619140625
82,45,Dmin11,D,89.2,74.67884063720703,120.83853912353516,69.52392578125,127.28034210205078,92.36782836914062,114.38756561279297,205.98643493652344,61.692596435546875,66.87811279296875,51.02132034301758,193.4743194580078,132.29786682128906
83,45,Gbmin11,Gb,89.6,3006.214599609375,2381.217529296875,1507.419921875,3052.1474609375,4479.958984375,4470.25244140625,4083.225341796875,2464.729736328125,3210.8271484375,3765.515869140625,7895.5,3567.64453125
84,47,Cmin7,C,92.0,134.81483459472656,65.09368896484375,179.44578552246094,275.32666015625,107.66828155517578,58.179141998291016,86.80168914794922,424.0254821777344,106.49053955078125,105.19304656982422,502.1954650878906,134.89759826660156
85,47,Dbmaj7,Db,92.5,250.7954559326172,403.4703674316406,116.60907745361328,94.21068572998047,129.6388397216797,398.7981872558594,89.8050765991211,108.8969497680664,200.5359649658203,55.07571029663086,85.98346710205078,70.25589752197266
86,47,Bmin7,B,93.0,259.1593933105469,386.3265686035156,265.9951477050781,170.1923065185547,95.3670425415039,278.0362243652344,340.0561218261719,179.11476135253906,239.1090545654297,148.55628967285156,68.3029556274414,186.29652404785156
87,47,Cmin7,C,93.5,145.52052307128906,124.21434783935547,136.69476318359375,248.912353515625,101.5796127319336,114.88363647460938,161.05589294433594,286.7754821777344,82.08984375,109.07901000976562,396.767822265625,170.67723083496094
88,48,Fsus,F,94.0,53521.30859375,12690.6494140625,30435.724609375,18709.298828125,11449.6220703125,43644.08984375,13984.4873046875,44972.43359375,8945.791015625,5555.49072265625,19926.470703125,11279.1943359375
