,Measure,batida,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
10,17,Amin7,A,32.0,355.979248046875,183.8581085205078,483.7839660644531,212.27195739746094,585.0269775390625,99.33086395263672,71.31930541992188,287.2312316894531,97.65778350830078,226.43019104003906,62.8134765625,94.23855590820312
11,17,Abmaj7,Ab,33.0,575.9692993164062,220.1240997314453,650.47265625,863.1953735351562,374.1820068359375,100.24016571044922,137.5810546875,601.8756103515625,528.5126342773438,142.86868286132812,71.88505554199219,191.6381072998047
12,18,Gmaj7,G,34.0,1460.7252197265625,836.9823608398438,2078.912353515625,2981.163818359375,1631.5216064453125,1644.24462890625,9463.1044921875,4316.271484375,1230.6900634765625,3028.3662109375,1454.763671875,3682.163818359375
13,20,Dmin7,D,38.0,1668.27734375,486.4288635253906,1071.3021240234375,296.9641418457031,392.5893249511719,2071.920166015625,692.9657592773438,1852.6429443359375,441.8456726074219,700.3233032226562,130.44107055664062,309.2416076660156
14,21,G7,G,40.0,272.1996154785156,162.4678497314453,554.1448974609375,337.73150634765625,505.9554138183594,2652.040771484375,874.2022094726562,1915.8270263671875,389.9293518066406,186.7891845703125,252.052490234375,1154.1513671875
15,22,Cmaj7,C,42.0,5082.07177734375,932.8041381835938,504.96826171875,1339.09033203125,6870.39599609375,1502.7259521484375,829.072021484375,2857.203857421875,1055.8900146484375,2169.278564453125,2132.76513671875,10950.7294921875
16,24,Emin7,E,46.0,423.2734375,272.2900390625,1360.857177734375,585.62890625,2175.976806640625,403.1427001953125,491.4194641113281,3117.2333984375,983.7162475585938,2621.239990234375,575.4547729492188,1153.56689453125
17,25,A7,A,48.0,215.7161102294922,1149.69287109375,319.01495361328125,413.6752014160156,1874.7821044921875,437.3160400390625,377.64208984375,2292.991455078125,867.27099609375,2469.076171875,410.5489807128906,138.46205139160156
18,26,Amin7,A,50.0,1986.8648681640625,467.3537902832031,367.8070068359375,488.5564270019531,2029.3834228515625,342.4770812988281,237.36488342285156,1212.2664794921875,400.205078125,702.0715942382812,171.51734924316406,410.8790588378906
19,27,D7,D,52.0,1305.636962890625,384.197998046875,628.0164184570312,157.67381286621094,139.2809295654297,354.6398620605469,2170.85009765625,354.143798828125,110.84081268310547,587.8359375,132.06837463378906,214.8051300048828
20,28,Gmaj7,G,54.0,592.6410522460938,736.168701171875,2974.440185546875,697.92578125,162.6650390625,465.600341796875,2772.530029296875,1329.619873046875,245.96580505371094,247.4981231689453,314.6645202636719,1288.61572265625
21,29,G7,G,56.0,222.6817169189453,159.04200744628906,547.21875,323.1020202636719,466.7811584472656,2289.643310546875,964.3207397460938,919.0631713867188,222.703125,191.2251739501953,281.0185241699219,1172.6243896484375
22,30,Cmaj7,C,58.0,1292.7288818359375,246.2607421875,111.3724136352539,471.6438293457031,2737.6982421875,524.4976196289062,261.6150817871094,980.9874877929688,262.7659606933594,79.77063751220703,228.29217529296875,1231.8470458984375
23,31,F7,F,60.0,1405.5142822265625,363.0205993652344,590.8867797851562,2313.606201171875,964.2407836914062,820.3381958007812,394.3465576171875,283.1726379394531,211.83753967285156,655.0126342773438,237.42840576171875,298.0181884765625
24,32,Bmin7,B,62.0,144.1732635498047,256.1025085449219,1197.2554931640625,333.4779357910156,72.20712280273438,166.08457946777344,828.5549926757812,133.3201141357422,47.21592330932617,192.189453125,118.63372802734375,404.4817810058594
25,32,Bbmaj7,Bb,63.0,25.809900283813477,102.43590545654297,555.5662231445312,101.8467788696289,79.9482192993164,369.0461120605469,202.29591369628906,527.981201171875,115.03915405273438,185.6263427734375,155.3491973876953,95.65158081054688
26,33,Amin7,A,64.0,351.1097106933594,193.6565704345703,618.8425903320312,203.97821044921875,589.2647705078125,181.6647491455078,73.67704010009766,268.9689025878906,94.40817260742188,215.51844787597656,68.1690444946289,105.05490112304688
27,33,Abmaj7,Ab,65.0,575.5050048828125,243.91868591308594,836.378662109375,892.0952758789062,371.6321716308594,112.04537200927734,147.3094024658203,607.3414916992188,526.4238891601562,142.8067169189453,74.66754150390625,185.6617889404297
28,34,Gmaj7,G,66.0,798.6654663085938,406.4007568359375,1441.09326171875,1741.5032958984375,470.4627380371094,788.2617797851562,4327.97509765625,2216.213623046875,332.7502746582031,232.19793701171875,463.6347351074219,1996.9893798828125
