,Measure,MrMagic,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
14,20,F7,F,38.0,1979.2979736328125,478.5860900878906,801.521484375,3361.930908203125,1756.5299072265625,1558.9794921875,403.8192443847656,850.2744140625,606.0175170898438,1842.5888671875,1366.3443603515625,666.5293579101562
15,21,Ebmaj7,Eb,40.0,175.6833038330078,432.6439208984375,2683.39208984375,3445.358642578125,656.6331787109375,276.1848449707031,405.3236389160156,2247.349853515625,527.3580932617188,418.0765075683594,1874.1834716796875,428.3573303222656
16,22,Abmaj7,Ab,42.0,1745.5357666015625,462.4112854003906,682.6092529296875,2538.7412109375,855.864501953125,300.8371887207031,401.0417785644531,2192.798583984375,1835.0166015625,358.3917541503906,178.93067932128906,504.3335876464844
17,23,Ebmaj7,Eb,44.0,187.68511962890625,439.6114501953125,2749.1240234375,3608.672607421875,650.2005615234375,213.0770263671875,396.3848876953125,2261.828857421875,537.1439208984375,415.6412658691406,1893.6014404296875,430.5153503417969
18,24,Abmaj7,Ab,46.0,1743.75,461.6729736328125,684.460205078125,2542.771728515625,853.8984375,283.5975646972656,399.7707214355469,2167.707275390625,1829.5828857421875,356.8871765136719,178.19325256347656,508.2729797363281
19,25,Ebmaj7,Eb,48.0,186.5355224609375,436.7739562988281,2729.9912109375,3602.798583984375,650.2420043945312,208.4491424560547,393.5815124511719,2256.77001953125,536.1171264648438,415.1759033203125,1891.4423828125,427.5120849609375
20,26,G7,G,50.0,533.1505737304688,363.2359924316406,1125.385986328125,688.2085571289062,815.9814453125,3892.908203125,1418.9302978515625,1683.4464111328125,380.5976867675781,1081.86083984375,5815.52490234375,2671.626220703125
21,27,Cmin7,C,52.0,2835.567626953125,584.0136108398438,880.09375,3291.548583984375,1088.6436767578125,332.7880554199219,328.7498779296875,1690.0859375,390.4395751953125,561.2781982421875,3134.185302734375,1214.638671875
22,28,F7,F,54.0,2018.0076904296875,457.105224609375,664.0177612304688,3263.020263671875,1680.3543701171875,1321.2335205078125,299.0895690917969,389.9013366699219,521.6774291992188,1681.2901611328125,417.4534606933594,467.1343078613281
23,29,Cmin7,C,56.0,1710.708984375,416.8104248046875,822.5198364257812,3131.982421875,1011.5918579101562,272.1711730957031,291.1893615722656,1500.22021484375,306.1114501953125,367.5463562011719,1935.685546875,740.5516967773438
24,30,F7,F,58.0,2021.181640625,451.8859558105469,676.192138671875,3263.3681640625,1687.78125,1363.436767578125,301.1014709472656,388.6691589355469,516.4497680664062,1672.9554443359375,412.8741149902344,469.462890625
25,31,Cmin7,C,60.0,1800.6007080078125,436.6136169433594,804.5894165039062,3135.6025390625,1015.1107788085938,263.3272705078125,292.0577697753906,1507.5750732421875,305.57666015625,365.6928405761719,1934.2301025390625,741.4758911132812
26,32,F7,F,62.0,3859.6474609375,835.8439331054688,1222.6341552734375,6252.974609375,3130.2236328125,2628.056884765625,540.2496948242188,692.02490234375,882.2294311523438,2954.1572265625,728.0432739257812,867.1950073242188
