,Measure,Boogie Stop Shuffle,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
21,24,Bbmin9,Bb,46.0,3677.400146484375,2193.955810546875,543.8480224609375,799.5790405273438,820.6919555664062,3216.8701171875,693.2053833007812,596.9923706054688,1398.3623046875,661.1128540039062,2025.4744873046875,835.1144409179688
22,25,Bbmin7,Bb,48.0,759.2984008789062,3066.21875,642.3121948242188,296.3532409667969,916.08935546875,3373.0322265625,1116.493408203125,381.2144775390625,1701.7589111328125,1493.2958984375,6486.97802734375,1132.22998046875
23,26,Bbmin7,Bb,50.0,508.1593322753906,1751.9288330078125,393.4175109863281,238.4548797607422,639.9756469726562,3110.989501953125,576.5670776367188,258.4371032714844,1363.2908935546875,711.5507202148438,1945.87060546875,382.8603515625
24,27,Bbmin7,Bb,52.0,638.5849609375,2549.439697265625,533.6843872070312,255.08026123046875,690.2933959960938,3242.708740234375,614.2244262695312,281.4696044921875,1610.7493896484375,1063.30224609375,3979.087646484375,705.7910766601562
25,28,Ebmin7,Eb,54.0,355.7671203613281,2105.190673828125,960.509033203125,3052.374267578125,551.8897094726562,790.0571899414062,3570.769775390625,631.6575317382812,152.7625274658203,327.734130859375,1905.7091064453125,319.7789001464844
26,29,Ebmin7,Eb,56.0,409.5245361328125,2140.056884765625,1133.4310302734375,3503.414306640625,1160.8194580078125,888.8406372070312,3852.169189453125,2564.653564453125,3130.771728515625,796.7534790039062,1980.4501953125,379.60595703125
27,30,Bbmin7,Bb,58.0,653.7926635742188,2594.994873046875,572.4232177734375,334.0140380859375,954.1083984375,3439.106689453125,1126.017822265625,392.383544921875,1683.5096435546875,1510.3614501953125,6669.83154296875,1152.985595703125
28,31,Bbmin7,Bb,60.0,504.1177673339844,1721.8243408203125,509.4754333496094,968.7892456054688,812.5319213867188,3228.2275390625,987.2324829101562,387.324951171875,1431.9188232421875,730.210205078125,2043.521484375,405.7955627441406
29,32,Fmin7,F,62.0,2159.932861328125,600.7757568359375,689.2216796875,2857.140380859375,1284.6732177734375,1687.7391357421875,726.0213012695312,820.4308471679688,1652.71826171875,406.884765625,305.0412902832031,506.4067077636719
30,33,Ebmin7,Eb,64.0,949.0040893554688,2253.812744140625,1015.333740234375,3138.692138671875,624.7831420898438,839.333984375,3587.65625,873.3773803710938,202.1442108154297,336.47027587890625,1953.9918212890625,431.3292541503906
31,34,Bbmin7,Bb,66.0,893.2026977539062,1670.3338623046875,458.7664489746094,796.32470703125,833.6456909179688,3227.2177734375,693.7911987304688,498.947021484375,1357.4287109375,653.1976928710938,1942.3011474609375,461.6712341308594
32,35,Bbmin7,Bb,68.0,688.19189453125,2089.230224609375,465.1663513183594,314.10101318359375,740.4503784179688,3711.301025390625,691.497314453125,323.1591796875,1369.85693359375,1057.782470703125,4020.2958984375,721.52001953125
33,36,Bbmin7,Bb,70.0,1023.821533203125,4566.85888671875,858.40771484375,254.772216796875,649.0821533203125,3070.4091796875,574.162353515625,261.289306640625,1374.0396728515625,914.7128295898438,2551.05224609375,496.0501403808594
34,37,Bbmin7,Bb,72.0,632.2062377929688,1845.9639892578125,420.3200988769531,273.4430236816406,743.16064453125,3679.1748046875,668.5055541992188,322.8672790527344,1381.5595703125,1097.28564453125,4286.15869140625,756.1990356445312
35,38,Ebmin7,Eb,74.0,987.7460327148438,6472.62890625,1654.951171875,3010.146728515625,629.9498291015625,1057.2132568359375,3830.367431640625,753.7724609375,343.3972473144531,515.7782592773438,1883.48291015625,439.76806640625
36,39,Ebmin7,Eb,76.0,378.5816650390625,2136.093017578125,973.5119018554688,3006.5126953125,726.7435913085938,780.9318237304688,3428.136962890625,637.9288330078125,192.54689025878906,356.954345703125,1964.6759033203125,357.9119567871094
37,40,Bbmin7,Bb,78.0,520.8563842773438,1655.8360595703125,388.2768249511719,280.0133972167969,698.6709594726562,3374.182373046875,877.2168579101562,298.6923522949219,1360.8341064453125,1179.038330078125,5302.1328125,881.2295532226562
38,41,Bbmin7,Bb,80.0,2230.798828125,6228.38720703125,1425.0364990234375,807.3638305664062,1952.3115234375,9578.52734375,2424.364013671875,5053.45166015625,4319.18212890625,2524.870849609375,5035.3837890625,1302.6812744140625
39,43,Fmin7,F,84.0,2183.716552734375,550.2973022460938,653.8217163085938,2630.498779296875,1183.9051513671875,1311.35595703125,387.175048828125,1191.33642578125,1746.5399169921875,415.079345703125,347.2735595703125,555.9069213867188
40,44,Ebmin7,Eb,86.0,498.318603515625,2053.58349609375,1406.3673095703125,3151.820068359375,571.1476440429688,857.4716796875,3555.016845703125,696.078125,183.03065490722656,755.3676147460938,4740.4189453125,767.57080078125
41,45,Bbmin7,Bb,88.0,489.7041320800781,1602.7841796875,372.1304626464844,346.5737609863281,1164.4810791015625,3270.15625,631.0166625976562,262.4937744140625,1376.2154541015625,718.8352661132812,1966.8282470703125,411.9027404785156
42,46,Bbmin7,Bb,90.0,4015.805419921875,19986.01953125,3964.667236328125,2017.9671630859375,6321.67822265625,18105.337890625,4733.58447265625,1716.8814697265625,9127.1376953125,23567.658203125,21445.80078125,3197.619140625
43,49,Bbmin7,Bb,96.0,610.2587280273438,1750.4940185546875,394.8957214355469,260.2991638183594,763.7763671875,3753.581787109375,675.7290649414062,319.6948547363281,1366.50439453125,1058.8370361328125,4078.6064453125,725.912353515625
44,50,Bbmin7,Bb,98.0,1012.7577514648438,4563.75244140625,868.0205078125,257.2705993652344,638.5399780273438,3072.193115234375,570.9273071289062,258.5973815917969,1375.4954833984375,916.1641235351562,2555.4091796875,496.0653076171875
45,51,Bbmin7,Bb,100.0,633.6082153320312,1850.94921875,414.3062744140625,261.71673583984375,746.6592407226562,3682.956787109375,666.4437866210938,321.9174499511719,1379.5992431640625,1096.4888916015625,4291.7216796875,756.735107421875
46,52,Ebmin7,Eb,102.0,988.2495727539062,6471.337890625,1657.42041015625,3020.822021484375,631.0280151367188,1053.5916748046875,3809.857177734375,750.9974975585938,343.2275085449219,515.8063354492188,1883.1151123046875,439.6844787597656
47,53,Ebmin7,Eb,104.0,378.9004821777344,2136.162109375,973.0146484375,3003.906005859375,726.393310546875,781.1142578125,3428.152587890625,638.0269775390625,192.5462646484375,356.95947265625,1964.6884765625,357.8770751953125
48,54,Bbmin7,Bb,106.0,520.2809448242188,1655.5780029296875,388.4266052246094,280.24285888671875,698.6837768554688,3374.106689453125,877.111572265625,298.68927001953125,1361.3499755859375,1179.11962890625,5302.302734375,881.249267578125
49,55,Bbmin7,Bb,108.0,2225.593017578125,6227.52587890625,1425.1368408203125,807.421630859375,1952.4259033203125,9578.9833984375,2424.526611328125,5054.21728515625,4320.15869140625,2525.061279296875,5035.29931640625,1302.093017578125
50,57,Fmin7,F,112.0,2183.622314453125,550.2806396484375,653.82666015625,2630.521240234375,1183.9324951171875,1311.3487548828125,387.16650390625,1191.3446044921875,1746.54931640625,415.0770568847656,347.2739562988281,555.8842163085938
51,58,Ebmin7,Eb,114.0,498.3166809082031,2053.590576171875,1406.365234375,3151.814208984375,571.1467895507812,857.4723510742188,3555.004638671875,696.07763671875,183.03160095214844,755.3649291992188,4740.41064453125,767.5690307617188
52,59,Bbmin7,Bb,116.0,489.7033996582031,1602.787109375,372.1292724609375,346.5740966796875,1164.4803466796875,3270.13671875,631.0134887695312,262.4943542480469,1376.2105712890625,718.8366088867188,1966.8284912109375,411.9034118652344
53,60,Bbmin7,Bb,118.0,4812.02490234375,24026.548828125,4746.25390625,2412.78369140625,7583.44482421875,22200.232421875,5727.43115234375,2046.0601806640625,10923.3515625,28239.3046875,25593.134765625,3804.133544921875
