,Measure,Outro_Transcription,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
22,6,D,D,11.2,16.093046188354492,28.795074462890625,122.23180389404297,352.6773681640625,200.33656311035156,89.93321990966797,27.928430557250977,64.04833221435547,32.13262939453125,32.39290237426758,90.81983184814453,37.31254577636719
23,6,Db,Db,11.6,100.5433349609375,320.06243896484375,161.8724822998047,121.36681365966797,96.28704833984375,205.72886657714844,187.9031982421875,68.73400115966797,60.31313705444336,50.80741500854492,41.50699234008789,44.67911911010742
24,7,C,C,12.0,907.1039428710938,387.4427185058594,175.4915313720703,265.8258056640625,693.0023803710938,321.1838073730469,230.8818817138672,338.9546813964844,138.41943359375,100.70006561279297,70.74031829833984,227.7826690673828
25,7,Bb,Bb,12.666666666666664,288.3365783691406,89.2921371459961,37.44361877441406,99.730712890625,226.7298583984375,92.1243667602539,57.2668342590332,109.60843658447266,32.829803466796875,12.805946350097656,13.355949401855469,66.51177978515625
26,7,A,A,13.333333333333336,119.55194854736328,76.91414642333984,151.28089904785156,77.47321319580078,195.05784606933594,237.428955078125,49.09868240356445,36.8952751159668,56.09208679199219,332.8215637207031,705.7835083007812,127.52983856201172
27,8,A,A,14.0,640.9636840820312,1971.8995361328125,718.15087890625,661.7514038085938,2300.228759765625,1223.97021484375,226.8268585205078,176.61231994628906,790.8101196289062,2195.38134765625,440.9962158203125,210.3505096435547
28,9,D,D,16.0,49.34983825683594,196.0155792236328,578.5951538085938,150.22898864746094,250.44044494628906,308.6528015136719,413.6046447753906,129.8998260498047,42.66102981567383,121.5400390625,34.49140167236328,30.187515258789062
29,9,D#,D#,16.5,29.54633331298828,76.62692260742188,280.244873046875,884.5115356445312,336.3756408691406,160.0117950439453,134.25755310058594,115.54745483398438,34.76824188232422,74.49083709716797,150.5819091796875,45.11024856567383
30,9,E,E,17.0,39.5919303894043,19.57964515686035,39.33710861206055,245.724365234375,431.59619140625,94.72142791748047,60.84880065917969,77.81729125976562,118.29967498779297,38.819637298583984,76.13774871826172,141.7053680419922
31,9,F,F,17.5,121.65975189208984,35.8123664855957,27.78132438659668,119.31707763671875,208.59461975097656,362.4129943847656,90.39752197265625,40.91877365112305,46.01344680786133,111.95193481445312,40.77528762817383,81.3308334350586
32,10,F,F,18.0,2375.165283203125,520.1473999023438,246.72242736816406,701.0890502929688,1768.0767822265625,5297.505859375,885.0581665039062,201.0922088623047,327.3801574707031,1350.1920166015625,277.3753967285156,456.9606018066406
33,11,G,G,20.0,2678968.75,792117.4375,1010941.5625,663539.4375,660956.4375,609637.6875,1086446.5,3893507.75,1208201.25,1697567.375,4347164.0,1391662.375
