,Measure,OneShiningSoul,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
13,7,C#min7,C#,13.333333333333336,66.23629760742188,169.9897003173828,70.05464935302734,69.8419189453125,299.0276794433594,98.03155517578125,177.64540100097656,168.51483154296875,105.98953247070312,84.3545150756836,49.02446365356445,127.8605728149414
14,8,Fmaj7,F,14.0,131.9853515625,381.6338195800781,94.40349578857422,172.97869873046875,726.3056640625,182.20640563964844,161.0092315673828,118.1583251953125,236.1422119140625,54.313045501708984,60.70888900756836,296.0262145996094
15,8,Cmaj7,C,15.0,410.7937927246094,141.56210327148438,41.633018493652344,173.38771057128906,645.74267578125,305.72113037109375,93.414306640625,71.483642578125,83.02005004882812,201.96641540527344,52.34762191772461,85.85794067382812
16,9,F#min7,F#,16.0,292.31494140625,49.25529861450195,8.994236946105957,92.4138412475586,455.9202575683594,110.42147064208984,53.30647277832031,203.80860900878906,58.90346908569336,15.00457763671875,40.68830490112305,262.74639892578125
17,9,Cmaj7,C,17.0,84.62689971923828,245.3219757080078,49.246978759765625,76.43822479248047,404.0025939941406,114.17229461669922,172.17291259765625,43.863887786865234,238.7198944091797,1367.9324951171875,220.17027282714844,43.6595573425293
18,10,Cmaj9,C,18.0,610.5552978515625,283.6787414550781,730.5379028320312,423.944091796875,1263.6312255859375,256.6802673339844,147.86436462402344,473.094970703125,121.40302276611328,78.82567596435547,113.74979400634766,600.98876953125
19,10,B9,B,19.0,87.2395248413086,25.94624137878418,31.832334518432617,43.71468734741211,171.0325927734375,44.43429183959961,22.60233497619629,41.95011901855469,9.905973434448242,4.610096454620361,12.18215560913086,52.747711181640625
20,11,E9,E,20.0,125.3594741821289,250.10400390625,394.9126892089844,559.2863159179688,281.1870422363281,167.52015686035156,582.9009399414062,250.34742736816406,629.9135131835938,199.0315704345703,111.9844741821289,325.0080261230469
21,11,Cmaj9,C,20.666666666666668,34.72972869873047,37.18753433227539,93.7494888305664,135.8091278076172,73.5715103149414,37.891571044921875,138.97093200683594,68.89705657958984,181.45738220214844,55.72869873046875,31.54979705810547,72.96414947509766
22,11,Amin7,A,21.33333333333333,178.72642517089844,80.6918716430664,174.46006774902344,100.05884552001953,356.8056640625,73.25382232666016,105.42940521240234,127.2437515258789,60.1229362487793,19.51313591003418,66.92830657958984,302.4789733886719
23,12,Gmaj7,G,22.0,380.9662170410156,123.25330352783203,62.225711822509766,173.96470642089844,613.0385131835938,116.20433807373047,81.66683197021484,326.7899475097656,106.26296997070312,217.12200927734375,78.05072021484375,180.9388427734375
24,12,F#7,F#,23.0,102.41876983642578,64.5656967163086,160.1627197265625,123.9501953125,137.23744201660156,162.95770263671875,865.0243530273438,399.2324523925781,83.59476470947266,55.04026794433594,79.59964752197266,302.64404296875
25,13,B9,B,24.0,68.96271514892578,228.93470764160156,84.65544891357422,81.55303955078125,367.5289611816406,157.08680725097656,249.24900817871094,65.1412353515625,47.26285934448242,56.34332275390625,148.8279266357422,106.32624053955078
26,13,E9,E,25.0,163.91651916503906,515.3158569335938,246.8375244140625,623.4813232421875,321.1205749511719,190.623291015625,896.709228515625,174.6747589111328,94.82559967041016,224.8425750732422,126.6723861694336,397.3674011230469
27,14,E9,E,26.0,502.9261169433594,576.6129150390625,2533.14013671875,2072.1904296875,1879.6064453125,1019.717041015625,4499.30859375,1165.4312744140625,1732.0513916015625,725.3209838867188,641.8229370117188,2389.708740234375
28,15,E9,E,28.0,221.9479217529297,362.2955017089844,710.807861328125,571.2374267578125,501.0944519042969,334.3391418457031,1361.5648193359375,390.0335388183594,579.061279296875,204.63136291503906,246.25486755371094,920.6043090820312
29,15,Fmin,F,29.0,45.9770622253418,23.711227416992188,76.2214126586914,109.64596557617188,124.03145599365234,47.99456787109375,179.15008544921875,178.7270050048828,1105.7591552734375,181.29669189453125,38.38161849975586,183.12001037597656
30,16,Gbmaj,Gb,30.0,354.7615051269531,913.4863891601562,199.4118194580078,80.30146026611328,178.9443359375,701.3930053710938,1182.46240234375,248.9778594970703,198.8576202392578,136.9730682373047,544.0773315429688,148.68203735351562
31,16,Db7,Db,31.0,251.5872802734375,593.6526489257812,147.05270385742188,98.51116180419922,242.9093475341797,1087.151123046875,333.1568298339844,99.85042572021484,414.9567565917969,104.00399017333984,103.78744506835938,407.6034240722656
32,17,D#9,D#,32.0,184.1051025390625,528.750732421875,396.8343505859375,450.250244140625,311.79937744140625,1001.1812133789062,332.9930725097656,705.9714965820312,1555.1925048828125,437.9735107421875,584.3120727539062,168.9687957763672
33,17,G#7,G#,33.0,537.93310546875,224.6374053955078,290.3062438964844,944.3587036132812,300.5281066894531,467.1130676269531,1087.841796875,431.1057434082031,619.6969604492188,144.08714294433594,87.2303695678711,149.6268310546875
34,18,Gbmaj7,Gb,34.0,331.9900207519531,954.783935546875,227.41566467285156,344.573486328125,275.6530456542969,1064.6475830078125,820.0302124023438,190.0630340576172,207.0507049560547,225.6819610595703,581.58544921875,172.69496154785156
35,18,Db7,Db,35.0,268.37890625,532.2492065429688,130.4098358154297,110.24758911132812,278.1936950683594,1250.132080078125,304.75341796875,95.71444702148438,413.5800476074219,106.4792251586914,114.14108276367188,490.7122497558594
36,19,D#9,D#,36.0,202.6794891357422,526.5838012695312,386.1784973144531,492.1410827636719,320.76336669921875,999.502197265625,383.4551086425781,719.6642456054688,1550.5853271484375,445.5399169921875,612.11962890625,187.83961486816406
37,19,G#7,G#,37.0,24.877225875854492,81.39502716064453,58.88103103637695,86.63043975830078,45.19084167480469,213.21217346191406,50.353214263916016,77.53458404541016,309.4052734375,56.87394714355469,25.853225708007812,15.998443603515625
38,20,Gbmaj7,Gb,38.0,360.3199768066406,1022.7144165039062,257.32672119140625,379.1911315917969,313.6945495605469,1095.3924560546875,919.42236328125,246.81275939941406,286.6439514160156,224.6927490234375,602.9356079101562,200.87937927246094
39,20,Fmin7,F,39.0,700.422119140625,266.24365234375,213.8541259765625,763.3453979492188,422.9818420410156,554.2448120117188,162.2948760986328,238.22410583496094,489.6643981933594,127.84288787841797,79.30647277832031,176.0885467529297
40,21,Emaj7,E,40.0,122.02056884765625,39.77166748046875,39.05695724487305,203.29754638671875,56.0112419128418,98.66604614257812,41.50917434692383,39.389835357666016,199.2991180419922,57.02427673339844,12.990020751953125,22.187026977539062
41,21,D#7,D#,41.0,166.21978759765625,673.1753540039062,389.7089538574219,1164.5626220703125,632.9811401367188,153.83106994628906,124.55130767822266,501.8043518066406,216.7997589111328,134.72036743164062,580.785888671875,338.13043212890625
42,22,Dmaj7,D,42.0,171.19435119628906,1059.6578369140625,776.873291015625,461.1078796386719,178.1504669189453,269.1950988769531,1117.72900390625,292.3129577636719,259.8014831542969,447.1094665527344,110.56432342529297,54.17116165161133
43,22,Db7,Db,43.0,172.9047088623047,233.55596923828125,102.86817169189453,79.97057342529297,167.45046997070312,734.76416015625,229.13177490234375,52.36268997192383,176.55078125,66.3719711303711,100.65421295166016,557.1991577148438
44,23,Bbmin7,Bb,44.0,196.07737731933594,476.8144226074219,144.9431915283203,150.27552795410156,247.4271697998047,966.6100463867188,214.35113525390625,243.59461975097656,1496.49072265625,412.4193420410156,598.5419311523438,163.74559020996094
45,23,D#9,D#,45.0,102.02075958251953,398.7385559082031,221.86476135253906,202.0350799560547,159.81617736816406,587.381591796875,166.6374053955078,335.88946533203125,200.04046630859375,162.30015563964844,309.8205871582031,95.85091400146484
46,24,G#sus,G#,46.0,77.45806884765625,362.978515625,118.02777099609375,150.15753173828125,56.80809020996094,94.89623260498047,48.4775390625,78.09510803222656,308.56097412109375,60.15932846069336,26.672258377075195,38.13456344604492
47,24,Dmaj7,D,46.66666666666666,31.71904754638672,133.0384979248047,136.3506622314453,68.79303741455078,33.18705749511719,62.50108337402344,214.68963623046875,51.0789794921875,50.48545455932617,84.9828109741211,30.565773010253906,47.379024505615234
48,24,Db7,Db,47.33333333333334,31.46195411682129,96.86285400390625,107.72933197021484,29.061723709106445,19.919687271118164,65.05558776855469,127.15094757080078,26.138975143432617,27.56574058532715,58.76893615722656,18.251354217529297,22.356956481933594
49,25,Bbmin7,Bb,48.0,88.18585968017578,187.511962890625,72.5868911743164,40.482906341552734,167.21238708496094,469.5724792480469,160.9569549560547,71.5868148803711,348.0159606933594,1444.8465576171875,284.5587158203125,187.6823272705078
50,25,G#7,G#,49.0,355.6357421875,216.2519989013672,135.0218963623047,488.4776611328125,194.7740020751953,381.6390380859375,712.497314453125,205.5080108642578,467.2252197265625,882.0625,173.4718780517578,109.74890899658203
51,26,F#min7,F#,50.0,185.56483459472656,661.6005249023438,298.4189758300781,601.7778930664062,835.215087890625,411.01171875,528.1356811523438,174.42994689941406,270.1315002441406,496.8507080078125,138.56480407714844,88.5229263305664
52,26,B7,B,51.0,225.20513916015625,187.5487518310547,156.62315368652344,1003.0809936523438,1032.8524169921875,272.20428466796875,523.6593627929688,301.6857604980469,1148.1961669921875,309.96124267578125,154.5098419189453,494.5157470703125
53,27,Emaj7,E,52.0,124.97376251220703,701.6104125976562,724.0059204101562,248.09429931640625,277.21136474609375,305.5519104003906,990.1891479492188,191.04612731933594,157.18017578125,404.0867004394531,102.72048950195312,84.27792358398438
54,27,Dmaj7,D,53.0,262.9650573730469,600.0437622070312,242.1871337890625,396.0047302246094,1265.1343994140625,334.7000427246094,205.97723388671875,109.56900787353516,436.0327453613281,111.83389282226562,121.60074615478516,624.2262573242188
55,28,C#min7,C#,54.0,577.9044189453125,271.3804016113281,109.99654388427734,167.08705139160156,586.5637817382812,154.88504028320312,129.82675170898438,64.92583465576172,131.94712829589844,79.26012420654297,140.9767608642578,753.4968872070312
56,29,F#min7,F#,56.0,531.1925659179688,237.7986602783203,106.9596176147461,242.45733642578125,1037.6983642578125,223.697509765625,178.23297119140625,479.9331359863281,263.0527648925781,1059.423828125,252.27862548828125,632.2953491210938
57,29,Cmaj7,C,57.0,642.8422241210938,243.4909210205078,690.418212890625,350.9516906738281,1063.0035400390625,218.68316650390625,139.24595642089844,488.3287353515625,122.18360137939453,88.50850677490234,112.62627410888672,599.0152587890625
58,30,Cmaj9,C,58.0,116.44183349609375,79.23160552978516,70.51809692382812,114.3748779296875,204.19224548339844,80.35737609863281,100.21487426757812,66.82942962646484,88.61593627929688,477.2594909667969,190.8554229736328,106.78617095947266
59,30,B9,B,59.0,158.6786651611328,146.1725311279297,167.2991485595703,679.2843017578125,1065.4901123046875,246.62017822265625,415.4407653808594,1007.8124389648438,971.7333374023438,232.81639099121094,127.32284545898438,413.7455139160156
60,31,Emaj7,E,60.0,231.13140869140625,63.081119537353516,45.16117477416992,158.0963134765625,407.6658020019531,98.64505004882812,115.69574737548828,199.40716552734375,141.43064880371094,42.21268081665039,66.7056655883789,289.78900146484375
61,31,Cmaj7,C,60.66666666666666,144.53170776367188,45.426422119140625,47.648075103759766,84.45369720458984,277.5262756347656,57.83682632446289,126.72024536132812,491.5126647949219,170.2799835205078,108.24187469482422,52.84608840942383,122.36237335205078
62,31,Amin7,A,61.33333333333334,88.27581024169922,22.254568099975586,11.038107872009277,46.253299713134766,157.03907775878906,45.46269607543945,63.35178756713867,84.25115203857422,50.370513916015625,70.30883026123047,28.804658889770508,89.02130126953125
63,32,F#7,F#,62.0,384.454345703125,317.6468811035156,528.9321899414062,281.06988525390625,867.7760620117188,288.0743713378906,222.91558837890625,115.52513885498047,103.95406341552734,141.58892822265625,347.6331481933594,1105.0662841796875
64,33,B9,B,64.0,109.5337142944336,352.2423095703125,149.2423095703125,317.9349670410156,158.25057983398438,67.22247314453125,233.75669860839844,208.31976318359375,1106.08642578125,208.7597198486328,48.13566207885742,135.75857543945312
65,33,E9,E,65.0,178.6961212158203,369.6654052734375,650.7863159179688,563.4041748046875,540.8357543945312,359.6733703613281,1350.521484375,410.0561828613281,579.2792358398438,204.75779724121094,173.5687255859375,585.5360717773438
66,34,E9,E,66.0,133.8046875,113.25037384033203,263.15838623046875,380.3267822265625,413.8179931640625,146.66851806640625,580.5422973632812,494.6253967285156,2999.811767578125,478.2225646972656,105.51608276367188,489.6789245605469
67,35,Gbmaj,Gb,68.0,251.75914001464844,591.77392578125,146.462890625,102.91289520263672,252.21238708496094,1131.9107666015625,347.1376953125,101.58354949951172,411.4765930175781,101.74322509765625,103.54537200927734,406.8804016113281
68,35,Db7,Db,69.0,172.47802734375,527.2307739257812,395.2977600097656,455.8050537109375,314.9195556640625,1001.7362670898438,329.6871643066406,702.932861328125,1555.1455078125,438.4884338378906,583.5028686523438,167.86573791503906
69,36,D#9,D#,70.0,521.0261840820312,221.5575714111328,290.157470703125,943.8290405273438,302.8283386230469,468.6064147949219,1087.3260498046875,429.4010925292969,619.3920288085938,143.8340606689453,86.71092987060547,146.27210998535156
70,36,G#7,G#,71.0,325.2153015136719,953.4072265625,227.74244689941406,345.4540710449219,276.51605224609375,1064.7532958984375,819.996337890625,190.0326690673828,207.1222381591797,226.24488830566406,581.4349975585938,171.96697998046875
71,37,Gbmaj7,Gb,72.0,267.26654052734375,532.4833374023438,130.28746032714844,110.12175750732422,279.0208740234375,1250.1209716796875,304.5292663574219,95.3534927368164,413.6829528808594,106.80522918701172,114.060302734375,490.9686279296875
72,37,Db7,Db,73.0,200.51072692871094,526.1129150390625,385.4407958984375,492.2831115722656,321.17315673828125,999.6862182617188,383.5547790527344,720.2224731445312,1550.9295654296875,445.23193359375,612.1320190429688,187.67213439941406
73,38,D#9,D#,74.0,24.496156692504883,81.40686798095703,59.0311279296875,86.58240509033203,45.1209716796875,213.12742614746094,50.368953704833984,77.66516876220703,309.4375915527344,56.799072265625,25.89423370361328,15.918106079101562
74,38,G#7,G#,75.0,361.6162109375,1022.7642211914062,257.4090270996094,379.1850891113281,313.6214294433594,1095.426513671875,919.4279174804688,247.08253479003906,286.62078857421875,224.59437561035156,602.9854125976562,201.33251953125
75,39,Gbmaj7,Gb,76.0,700.62060546875,266.3570861816406,214.01080322265625,763.13623046875,422.66845703125,553.999755859375,162.1575469970703,237.8654327392578,489.6531982421875,127.88297271728516,79.33484649658203,176.1884002685547
76,39,Fmin7,F,77.0,121.99710083007812,39.7542610168457,39.03736114501953,203.15728759765625,55.9605827331543,98.59890747070312,41.50727462768555,39.40530014038086,199.2931365966797,56.99692153930664,12.971752166748047,22.195714950561523
77,40,Emaj7,E,78.0,166.22239685058594,673.175048828125,389.7276306152344,1164.6175537109375,633.2822265625,153.8733367919922,124.54782104492188,501.7980651855469,216.8149871826172,134.7489776611328,580.776611328125,338.13427734375
78,40,D#7,D#,79.0,171.1461639404297,1059.677978515625,776.875,461.1213684082031,178.15321350097656,269.2021179199219,1117.7274169921875,292.3004455566406,259.7767639160156,446.9631652832031,110.54633331298828,54.157928466796875
79,41,Dmaj7,D,80.0,172.8866729736328,233.55494689941406,102.8676986694336,79.96539306640625,167.45545959472656,734.7832641601562,229.133056640625,52.36369705200195,176.5524444580078,66.38603210449219,100.6557846069336,557.1907348632812
