,Measure,BluesMarch,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
13,10,F7,F,18.0,75.58039093017578,40.12275314331055,49.33180236816406,145.0834197998047,86.48831939697266,66.47547149658203,99.99465942382812,108.68524932861328,540.8413696289062,225.3339385986328,68.40531158447266,37.6088752746582
14,10,Bb,Bb,19.0,251.885009765625,137.0081024169922,400.6612854003906,374.8810119628906,229.09812927246094,801.6110229492188,198.5915985107422,39.098941802978516,50.447113037109375,249.3459014892578,358.1707763671875,156.1486358642578
15,11,Bb7,Bb,20.0,43.517276763916016,45.08750915527344,142.47337341308594,217.061767578125,99.60810089111328,223.8567352294922,71.66338348388672,47.18019104003906,50.40591049194336,47.65671157836914,75.28359985351562,30.715835571289062
16,11,Db7,Db,21.0,38.073341369628906,64.77996826171875,164.6489715576172,51.94846725463867,88.18213653564453,360.7542419433594,58.86687088012695,20.872995376586914,79.49501037597656,70.66764068603516,239.81773376464844,73.07721710205078
17,12,Gb7,Gb,22.0,56.98448181152344,156.0520782470703,47.71101379394531,42.60844039916992,127.00582885742188,336.5711975097656,67.63236999511719,20.646455764770508,68.6351547241211,37.40920639038086,63.14421081542969,107.31198120117188
18,12,B7,B,23.0,51.86474609375,168.4599609375,60.918941497802734,116.50390625,335.55999755859375,175.55885314941406,190.8258819580078,33.47119140625,19.16729736328125,52.543365478515625,65.13685607910156,60.37574768066406
19,13,Gb7,Gb,24.0,55.22751998901367,76.92414093017578,75.86331939697266,316.7834777832031,201.37278747558594,260.3426208496094,237.09754943847656,68.4206314086914,39.8486213684082,97.66716766357422,153.6350555419922,157.57864379882812
20,13,B7,B,25.0,53.38478088378906,172.2736358642578,66.52545166015625,169.51930236816406,291.1620178222656,132.13113403320312,196.87217712402344,36.39748001098633,17.79921531677246,68.10309600830078,161.07801818847656,79.0961685180664
21,14,Bb7,Bb,26.0,29.84065055847168,45.05341720581055,134.9402618408203,317.7531433105469,131.60064697265625,118.2533950805664,206.0323028564453,48.214969635009766,51.50265884399414,75.69867706298828,75.3324203491211,131.25762939453125
22,14,Db7,Db,27.0,34.23925018310547,69.1849365234375,178.1057586669922,95.83585357666016,95.50470733642578,349.968505859375,73.43534851074219,20.384395599365234,79.59984588623047,68.41159057617188,258.1023254394531,96.15608978271484
23,15,Gb7,Gb,28.0,45.150665283203125,161.2056884765625,56.00893783569336,45.25265884399414,138.70309448242188,347.6578063964844,75.07727813720703,22.189956665039062,67.91132354736328,38.05901336669922,55.10578536987305,74.85887908935547
24,15,Bb,Bb,29.0,51.2877197265625,161.32701110839844,39.56166458129883,84.54961395263672,359.0381164550781,416.0734558105469,173.1932373046875,23.086008071899414,15.030299186706543,41.39323806762695,53.087738037109375,32.50703811645508
25,16,Db7,Db,30.0,35.70896911621094,91.53170776367188,259.9758605957031,209.4667205810547,179.5987091064453,463.8844909667969,110.60891723632812,48.324493408203125,49.38619613647461,52.63126754760742,144.7696075439453,66.64396667480469
26,16,Db7,Db,31.0,55.71489334106445,143.04551696777344,42.66122817993164,25.97344398498535,84.21993255615234,335.7513732910156,59.44895935058594,18.271207809448242,89.57482147216797,65.70880889892578,278.97357177734375,136.09457397460938
27,17,Gb7,Gb,32.0,46.03567886352539,156.0899200439453,43.69786071777344,34.75985336303711,137.00408935546875,346.9427185058594,69.49168395996094,19.745861053466797,68.84828186035156,36.369319915771484,57.349395751953125,76.5763168334961
28,17,Bb,Bb,33.0,49.01454544067383,165.8384246826172,37.78071975708008,78.69730377197266,363.9204406738281,415.3738098144531,157.39462280273438,20.79829216003418,14.574952125549316,40.69811248779297,50.93757629394531,22.30171775817871
29,18,Bb7(#9),Bb,34.0,2795.134033203125,14709.1826171875,25557.8203125,6481.97802734375,6617.080078125,22836.748046875,5541.60595703125,1940.5089111328125,6874.90966796875,6819.74560546875,29311.873046875,4686.52197265625
