,Measure,My Groove Your Move,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
28,21,Eb7,Eb,41.0,355.5332336425781,114.3403091430664,84.17743682861328,259.5890808105469,561.1458129882812,99.83919525146484,32.722347259521484,104.55992889404297,76.88604736328125,218.42796325683594,67.87151336669922,72.42178344726562
29,22,Amin,A,42.0,471.4036865234375,190.42088317871094,387.9782409667969,120.69222259521484,120.77544403076172,184.7734832763672,896.1522827148438,1136.089599609375,207.63670349121094,173.8678741455078,119.62307739257812,112.0034408569336
30,22,D7,D,43.0,21.2624454498291,20.393314361572266,54.166072845458984,34.568904876708984,46.23196029663086,80.32303619384766,87.31326293945312,43.75313949584961,18.735448837280273,33.77585220336914,36.01894760131836,12.977713584899902
31,23,Gmin7,G,44.0,47.40078353881836,70.00232696533203,281.7729187011719,94.3852310180664,213.04290771484375,1038.705322265625,215.9881134033203,174.917236328125,35.735191345214844,61.13591384887695,120.9465560913086,38.87995529174805
32,24,Gmin7,G,46.0,18.272205352783203,20.452177047729492,63.22603225708008,32.36497116088867,48.8656005859375,181.2203826904297,73.70026397705078,36.52085494995117,11.655224800109863,12.746987342834473,19.225914001464844,40.308509826660156
33,24,G7,G,47.0,441.2994384765625,396.4117736816406,1976.4356689453125,538.263671875,1079.7205810546875,6570.63818359375,1182.2415771484375,759.1480102539062,168.62295532226562,305.4634704589844,605.8698120117188,2891.780029296875
34,28,Cmin7,C,54.0,536.0383911132812,106.1536865234375,223.50030517578125,1149.9283447265625,202.7546844482422,40.9265251159668,29.39984893798828,142.39537048339844,24.186803817749023,28.577539443969727,135.44618225097656,113.27996826171875
35,30,D7,D,58.0,85.45056915283203,387.0870361328125,118.44608306884766,140.87950134277344,527.9596557617188,132.82833862304688,133.2089385986328,327.2528076171875,112.06163787841797,224.86224365234375,62.71479797363281,43.726070404052734
36,30,A7,A,59.0,50.251220703125,73.60772705078125,57.257198333740234,39.05653381347656,107.70697784423828,40.047786712646484,99.0997543334961,33.56282424926758,14.023507118225098,37.96653747558594,12.68144702911377,13.635555267333984
37,31,D7,D,60.0,272.9693908691406,135.18727111816406,378.7332763671875,78.4613265991211,72.99402618408203,115.72725677490234,562.1449584960938,96.41751861572266,37.68306350708008,194.44081115722656,50.348270416259766,63.31294631958008
38,32,Cmin,C,62.0,160.8816680908203,460.0839538574219,453.8699645996094,277.15655517578125,47.75224685668945,134.88999938964844,815.7180786132812,148.93402099609375,44.2609977722168,173.1877899169922,97.97329711914062,358.1932678222656
39,32,Bmin9,B,63.0,155.13539123535156,130.9685516357422,238.851806640625,268.89202880859375,473.4683837890625,242.6057586669922,959.6618041992188,402.99365234375,89.45735931396484,109.5167236328125,125.39773559570312,456.141845703125
40,33,Amin13,A,64.0,361.9638671875,158.28939819335938,352.7745361328125,106.33931732177734,127.9329833984375,137.1477508544922,754.638671875,152.6563262939453,48.009918212890625,189.30699157714844,59.671138763427734,135.49734497070312
41,33,D7,D,65.0,81.33848571777344,54.23222351074219,214.69544982910156,136.26585388183594,187.2581024169922,716.0036010742188,290.7566223144531,264.83111572265625,74.72834777832031,88.55416107177734,96.12532806396484,397.5558776855469
42,34,G7,G,66.0,488.99169921875,142.1225128173828,402.3226318359375,301.9360046386719,312.1646423339844,213.70033264160156,176.81915283203125,367.1309814453125,361.8006286621094,107.8387680053711,117.04891967773438,512.9000854492188
43,34,E7(#9),E,67.0,365.8651123046875,115.97662353515625,71.29154205322266,166.99839782714844,564.8472290039062,105.4222412109375,52.07679748535156,127.09461212158203,245.22618103027344,245.2138214111328,82.0191650390625,134.38458251953125
44,35,Amin(maj7),A,68.0,460.1343688964844,172.12156677246094,306.6512451171875,85.43749237060547,140.29995727539062,169.87130737304688,784.389404296875,136.37132263183594,41.58067321777344,156.23033142089844,44.49943542480469,101.79153442382812
45,35,D7,D,69.0,0.1694706827402115,0.7148719429969788,4.035837173461914,0.8679022192955017,0.6864730715751648,3.3156588077545166,17.634828567504883,2.244843006134033,0.27078261971473694,1.5765777826309204,0.379787415266037,0.18979020416736603
