,Measure,MoonRiver,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
20,17,Amin7,A,24.0,2759.728759765625,622.755126953125,464.2466125488281,572.9324340820312,2054.183349609375,1158.0579833984375,445.258056640625,1227.7318115234375,505.0164794921875,1177.0140380859375,364.3884582519531,990.6023559570312
21,18,Amin7/G,A,25.5,1175.8095703125,330.9808044433594,324.566650390625,495.7745056152344,2208.822509765625,460.4680480957031,326.6042785644531,1023.54296875,503.333984375,1083.3665771484375,261.15118408203125,407.4961242675781
22,19,F#min7(b5),F#,27.0,715.7637329101562,1334.3262939453125,349.5898742675781,449.8888854980469,1699.20458984375,747.0885620117188,970.7184448242188,471.0553283691406,512.364990234375,1048.2152099609375,257.7053527832031,206.24676513671875
23,20,F7,F,28.5,1265.5948486328125,427.9622802734375,795.9629516601562,2139.57275390625,1276.9794921875,892.609130859375,222.3745880126953,254.5894775390625,370.3651428222656,1193.6605224609375,310.6957092285156,305.1191711425781
24,21,Cmaj7,C,30.0,1234.4527587890625,324.7394104003906,313.04229736328125,647.4006958007812,2494.732177734375,526.2732543945312,481.59130859375,2810.6298828125,511.8472595214844,118.06172943115234,243.14495849609375,1465.6485595703125
25,22,Fmaj7,F,31.5,1206.0201416015625,256.2686767578125,116.03484344482422,432.7391662597656,2081.061279296875,1054.5584716796875,245.1272430419922,313.5718078613281,403.5821533203125,1068.3238525390625,243.570556640625,326.455810546875
26,23,Cmaj7,C,33.0,1237.66357421875,275.25555419921875,274.90704345703125,563.7369384765625,2496.213134765625,506.054443359375,472.1647644042969,2784.951416015625,502.5732116699219,115.67183685302734,234.37322998046875,1417.96435546875
27,24,Fmaj,F,34.5,937.4852905273438,235.6097869873047,75.29584503173828,118.462890625,556.2642211914062,2139.168701171875,384.8378601074219,126.60791778564453,161.4331512451172,848.3173828125,160.29347229003906,178.0526123046875
28,25,Emin7,E,36.0,275.3340759277344,261.5130920410156,1488.57958984375,681.8041381835938,2130.651123046875,563.7444458007812,409.8749694824219,2206.54541015625,441.3100280761719,144.7303009033203,216.6203155517578,1233.6339111328125
29,26,Amin7,A,37.5,2703.1494140625,505.4865417480469,223.6666259765625,476.1354064941406,1933.7640380859375,408.638916015625,227.82568359375,1005.581787109375,499.9052734375,1080.7242431640625,274.5270080566406,560.8201904296875
30,27,Dmin7,D,39.0,978.8856811523438,458.100341796875,1264.060302734375,338.5142517089844,568.44970703125,2101.439453125,515.4708862304688,168.03590393066406,185.3131103515625,816.2453002929688,161.7879180908203,184.22991943359375
31,28,G7,G,40.5,300.4365234375,222.6646728515625,660.5755615234375,372.579345703125,495.6909484863281,2179.91650390625,834.5073852539062,1008.1427612304688,230.9059600830078,248.138427734375,288.8919982910156,1189.8746337890625
32,29,Cmaj7,C,42.0,2851.363037109375,511.5162048339844,248.55950927734375,516.3868408203125,2247.891845703125,559.9390258789062,247.55584716796875,870.2294311523438,221.78855895996094,117.8217544555664,206.97833251953125,1293.1500244140625
33,30,Dmin7,D,43.5,268.19830322265625,132.61061096191406,293.4028015136719,95.8536605834961,194.427490234375,611.9469604492188,167.8754425048828,40.55522155761719,54.61725997924805,253.49729919433594,57.50983810424805,57.79386520385742
34,30,G7,G,44.25,1468.1943359375,772.8068237304688,2263.845458984375,1068.2052001953125,1461.4844970703125,6316.16015625,2026.0528564453125,2532.990478515625,576.627197265625,1015.03466796875,693.4386596679688,2712.579345703125
