,Measure,SoulStation,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
25,22,Ab7,Ab,42.0,189.82884216308594,50.55097961425781,97.64397430419922,417.2763977050781,67.77128601074219,37.455780029296875,198.3607635498047,58.00044631958008,22.256441116333008,9.8878755569458,15.704558372497559,37.27692413330078
26,23,Bb7,Bb,44.0,185.425048828125,47.963016510009766,100.74066925048828,414.3262023925781,67.27362823486328,41.57362747192383,191.3599395751953,48.05094528198242,22.8452091217041,12.832484245300293,17.67985725402832,36.425201416015625
27,24,Bb7,Bb,46.0,35.71199417114258,26.205307006835938,118.6640625,71.14405059814453,84.81615447998047,427.6094665527344,101.9128189086914,18.325159072875977,51.66727828979492,19.655014038085938,21.897552490234375,10.07813835144043
28,25,Eb7,Eb,48.0,15.157402038574219,28.616613388061523,110.7802734375,47.904048919677734,73.45413970947266,434.7978820800781,92.14810180664062,15.356346130371094,40.89448928833008,15.759769439697266,20.26215934753418,7.057981014251709
29,26,Eb7,Eb,50.0,14.435867309570312,54.69894790649414,113.005126953125,404.1668395996094,73.16191864013672,63.2098503112793,21.917802810668945,55.17226791381836,11.7836275100708,12.232062339782715,54.00553512573242,11.986344337463379
30,27,Ab7,Ab,52.0,17.331377029418945,50.23774337768555,96.76248168945312,402.5439758300781,59.28364944458008,28.8985595703125,28.130949020385742,60.09837341308594,13.637977600097656,8.980500221252441,39.53499984741211,10.968879699707031
31,28,Abdim7,Ab,54.0,185.97625732421875,49.54179382324219,101.68144989013672,417.4844055175781,70.71041107177734,52.74636459350586,191.25999450683594,54.25245666503906,22.14183807373047,11.064544677734375,17.594261169433594,40.54502487182617
32,29,Eb7,Eb,56.0,15.599308013916016,7.253965854644775,37.278602600097656,35.39814758300781,26.19463348388672,126.17919921875,30.423925399780273,5.446958541870117,5.294625759124756,4.656955242156982,13.685005187988281,49.216617584228516
33,29,Cmin7,C,57.0,64.19441986083984,345.1339416503906,193.51634216308594,580.5938110351562,103.92499542236328,48.81464767456055,56.81622314453125,271.1493835449219,55.29780960083008,76.11649322509766,351.2712097167969,86.7213134765625
34,30,Fmin7,F,58.0,332.701171875,91.2663803100586,127.09178924560547,582.0344848632812,169.10475158691406,43.251163482666016,53.07264709472656,274.5460510253906,49.73994064331055,65.53449249267578,336.0473937988281,167.7959747314453
35,30,Bb7,Bb,59.0,401.1399841308594,93.68485260009766,109.1510009765625,510.85595703125,190.27757263183594,203.5985565185547,66.10201263427734,135.8993377685547,327.558837890625,91.3281478881836,44.98237609863281,91.23946380615234
36,31,Eb7,Eb,60.0,367.9709167480469,297.0150451660156,1176.2806396484375,684.95947265625,581.3342895507812,2262.233154296875,450.3368835449219,133.5667266845703,591.8888549804688,446.1367492675781,962.1174926757812,258.940185546875
37,32,Eb7,Eb,62.0,357.1188049316406,1310.8441162109375,948.5924682617188,2885.188232421875,571.5938110351562,482.7403259277344,255.700439453125,1061.48193359375,254.05299377441406,252.75164794921875,1282.650390625,330.3497314453125
