,Measure,SoftImpressions,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
12,7,Amin7,A,12.0,526.4266967773438,127.3329086303711,98.26111602783203,243.622314453125,882.2279663085938,184.4376983642578,106.45608520507812,501.1721496582031,271.43914794921875,536.8308715820312,136.59434509277344,201.00299072265625
13,7,C/G,C,13.0,48.899600982666016,12.572964668273926,10.805031776428223,64.28907012939453,161.4408721923828,33.78264236450195,12.455188751220703,45.02239990234375,16.76481056213379,10.376408576965332,3.3387069702148438,19.94602394104004
14,8,F7,F,14.0,637.2440185546875,174.49937438964844,320.8522644042969,1108.256103515625,959.9708862304688,467.3974609375,116.5582504272461,228.25047302246094,225.37571716308594,539.6841430664062,157.971923828125,170.4440155029297
15,8,E7,E,15.0,232.4706268310547,153.49073791503906,619.6692504882812,580.1870727539062,967.3187866210938,233.53857421875,86.46965789794922,106.43743133544922,448.9612731933594,120.28445434570312,104.37369537353516,544.6925659179688
16,9,Amin7,A,16.0,531.5588989257812,131.27662658691406,95.41634368896484,244.1592559814453,887.1002807617188,186.41490173339844,119.3755111694336,508.5921630859375,357.2184753417969,1116.207275390625,218.62725830078125,217.69334411621094
17,9,C/G,C,17.0,524.0249633789062,188.17308044433594,229.58203125,240.0059356689453,960.6400756835938,187.06776428222656,152.1752166748047,539.6959838867188,133.5240478515625,32.76786422729492,44.65202713012695,164.51217651367188
18,10,C/F#,C,18.0,623.6106567382812,193.59661865234375,134.34454345703125,246.0025634765625,1091.3902587890625,344.5673828125,517.6390991210938,621.880615234375,121.70203399658203,50.97806167602539,60.52817916870117,209.2129364013672
19,10,F7,F,19.0,96.88101196289062,34.43849182128906,37.65084457397461,133.24293518066406,214.63018798828125,69.62361145019531,73.18488311767578,67.11997985839844,29.589494705200195,39.3977165222168,19.466463088989258,30.73894500732422
20,11,Amin7,A,20.0,578.390625,145.573486328125,109.04146575927734,558.351806640625,1061.1002197265625,267.9079284667969,142.59571838378906,512.2046508789062,437.9895324707031,1707.8155517578125,333.2181701660156,203.3321533203125
21,11,D7,D,21.0,716.7223510742188,283.0566101074219,679.7293090820312,227.9410858154297,211.4563446044922,185.11639404296875,864.4900512695312,228.86346435546875,104.765625,496.7075500488281,131.2328643798828,109.89412689208984
22,12,A7,A,22.0,76.50605773925781,253.572998046875,91.3009033203125,106.82122802734375,371.5955810546875,142.54351806640625,96.94696044921875,246.32373046875,162.4893035888672,234.48265075683594,61.87923049926758,44.08352279663086
23,12,Bb7,Bb,22.66666666666667,22.172861099243164,72.4211196899414,25.54559898376465,37.62883377075195,120.09490203857422,21.594663619995117,14.772147178649902,60.42869186401367,28.686891555786133,21.0506649017334,4.641812801361084,6.157442092895508
24,12,A7,A,23.33333333333333,16.287145614624023,43.752567291259766,130.36065673828125,44.44007873535156,130.29672241210938,251.27723693847656,61.28114318847656,19.83786964416504,67.05279541015625,111.85418701171875,130.4901885986328,22.647756576538086
25,13,Dmin7,D,24.0,648.2752075195312,623.9544067382812,1067.8614501953125,289.8861999511719,589.30810546875,1205.0986328125,358.0055236816406,321.8648681640625,305.75006103515625,1093.7891845703125,302.4203796386719,146.88572692871094
26,13,C/C,C,25.0,482.0980224609375,159.20034790039062,133.09934997558594,271.7763366699219,1109.051513671875,398.5731201171875,116.54476165771484,440.1844787597656,104.43184661865234,77.93419647216797,46.54928207397461,163.98277282714844
27,14,Bmin7,B,26.0,223.6192169189453,269.2879333496094,701.4369506835938,424.462646484375,277.5838928222656,331.9008483886719,1164.6256103515625,309.22015380859375,164.30015563964844,679.7054443359375,269.9090881347656,590.7133178710938
28,14,Bb7,Bb,27.0,242.41188049316406,188.6336212158203,675.3960571289062,206.84657287597656,247.025146484375,888.3359985351562,386.0289611816406,129.64247131347656,505.0995178222656,366.093505859375,582.2852783203125,222.8466339111328
29,15,Amin7,A,28.0,529.5607299804688,152.67686462402344,201.68251037597656,480.277587890625,1022.7531127929688,374.0106506347656,139.6785430908203,530.3319702148438,297.9519348144531,540.3745727539062,159.7570343017578,212.4021759033203
30,15,D7,D,29.0,216.90357971191406,108.3751220703125,283.2485046386719,117.6570053100586,253.5752410888672,146.24705505371094,575.4610595703125,368.6787414550781,155.63331604003906,205.3018798828125,44.647403717041016,72.22319793701172
31,16,C#min7,C#,30.0,230.70277404785156,502.0312805175781,165.3322296142578,283.5093078613281,1035.4271240234375,307.8376159667969,121.8502426147461,95.93477630615234,427.7559509277344,112.60184478759766,109.46588897705078,565.6871948242188
32,16,F#7,F#,31.0,166.9529266357422,552.1255493164062,139.02584838867188,224.08689880371094,1003.3131713867188,531.0435180664062,459.8608703613281,117.71063232421875,140.577392578125,201.69374084472656,584.2544555664062,204.626708984375
33,17,F7,F,32.0,583.9686889648438,239.3741912841797,239.7171173095703,1128.7825927734375,923.8047485351562,688.6454467773438,160.8637237548828,129.8534698486328,221.78648376464844,737.9248046875,221.87255859375,189.52809143066406
