,Measure,Moanin,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
21,19,F,F,37.0,2404.340576171875,608.0309448242188,539.4801635742188,358.8177490234375,1043.385009765625,5084.6982421875,815.3917846679688,211.76866149902344,330.365966796875,1708.8726806640625,622.6077880859375,451.60302734375
22,21,Bb/F,Bb,40.0,21.92974090576172,16.19904327392578,54.928558349609375,55.053436279296875,40.40916061401367,118.12734985351562,32.73072814941406,105.11054229736328,663.0512084960938,277.0240783691406,861.4249877929688,130.6461639404297
23,21,F,F,41.0,2526.188232421875,614.9642944335938,485.1965637207031,261.0420837402344,1040.3338623046875,5091.8681640625,807.6216430664062,200.60581970214844,327.0001220703125,1716.0101318359375,628.2971801757812,453.0177307128906
24,23,Bb/F,Bb,44.0,19.604572296142578,15.378704071044922,53.5944709777832,51.38863754272461,39.458526611328125,120.0,32.80820083618164,103.14239501953125,651.0082397460938,277.7786560058594,856.43798828125,128.4672088623047
25,23,F,F,45.0,2400.361083984375,597.988037109375,489.7056579589844,252.1054229736328,1037.2930908203125,5092.97998046875,805.6669921875,198.6543426513672,325.8750915527344,1713.3162841796875,620.1591186523438,434.8611755371094
26,25,Bb/F,Bb,48.0,220.57301330566406,44.617095947265625,54.77374267578125,79.4006118774414,36.82899856567383,93.39276123046875,21.36244010925293,16.705062866210938,9.258626937866211,18.779062271118164,42.76005554199219,54.642093658447266
27,25,F,F,49.0,2456.825439453125,608.815185546875,494.2557678222656,260.7008361816406,1033.254150390625,5077.93408203125,804.5507202148438,198.3468780517578,325.0163269042969,1709.38818359375,618.7999267578125,449.0502014160156
28,27,Fmin7,F,52.0,94.35161590576172,26.3304500579834,30.3198184967041,133.39622497558594,55.13569641113281,64.71527862548828,23.630563735961914,28.403915405273438,101.03401947021484,36.31468200683594,12.138243675231934,25.86189079284668
29,27,Ab7,Ab,52.5,76.6904525756836,25.927827835083008,28.045442581176758,107.16048431396484,43.38957595825195,61.858577728271484,205.3702392578125,54.29673767089844,78.92636108398438,26.45703125,11.304027557373047,20.7022705078125
30,27,G7,G,53.0,72.23424530029297,30.134546279907227,68.43867492675781,89.53096771240234,69.19783020019531,234.5896453857422,107.0682601928711,75.96446990966797,36.43291091918945,18.9725284576416,30.580961227416992,105.80764770507812
31,27,C7,C,53.5,16664.103515625,3791.171630859375,6913.2734375,13584.8037109375,37302.21484375,23167.341796875,8523.1533203125,15464.7138671875,3824.236083984375,2759.543701171875,12082.78515625,11829.87109375
32,35,Bbmin7,Bb,68.0,90.50699615478516,320.6307067871094,63.53773498535156,40.0622673034668,146.99034118652344,599.7044677734375,114.73566436767578,35.23336410522461,177.7158966064453,118.39789581298828,305.9457702636719,95.03973388671875
33,35,Ab7,Ab,69.0,322.7510681152344,113.72798919677734,105.3929443359375,468.7561950683594,161.44032287597656,225.4101104736328,677.9760131835938,195.2810516357422,311.25750732421875,70.95654296875,38.927162170410156,76.6628646850586
34,36,G7,G,70.0,125.5537338256836,64.64261627197266,208.04307556152344,244.8922119140625,183.11944580078125,746.285888671875,287.6366882324219,277.40545654296875,83.98334503173828,52.766300201416016,77.06301879882812,359.0998840332031
35,36,C7,C,71.0,337.4583435058594,90.73339080810547,65.52958679199219,177.08692932128906,712.9436645507812,280.45758056640625,122.90563201904297,296.66693115234375,82.92665100097656,63.1829948425293,351.7405700683594,219.03492736816406
36,37,Fmin7,F,72.0,1399.5281982421875,309.7684326171875,393.500244140625,1887.4027099609375,1040.7001953125,1019.384033203125,243.9896240234375,396.3296813964844,904.164794921875,236.38507080078125,127.55211639404297,319.9610900878906
37,38,F7,F,74.0,404.860595703125,100.51432037353516,115.78607940673828,598.9849853515625,266.0839538574219,228.17633056640625,78.99647521972656,80.12398529052734,71.50699615478516,208.06285095214844,63.54508590698242,83.13446807861328
38,38,F7,F,75.0,397.7076721191406,99.12935638427734,112.82355499267578,583.5658569335938,253.5319061279297,236.95106506347656,78.62532806396484,81.5197982788086,69.52729034423828,213.0624542236328,60.05231857299805,77.59579467773438
39,39,Bbmin7,Bb,76.0,152.50746154785156,322.3409118652344,81.79866790771484,149.97018432617188,209.067138671875,698.4509887695312,125.97852325439453,40.023101806640625,187.9537353515625,127.28487396240234,309.0935974121094,102.35425567626953
40,39,Ab7,Ab,77.0,321.9833068847656,116.99056243896484,104.5870132446289,460.5094299316406,165.7145538330078,231.7484130859375,671.1091918945312,197.42974853515625,316.6388854980469,74.01073455810547,42.82550048828125,80.2082748413086
41,40,G7,G,78.0,385.0166931152344,203.3330535888672,651.2857666015625,751.0153198242188,530.6602172851562,2379.390869140625,862.3764038085938,883.3037719726562,223.45648193359375,169.8131103515625,243.289794921875,1163.5723876953125
42,41,Gdim,G,80.0,237.8413543701172,1224.5899658203125,279.8227844238281,82.1181869506836,90.9007339477539,180.390380859375,175.56260681152344,810.508544921875,167.40267944335938,195.1569366455078,907.8749389648438,224.21209716796875
43,42,C7,C,82.0,1135.809814453125,232.57496643066406,79.21558380126953,431.6583557128906,2301.31494140625,437.1295471191406,172.7995147705078,918.6500854492188,267.00677490234375,186.69677734375,980.76123046875,476.2229919433594
44,43,Fmin7,F,84.0,98.15108489990234,27.400903701782227,31.15715980529785,129.9531707763672,51.541988372802734,55.23983383178711,23.677473068237305,30.585599899291992,100.80960845947266,35.9615478515625,11.552559852600098,27.13374137878418
45,43,Ab7,Ab,84.5,71.9820556640625,24.771080017089844,27.384775161743164,109.1471939086914,45.93851852416992,59.284515380859375,203.0120391845703,55.075042724609375,79.67504119873047,26.816286087036133,15.600390434265137,20.823362350463867
46,43,G7,G,85.0,69.38595581054688,30.31595802307129,69.87671661376953,87.58992767333984,66.75975036621094,233.547607421875,107.6715316772461,71.71478271484375,35.023441314697266,19.109975814819336,30.77024269104004,104.88064575195312
47,43,C7,C,85.5,1908.736328125,449.4651184082031,657.7916870117188,1474.912109375,4140.05126953125,2482.142333984375,949.32861328125,2031.6959228515625,515.9682006835938,364.0716857910156,1617.7127685546875,1342.10693359375
