,Measure,filthy mcnasty,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
24,19,Bb,Bb,37.0,4829.24072265625,3817.574951171875,3067.1298828125,1558.4833984375,1555.9566650390625,4584.41357421875,1045.8052978515625,1768.2265625,1412.609375,964.5361938476562,1389.013671875,908.8526000976562
25,24,Bb7,Bb,46.0,223.32627868652344,532.5911254882812,2962.671875,707.2971801757812,806.3051147460938,4426.89697265625,1067.0220947265625,246.46568298339844,675.7817993164062,2379.187744140625,7465.5,1096.8885498046875
26,28,Eb7,Eb,54.0,467.7148742675781,2412.337890625,911.5908813476562,2102.000244140625,676.4950561523438,2347.278076171875,550.8516845703125,367.3740539550781,906.72412109375,1091.413818359375,4082.107177734375,636.4391479492188
27,32,F7,F,62.0,336.1896667480469,898.0726928710938,511.5927429199219,1490.6383056640625,755.259765625,349.7289733886719,226.49072265625,729.6967163085938,245.71372985839844,218.96238708496094,861.5026245117188,294.1426086425781
28,33,Eb7,Eb,64.0,198.70240783691406,417.1161193847656,2192.774169921875,793.4912719726562,430.0950927734375,1369.2745361328125,418.3163757324219,265.4991455078125,760.183349609375,735.545166015625,2739.465576171875,442.6466064453125
29,34,Bb7,Bb,66.0,180.4460906982422,51.04002380371094,54.16636276245117,249.6293182373047,116.95944213867188,134.94496154785156,52.921451568603516,57.37569808959961,38.57843017578125,103.5096664428711,40.62997817993164,38.2021369934082
30,34,Cmin7,C,66.66666666666667,59.77132797241211,13.610000610351562,20.243989944458008,101.64901733398438,41.08515930175781,45.00184631347656,11.901459693908691,5.193515300750732,5.8031535148620605,6.819639682769775,4.8231072425842285,12.994945526123047
31,34,F7,F,67.33333333333333,202.29144287109375,64.77125549316406,130.7650146484375,341.8129577636719,140.42596435546875,298.4586181640625,54.77499771118164,26.728883743286133,20.581907272338867,131.5198211669922,744.33544921875,148.69873046875
32,36,Ab13,Ab,70.0,534.4922485351562,878.26708984375,869.2918090820312,1349.48291015625,1122.3800048828125,1675.9818115234375,2809.7255859375,1171.075927734375,354.9171447753906,321.1343078613281,457.1722412109375,1129.1966552734375
33,37,A13,A,72.0,181.349609375,65.02428436279297,110.4938735961914,291.89300537109375,200.6627960205078,345.7486572265625,116.21887969970703,150.89260864257812,96.3548355102539,234.8701934814453,1403.0067138671875,261.286376953125
34,37,Bb13,Bb,73.0,35.65747833251953,17.989789962768555,28.81043243408203,62.17103576660156,45.32439041137695,110.6560287475586,42.922149658203125,34.05179977416992,56.071014404296875,213.37762451171875,1276.511474609375,206.7303924560547
35,38,E13,E,74.0,1342.2044677734375,1683.9725341796875,3229.405029296875,2741.057861328125,1974.0858154296875,1258.6826171875,2770.446044921875,1270.4302978515625,1202.1063232421875,2046.3287353515625,1492.8681640625,1976.3466796875
36,39,F13,F,76.0,88.19429779052734,200.9283905029297,82.15143585205078,117.17227172851562,314.74444580078125,208.38352966308594,158.476806640625,36.516361236572266,86.99691009521484,218.00379943847656,1260.2236328125,278.3851013183594
37,39,Gb13,Gb,77.0,180.8703155517578,94.95205688476562,250.1574249267578,266.0073547363281,155.6309051513672,427.83203125,112.8960189819336,59.26359176635742,50.74407958984375,170.5120391845703,225.42686462402344,72.55821990966797
38,40,Dminor-seventh(b5),D,78.0,50.663089752197266,40.78626251220703,110.62188720703125,52.5031852722168,107.3442153930664,446.3668518066406,145.20867919921875,181.90411376953125,179.7215576171875,237.1578826904297,1276.855712890625,362.9994812011719
39,40,G7(b9),G,79.0,213.6988983154297,63.627498626708984,138.8935089111328,579.0567016601562,151.4979705810547,198.1013641357422,77.5927505493164,212.4767303466797,63.02726745605469,65.85298919677734,172.1874542236328,98.073486328125
40,41,Cmin7(b5),C,80.0,460.1878967285156,805.7021484375,299.0296936035156,344.5316467285156,271.5321960449219,246.42457580566406,128.2197723388672,313.7171630859375,257.8449401855469,147.9192352294922,180.12364196777344,122.55511474609375
41,41,F7,F,80.66666666666667,183.6185760498047,174.1510467529297,160.192138671875,226.997314453125,166.86647033691406,377.5743713378906,158.5293426513672,170.00796508789062,298.6450500488281,125.44448852539062,160.00323486328125,70.65128326416016
42,41,Bb13(#9),Bb,81.33333333333333,208.52085876464844,244.0810546875,217.042724609375,531.8239135742188,411.10498046875,401.7633972167969,670.55908203125,341.1113586425781,228.7502899169922,740.7760620117188,333.2289733886719,302.1080017089844
43,42,Ab13,Ab,82.0,192.68849182128906,90.41693878173828,124.65744018554688,342.3320617675781,250.91668701171875,397.5386047363281,281.5661315917969,244.36021423339844,304.1578369140625,117.50824737548828,64.32711029052734,121.48259735107422
44,42,A13,A,82.66666666666667,173.91351318359375,255.73777770996094,179.60157775878906,248.3103485107422,227.4291229248047,387.348388671875,476.3410339355469,239.3726806640625,212.75732421875,323.4179382324219,180.6845703125,175.8137664794922
45,42,Bb13,Bb,83.33333333333333,279.3874816894531,160.1165008544922,200.7504119873047,493.9865417480469,327.3568420410156,354.9361877441406,279.0704345703125,404.2418518066406,378.3754577636719,195.2898406982422,141.12124633789062,160.1076202392578
46,43,Ab13,Ab,84.0,119.0778579711914,33.61324691772461,72.03754425048828,226.65464782714844,329.2660827636719,170.97926330566406,86.3289566040039,120.32494354248047,79.28941345214844,32.589298248291016,44.144100189208984,74.78833770751953
47,43,A13,A,84.66666666666667,28.190689086914062,9.449397087097168,27.293760299682617,53.72273254394531,28.191972732543945,36.92441177368164,21.95383644104004,16.911802291870117,10.612447738647461,9.735400199890137,12.875853538513184,18.832813262939453
48,43,Bb13,Bb,85.33333333333333,2.729339599609375,1.7951658964157104,2.696770668029785,4.531565189361572,3.1094143390655518,4.293640613555908,6.0187087059021,1.79056978225708,0.5238495469093323,1.2571355104446411,2.7387239933013916,2.3885562419891357
