,Measure,Diverse,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
12,10,F7,F,18.0,1273.6209716796875,322.5181884765625,387.2347106933594,2005.95556640625,1225.110107421875,2240.33740234375,503.0928649902344,555.4852905273438,298.94793701171875,831.0148315429688,418.5848388671875,327.5088195800781
13,11,Bbmin7,Bb,20.0,459.3238525390625,1542.8624267578125,279.54803466796875,161.86830139160156,354.6287536621094,1768.3226318359375,377.7876892089844,179.7981719970703,622.2486572265625,462.5901184082031,1385.5067138671875,344.2353820800781
14,12,Fmin7,F,22.0,1319.12646484375,308.1015625,378.0354919433594,1877.4156494140625,1135.764892578125,1296.8082275390625,295.7240295410156,479.29296875,1621.5570068359375,410.0686340332031,141.60934448242188,326.3516540527344
15,13,Bb7,Bb,24.0,166.256103515625,362.4183044433594,1386.0087890625,374.1788330078125,458.2198181152344,2037.6617431640625,455.2436218261719,121.51094818115234,608.7505493164062,549.0897827148438,1022.8471069335938,255.33152770996094
16,14,Ebmin7,Eb,26.0,175.19920349121094,1080.3441162109375,776.9215698242188,1955.4580078125,325.4131164550781,505.69287109375,2607.073974609375,3156.334228515625,562.8521728515625,256.0517272949219,1246.7445068359375,260.1333923339844
17,15,Ebmin7,Eb,28.0,181.4746551513672,1038.5802001953125,562.4497680664062,1884.5853271484375,300.7242431640625,448.5947570800781,2117.934326171875,346.6270751953125,57.206600189208984,192.00830078125,1068.8133544921875,195.0768280029297
18,16,Ebmin7,Eb,30.0,181.57489013671875,1094.718994140625,589.9763793945312,1916.6180419921875,290.985107421875,381.8288269042969,2112.758544921875,337.3857116699219,47.68497085571289,182.22027587890625,1092.5506591796875,196.6364288330078
19,17,Ab7,Ab,32.0,1161.939208984375,1045.4727783203125,543.7565307617188,1692.4505615234375,607.8928833007812,445.3841247558594,2219.15478515625,653.4531860351562,930.7744140625,438.8609313964844,1637.9981689453125,448.0162353515625
20,18,Dbmaj7,Db,34.0,1964.0294189453125,1446.61767578125,229.50917053222656,231.18836975097656,815.4392700195312,2635.60546875,558.2986450195312,353.2324523925781,1478.1893310546875,320.9222717285156,116.67660522460938,377.1141052246094
21,19,Cmin7,C,36.0,305.86370849609375,93.86701202392578,125.97425079345703,557.1016845703125,202.10365295410156,118.56771087646484,76.9601058959961,265.5998840332031,71.77787780761719,445.9126892089844,2360.578369140625,449.8502502441406
22,19,F7,F,37.0,262.0101623535156,73.95700073242188,95.48453521728516,421.4080505371094,232.8878936767578,403.9819641113281,104.11672973632812,45.061885833740234,53.27922058105469,147.2769012451172,66.3479232788086,59.32177734375
23,20,Bbmin7,Bb,38.0,621.3479614257812,1782.8349609375,493.0133361816406,551.7636108398438,754.8271484375,3293.197265625,650.2698364257812,299.0830993652344,1397.8814697265625,817.784423828125,2017.77880859375,397.2861328125
24,21,Cmin7,C,40.0,294.45501708984375,93.22985076904297,186.40576171875,568.3683471679688,200.7117462158203,79.01239013671875,197.5077667236328,1308.0020751953125,226.31129455566406,92.72978973388672,445.865234375,183.27845764160156
25,21,F7,F,41.0,374.0663146972656,100.1727294921875,112.18649291992188,572.1213989257812,278.2288818359375,246.25047302246094,87.94522094726562,128.5372314453125,77.19142150878906,221.008056640625,76.06262969970703,82.38594055175781
26,22,Bbmin7,Bb,42.0,674.2528686523438,1467.2835693359375,345.0428161621094,525.8885498046875,647.9415283203125,2365.400390625,440.2580871582031,495.5545654296875,833.0294799804688,447.52001953125,1360.4471435546875,366.4799499511719
27,23,Cmin7,C,44.0,368.3094787597656,497.2644348144531,172.8170928955078,527.8084106445312,210.6507110595703,91.77982330322266,78.6545639038086,290.0908508300781,79.81580352783203,80.5597915649414,378.0877685546875,175.2113800048828
28,23,F7,F,45.0,733.98193359375,333.9090270996094,295.47454833984375,1068.3587646484375,575.4176025390625,435.9066467285156,170.8034210205078,162.76486206054688,195.2269744873047,578.9625854492188,240.94139099121094,628.9434204101562
29,24,Bbmin7,Bb,46.0,594.7571411132812,1514.21630859375,375.416748046875,711.9981079101562,714.7077026367188,2904.057861328125,527.8904418945312,150.59349060058594,651.2142333984375,417.9352111816406,998.6891479492188,313.700927734375
30,25,Cmin7,C,48.0,1205.802734375,978.600830078125,477.115478515625,1897.9891357421875,667.1368408203125,584.9370727539062,278.4870300292969,1006.0700073242188,239.61419677734375,274.72808837890625,1113.0384521484375,510.996337890625
31,26,Bbmin7,Bb,50.0,360.6126403808594,1305.5235595703125,246.873291015625,156.3592529296875,428.309326171875,2010.0301513671875,354.1042785644531,117.85504913330078,603.007080078125,392.1105651855469,1338.7613525390625,327.95013427734375
32,27,F7,F,52.0,1920.7044677734375,499.5147399902344,593.2180786132812,3299.7666015625,1573.4471435546875,1792.13037109375,371.0033874511719,368.6305236816406,315.3770751953125,994.4074096679688,323.1348571777344,393.17529296875
