,Measure,TheOddCouple,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
14,8,Gmin7,G,14.0,93.0955810546875,159.69949340820312,577.3020629882812,158.10531616210938,212.76097106933594,814.3240356445312,448.0077819824219,1309.600341796875,297.5235900878906,263.5167541503906,563.7677612304688,218.9473114013672
15,8,C7,C,15.0,586.6016235351562,175.52081298828125,359.7818908691406,317.6910705566406,1141.22509765625,421.844482421875,142.82125854492188,468.0657653808594,129.6990509033203,197.1446533203125,561.9013061523438,278.7706604003906
16,9,Gmin7,G,16.0,145.63995361328125,132.0102081298828,375.0904235839844,110.84697723388672,366.3683776855469,880.7179565429688,358.7478332519531,579.4840087890625,155.7178192138672,250.06390380859375,598.7100830078125,156.81085205078125
17,9,C7,C,17.0,919.0807495117188,206.091796875,186.3292999267578,320.2399597167969,1155.8065185546875,412.3894348144531,136.01268005371094,586.5542602539062,159.6685028076172,191.1569061279297,886.6654663085938,350.6258544921875
18,10,Gmin7,G,18.0,148.28164672851562,132.36875915527344,374.0863952636719,110.86529541015625,368.0013427734375,925.4995727539062,389.9764099121094,733.4779663085938,204.788330078125,460.69677734375,1885.4381103515625,348.35302734375
19,10,C6,C,19.0,557.2529907226562,187.687744140625,161.61778259277344,286.99627685546875,1084.45849609375,401.4062805175781,189.95936584472656,924.14453125,234.13002014160156,469.2247619628906,120.93318939208984,211.59706115722656
20,11,Gmin7,G,20.0,142.95054626464844,127.24333953857422,356.1104431152344,108.2789077758789,364.8063659667969,878.0737915039062,358.4794616699219,591.7703857421875,164.07659912109375,282.83746337890625,573.2454223632812,154.74864196777344
21,11,C7,C,21.0,19.547788619995117,16.33639907836914,52.06412887573242,16.20075225830078,52.455810546875,201.5873565673828,34.44169235229492,19.135499954223633,3.9921457767486572,8.963988304138184,13.437625885009766,8.002058982849121
22,12,F7,F,22.0,645.4922485351562,158.81436157226562,223.2635498046875,1071.968994140625,923.4531860351562,524.0587768554688,132.11370849609375,234.17291259765625,240.62184143066406,552.3283081054688,337.8355712890625,197.50852966308594
23,12,B7,B,23.0,123.79479217529297,41.07957077026367,68.94901275634766,269.4967956542969,144.6256866455078,118.60549926757812,98.39966583251953,35.391578674316406,94.84957122802734,561.0545043945312,103.3505630493164,61.45815658569336
24,13,Bbmaj7,Bb,24.0,366.6214599609375,696.1245727539062,2491.9208984375,1468.2921142578125,1161.3170166015625,3870.525146484375,1497.9822998046875,351.8464050292969,304.8635559082031,1597.1773681640625,2359.663818359375,865.445556640625
25,14,Emin7,E,26.0,133.3675079345703,143.5997772216797,748.348876953125,331.5564880371094,1006.5167846679688,237.01942443847656,124.07071685791016,459.5987854003906,109.48882293701172,62.117183685302734,107.15298461914062,599.5949096679688
26,14,A7,A,27.0,28.75629425048828,57.3353271484375,78.2061538696289,72.33648681640625,224.55833435058594,78.31189727783203,26.412588119506836,85.11454010009766,113.79402923583984,542.1048583984375,84.88304901123047,41.722652435302734
27,15,Dmin7,D,28.0,1060.1668701171875,408.26513671875,555.4825439453125,187.33349609375,619.8594360351562,1135.1663818359375,289.7649230957031,259.1809387207031,171.36094665527344,653.9563598632812,135.4669647216797,187.39247131347656
28,15,G7,G,29.0,244.75352478027344,152.9307098388672,419.0982360839844,225.14979553222656,272.0710754394531,998.659423828125,456.3573913574219,502.9255065917969,208.2662353515625,589.4733276367188,200.7056884765625,568.7937622070312
29,16,Bbmaj7,Bb,30.0,81.26493835449219,121.1714859008789,368.6588439941406,119.40013885498047,242.0822296142578,782.1123046875,213.8749542236328,69.9457778930664,118.74395751953125,573.3230590820312,588.927490234375,210.96189880371094
30,16,A7,A,31.0,23.893959045410156,62.2707633972168,85.4696044921875,40.9318962097168,107.5789566040039,240.57749938964844,47.83914566040039,43.60335159301758,115.45441436767578,620.5444946289062,98.7309799194336,28.5877628326416
31,17,Dmin7,D,32.0,663.9500122070312,394.9779052734375,885.311767578125,217.7565460205078,583.9454956054688,1171.1624755859375,311.2519226074219,156.94407653808594,117.2999496459961,511.0172119140625,126.08136749267578,140.2697296142578
32,17,G7,G,33.0,225.61366271972656,162.87181091308594,412.5473327636719,233.59251403808594,349.916748046875,1074.32861328125,471.0286560058594,566.4188842773438,396.0438537597656,1867.0714111328125,406.1231384277344,581.9519653320312
33,18,Emin7(b5),E,34.0,578.5297241210938,388.3564453125,2123.681396484375,1108.3599853515625,3631.013916015625,1408.73974609375,780.3544311523438,4017.828125,772.9009399414062,214.74720764160156,560.2401733398438,3454.541015625
34,19,A7,A,36.0,425.6533508300781,1811.9512939453125,466.0391845703125,641.2989501953125,2764.664306640625,835.8456420898438,345.0851745605469,1656.93115234375,905.4779663085938,1604.1248779296875,328.6258239746094,337.0736083984375
35,20,F7,F,38.0,584.8834838867188,169.7297821044922,236.7208251953125,1006.4476928710938,569.8657836914062,399.5455017089844,108.8381118774414,143.91407775878906,258.7388000488281,869.1552124023438,189.0052490234375,159.3724365234375
36,20,B7,B,39.0,248.01361083984375,131.5201416015625,269.0254821777344,1096.470458984375,257.2236022949219,274.8765869140625,1100.8804931640625,218.96900939941406,132.5675506591797,659.0574340820312,238.90599060058594,548.7798461914062
37,21,Bbmaj7,Bb,40.0,350.7263488769531,928.436279296875,4255.416015625,1634.83544921875,1001.98046875,3769.172607421875,1248.8355712890625,297.831787109375,332.04150390625,1684.32275390625,2097.503173828125,631.6484375
38,22,Emin7,E,42.0,115.52072143554688,137.1143035888672,714.0234985351562,319.9120178222656,1009.322265625,234.46583557128906,120.91387176513672,455.406982421875,109.41230010986328,63.175540924072266,90.96127319335938,483.2875671386719
39,22,A7,A,43.0,27.787559509277344,57.191593170166016,76.28900146484375,73.98897552490234,228.69993591308594,77.86884307861328,29.491737365722656,87.78433227539062,114.1353530883789,542.7637329101562,84.70198822021484,44.20078659057617
40,23,Gmin7,G,44.0,474.1483154296875,843.0963745117188,1970.4439697265625,571.8593139648438,1658.62841796875,3275.302490234375,1194.6241455078125,2220.191162109375,549.662109375,1116.0740966796875,2051.076171875,448.7791748046875
41,24,C7,C,46.0,1865.44970703125,552.4971313476562,1257.6536865234375,905.448486328125,4000.3076171875,1345.5821533203125,381.0257873535156,1498.1689453125,446.867919921875,446.8559265136719,1702.6934814453125,775.6370239257812
42,25,Fmaj7,F,48.0,2167.791748046875,598.3574829101562,1349.289306640625,877.791748046875,3358.4345703125,1827.23876953125,346.9227294921875,403.8387756347656,647.7501831054688,1786.6463623046875,386.9184265136719,557.079345703125
43,26,Bb7,Bb,50.0,147.48606872558594,338.4590148925781,1487.5086669921875,347.7814636230469,284.7716369628906,1060.9029541015625,270.0838317871094,125.95953369140625,481.9772644042969,341.8501892089844,595.3148803710938,145.8544464111328
44,26,A7,A,51.0,1087.2698974609375,4541.90283203125,1817.7020263671875,1590.8291015625,7089.02783203125,3346.875244140625,960.9668579101562,3859.483642578125,1999.42578125,3600.369384765625,743.0689086914062,570.5059204101562
