,Measure,MrMagicII,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
15,20,F7,F,38.0,2040.9564208984375,479.9869384765625,697.9828491210938,3284.127685546875,1737.7733154296875,1528.8865966796875,399.1501770019531,782.7802734375,597.6116333007812,1731.0631103515625,498.2131042480469,499.3511047363281
16,21,Ebmaj7,Eb,40.0,173.3410186767578,415.4505920410156,2583.551513671875,3408.742431640625,650.3173217773438,272.777587890625,388.278076171875,2141.843505859375,496.54443359375,414.8714294433594,1893.5916748046875,439.7738342285156
17,22,Abmaj7,Ab,42.0,1754.083984375,457.5936584472656,677.8507690429688,2541.199462890625,858.1105346679688,290.8993835449219,394.5582275390625,2177.13330078125,1834.7181396484375,359.936279296875,178.231201171875,512.4555053710938
18,23,Ebmaj7,Eb,44.0,186.7484130859375,443.2408447265625,2763.466064453125,3578.181640625,648.0243530273438,217.30426025390625,380.9125061035156,2175.721923828125,512.9605102539062,411.6870422363281,1894.2681884765625,431.471435546875
19,24,Abma7,Ab,46.0,1745.4708251953125,460.6539001464844,683.8606567382812,2542.9189453125,855.40966796875,282.29541015625,398.9966735839844,2173.292236328125,1830.4658203125,357.7292785644531,178.2578582763672,511.12158203125
20,25,Ebma7,Eb,48.0,185.6035614013672,439.414306640625,2746.473876953125,3574.231689453125,647.7536010742188,212.47515869140625,379.4541320800781,2176.814697265625,512.7459716796875,411.9061584472656,1895.5130615234375,430.0870361328125
21,26,G7,G,50.0,522.791748046875,349.4504089355469,1092.9637451171875,695.4236450195312,812.0193481445312,3698.060791015625,1342.8172607421875,1695.8121337890625,349.2471008300781,280.5182800292969,423.571044921875,1917.3175048828125
22,27,Cmin7,C,52.0,2836.234375,583.6718139648438,879.021728515625,3289.685302734375,1087.8238525390625,331.46392822265625,328.0084533691406,1689.2421875,391.0361022949219,561.5000610351562,3136.601318359375,1215.8563232421875
23,28,F7,F,54.0,2017.9541015625,457.0921325683594,664.01611328125,3263.022705078125,1680.36669921875,1321.2584228515625,299.0884704589844,389.9091796875,521.6630859375,1681.2623291015625,417.4405822753906,467.1288146972656
24,29,Cmin7,C,56.0,1710.7052001953125,416.8100891113281,822.5185546875,3131.978759765625,1011.58984375,272.1715393066406,291.1907043457031,1500.2247314453125,306.1120300292969,367.5473327636719,1935.693359375,740.5546875
25,30,F7,F,58.0,2021.1842041015625,451.8864440917969,676.1924438476562,3263.359619140625,1687.7808837890625,1363.437255859375,301.1016540527344,388.6650085449219,516.4478149414062,1672.9560546875,412.8748779296875,469.4622802734375
26,31,G7,G,60.0,104.10747528076172,61.07395553588867,133.46315002441406,159.9116668701172,121.78247833251953,378.7474670410156,158.2660675048828,226.59959411621094,63.3012809753418,38.06136703491211,54.96257400512695,175.49095153808594
27,32,Cmin7,C,62.0,1736.05810546875,437.9533386230469,980.4520874023438,3295.154541015625,1080.3531494140625,535.9080200195312,380.8709716796875,1745.6549072265625,400.1628723144531,566.9729614257812,2923.2900390625,996.0518188476562
28,33,F7,F,64.0,2002.09228515625,461.9429016113281,704.175537109375,3262.114501953125,1720.162109375,1417.4522705078125,324.7159118652344,474.1943664550781,538.7898559570312,1688.64599609375,449.4527587890625,509.6419372558594
29,34,Cmin7,C,66.0,1701.8892822265625,412.7669982910156,791.883056640625,3129.769287109375,1014.1098022460938,274.2143249511719,292.2045593261719,1504.5791015625,307.6836853027344,365.4744873046875,1928.0362548828125,723.83984375
30,35,F7,F,68.0,29632.640625,6137.12060546875,8481.28125,43314.953125,19584.013671875,17357.47265625,4241.01025390625,12047.29296875,6023.49951171875,15709.53515625,7835.77197265625,6643.177734375
