,Measure,PingPong,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
20,19,Bb7,Bb,37.0,218.42333984375,194.22157287597656,641.6273803710938,451.8907470703125,323.7792663574219,1130.7515869140625,289.3661193847656,202.40521240234375,503.6271667480469,315.9975280761719,600.0908203125,156.1395721435547
21,20,Ebmaj7,Eb,38.0,164.28521728515625,477.3175354003906,3130.369873046875,3628.7724609375,758.5753784179688,897.189208984375,388.4909973144531,1511.6832275390625,380.5931396484375,432.9352111816406,1976.9912109375,422.7784423828125
22,21,D7,D,40.0,2011.2529296875,786.3809204101562,1777.5089111328125,528.6550903320312,292.42071533203125,768.7100219726562,3768.019287109375,704.663818359375,254.774658203125,1256.3251953125,290.63116455078125,341.9164733886719
23,22,Dbmaj7,Db,42.0,3679.715087890625,2236.6298828125,477.6224060058594,315.8365173339844,782.6044921875,3861.089111328125,775.6680297851562,512.9717407226562,1299.9595947265625,273.4360656738281,146.8420867919922,535.8395385742188
24,23,Cmin7,C,44.0,1542.5321044921875,539.1087036132812,1462.84228515625,3296.659912109375,1047.746826171875,393.0418701171875,380.8800354003906,1478.9781494140625,333.68902587890625,558.3965454101562,1987.9251708984375,703.0010375976562
25,24,F7,F,46.0,2003.0362548828125,473.6611328125,686.0232543945312,3257.8837890625,1680.7357177734375,1324.9078369140625,305.1212463378906,392.2306823730469,519.2265625,1658.6632080078125,410.7291564941406,462.3687744140625
26,25,F7,F,48.0,2008.3260498046875,453.6575622558594,674.626953125,3258.427978515625,1699.4852294921875,1485.0706787109375,309.7537841796875,372.4900207519531,516.9873046875,1671.8927001953125,410.1402587890625,471.1960144042969
27,26,Bbmin7,Bb,50.0,641.7842407226562,2588.298583984375,518.2609252929688,307.30615234375,759.9816284179688,3400.521728515625,614.9722900390625,280.3914794921875,1595.7998046875,786.9611206054688,2038.9293212890625,421.458740234375
28,27,Eb7,Eb,52.0,399.1097717285156,2255.20703125,1686.0706787109375,3252.362060546875,658.1145629882812,294.98095703125,331.9315490722656,1508.93408203125,362.1929626464844,525.8711547851562,1954.6055908203125,439.783447265625
29,28,Abma7,Ab,54.0,1752.5631103515625,539.5794677734375,728.26953125,2882.882080078125,917.1217651367188,241.0081787109375,361.18310546875,1941.5880126953125,1777.61376953125,340.4665222167969,185.3021697998047,504.4087829589844
30,29,Gbmaj7,Gb,56.0,524.8981323242188,2055.458984375,449.9687194824219,530.1557006835938,779.39990234375,3437.506103515625,1951.3831787109375,385.4917297363281,301.3384094238281,554.2915649414062,1939.0450439453125,398.664306640625
31,30,Fmin7,F,58.0,2110.995361328125,520.3357543945312,670.086669921875,2737.329833984375,1291.0374755859375,1583.3057861328125,405.9255676269531,1017.7810668945312,1727.71875,390.6535949707031,217.41168212890625,515.2420043945312
32,31,Bb7,Bb,60.0,235.09693908691406,432.1732177734375,2046.7969970703125,573.1804809570312,726.3994140625,3183.069580078125,790.3762817382812,293.21856689453125,1435.7352294921875,940.35546875,2391.95263671875,422.1703796386719
33,32,F#min7,F#,62.0,493.683837890625,2093.28515625,496.2309265136719,659.8646240234375,2816.927734375,1328.7633056640625,2009.2689208984375,425.6103515625,734.4066772460938,1674.1832275390625,439.3939208984375,256.48388671875
34,33,B7,B,64.0,373.4190979003906,365.6747131347656,707.7438354492188,3360.49609375,630.1962280273438,685.6434936523438,3658.3427734375,690.9584350585938,288.2538146972656,1378.19384765625,668.0729370117188,1797.0523681640625
35,34,Bb13,Bb,66.0,2242.515380859375,722.010498046875,1380.2608642578125,2838.981201171875,1848.2568359375,1847.8531494140625,1128.330810546875,2498.863525390625,2127.728271484375,581.3009643554688,441.6321716308594,807.5858764648438
36,35,B13,B,68.0,779.0477905273438,2245.371826171875,1039.1036376953125,2294.090576171875,3279.9931640625,2048.25146484375,1933.2462158203125,792.2407836914062,2123.8017578125,2040.7408447265625,612.2145385742188,691.9647827148438
37,36,Bb13,Bb,70.0,5879.02734375,1377.0333251953125,1993.2529296875,3288.093505859375,2247.330078125,1897.7276611328125,958.6885375976562,2121.398193359375,2012.4351806640625,566.3745727539062,512.5075073242188,1271.69775390625
38,37,B13,B,72.0,718.7537231445312,2221.314697265625,1053.4241943359375,2236.260498046875,3200.822998046875,1455.8759765625,1686.7967529296875,653.6611938476562,1798.9979248046875,1906.5531005859375,752.748291015625,741.4651489257812
39,38,Bb13,Bb,74.0,5973.02392578125,1316.7421875,1687.44091796875,3331.172119140625,2293.530517578125,1952.5108642578125,1409.0377197265625,5411.39013671875,2550.271728515625,594.3809204101562,587.2793579101562,1345.5260009765625
40,39,B13,B,76.0,720.3302612304688,2223.2802734375,1059.279296875,2237.29833984375,3201.542236328125,1459.8243408203125,1724.958984375,658.5942993164062,1799.96240234375,1912.5325927734375,756.3973999023438,748.5751953125
41,40,Bb13,Bb,78.0,2375.890869140625,1004.3399047851562,3242.872802734375,3499.1015625,1761.9779052734375,2089.64501953125,954.33203125,2539.33154296875,5044.39306640625,1209.5626220703125,572.828857421875,743.8353881835938
42,41,B13,B,80.0,1448.80029296875,4289.99755859375,1893.63720703125,4298.5205078125,6128.376953125,2666.080322265625,3326.654541015625,1197.3341064453125,3281.1279296875,3339.635009765625,1056.5845947265625,1324.269287109375
