,Measure,SirDukeII,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
10,12,A7,A,23.0,154.87271118164062,567.587158203125,230.8126678466797,228.5319061279297,832.412353515625,534.6214599609375,157.63644409179688,532.4645385742188,330.40557861328125,510.2916564941406,123.99151611328125,96.24980926513672
11,13,Ab9,Ab,24.0,130.45001220703125,68.14665985107422,75.63416290283203,239.99517822265625,124.85189819335938,109.17346954345703,286.8939208984375,133.76783752441406,124.900634765625,67.86890411376953,134.85281372070312,67.2823257446289
12,13,G9,G,24.5,118.45598602294922,100.27007293701172,297.7796325683594,185.4308319091797,158.30006408691406,305.3122863769531,258.64990234375,151.8447723388672,95.6133041381836,135.5525665283203,141.64085388183594,163.7889862060547
13,13,Gb9,Gb,25.0,138.5407257080078,349.5040588378906,155.46315002441406,207.28106689453125,323.8804931640625,332.0754089355469,250.5995330810547,195.8188018798828,182.00457763671875,118.69835662841797,199.90155029296875,116.51083374023438
14,13,F9,F,25.5,378.8724365234375,129.5460968017578,92.65282440185547,209.53936767578125,276.3526306152344,171.22320556640625,77.23988342285156,103.91326904296875,81.14070892333984,114.46109771728516,72.03864288330078,145.0753631591797
15,14,Gb9,Gb,26.0,398.8828125,664.6907958984375,211.6918182373047,330.0946044921875,502.1906433105469,395.4944152832031,291.1528625488281,169.78395080566406,233.1702880859375,168.84518432617188,288.79339599609375,139.8113250732422
16,14,G9,G,26.66666666666667,136.60572814941406,178.6855926513672,410.0054931640625,180.54307556152344,224.85597229003906,371.6399841308594,207.0684814453125,260.908935546875,96.39832305908203,122.6665267944336,110.89347076416016,270.8095397949219
17,14,Ab9,Ab,27.33333333333333,106.78699493408203,64.1600341796875,69.11009979248047,168.4445037841797,98.82144927978516,162.57437133789062,190.08299255371094,58.960479736328125,55.57583999633789,61.281986236572266,92.45262908935547,74.48145294189453
18,15,Ab9,Ab,28.0,123.5273666381836,55.99599838256836,93.16888427734375,205.86830139160156,77.0887451171875,122.70498657226562,316.9732360839844,133.5019073486328,110.79444122314453,60.80307388305664,152.691162109375,81.4049301147461
19,15,G9,G,28.5,113.45450592041016,85.56639862060547,271.0769958496094,188.58702087402344,188.5852508544922,304.4239807128906,274.1047668457031,159.07948303222656,91.68984985351562,131.7436065673828,138.71849060058594,159.40943908691406
20,15,Gb9,Gb,29.0,140.54039001464844,353.5985107421875,155.4055633544922,204.56077575683594,315.8783874511719,340.3300476074219,254.79994201660156,189.94569396972656,179.7831268310547,117.1309814453125,200.7415008544922,118.15481567382812
21,15,F9,F,29.5,379.7266845703125,129.21578979492188,92.5527572631836,210.93638610839844,279.4248962402344,171.3212127685547,77.21395111083984,105.45721435546875,81.60281372070312,114.5145492553711,72.25431823730469,145.47837829589844
22,16,Gb9,Gb,30.0,127.81665802001953,149.79608154296875,66.9819107055664,103.1344985961914,123.16942596435547,109.0712890625,68.36707305908203,48.8510627746582,61.63642883300781,43.29301071166992,54.5009765625,46.085174560546875
23,16,G9,G,30.33333333333333,34.527103424072266,86.11263275146484,200.2278289794922,119.21865844726562,165.39697265625,188.4967803955078,76.26970672607422,35.29288101196289,34.869632720947266,50.00263977050781,74.7505874633789,80.59921264648438
24,16,Ab9,Ab,30.66666666666667,80.6611557006836,48.47977828979492,92.648193359375,145.7302703857422,112.52564239501953,93.68292999267578,122.11641693115234,65.3115005493164,69.25997161865234,42.14573669433594,67.98639678955078,79.88339233398438
25,16,A9,A,31.0,91.91043853759766,113.29721069335938,124.5594253540039,93.61402130126953,106.4481201171875,174.79478454589844,83.6461410522461,65.7578353881836,63.70222854614258,35.497413635253906,70.12006378173828,105.29422760009766
26,16,Bb9,Bb,31.33333333333333,63.0794677734375,47.05599594116211,50.29759216308594,69.48055267333984,43.37186813354492,43.206329345703125,28.412324905395508,23.95391845703125,36.186588287353516,29.69756507873535,29.76436424255371,30.37127685546875
27,16,Eb,Eb,31.66666666666667,17.226320266723633,32.29811477661133,46.24930191040039,93.1723861694336,50.62321090698242,48.93937301635742,42.6939582824707,50.15974426269531,25.83843231201172,22.42473793029785,54.77363586425781,21.68900489807129
28,17,Ebmaj7,Eb,32.0,313.91876220703125,503.6805419921875,2066.987548828125,2776.253662109375,1035.32568359375,926.2097778320312,596.9817504882812,2047.255859375,470.6254577636719,468.5885314941406,1981.3994140625,490.0059814453125
29,18,Amin7,A,34.0,2240.322265625,573.2564697265625,871.2868041992188,853.458984375,3138.941162109375,653.2940063476562,429.3131408691406,2048.2001953125,839.677734375,1825.1285400390625,448.5212097167969,657.5150756835938
30,19,Abmaj7,Ab,36.0,526.90478515625,163.44729614257812,241.51173400878906,761.0464477539062,253.19915771484375,74.90398406982422,124.36233520507812,596.4059448242188,512.8534545898438,113.10079956054688,53.65744400024414,171.1650390625
31,19,Gmin7,G,37.0,89.21479034423828,29.423843383789062,56.88603210449219,183.00726318359375,39.76411056518555,66.49568939208984,45.84173583984375,140.0731658935547,41.758663177490234,206.4305419921875,1323.45703125,201.7436065673828
32,20,Fmin7,F,38.0,667.30322265625,226.4326171875,366.9006652832031,775.5902709960938,427.3004150390625,547.5853881835938,362.0448913574219,1713.6741943359375,689.99853515625,229.7389373779297,497.2486572265625,216.8155517578125
33,20,Bbsus,Bb,39.0,327.4765319824219,101.93074798583984,309.628173828125,1151.9852294921875,357.3158874511719,926.6554565429688,179.4490966796875,73.34236145019531,49.20601272583008,180.45220947265625,624.2485961914062,174.2830047607422
34,21,Ebmaj7,Eb,40.0,580.2939453125,543.308349609375,3068.4248046875,3945.343505859375,813.2721557617188,897.7178344726562,429.3054504394531,1814.77734375,365.9962463378906,499.0325927734375,2525.300048828125,546.9468994140625
35,22,Amin7,A,42.0,2146.241943359375,551.6447143554688,884.7900390625,863.53759765625,3122.077880859375,652.0223999023438,412.0171813964844,2065.097412109375,831.694580078125,1837.4393310546875,439.6290283203125,600.9982299804688
36,23,Abmaj7,Ab,44.0,520.2802734375,159.42886352539062,245.12701416015625,759.79296875,253.35455322265625,75.15441131591797,121.40091705322266,589.1541748046875,508.7337646484375,112.90714263916016,54.78401565551758,167.34580993652344
37,23,Gmin7,G,45.0,149.87681579589844,145.4059295654297,407.0842590332031,337.48114013671875,261.1697692871094,903.1126098632812,396.8866271972656,679.3123779296875,198.3199005126953,402.050048828125,1691.83837890625,311.4588928222656
38,24,Fmin7,F,46.0,638.2902221679688,185.13438415527344,366.3155822753906,777.81982421875,413.6959228515625,542.825927734375,338.6803894042969,1713.2406005859375,713.3214721679688,198.5965576171875,384.0335693359375,209.1941680908203
39,24,Bbsus,Bb,47.0,327.98516845703125,96.27892303466797,251.68748474121094,1146.1676025390625,360.0952453613281,947.9675903320312,178.27586364746094,65.69956970214844,48.64986801147461,180.20884704589844,612.2625122070312,172.79237365722656
40,25,Eb,Eb,48.0,44543.79296875,11097.15234375,20381.193359375,76944.4765625,18798.583984375,32120.080078125,19162.26171875,70422.90625,14515.46875,18835.9375,103765.4609375,23228.6640625
