,Measure,1612,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
20,23,C,C,44.0,365.6732177734375,54.9723014831543,9.838974952697754,32.176631927490234,137.58322143554688,712.1560668945312,100.35882568359375,12.93230152130127,14.065192222595215,75.09404754638672,12.60709285736084,53.99541091918945
21,24,F9,F,46.0,272.9586486816406,48.51890182495117,14.746533393859863,124.1158447265625,600.6010131835938,156.74290466308594,31.048423767089844,118.42398071289062,25.743684768676758,15.122275352478027,7.431180477142334,60.99703598022461
22,25,C,C,48.0,369.3000183105469,88.34020233154297,112.83658599853516,630.3394165039062,217.7801513671875,219.63096618652344,51.94194030761719,130.01939392089844,38.082862854003906,40.971370697021484,12.37917423248291,73.01057434082031
23,26,F,F,50.0,255.7742462158203,46.25020217895508,23.427085876464844,187.87681579589844,585.2807006835938,113.02008056640625,29.700727462768555,118.493408203125,25.098228454589844,7.393682956695557,6.480220317840576,58.6475830078125
24,27,C,C,52.0,365.7659606933594,54.89103698730469,9.683245658874512,32.242557525634766,137.65765380859375,711.9700317382812,100.2409439086914,12.926441192626953,14.083149909973145,75.08089447021484,12.501246452331543,53.7858772277832
25,28,F9,F,54.0,272.9656982421875,48.400211334228516,14.715365409851074,124.12873077392578,600.6128540039062,156.7859344482422,31.07546043395996,118.43841552734375,25.737348556518555,15.118302345275879,7.407500743865967,60.89786911010742
26,29,E7,E,56.0,369.27783203125,88.26490020751953,112.87958526611328,630.382080078125,217.78672790527344,219.62330627441406,51.94572448730469,130.02919006347656,38.074615478515625,40.97267532348633,12.389762878417969,73.04193878173828
27,30,Amin7,A,58.0,455.2830810546875,385.8377990722656,2159.592041015625,1024.9111328125,3313.484130859375,594.4194946289062,188.4501190185547,256.8208312988281,1355.7945556640625,311.4120178222656,336.1604919433594,1901.9903564453125
28,31,D7,D,60.0,296.0323181152344,58.21238327026367,28.720367431640625,122.5782699584961,545.1189575195312,104.48961639404297,30.329126358032227,118.51483154296875,47.204315185546875,30.970388412475586,10.707612037658691,87.22692108154297
29,32,F9,F,62.0,350.4849548339844,84.69425201416016,205.5830535888672,50.076358795166016,43.109375,65.94705963134766,373.1338806152344,59.712398529052734,19.412317276000977,75.29651641845703,16.48076820373535,53.69797897338867
30,33,G6,G,64.0,5964.79638671875,2817.642822265625,8384.1787109375,12923.08984375,24671.912109375,6249.18896484375,5125.00341796875,10901.607421875,2821.789794921875,2235.30419921875,2734.863037109375,13105.8984375
31,38,C,C,74.0,0.5260995626449585,0.2594510316848755,1.0892783403396606,1.0502710342407227,0.7390521168708801,0.352420836687088,0.24331988394260406,0.17158372700214386,0.0756426453590393,0.13666950166225433,0.16987115144729614,0.8883612751960754
32,39,F,F,76.0,283.5836486816406,49.71168518066406,15.477252960205078,114.06749725341797,583.2139282226562,100.34915924072266,25.96595573425293,115.40299224853516,23.93273162841797,5.182284832000732,6.382808685302734,63.9638671875
33,40,C,C,78.0,354.9093322753906,52.52877426147461,6.66253662109375,18.859331130981445,135.51271057128906,708.386962890625,99.61307525634766,12.625984191894531,13.552742958068848,71.8594741821289,11.913439750671387,52.120723724365234
34,41,F9,F,80.0,1452.4903564453125,304.6501159667969,305.2097473144531,1419.92041015625,2357.921875,936.2239379882812,258.7932434082031,824.498291015625,301.27398681640625,621.7902221679688,180.1531524658203,365.6819152832031
