,Measure,ComeOnHome,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
17,23,B7,B,44.0,24.390424728393555,56.364871978759766,179.13856506347656,192.8514404296875,116.35916137695312,362.1507873535156,187.3271942138672,102.85730743408203,397.7875061035156,106.35128021240234,105.76873779296875,51.657440185546875
18,23,Bb7,Bb,45.0,36.53224563598633,23.200469970703125,82.67523956298828,301.42236328125,68.54889678955078,104.83496856689453,272.8395080566406,45.42879104614258,23.68181800842285,74.48920440673828,41.276039123535156,121.91229248046875
19,24,Ebmin7,Eb,46.0,237.8514862060547,736.8047485351562,1237.4388427734375,1232.0654296875,471.0154113769531,1427.9854736328125,1421.787109375,349.0138244628906,646.7335205078125,499.0606994628906,1149.4674072265625,318.896240234375
20,25,Fmin7,F,48.0,10.393830299377441,14.383918762207031,25.46794891357422,65.43110656738281,23.21991729736328,54.62276077270508,25.58548927307129,6.017061710357666,8.08654499053955,4.454972743988037,9.804648399353027,9.32063102722168
21,25,Bb7,Bb,49.0,232.7346954345703,61.21657180786133,85.936767578125,277.55120849609375,104.0685806274414,156.6287384033203,34.51262283325195,26.68932342529297,45.450199127197266,27.333391189575195,24.305871963500977,41.637062072753906
22,26,Ebmin7,Eb,50.0,239.9810028076172,656.538330078125,810.091552734375,1131.7403564453125,440.5788879394531,1411.8099365234375,1248.824462890625,243.4043731689453,235.83766174316406,219.63795471191406,721.54345703125,168.6016387939453
23,27,Bbmin7,Bb,52.0,11.929564476013184,15.359954833984375,16.566648483276367,54.881038665771484,15.6780424118042,38.23931121826172,24.260591506958008,6.30886697769165,7.04655122756958,5.342691421508789,9.523661613464355,4.662660121917725
24,27,Eb7,Eb,53.0,47.59880065917969,142.04074096679688,34.38680648803711,30.413537979125977,62.659061431884766,293.7958068847656,55.54500198364258,19.103734970092773,74.77796173095703,26.235246658325195,71.78086853027344,29.134872436523438
25,28,Abmin7,Ab,54.0,221.4584503173828,534.2178344726562,475.2161560058594,1681.83935546875,320.4633483886719,425.7286376953125,1228.4505615234375,750.8014526367188,568.492431640625,168.8594207763672,374.0234375,553.1239624023438
26,29,Fmin7,F,56.0,12.194098472595215,9.783963203430176,14.481904029846191,58.93022155761719,15.366539001464844,18.590219497680664,24.110244750976562,8.489267349243164,4.905073642730713,3.0823824405670166,11.911762237548828,27.71952247619629
27,29,Bb7,Bb,57.0,224.8478546142578,60.1731071472168,81.03592681884766,278.0968322753906,98.73632049560547,113.91793823242188,27.038185119628906,24.05353546142578,43.58731460571289,25.598234176635742,22.517425537109375,44.595245361328125
28,30,Ebmin7,Eb,58.0,237.33123779296875,665.0060424804688,807.12744140625,1129.5419921875,440.6132507324219,1418.4273681640625,1249.942138671875,251.0767059326172,234.37159729003906,210.317626953125,730.2261352539062,181.5494384765625
29,31,Ebmin7,Eb,60.0,125.0791015625,566.5795288085938,365.2990417480469,1028.4451904296875,214.132080078125,331.99267578125,1096.9327392578125,207.6093292236328,57.72748947143555,111.37487030029297,577.101806640625,122.36141204833984
30,32,Gbmin7,Gb,62.0,5.349771022796631,13.888678550720215,13.778075218200684,54.24702072143555,15.999323844909668,17.3115291595459,21.762876510620117,4.8386311531066895,3.1390645503997803,4.0779619216918945,7.667760372161865,2.5834484100341797
31,32,B7,B,63.0,42.26374816894531,176.3780517578125,38.38373947143555,97.38219451904297,290.06719970703125,77.53279876708984,123.83991241455078,32.512916564941406,35.09206771850586,41.8574104309082,19.466873168945312,13.757637977600098
32,33,Fmin7,F,64.0,40.925621032714844,29.848630905151367,64.81902313232422,309.3658752441406,128.49502563476562,55.97946548461914,222.7938232421875,43.73244857788086,16.701984405517578,59.58364486694336,42.469539642333984,129.60157775878906
33,33,Bb7,Bb,65.0,227.04638671875,62.771785736083984,79.23426055908203,270.2835388183594,106.03326416015625,123.00164794921875,39.739559173583984,26.10614585876465,46.167144775390625,34.34647750854492,19.500577926635742,54.87868881225586
34,34,Ebmin7,Eb,66.0,53.42454147338867,45.2608757019043,157.1333770751953,79.0982437133789,87.3906478881836,323.34832763671875,76.27993774414062,23.076019287109375,64.11561584472656,38.58553695678711,62.472625732421875,30.202306747436523
35,34,C7(#9),C,67.0,33.88233947753906,123.67791748046875,102.33016204833984,294.8918762207031,71.11518096923828,117.23075103759766,234.97735595703125,39.2349739074707,11.802748680114746,19.080928802490234,79.97232818603516,30.875694274902344
36,35,B7,B,68.0,172.8583221435547,51.21231460571289,28.737550735473633,155.3272705078125,322.3330383300781,69.57360076904297,54.4956169128418,152.37445068359375,38.7435188293457,23.760971069335938,75.27262115478516,46.878108978271484
37,35,Bb7,Bb,69.0,659.9338989257812,672.3641967773438,3129.802490234375,3319.361572265625,1731.5567626953125,4431.76806640625,2738.408447265625,697.0756225585938,1858.8348388671875,1682.2620849609375,2752.247802734375,1528.2586669921875
