,Measure,stlouisblues,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
10,11,G7,G,20.0,512.0498657226562,369.0523681640625,1261.0655517578125,703.9915161132812,852.6022338867188,3707.277587890625,1711.8546142578125,4457.349609375,923.6063842773438,1037.8394775390625,525.4198608398438,1906.1346435546875
11,12,Amin7,A,22.0,516.4121704101562,125.55030059814453,92.27056884765625,211.3095703125,894.397216796875,207.6262969970703,101.9794692993164,487.7751159667969,259.492919921875,527.1956176757812,134.4171905517578,202.1951904296875
12,12,D7,D,23.0,1319.440673828125,565.7842407226562,1285.89794921875,472.5226135253906,1174.9761962890625,731.6384887695312,2362.7255859375,736.1492309570312,243.4229278564453,812.9606323242188,216.8312225341797,310.8188781738281
13,14,Gmin7,G,26.0,220.3653106689453,478.8663635253906,2084.3427734375,473.2922058105469,689.497802734375,3058.001708984375,1188.5731201171875,1630.9381103515625,421.5492858886719,1172.9420166015625,2848.278076171875,477.6251525878906
14,15,Gmin7,G,28.0,517.9992065429688,376.7468566894531,1073.438720703125,313.1930236816406,669.3507690429688,2930.451171875,1057.665283203125,1764.8026123046875,432.0190124511719,749.8882446289062,1920.8365478515625,415.1136474609375
15,16,D7,D,30.0,1941.6097412109375,849.7459106445312,1938.8751220703125,419.2626037597656,382.9796447753906,837.9553833007812,3792.662841796875,695.6514282226562,765.5770874023438,4949.49560546875,910.8511352539062,355.2103576660156
16,17,D7,D,32.0,2012.0667724609375,810.929931640625,1898.9010009765625,399.5176696777344,246.01158142089844,746.1486206054688,3824.248291015625,689.3154296875,243.77430725097656,1264.2496337890625,282.85302734375,339.1468811035156
17,18,D7,D,34.0,3766.716064453125,1066.1563720703125,1901.4017333984375,435.5806579589844,340.4158630371094,741.7086791992188,3881.892333984375,1025.6058349609375,457.8898620605469,2073.1884765625,400.4000549316406,584.6824951171875
18,19,D7,D,36.0,2699.782958984375,915.3297729492188,1877.8173828125,407.8056945800781,272.3515625,733.5648803710938,3841.9892578125,824.0834350585938,270.9681701660156,1221.922607421875,284.74114990234375,436.7745361328125
19,20,Gmin7,G,38.0,197.9656219482422,322.3502502441406,1195.68212890625,341.3073425292969,659.251953125,3039.412841796875,1463.12255859375,4406.73779296875,965.8781127929688,1418.3690185546875,2024.1033935546875,397.07958984375
20,21,Gmin7,G,40.0,175.3213348388672,314.3433532714844,1052.235595703125,287.2529296875,622.4549560546875,2949.316162109375,1071.3782958984375,1656.0816650390625,402.1686706542969,761.6493530273438,1936.44775390625,364.3564758300781
21,22,Gmin7,G,42.0,60.80643081665039,109.4139633178711,384.7392578125,124.01385498046875,213.90492248535156,844.8847045898438,463.4334716796875,1350.068603515625,305.9081115722656,300.56494140625,931.8090209960938,174.75486755371094
22,22,Eb7,Eb,43.0,116.44512176513672,577.4389038085938,426.8937072753906,961.14794921875,299.20538330078125,302.2875671386719,128.97064208984375,468.9788513183594,279.2061462402344,1254.9940185546875,765.89208984375,144.39642333984375
23,23,Amin7,A,44.0,236.99110412597656,99.46204376220703,183.4779815673828,234.15606689453125,432.2142639160156,107.05947875976562,65.5417709350586,252.84661865234375,141.55300903320312,291.6846618652344,98.102294921875,99.78736114501953
24,23,Ddim,D,44.66666666666666,111.31612396240234,134.26766967773438,294.54888916015625,135.63487243652344,231.77256774902344,440.4725341796875,302.0612487792969,118.7916488647461,152.8985137939453,144.83961486816406,42.53338623046875,30.569002151489258
25,23,D7,D,45.33333333333334,67.3589859008789,31.220596313476562,88.9503173828125,26.366437911987305,73.56102752685547,171.8721923828125,137.15257263183594,26.061080932617188,37.58148193359375,101.43753814697266,24.417892456054688,17.620819091796875
26,24,G7,G,46.0,562.3341674804688,377.8939514160156,1218.9691162109375,718.4082641601562,842.4448852539062,3573.426025390625,1864.2833251953125,4468.72705078125,867.3998413085938,796.7943725585938,1656.5125732421875,2062.958984375
27,25,G7,G,48.0,485.4361267089844,361.0201110839844,1259.97705078125,725.5466918945312,798.7826538085938,3662.682373046875,1748.1700439453125,4691.3369140625,866.71875,389.7731018066406,877.2739868164062,1994.9959716796875
28,26,G7,G,50.0,469.78564453125,347.1748962402344,1137.8387451171875,609.6692504882812,748.4130249023438,3663.169677734375,1521.9246826171875,2943.062255859375,526.9132690429688,287.2386474609375,440.3153991699219,1937.5081787109375
29,27,G7,G,52.0,466.4637756347656,342.510009765625,1091.912353515625,609.8268432617188,755.2012329101562,3654.512939453125,1375.6065673828125,1675.119140625,345.8439636230469,283.8612060546875,428.5462951660156,1937.6134033203125
30,28,C7,C,54.0,1824.40771484375,399.7294616699219,339.8592224121094,769.2721557617188,3896.427978515625,807.180908203125,335.74761962890625,1762.6385498046875,1077.4700927734375,5014.9306640625,3414.6943359375,949.6777954101562
31,29,C7,C,56.0,1811.1494140625,416.09619140625,310.0782775878906,785.0276489257812,3856.1259765625,732.64111328125,338.7270202636719,1833.88525390625,1075.8275146484375,4979.2998046875,3385.15625,884.564208984375
32,30,G7,G,58.0,517.1482543945312,360.9779052734375,1142.5460205078125,646.9852294921875,830.7665405273438,3702.474609375,1526.21826171875,2934.340576171875,524.6078491210938,285.8088684082031,436.3310852050781,1890.92529296875
33,31,E7(#9),E,60.0,503.567138671875,522.5845336914062,2315.872314453125,1558.5955810546875,1543.54736328125,512.1067504882812,775.1510620117188,2029.72265625,1885.0582275390625,579.9782104492188,571.6572265625,2305.281005859375
34,32,Amin7,A,62.0,1815.5999755859375,493.3219299316406,853.4505004882812,787.386474609375,3278.986572265625,641.7344360351562,373.5601806640625,1623.0595703125,778.7182006835938,1913.5439453125,851.7305297851562,688.506591796875
35,33,D7,D,64.0,1951.6722412109375,779.9379272460938,1953.68408203125,483.7427673339844,334.2546691894531,770.4725952148438,3846.036865234375,662.9337158203125,238.14683532714844,1508.12890625,2200.798828125,719.8497924804688
36,34,G7,G,66.0,180.5149383544922,125.2115478515625,357.1568298339844,200.73016357421875,259.576904296875,1097.9207763671875,505.9804992675781,825.0471801757812,168.49212646484375,94.57443237304688,145.3677215576172,560.1300659179688
37,34,Bb7,Bb,67.0,96.28162384033203,167.1593475341797,703.931640625,180.62379455566406,214.55567932128906,800.9534301757812,230.3029327392578,144.28897094726562,484.5775451660156,338.57476806640625,575.3755493164062,207.29473876953125
38,35,Amin7,A,68.0,518.799560546875,136.4063262939453,149.5707550048828,241.0022430419922,910.41357421875,372.7294921875,132.4771728515625,485.4720764160156,279.744140625,531.1241455078125,140.94822692871094,197.3450164794922
39,35,D7,D,69.0,6802.92041015625,2430.608642578125,5322.90380859375,1240.6766357421875,2208.046875,2611.369873046875,10803.8974609375,2192.378662109375,1441.3922119140625,8275.01953125,1536.8409423828125,1619.9095458984375
