,Measure,FullHouse,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
16,26,Fmin7,F,37.5,312.8940734863281,57.874114990234375,101.93579864501953,512.0323486328125,155.45228576660156,211.248046875,47.90158462524414,39.372440338134766,58.1688346862793,26.54358673095703,23.080991744995117,70.2542495727539
17,27,Fmin9,F,39.0,324.2528381347656,61.81400680541992,110.67035675048828,625.5791625976562,182.5875701904297,184.499267578125,96.49258422851562,639.7529296875,2058.890625,334.1116027832031,33.327030181884766,84.55165100097656
18,28,Bbmin7,Bb,40.5,63.890411376953125,252.31321716308594,49.110782623291016,45.43513870239258,119.85054779052734,667.5244750976562,89.0472640991211,25.3679141998291,114.15621948242188,47.08473205566406,71.48316192626953,21.025861740112305
19,29,Eb7,Eb,42.0,23.68345069885254,89.24662017822266,121.57378387451172,562.5076904296875,109.85519409179688,88.0819091796875,43.70396423339844,216.01649475097656,39.94336700439453,21.89597511291504,105.52246856689453,28.13506507873535
20,30,Abmaj7,Ab,43.5,239.56919860839844,50.80654525756836,103.6791763305664,507.9825439453125,102.78267669677734,35.880859375,44.28255081176758,250.619873046875,92.97763061523438,16.750402450561523,23.85565757751465,59.81977844238281
21,31,Db7,Db,45.0,79.35025787353516,247.34039306640625,45.130733489990234,48.05582046508789,105.1198501586914,618.973876953125,87.99591827392578,22.27949333190918,119.58043670654297,40.00859069824219,38.972782135009766,146.26051330566406
22,32,Gbmaj7,Gb,46.5,71.20011901855469,343.7591552734375,61.12834548950195,36.803340911865234,113.17545318603516,630.8668212890625,275.0377502441406,29.10912322998047,14.145953178405762,58.30113220214844,285.1847229003906,55.62675094604492
23,33,Bmaj7,B,48.0,71.98419952392578,43.92326354980469,125.57263946533203,650.3721313476562,146.4196014404297,158.8574676513672,451.9010009765625,463.6611633300781,1877.572265625,446.5766906738281,1057.953369140625,465.1484680175781
24,34,Gmin7(b5),G,49.5,28.038986206054688,48.88278579711914,178.3121337890625,64.63436889648438,110.44812774658203,603.7772827148438,126.77684783935547,118.13269805908203,24.985031127929688,47.059234619140625,89.04529571533203,51.68637466430664
25,35,C7(b9),C,51.0,567.25244140625,229.3133544921875,65.68500518798828,110.19915008544922,562.6514892578125,159.2780303955078,55.51786804199219,219.4475555419922,54.11056900024414,26.79731559753418,137.6753387451172,175.04736328125
26,36,Fmin9,F,52.5,306.0985412597656,58.82896041870117,119.57085418701172,551.4520874023438,188.60255432128906,207.400146484375,77.4027328491211,237.6394805908203,98.79375457763672,31.220064163208008,31.04369354248047,87.69400787353516
27,37,Bb13,Bb,54.0,301.7848815917969,77.2884750366211,147.0196990966797,559.3373413085938,230.91368103027344,360.5019226074219,122.64647674560547,278.3413391113281,129.43714904785156,63.164798736572266,141.09347534179688,96.643798828125
28,38,Fmin7,F,55.5,340.12554931640625,72.4454116821289,115.27176666259766,579.9849243164062,218.8469696044922,473.43505859375,107.38409423828125,168.60057067871094,690.1625366210938,180.57586669921875,35.98786163330078,83.04100799560547
29,39,Bb7,Bb,57.0,40.8377799987793,57.8992919921875,282.27117919921875,113.16384887695312,122.64801788330078,610.9866943359375,94.90113067626953,119.99202728271484,732.872802734375,334.33282470703125,1244.302978515625,179.84716796875
30,40,Fmin9,F,58.5,299.30596923828125,57.22177505493164,123.50537109375,544.1924438476562,173.53289794921875,252.4850311279297,75.32816314697266,249.72654724121094,100.26229095458984,29.17240333557129,23.097436904907227,76.56331634521484
31,41,Bb13,Bb,60.0,306.9739685058594,76.84244537353516,151.22874450683594,542.9830932617188,198.7848663330078,277.4563293457031,109.86376190185547,271.28826904296875,131.56646728515625,64.4785385131836,127.41659545898438,95.35346221923828
32,42,Fmin7,F,61.5,333.8493347167969,70.120849609375,114.09796142578125,590.7276000976562,239.91111755371094,516.0620727539062,107.66778564453125,167.36444091796875,702.2429809570312,181.06520080566406,35.520729064941406,76.79654693603516
33,43,C7(#9),C,63.0,1890.54150390625,299.9762268066406,76.46656036376953,472.097412109375,1514.11376953125,272.5268249511719,113.78328704833984,575.1774291992188,176.1376495361328,144.51333618164062,658.6743774414062,470.1044006347656
34,44,Fmin7,F,64.5,291.0614929199219,53.32271957397461,100.86516571044922,560.7960815429688,211.32623291015625,172.9656524658203,35.75703048706055,40.35505294799805,61.341915130615234,25.58629035949707,30.12619972229004,70.41310119628906
35,45,Bb7,Bb,66.0,19.462987899780273,50.7733039855957,264.2676086425781,75.6895980834961,130.92420959472656,671.2384643554688,93.91529083251953,25.443357467651367,103.89493560791016,69.76506805419922,116.55316162109375,22.545562744140625
36,46,Fmin7,F,67.5,329.7231750488281,68.66121673583984,125.17467498779297,602.000732421875,258.96197509765625,578.9554443359375,109.0989761352539,174.65196228027344,680.1591186523438,180.42210388183594,30.81585693359375,73.4288558959961
37,47,Bb7,Bb,69.0,39.810020446777344,54.836578369140625,269.1309814453125,111.9266586303711,129.71502685546875,662.849853515625,99.84844207763672,118.81482696533203,729.2396850585938,319.7243347167969,1169.2845458984375,168.12863159179688
38,48,Fmin9,F,70.5,297.86279296875,56.443721771240234,122.60150146484375,544.4208984375,172.13079833984375,248.45361328125,74.29517364501953,247.7178955078125,99.60851287841797,29.25081443786621,20.942800521850586,75.7884292602539
39,49,Bb13,Bb,72.0,321.40185546875,79.1777572631836,151.7614288330078,544.1382446289062,196.75807189941406,273.4772033691406,108.92737579345703,271.6706237792969,131.1517791748047,63.32057189941406,128.1609344482422,98.16338348388672
40,50,Fmin7,F,73.5,309.1443786621094,65.09735870361328,103.367431640625,512.8993530273438,181.0621795654297,222.23460388183594,91.86095428466797,339.122314453125,135.0689239501953,39.897891998291016,83.55072021484375,89.61346435546875
41,51,Fmin7,F,75.0,1227.1856689453125,228.2218017578125,450.7447509765625,2435.297607421875,626.3453369140625,940.5208129882812,174.5547332763672,157.72738647460938,207.5940704345703,103.06381225585938,86.18667602539062,256.2341613769531
