,Measure,Room335,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
14,7,Bmin7,B,12.0,128.37155151367188,275.52099609375,615.1258544921875,263.3428955078125,222.86280822753906,290.6695251464844,1136.8609619140625,218.0790252685547,111.84200286865234,429.9112243652344,178.85887145996094,437.8998718261719
15,7,C#min7,C#,13.0,284.7377624511719,570.3904418945312,209.89280700683594,323.7806091308594,988.3422241210938,298.6573791503906,201.11895751953125,112.98473358154297,499.8077087402344,126.05046844482422,167.34881591796875,927.6776733398438
16,8,Dmaj7,D,14.0,149.2803955078125,630.8888549804688,696.88623046875,178.82208251953125,291.80194091796875,345.5163269042969,1170.1080322265625,230.18499755859375,318.3254699707031,1779.0682373046875,301.797119140625,172.97889709472656
17,8,C#min7,C#,15.0,122.04534912109375,238.72808837890625,115.52001190185547,183.56312561035156,857.0481567382812,204.5045928955078,196.99696350097656,77.32246398925781,240.5335693359375,100.86972045898438,84.82308959960938,380.8657531738281
18,9,Bmin7,B,16.0,58.677066802978516,127.67572784423828,282.39556884765625,109.05876922607422,72.23490142822266,135.60348510742188,533.4647216796875,108.10086822509766,65.43849182128906,307.7581481933594,119.53223419189453,235.1941680908203
19,9,Amaj7,A,16.666666666666668,19.67374038696289,21.771530151367188,66.70287322998047,16.96161460876465,15.770947456359863,25.990562438964844,115.61477661132812,22.99248695373535,14.013282775878906,49.19921875,26.220422744750977,76.82014465332031
20,9,Eb7,Eb,17.333333333333332,47.40126419067383,133.8445281982422,54.857879638671875,78.50424194335938,290.121337890625,78.2965316772461,91.88391876220703,49.81100845336914,122.67967987060547,134.26783752441406,64.39934539794922,58.44041061401367
21,10,Dmaj7,D,18.0,174.95030212402344,982.26123046875,852.2533569335938,501.9073486328125,398.7695617675781,405.4172058105469,1237.5997314453125,414.3261413574219,322.574951171875,800.51611328125,306.7778015136719,102.4147720336914
22,10,C#min7,C#,19.0,84.75285339355469,214.5245361328125,90.49800872802734,144.84584045410156,418.0433349609375,99.89311981201172,161.4676971435547,59.23318862915039,132.65225219726562,38.06640625,47.90493392944336,216.0213165283203
23,11,Bmin7,B,20.0,145.10289001464844,245.41075134277344,605.9326782226562,263.7453918457031,130.6879425048828,249.7696075439453,1172.8221435546875,223.4986114501953,99.8892822265625,425.8073425292969,207.7675323486328,589.252197265625
24,11,C#min7,C#,21.0,278.0520324707031,546.2343139648438,204.771728515625,322.9881286621094,995.4159545898438,297.2980041503906,201.8544464111328,112.6874771118164,496.7037658691406,127.4249038696289,165.32086181640625,913.515869140625
25,12,Dmaj7,D,22.0,149.16714477539062,630.5936889648438,697.06005859375,179.7502899169922,294.4567565917969,346.0014343261719,1170.0723876953125,229.50274658203125,317.4881896972656,1777.4361572265625,301.5699768066406,172.9620819091797
26,12,C#min7,C#,23.0,127.77021026611328,245.81939697265625,101.66976165771484,155.3982391357422,622.552001953125,169.12710571289062,192.82041931152344,73.50220489501953,243.44036865234375,168.3948516845703,94.77094268798828,388.6549987792969
27,13,Bmin7,B,24.0,119.2269287109375,239.6320343017578,612.1116333007812,235.77044677734375,150.46347045898438,261.09552001953125,1170.9163818359375,212.67189025878906,123.06177520751953,603.4984130859375,225.56396484375,525.78466796875
28,13,Amaj7,A,25.0,90.2413558959961,232.0862579345703,138.34144592285156,118.68637084960938,330.0435485839844,128.43605041503906,249.77117919921875,463.2416076660156,320.0628967285156,334.21441650390625,92.27559661865234,149.98683166503906
29,14,Fmaj7,F,26.0,618.3927612304688,204.6890106201172,85.75021362304688,241.60218811035156,1061.345458984375,549.9229125976562,137.1396942138672,214.7599334716797,281.02587890625,551.7868041992188,130.37913513183594,204.89125061035156
30,14,Emin7,E,27.0,148.0325927734375,58.73300552368164,170.75303649902344,88.28520965576172,314.8217468261719,98.49346160888672,51.61727523803711,189.52745056152344,55.69453811645508,25.72015953063965,35.564605712890625,221.8415069580078
31,15,Dmin7,D,28.0,589.960205078125,264.7577209472656,643.7990112304688,181.4438934326172,309.1263122558594,1116.5645751953125,290.6826477050781,96.4884262084961,270.2395935058594,459.3533935546875,93.0207748413086,117.7413558959961
32,15,Emin7,E,29.0,134.9934539794922,65.1191177368164,222.32484436035156,159.17987060546875,517.0238647460938,318.3035888671875,90.67745971679688,176.46217346191406,75.7779312133789,77.3292465209961,52.64448928833008,222.02825927734375
33,16,Fmaj7,F,30.0,959.792724609375,209.67291259765625,144.40798950195312,248.8319091796875,1040.0389404296875,588.5652465820312,142.14512634277344,256.02545166015625,236.42547607421875,549.3851928710938,143.16680908203125,239.1689910888672
34,16,Emin7,E,31.0,209.6327362060547,141.3778839111328,554.2415771484375,212.3091278076172,764.864013671875,221.43365478515625,125.00616455078125,599.1505126953125,139.5923614501953,63.106319427490234,81.22254943847656,366.7507019042969
35,17,Dmin7,D,32.0,776.065673828125,252.12977600097656,529.22265625,144.2962188720703,321.32745361328125,1116.2935791015625,274.72381591796875,79.53113555908203,83.76148223876953,399.68798828125,97.86078643798828,170.3218994140625
36,17,E7,E,33.0,161.9593963623047,65.74824523925781,192.3897247314453,140.98863220214844,402.1480712890625,277.8700256347656,84.28601837158203,59.25431823730469,190.73890686035156,79.64649200439453,50.47951889038086,205.8875732421875
37,18,Dmaj7,D,34.0,271.7350158691406,680.525634765625,643.4320678710938,234.25091552734375,407.0457458496094,334.6505432128906,1176.9239501953125,321.71075439453125,231.5035400390625,716.328125,127.25128173828125,117.06835174560547
38,18,C#min7,C#,35.0,72.79895782470703,209.97059631347656,67.49839782714844,73.3644027709961,385.6353454589844,112.3294906616211,159.67274475097656,48.93231201171875,131.76377868652344,39.16463088989258,30.84564208984375,151.3500518798828
39,19,Bmin7,B,36.0,153.79615783691406,242.29136657714844,577.9669189453125,238.87890625,132.7685089111328,254.9876708984375,1173.8656005859375,221.36085510253906,100.53277587890625,430.2052917480469,202.4102020263672,594.8783569335938
40,19,C#min7,C#,37.0,162.15135192871094,355.4158935546875,124.40133666992188,135.4372100830078,412.500732421875,150.3533477783203,185.2318572998047,73.97393798828125,242.8636932373047,81.84294891357422,76.55830383300781,412.3139343261719
41,20,Dmaj7,D,38.0,60.71824264526367,297.7845153808594,323.7427673339844,116.94181060791016,173.738525390625,148.8647918701172,530.2715454101562,128.26942443847656,174.80364990234375,859.036376953125,147.38365173339844,70.69843292236328
42,20,D#dim7,D#,38.66666666666666,250.849853515625,147.4058074951172,421.7563781738281,428.186767578125,135.7261505126953,106.23788452148438,488.01025390625,106.96550750732422,41.47307205200195,140.2996063232422,49.96567916870117,66.33267974853516
43,20,E7,E,39.333333333333336,121.24407196044922,61.46284484863281,172.24815368652344,206.88893127441406,330.2384033203125,72.68318939208984,69.8618392944336,39.71919250488281,91.4935531616211,45.945186614990234,33.57961654663086,139.4030303955078
44,21,Fmaj7,F,40.0,317.7234802246094,78.3753890991211,106.93389129638672,467.4973449707031,538.2859497070312,278.1195983886719,264.8899230957031,92.0508041381836,154.6781005859375,561.2357788085938,138.02708435058594,122.6044921875
45,21,F#dim7,F#,40.66666666666666,118.78922271728516,35.06405258178711,89.37652587890625,136.2989959716797,191.62843322753906,261.83172607421875,122.37564849853516,195.93507385253906,46.61402893066406,34.83281707763672,26.964834213256836,93.09500885009766
46,21,G7,G,41.333333333333336,66.27967071533203,55.02610778808594,111.87114715576172,110.2663803100586,80.1387710571289,182.15480041503906,436.8164978027344,133.8574676513672,55.33585739135742,42.848331451416016,50.11179733276367,193.0111846923828
47,22,Gmaj7,G,42.0,69.28231048583984,232.74024963378906,129.96278381347656,107.87091827392578,261.8352966308594,217.17811584472656,183.6260986328125,220.6371307373047,183.18418884277344,543.53466796875,100.89031219482422,98.32135772705078
48,22,G#dim7,G#,42.66666666666666,14.296329498291016,45.66079330444336,22.10292625427246,29.9222354888916,102.1702880859375,91.7696533203125,31.287567138671875,38.93537139892578,31.35810089111328,75.65438079833984,21.97214698791504,27.30922508239746
49,22,A7,A,43.33333333333334,205.88197326660156,515.533203125,765.432373046875,374.0157775878906,487.3034973144531,486.837158203125,1034.31640625,254.0057373046875,506.5367431640625,3044.154541015625,590.4710083007812,467.5580139160156
50,24,Dmaj7,D,46.0,459.531982421875,1950.7193603515625,469.9678039550781,690.902587890625,3559.779296875,1802.3175048828125,2300.583984375,472.1753234863281,429.1353759765625,578.9592895507812,2066.300048828125,474.2036437988281
51,25,F#7,F#,48.0,381.2614440917969,626.2203369140625,2188.877685546875,919.453857421875,980.8488159179688,913.6696166992188,4206.47412109375,763.8887329101562,344.0448303222656,1392.01416015625,658.1383056640625,1865.09375
52,26,Bmin7,B,50.0,586.1531372070312,287.6114807128906,328.3329772949219,249.3097686767578,971.8466796875,494.3478088378906,172.77159118652344,508.4854431152344,320.0755615234375,606.6219482421875,178.59022521972656,216.8910675048828
53,26,Bbmin7,Bb,51.0,528.383056640625,133.60765075683594,176.7081298828125,74.25337982177734,180.91998291015625,134.61412048339844,312.6048583984375,89.6541748046875,37.64168167114258,138.11349487304688,29.284828186035156,103.95352172851562
54,27,Amin7,A,52.0,177.1534881591797,148.57130432128906,343.7698669433594,197.1681365966797,96.5374526977539,255.38978576660156,1178.6221923828125,614.37841796875,120.66561889648438,118.83655548095703,158.3975372314453,531.0297241210938
55,27,D7,D,53.0,121.36477661132812,120.94561767578125,495.1045837402344,274.56036376953125,399.2212829589844,848.0537109375,309.98638916015625,143.7925262451172,405.2850036621094,136.11492919921875,108.17138671875,463.5671691894531
56,28,Gmaj7,G,54.0,116.79498291015625,256.5697021484375,118.21295166015625,191.20904541015625,385.2770690917969,329.8563537597656,265.8841247558594,89.47885131835938,267.0093688964844,328.9118957519531,117.84112548828125,188.31956481933594
57,28,G#dim7,G#,54.66666666666666,25.291349411010742,81.4246597290039,19.844640731811523,35.62297439575195,131.53335571289062,98.8414306640625,55.8205680847168,25.868288040161133,125.161376953125,444.8277587890625,78.20024871826172,26.38646697998047
58,28,C#7,C#,55.33333333333334,70.83759307861328,40.71454620361328,58.0422248840332,271.1269226074219,96.14977264404297,84.05109405517578,299.9717712402344,68.00955200195312,27.64579200744629,75.042724609375,41.673912048339844,132.56532287597656
59,29,F#min9,F#,56.0,192.79759216308594,59.29603576660156,110.74431610107422,634.9179077148438,1056.1397705078125,254.42572021484375,173.96856689453125,245.08409118652344,1255.3812255859375,478.7886962890625,207.5646209716797,908.3562622070312
60,29,B7,B,57.0,363.6846008300781,1640.5892333984375,366.7757873535156,265.0958557128906,830.5680541992188,403.781005859375,492.1515197753906,177.1124725341797,697.5492553710938,1480.5833740234375,339.3677673339844,261.4814147949219
61,30,Emaj7,E,58.0,759.5034790039062,330.7849426269531,372.9151916503906,137.68942260742188,384.6254577636719,990.2676391601562,538.7018432617188,527.6256713867188,179.29664611816406,425.9833068847656,1741.1583251953125,740.444091796875
62,30,F#min9,F#,59.0,606.5250854492188,269.4609680175781,744.6532592773438,404.4366149902344,1160.3094482421875,424.7315368652344,141.58642578125,460.78564453125,142.89747619628906,146.14599609375,554.4326782226562,275.1116027832031
63,31,Gmin7,G,60.0,124.34737396240234,446.589111328125,346.6230773925781,94.44596099853516,155.25132751464844,372.2086181640625,580.5466918945312,169.84156799316406,113.3281021118164,209.1053466796875,68.27523803710938,101.31818389892578
