,Measure,DigDis,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
12,13,Bbmin7,Bb,24.0,838.8029174804688,1817.6180419921875,468.6639099121094,967.35693359375,951.019775390625,3743.626708984375,662.2312622070312,298.5768737792969,1327.906982421875,676.3822631835938,1876.3731689453125,414.5367736816406
13,14,Cmin7,C,26.0,511.6930847167969,159.7078399658203,290.9908142089844,946.4757690429688,314.7164611816406,87.61447143554688,92.51409912109375,437.5570983886719,101.67090606689453,114.13683319091797,554.7131958007812,237.61585998535156
14,14,F7,F,27.0,565.9815063476562,152.11058044433594,250.2860565185547,1095.8497314453125,569.3584594726562,455.6618957519531,115.33780670166016,158.99790954589844,199.2122802734375,533.3429565429688,187.0758056640625,155.8521270751953
15,15,Bbmin7,Bb,28.0,2211.6181640625,5278.06005859375,1310.9361572265625,2665.53271484375,2638.52490234375,11147.2421875,1874.34423828125,777.9989624023438,3554.961669921875,1767.2862548828125,5047.29833984375,1050.63916015625
16,17,Gb7,Gb,32.0,1299.0733642578125,6048.53076171875,1153.845703125,2004.76123046875,10571.5556640625,4585.80029296875,4633.84619140625,854.341064453125,1131.759521484375,1439.5631103515625,5330.77685546875,1104.84130859375
17,19,Bbmin7,Bb,36.0,1338.2445068359375,4998.12939453125,1045.0616455078125,620.1773071289062,1889.9083251953125,9637.8818359375,1694.7784423828125,654.0970458984375,3581.9658203125,1821.9453125,5251.36279296875,957.3092651367188
18,21,Cmin7,C,40.0,1685.30712890625,435.7127990722656,825.2371215820312,3178.0107421875,1012.9260864257812,260.0618896484375,293.1699523925781,1487.7078857421875,305.1789855957031,363.0205078125,1924.8380126953125,726.840087890625
19,22,F7,F,42.0,2021.0819091796875,452.7139587402344,664.2774047851562,3260.9423828125,1715.6256103515625,1470.0323486328125,318.6899108886719,389.4513244628906,516.1746826171875,1677.87744140625,416.7043762207031,469.7940673828125
20,23,Bbmin7,Bb,44.0,513.0742797851562,1717.15380859375,373.6260986328125,286.1383361816406,720.580078125,3339.168212890625,603.0687866210938,257.99786376953125,1339.6995849609375,711.5498046875,1950.1597900390625,393.9295959472656
21,24,Cmin7,C,46.0,499.5987854003906,157.94041442871094,296.7118835449219,970.416259765625,313.62939453125,85.19603729248047,92.00552368164062,434.8946228027344,101.74077606201172,114.9146957397461,562.3364868164062,238.539794921875
22,24,F7,F,47.0,57.224666595458984,21.093286514282227,32.27229309082031,186.5386505126953,31.402074813842773,19.52674674987793,11.98394775390625,49.98245620727539,9.912610054016113,5.276757717132568,30.064722061157227,14.361790657043457
23,25,Bbmin7,Bb,48.0,1195.63525390625,1972.1043701171875,617.4646606445312,1440.6767578125,1341.1533203125,3967.390869140625,715.673095703125,401.0455322265625,1431.0045166015625,881.0033569335938,2539.069091796875,614.650390625
24,26,Cmin7,C,50.0,517.2766723632812,203.5587921142578,313.5760192871094,942.7138061523438,311.5015563964844,107.91604614257812,103.6402816772461,449.4318542480469,104.3495101928711,118.45529174804688,570.2940673828125,241.0780029296875
25,26,F7,F,51.0,91.03565216064453,37.619476318359375,56.69876480102539,251.8108367919922,74.9566421508789,44.271087646484375,22.75519371032715,63.30904006958008,29.903961181640625,47.5728874206543,73.82108306884766,35.950321197509766
26,27,Bbmin7,Bb,52.0,984.6237182617188,1662.0625,512.4530639648438,1171.4915771484375,1564.58544921875,4603.16162109375,837.0824584960938,368.7236633300781,1450.2218017578125,876.3935546875,1728.7283935546875,530.4205932617188
27,28,Bb7(#9),Bb,54.0,514.4495239257812,2430.66357421875,2384.95703125,620.7923583984375,662.733154296875,2861.050537109375,749.423095703125,330.6167297363281,1395.0399169921875,962.3303833007812,1837.4757080078125,381.1410217285156
28,29,Gb7(#11),Gb,56.0,6703.79296875,5903.75537109375,1304.900634765625,2756.8671875,10848.4775390625,5173.60400390625,4839.078125,1298.30859375,1295.0438232421875,1347.9320068359375,5127.58251953125,1896.6650390625
29,31,Bbmin7,Bb,60.0,1571.7210693359375,4978.18994140625,1103.072509765625,991.6939086914062,3313.691162109375,12372.28515625,2291.916748046875,962.8009643554688,3904.081787109375,2080.0234375,6119.76953125,1378.0909423828125
30,33,Cmin7,C,64.0,1736.9937744140625,793.3121948242188,868.344482421875,3027.852783203125,986.337890625,295.2809753417969,316.0685729980469,1530.6258544921875,305.184326171875,450.0792541503906,2463.197509765625,794.5311889648438
31,34,F7,F,66.0,2111.148193359375,970.4013671875,731.93115234375,3107.518310546875,1733.6253662109375,1547.3603515625,357.5710144042969,409.2299499511719,489.2351989746094,1698.154296875,492.7270202636719,490.3155212402344
32,35,Bbmin7,Bb,68.0,128.77212524414062,360.2590026855469,115.80493927001953,94.9809799194336,237.2612762451172,945.428955078125,176.3970184326172,86.98621368408203,403.4563903808594,231.2247772216797,496.7359313964844,127.51995086669922
33,35,Db7,Db,69.0,247.0895538330078,431.1528625488281,121.03579711914062,100.17195892333984,257.5212707519531,1221.9783935546875,238.55462646484375,87.54833984375,423.0045471191406,104.3492202758789,122.05313110351562,549.982421875
34,36,Gb7,Gb,70.0,166.2965545654297,541.740478515625,133.12924194335938,241.91200256347656,1072.96435546875,685.5036010742188,457.8800964355469,111.86109161376953,141.1980438232422,204.58013916015625,589.564697265625,186.9307403564453
35,36,F7,F,71.0,590.4855346679688,228.3067626953125,214.89015197753906,1122.0701904296875,878.2139282226562,523.2130126953125,111.81317138671875,117.25055694580078,200.00489807128906,522.7184448242188,158.16285705566406,182.6719207763672
36,37,Gb7,Gb,72.0,258.8404846191406,600.3369140625,175.2039031982422,475.9605407714844,1038.45263671875,517.8745727539062,414.4541320800781,133.2198028564453,131.82872009277344,205.0186309814453,729.7716674804688,183.04920959472656
37,37,F7,F,73.0,595.9312133789062,230.3769073486328,214.1989288330078,1090.7872314453125,860.9097290039062,466.5213317871094,99.87397003173828,115.65120697021484,202.91331481933594,522.2064208984375,167.73904418945312,169.5150909423828
38,38,Bb7,Bb,74.0,540.112548828125,591.4252319335938,2141.72802734375,1367.0025634765625,1196.697509765625,3537.228759765625,887.4044799804688,346.1547546386719,2105.216064453125,6062.50244140625,2870.041748046875,436.6591491699219
39,39,B7,B,76.0,14.09874439239502,21.203420639038086,45.901885986328125,63.201568603515625,48.398773193359375,127.9361343383789,23.2565860748291,4.512009143829346,8.39328670501709,6.051464557647705,6.828641414642334,3.8262646198272705
40,40,Bb7,Bb,78.0,382.81982421875,837.7192993164062,4622.93408203125,2044.2392578125,1002.5623168945312,3233.584228515625,1975.3416748046875,497.502685546875,1435.8790283203125,996.4672241210938,2229.602783203125,978.6127319335938
41,41,E7,E,80.0,8.022234916687012,9.815635681152344,42.97305679321289,61.44260025024414,30.5773868560791,114.06597900390625,56.48764419555664,9.770769119262695,10.85141372680664,10.338702201843262,11.502827644348145,31.783933639526367
42,42,Eb7,Eb,82.0,439.332763671875,2149.503173828125,2972.2255859375,3557.9677734375,1643.9639892578125,437.3921203613281,333.35650634765625,1553.1907958984375,550.9539184570312,462.9270324707031,1911.7650146484375,642.5117797851562
43,43,B7,B,84.0,5.330222129821777,19.991647720336914,42.54415512084961,93.9703369140625,56.85275650024414,20.29466438293457,11.915902137756348,15.691783905029297,10.028068542480469,4.89111852645874,13.130260467529297,8.215578079223633
44,44,Bb7,Bb,86.0,414.8503723144531,499.2618713378906,2211.355712890625,1712.2757568359375,1024.447021484375,3744.852294921875,2007.0137939453125,547.7881469726562,1445.9256591796875,1050.678955078125,2269.779296875,981.5023803710938
