,Measure,Black Ice,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
20,12,Emin9,E,22.0,269.0154724121094,107.1732177734375,175.0941162109375,221.22450256347656,378.5545654296875,222.15940856933594,536.8076171875,256.0315246582031,78.55655670166016,88.2939224243164,92.2251205444336,287.0137634277344
21,12,A13,A,23.0,47.633819580078125,34.73294448852539,136.6986541748047,60.86214065551758,124.20020294189453,68.5887680053711,181.96630859375,51.19877243041992,17.577550888061523,54.075439453125,49.183101654052734,149.04161071777344
22,13,Emin9,E,24.0,152.5411376953125,234.8154296875,999.2328491210938,396.3324279785156,381.0552978515625,338.0861511230469,813.6115112304688,395.2859802246094,135.94668579101562,153.60739135742188,129.35269165039062,403.0703430175781
23,13,F6,F,25.0,252.5751495361328,111.68836212158203,320.4400939941406,120.4180908203125,210.4549102783203,482.8899841308594,355.72265625,754.2890625,159.564208984375,213.5443115234375,86.47759246826172,179.74510192871094
24,14,Emin9,E,26.0,158.13050842285156,82.49262237548828,166.23846435546875,187.8319549560547,251.3196258544922,386.7107238769531,582.2750854492188,254.4850311279297,77.57100677490234,117.00794219970703,95.16974639892578,279.0789794921875
25,14,A13,A,27.0,43.29819107055664,26.777971267700195,93.56542205810547,41.95811462402344,85.72528839111328,101.82866668701172,179.42779541015625,47.0645751953125,11.930671691894531,10.859522819519043,34.96596145629883,137.53341674804688
26,15,Emin7,E,28.0,74.08159637451172,91.38274383544922,155.15208435058594,164.75607299804688,313.2865295410156,156.7991485595703,417.1984558105469,231.08070373535156,167.7131805419922,769.67236328125,441.7297668457031,312.81475830078125
27,15,Dmin9,D,28.66666666666667,31.0228328704834,36.61870574951172,155.72166442871094,91.83480072021484,230.3808135986328,58.576969146728516,85.98882293701172,85.36023712158203,36.25508499145508,19.2792911529541,29.223594665527344,133.6049346923828
28,15,G13,G,29.33333333333333,191.49668884277344,60.393218994140625,74.2333984375,86.64739990234375,336.2813415527344,170.9893798828125,68.22000122070312,62.2081413269043,59.8348274230957,144.28160095214844,45.0284538269043,101.3346939086914
29,16,Cmaj7,C,30.0,990.464599609375,314.4331970214844,537.9071655273438,371.116943359375,924.5256958007812,1292.8330078125,654.8204956054688,1147.6766357421875,262.2624206542969,283.1589050292969,223.3555908203125,1232.6239013671875
30,16,B7,B,31.0,303.0882568359375,111.90164947509766,220.2880096435547,1003.2919311523438,396.8192443847656,345.7492370605469,985.9653930664062,1217.056640625,220.6597442626953,239.26666259765625,179.2325439453125,731.5443725585938
31,17,Dmin7,D,32.0,42.72673034667969,24.761449813842773,75.87247467041016,60.67637252807617,28.25074577331543,39.84882736206055,38.777957916259766,14.105655670166016,13.853177070617676,75.82589721679688,20.33557891845703,22.740768432617188
32,17,G7,G,32.5,188.6914825439453,81.04012298583984,107.8222885131836,66.02118682861328,67.36334991455078,227.43408203125,130.678466796875,119.55292510986328,29.053197860717773,70.77022552490234,35.98429489135742,160.83544921875
33,17,Cmaj7,C,33.0,124.5738754272461,35.318424224853516,41.782352447509766,66.4355239868164,199.15423583984375,144.29263305664062,76.24097442626953,113.36761474609375,39.32619857788086,57.129364013671875,53.704437255859375,172.64691162109375
34,17,Eb,Eb,33.5,57.43757247924805,11.81435775756836,20.53705406188965,28.433015823364258,103.4311752319336,81.87354278564453,21.51401710510254,35.3922004699707,13.060870170593262,11.20196533203125,29.56751251220703,54.20212936401367
35,18,Bbmaj9,Bb,34.0,117.7629165649414,95.41675567626953,358.842529296875,261.1970520019531,141.34292602539062,139.13296508789062,68.47567749023438,174.26654052734375,55.5866584777832,93.0569076538086,181.2727813720703,66.90585327148438
36,18,Ab13,Ab,34.666666666666664,244.44256591796875,185.69041442871094,152.284423828125,171.4458770751953,125.52472686767578,329.8018798828125,158.0706024169922,80.41557312011719,44.57755661010742,146.2361297607422,446.410888671875,148.1981201171875
37,18,G7,G,35.333333333333336,65.0103530883789,114.63272857666016,56.04925537109375,106.7552490234375,89.00084686279297,227.59381103515625,97.98468780517578,38.210227966308594,21.787384033203125,27.57232666015625,74.07811737060547,26.40802764892578
38,19,F#min11,F#,36.0,890.8467407226562,1711.0948486328125,886.5812377929688,1199.805419921875,2469.6220703125,2747.136962890625,1796.0572509765625,1138.4971923828125,1391.6458740234375,1466.1602783203125,633.2794189453125,1837.1864013671875
39,20,C#9,C#,38.0,25.05257225036621,50.80454635620117,61.33694839477539,85.70236206054688,142.06883239746094,128.858642578125,79.5105209350586,26.86195182800293,24.968713760375977,12.169875144958496,16.530946731567383,52.48479080200195
40,21,F#min11,F#,40.0,402.8875732421875,847.1698608398438,186.07029724121094,255.7401885986328,363.7340087890625,1800.5054931640625,342.7672119140625,111.1087875366211,409.3922424316406,134.51133728027344,191.28001403808594,1089.0751953125
41,22,C#9,C#,42.0,33.918006896972656,135.03016662597656,35.96405029296875,64.39695739746094,314.4707336425781,162.93673706054688,151.59918212890625,26.596704483032227,37.01594161987305,16.221885681152344,16.23795509338379,48.35068130493164
42,23,F#min,F#,44.0,580.7136840820312,2391.3974609375,443.122802734375,300.46917724609375,404.5907287597656,2352.4677734375,2954.065673828125,548.024169921875,614.4963989257812,1068.4287109375,354.3731689453125,987.06201171875
43,24,C#9,C#,46.0,9.734169960021973,50.85525894165039,9.550335884094238,4.87464714050293,22.270639419555664,106.796142578125,64.62953186035156,8.197066307067871,8.03105640411377,19.956329345703125,5.925405502319336,9.056821823120117
44,25,F#min11,F#,48.0,934.7365112304688,1837.7158203125,515.7260131835938,764.8760375976562,2315.6669921875,2650.94287109375,1512.5643310546875,426.47705078125,1236.7142333984375,1362.8887939453125,592.5703735351562,2075.67578125
45,26,G,G,50.0,66.91963958740234,66.78856658935547,248.3483123779297,108.50814819335938,221.0531768798828,92.77965545654297,103.30487060546875,254.29222106933594,496.923828125,205.85174560546875,74.53966522216797,239.87107849121094
46,26,B7,B,51.0,142.34683227539062,195.64378356933594,889.4777221679688,1136.1890869140625,199.44810485839844,243.70361328125,1105.765869140625,270.5799255371094,109.51763916015625,474.4345397949219,216.49066162109375,578.112060546875
47,27,Emin,E,52.0,74.01146697998047,28.499465942382812,49.42619323730469,229.3218536376953,440.24609375,105.42766571044922,182.64991760253906,201.705322265625,45.99674987792969,37.25851058959961,69.6456527709961,370.5140075683594
48,27,F6,F,53.0,11.856184959411621,3.3857662677764893,6.987995147705078,64.70691680908203,210.5799560546875,52.1817512512207,23.619356155395508,63.76630783081055,14.902942657470703,8.106196403503418,17.42827796936035,88.1864013671875
49,28,Emin7,E,54.0,303.8761291503906,91.78853607177734,285.9522705078125,92.38458251953125,97.07967376708984,532.562255859375,114.73377227783203,24.30133819580078,37.14506912231445,155.41358947753906,28.8679256439209,88.39395141601562
50,28,A13,A,55.0,58.786197662353516,53.311466217041016,297.5919494628906,166.1528778076172,507.6321105957031,162.42567443847656,57.62400436401367,221.9582061767578,61.01198196411133,20.707733154296875,34.10758590698242,225.7843475341797
51,29,Emin7,E,56.0,122.93657684326172,169.63734436035156,517.2421875,294.6955871582031,744.247802734375,312.1007385253906,714.7509765625,474.6819763183594,115.55972290039062,106.40573120117188,134.05567932128906,442.5064392089844
52,29,F6,F,57.0,212.4019775390625,104.97649383544922,267.4827575683594,152.05470275878906,444.0760803222656,503.6720275878906,121.81957244873047,92.2767105102539,78.09761810302734,205.8123779296875,63.19728088378906,94.81990814208984
53,30,Emin6,E,58.0,144.16384887695312,220.01470947265625,129.26235961914062,154.94581604003906,466.6913757324219,280.9850769042969,99.03548431396484,197.17079162597656,66.5372085571289,53.44998550415039,56.48008346557617,257.2079162597656
54,30,A13,A,59.0,29.64452362060547,44.06931686401367,14.112711906433105,47.413814544677734,233.2784881591797,92.9747085571289,25.612092971801758,60.386077880859375,16.853124618530273,10.487637519836426,18.668560028076172,109.47457885742188
55,31,Emin9,E,60.0,172.5439910888672,166.78135681152344,256.2931213378906,275.5788269042969,323.84185791015625,301.4737854003906,1049.3052978515625,480.8689880371094,113.90300750732422,142.6192169189453,202.0624542236328,517.84130859375
56,31,F6,F,61.0,31.624372482299805,22.365455627441406,77.52867126464844,50.83595275878906,155.84730529785156,79.68070220947266,167.25120544433594,59.18239212036133,24.285661697387695,32.16240310668945,43.045169830322266,154.3836669921875
57,32,Emin9,E,62.0,419.6123046875,152.53302001953125,307.80828857421875,226.30104064941406,261.6318054199219,659.8829956054688,626.0910034179688,273.4194030761719,106.53085327148438,209.029052734375,108.1990737915039,308.9046630859375
58,32,A13,A,63.0,122.9477310180664,129.9779815673828,241.68873596191406,243.78863525390625,316.268310546875,314.6815490722656,745.8689575195312,305.98284912109375,87.71070098876953,94.14337158203125,108.84756469726562,346.174560546875
59,33,Emin9,E,64.0,106.68753051757812,101.06822967529297,232.0215606689453,215.38780212402344,291.9078674316406,216.16900634765625,714.9439086914062,312.0787658691406,81.68522644042969,68.77603149414062,104.44376373291016,335.8866271972656
60,33,F6,F,65.0,226.2576446533203,104.20984649658203,286.2904357910156,113.37447357177734,247.0596160888672,489.3646545410156,262.4721374511719,78.0025863647461,63.28583908081055,209.92625427246094,81.19330596923828,173.69927978515625
61,34,Emin9,E,66.0,142.53564453125,84.28971099853516,167.7227325439453,186.1599884033203,236.05613708496094,378.1754150390625,580.9239501953125,253.6885223388672,75.11268615722656,110.3320541381836,94.1988525390625,273.6206359863281
62,34,A13,A,67.0,128.45481872558594,132.3172149658203,246.35044860839844,244.2330322265625,292.0381774902344,251.8533172607422,751.491943359375,305.9950866699219,83.98517608642578,79.55984497070312,109.80693817138672,345.6658020019531
63,35,Emin9,E,68.0,103.61568450927734,99.93431854248047,229.77154541015625,213.30511474609375,278.7613220214844,211.20399475097656,713.7459106445312,312.33642578125,82.70679473876953,79.5947036743164,107.5693359375,342.0643310546875
64,35,F6,F,69.0,226.1210479736328,105.08109283447266,296.3802795410156,115.24686431884766,247.3593292236328,481.7366027832031,260.0729064941406,78.77239227294922,64.14241790771484,216.63011169433594,83.21414947509766,173.33160400390625
65,36,Emin9,E,70.0,142.39295959472656,84.21224212646484,167.56724548339844,185.4576873779297,236.8628387451172,379.06396484375,581.4622802734375,255.8688507080078,75.23545837402344,110.11672973632812,94.06582641601562,272.5355224609375
66,36,A13,A,71.0,128.68215942382812,132.2765350341797,246.3920135498047,243.9713897705078,292.4838562011719,251.53721618652344,751.1925659179688,307.0796813964844,84.11368560791016,79.487060546875,109.9245834350586,346.7394714355469
67,37,Emin9,E,72.0,103.65899658203125,99.93521881103516,229.7687225341797,213.9151611328125,280.7107849121094,211.41485595703125,713.702880859375,313.9963684082031,82.8504409790039,79.6426773071289,107.60357666015625,342.2236633300781
68,37,A13,A,73.0,119.77242279052734,131.66091918945312,238.80914306640625,240.7801055908203,294.2900695800781,229.12060546875,749.0661010742188,314.0701904296875,87.9917984008789,85.86212921142578,113.64279174804688,352.3867492675781
69,38,Emin7,E,74.0,31.062299728393555,25.979978561401367,86.43035125732422,63.39088821411133,148.20582580566406,62.71345138549805,98.20330047607422,65.25402069091797,22.487714767456055,19.737329483032227,36.03468704223633,130.7325897216797
70,38,Dmin9,D,74.66666666666667,28.918283462524414,12.01927661895752,51.29501724243164,62.19138717651367,192.0708465576172,41.30147171020508,27.706510543823242,82.31991577148438,38.77376174926758,15.776782035827637,43.97905349731445,138.2501983642578
71,38,G13,G,75.33333333333333,194.4446563720703,51.83340072631836,54.66644287109375,93.32823944091797,340.26068115234375,199.7809600830078,80.2311782836914,67.03616333007812,63.591583251953125,174.58245849609375,42.3522834777832,85.36968994140625
72,39,Cmaj7,C,76.0,696.1384887695312,214.60594177246094,232.53724670410156,202.5458221435547,562.3658447265625,580.7243041992188,241.4171905517578,358.2375183105469,150.5213165283203,197.609375,122.16720581054688,532.0293579101562
73,39,B7,B,77.0,70.81307983398438,21.666173934936523,36.85520553588867,55.21592712402344,291.4814147949219,213.6751251220703,43.3310546875,83.57300567626953,21.407081604003906,24.978612899780273,14.087199211120605,57.74952697753906
74,40,Dmin7,D,78.0,25.87751007080078,15.962431907653809,39.182796478271484,119.67150115966797,39.579219818115234,48.520572662353516,157.4620819091797,38.37580490112305,14.807536125183105,39.9350700378418,37.790016174316406,70.30853271484375
75,40,G7,G,78.5,108.05326080322266,40.50046157836914,61.417293548583984,71.77702331542969,46.14921951293945,149.1989288330078,69.53345489501953,16.772537231445312,15.777007102966309,49.57269287109375,18.591461181640625,37.969600677490234
76,40,C6,C,79.0,28.39760398864746,13.072237968444824,33.32297134399414,36.32600021362305,27.932565689086914,66.13211822509766,36.51060104370117,7.580216884613037,5.783604145050049,18.360219955444336,8.390741348266602,20.128862380981445
77,40,Eb,Eb,79.5,42.28550338745117,26.272859573364258,55.378841400146484,34.7294807434082,43.81155776977539,141.20877075195312,67.6156234741211,60.83759689331055,21.624780654907227,26.37225914001465,39.44269943237305,89.53356170654297
78,41,Bbmaj7,Bb,80.0,150.4081573486328,66.7548599243164,112.48027801513672,247.10191345214844,314.30499267578125,156.7366180419922,139.8273468017578,485.63134765625,98.05264282226562,125.02196502685547,147.1019287109375,115.68265533447266
79,41,Ab13,Ab,80.66666666666667,66.84069061279297,79.47510528564453,329.0877685546875,199.00770568847656,166.91880798339844,412.852783203125,115.11966705322266,88.16693878173828,50.82210922241211,237.18328857421875,323.9775085449219,75.67481231689453
80,41,G7,G,81.33333333333333,177.64703369140625,249.06385803222656,142.74755859375,190.93812561035156,141.7073516845703,435.6142272949219,260.4959411621094,64.01918029785156,52.62236022949219,155.25372314453125,252.2062225341797,59.18898391723633
81,42,F#min11,F#,82.0,361.0703430175781,657.2946166992188,714.7206420898438,611.6643676757812,530.0408935546875,2066.857666015625,1105.6158447265625,769.5056762695312,259.7333679199219,246.8135528564453,354.1705627441406,951.867431640625
82,43,C#9,C#,84.0,18290.052734375,45045.3125,13207.12109375,17522.630859375,26820.994140625,102426.3125,21140.716796875,7703.84228515625,24607.6171875,6779.26806640625,10271.9150390625,51719.28515625
83,56,F#min11,F#,110.0,620.2219848632812,1482.7664794921875,388.3613586425781,565.6231079101562,2039.13232421875,920.8128051757812,1170.9083251953125,381.3840026855469,1196.7918701171875,1334.7947998046875,469.5884704589844,1434.1910400390625
84,57,B7,B,112.0,70.6911392211914,69.84242248535156,64.36713409423828,198.52333068847656,639.9417114257812,182.7125244140625,190.7822265625,292.59796142578125,1772.63134765625,1624.3338623046875,1048.4759521484375,278.27874755859375
85,58,F#min11,F#,114.0,664.23095703125,1505.54443359375,483.1367492675781,1143.1397705078125,2188.168701171875,995.2009887695312,1464.3822021484375,428.8049621582031,1204.3546142578125,1370.2080078125,507.3660583496094,1659.7672119140625
86,59,C#9,C#,116.0,13.001407623291016,37.99185562133789,15.601351737976074,63.25346374511719,101.554443359375,37.990318298339844,104.20244598388672,19.996004104614258,18.53655433654785,18.302282333374023,9.777329444885254,36.46261215209961
87,60,F#min11,F#,118.0,937.7321166992188,1863.6358642578125,523.2980346679688,813.5449829101562,2350.580322265625,2649.548095703125,1451.111328125,423.0348815917969,1235.7000732421875,1378.3458251953125,583.2608032226562,2001.0830078125
88,61,G,G,120.0,39.61777877807617,74.98941040039062,270.7020568847656,108.38528442382812,228.9164581298828,93.72164154052734,92.18128204345703,249.8744354248047,484.889892578125,227.11314392089844,218.9327392578125,82.5494613647461
89,61,B7,B,121.0,1119.0966796875,1306.4334716796875,5232.96630859375,11036.7939453125,1858.7484130859375,2195.99755859375,11520.7568359375,2481.906494140625,844.757080078125,3853.5,1992.35009765625,5870.423828125
