,Measure,Driftin',chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
17,12,Ab7,Ab,22.0,406.20068359375,176.02435302734375,200.745361328125,728.6964721679688,334.3985290527344,231.94700622558594,303.8912353515625,144.38916015625,54.06301498413086,24.58946990966797,49.34117126464844,79.86003875732422
18,14,Eb7,Eb,26.0,17.902151107788086,55.23745346069336,51.76663589477539,232.49102783203125,44.08018493652344,14.368644714355469,15.80793285369873,25.62092399597168,4.159814834594727,5.233096599578857,27.946779251098633,6.462217807769775
19,15,Dmin7,D,28.0,441.2371826171875,158.07843017578125,343.7220458984375,107.9704818725586,171.10858154296875,712.4987182617188,199.39990234375,210.943603515625,69.14562225341797,160.77879333496094,45.566898345947266,117.51407623291016
20,15,G7,G,29.0,1494.9825439453125,247.3195037841797,160.46905517578125,350.1856689453125,109.42597198486328,275.2653503417969,97.69896697998047,245.2223663330078,52.038814544677734,59.36968994140625,214.68711853027344,382.0528564453125
21,16,Cmin7,C,30.0,172.8120880126953,44.48209762573242,88.74911499023438,335.6593933105469,101.89010620117188,69.16350555419922,57.615962982177734,190.02099609375,36.22798156738281,29.477996826171875,85.42293548583984,449.3455505371094
22,16,Cmin(maj7),C,31.0,251.63047790527344,64.9279556274414,104.38350677490234,333.3611145019531,92.00389862060547,54.44071578979492,44.8731803894043,200.30921936035156,52.538753509521484,103.2340087890625,581.1126708984375,174.68450927734375
23,17,Cmin,C,32.0,478.4372863769531,100.2374496459961,96.14656829833984,384.3157958984375,189.89019775390625,186.64208984375,47.62287521362305,116.32373046875,47.8990478515625,161.14796447753906,362.8792724609375,147.34974670410156
24,17,F7,F,33.0,492.4156494140625,94.6655502319336,86.33056640625,355.417236328125,144.92079162597656,166.5927276611328,41.1170768737793,124.65845489501953,104.17318725585938,130.9045867919922,536.5333862304688,184.2895050048828
25,18,Fmin7,F,34.0,138.4560089111328,158.72068786621094,604.1494140625,200.659912109375,204.6109619140625,781.5420532226562,238.15928649902344,108.82105255126953,490.2916259765625,320.4039611816406,649.548095703125,141.3432159423828
26,18,Bb7,Bb,35.0,10.793856620788574,12.05755615234375,58.433563232421875,30.73078727722168,39.755226135253906,215.32501220703125,34.27262878417969,6.030608654022217,25.196746826171875,12.979945182800293,14.621033668518066,4.921716213226318
