,Measure,JustFriends,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
17,19,Bbmin7,Bb,36.0,417.4169006347656,1789.7850341796875,474.6262512207031,221.2963409423828,364.3621520996094,1508.931640625,554.3732299804688,2114.718505859375,1065.6075439453125,560.4366455078125,962.1215209960938,230.7841033935547
18,20,Eb7,Eb,38.0,220.02369689941406,1063.0806884765625,1275.8468017578125,1539.7283935546875,337.9613342285156,235.68663024902344,172.79273986816406,670.4932861328125,190.29356384277344,207.0341796875,848.0505981445312,218.6597442626953
19,21,Fmaj7,F,40.0,4840.107421875,1232.4317626953125,782.1135864257812,1983.7999267578125,7565.66650390625,3701.6064453125,1937.60791015625,10183.5341796875,2608.350341796875,3528.636474609375,810.1271362304688,1151.8663330078125
20,23,Abmin7,Ab,44.0,394.9317932128906,155.56163024902344,313.7935791015625,1283.1864013671875,301.4087829589844,717.7360229492188,1742.3787841796875,521.0148315429688,804.035400390625,235.57891845703125,378.8886413574219,1828.8397216796875
21,24,Db7,Db,46.0,401.3303527832031,759.4793090820312,204.95323181152344,242.96173095703125,359.80517578125,1746.3970947265625,373.3463134765625,139.68771362304688,602.0122680664062,154.74034118652344,172.79380798339844,938.9743041992188
22,25,Gmin7,G,48.0,133.2414093017578,207.70166015625,509.7832336425781,206.30519104003906,381.33837890625,1734.212890625,595.7485961914062,774.4628295898438,235.36329650878906,369.026123046875,901.1336059570312,209.83055114746094
23,26,C7,C,50.0,869.3583374023438,477.2479248046875,1904.9619140625,640.1773071289062,1722.5447998046875,463.0154113769531,236.0296173095703,675.2658081054688,239.26319885253906,224.61724853515625,793.5634765625,462.0903015136719
24,27,Edim7,E,52.0,34.285152435302734,46.07876968383789,30.795320510864258,40.36344528198242,128.41123962402344,107.5415267944336,36.25316619873047,110.76297760009766,29.42469596862793,17.219228744506836,43.032684326171875,21.981826782226562
25,27,A7,A,53.0,45.038448333740234,111.943115234375,48.6631965637207,70.38895416259766,309.37164306640625,80.71037292480469,61.214176177978516,246.53355407714844,84.36814880371094,50.67899703979492,70.92276000976562,49.688358306884766
26,28,Dmin7,D,54.0,1076.6236572265625,669.5115356445312,925.6552734375,378.0673522949219,1273.9071044921875,1715.92333984375,484.6460266113281,569.6700439453125,299.0047302246094,670.644775390625,166.8946990966797,246.80628967285156
27,29,G7,G,56.0,450.8763122558594,309.4654846191406,987.07763671875,392.9425048828125,457.7254333496094,1732.884765625,697.2554321289062,752.8485717773438,182.8221893310547,330.9018249511719,263.9935607910156,891.7841796875
28,30,Gmin7,G,58.0,25.425508499145508,62.76219177246094,334.8257141113281,63.96744155883789,40.00002670288086,100.14612579345703,43.93341064453125,38.10581588745117,18.788549423217773,28.52158546447754,38.418033599853516,32.1401252746582
29,30,C7,C,59.0,47.80781173706055,41.10810852050781,101.45687103271484,41.95901870727539,136.35403442382812,301.91741943359375,57.26906967163086,92.27963256835938,36.77737045288086,114.43377685546875,95.53388214111328,45.56190872192383
30,31,F6,F,60.0,1450.9107666015625,460.3239440917969,1218.4075927734375,419.5097351074219,1317.9224853515625,1817.3896484375,359.5379333496094,437.0843200683594,332.2765197753906,1344.097900390625,422.70654296875,316.28009033203125
31,32,Cmin7,C,62.0,47.24007797241211,20.589223861694336,46.64640808105469,72.21338653564453,51.340694427490234,51.199947357177734,17.288434982299805,34.01369094848633,10.501184463500977,15.434685707092285,43.843318939208984,30.34357261657715
32,32,F7,F,63.0,6293.48095703125,1459.3184814453125,2054.26318359375,10234.9404296875,4673.45556640625,4048.4560546875,885.57568359375,1815.5262451171875,2535.626220703125,13400.5634765625,2788.088134765625,1411.3065185546875
