,Measure,A Little Busy,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
15,19,F,F,36.0,215.1020050048828,64.3377914428711,26.88340950012207,32.163509368896484,127.72564697265625,480.2574157714844,95.73595428466797,24.554330825805664,45.669464111328125,218.526611328125,63.22001647949219,44.000858306884766
16,19,Bb,Bb,36.66666666666666,58.472721099853516,10.129340171813965,3.376366376876831,3.79293155670166,29.549467086791992,150.50892639160156,19.014419555664062,1.9619179964065552,5.7404022216796875,32.84077453613281,10.026887893676758,11.64376163482666
17,19,B,B,37.333333333333336,23.003034591674805,30.10019874572754,123.87112426757812,58.47108459472656,62.31632995605469,225.3844757080078,72.44810485839844,12.027469635009766,11.51401424407959,68.1888656616211,128.86447143554688,31.479063034057617
18,20,C13,C,38.0,2345.517578125,2319.086669921875,4605.17724609375,6494.501953125,7501.29345703125,10491.6865234375,6782.40478515625,6628.294921875,6476.5859375,5464.044921875,6526.76123046875,2766.4462890625
19,22,Bb7(#9),Bb,42.0,1747.8543701171875,7631.97314453125,7567.39404296875,2259.798095703125,2784.421875,9594.7138671875,2329.224853515625,1348.975341796875,5691.90087890625,3248.598388671875,8902.5205078125,1831.69482421875
20,24,F7,F,46.0,41190.68359375,8491.8154296875,12001.3740234375,63931.97265625,26845.833984375,25664.8046875,4513.02294921875,5280.79052734375,6543.04443359375,21855.576171875,6030.95361328125,8173.044921875
21,33,F7,F,64.0,73635.6796875,12694.79296875,10513.376953125,46739.65234375,20797.150390625,20182.919921875,4234.61962890625,5887.75146484375,5011.68505859375,17207.57421875,5191.74365234375,12076.6337890625
22,40,F7,F,78.0,76014.6484375,15378.1611328125,21389.302734375,118028.0,48831.90625,47066.41015625,8088.498046875,9573.1435546875,11417.76171875,38713.89453125,9578.9697265625,14799.08984375
23,56,Bb7,Bb,110.0,1216.6558837890625,2690.14697265625,13656.3486328125,2934.060546875,4550.4814453125,23862.259765625,4885.087890625,1509.1868896484375,7939.22998046875,5064.943359375,11833.1259765625,1935.1619873046875
24,60,Eb7,Eb,118.0,968.9025268554688,5302.37744140625,2720.8447265625,9171.4052734375,1671.2376708984375,498.1993713378906,748.498291015625,4369.78515625,899.6032104492188,906.41455078125,5202.7490234375,1140.683349609375
25,62,Dmin7,D,122.0,542.1369018554688,237.04551696777344,557.5479736328125,154.80712890625,266.140380859375,1046.137939453125,268.28631591796875,65.71882629394531,87.59534454345703,419.2967224121094,89.54330444335938,99.11406707763672
26,62,G7,G,123.0,502.2781677246094,306.3659362792969,955.0647583007812,484.8313903808594,656.7760009765625,3274.949951171875,985.5015258789062,1011.8904418945312,234.31211853027344,346.47265625,295.9800720214844,1165.2679443359375
27,64,Cmin7,C,126.0,1753.5172119140625,434.9925842285156,850.1774291992188,3183.9609375,937.7153930664062,299.7563781738281,293.4031677246094,1472.3057861328125,303.50262451171875,366.783447265625,1938.3468017578125,727.612060546875
28,65,F7,F,128.0,2086.39697265625,461.2820129394531,678.7456665039062,3249.112548828125,1599.2813720703125,1290.8651123046875,288.94781494140625,383.5903015136719,511.3742370605469,1661.09521484375,412.0019226074219,485.6220397949219
29,66,Bbmaj7,Bb,130.0,14127.6728515625,23778.978515625,102444.7890625,33178.37890625,42016.19921875,199067.75,36529.875,6836.21337890625,12613.2197265625,75628.7109375,86156.5234375,15012.3837890625
