,Measure,Hippies,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
10,11,Emin,E,20.0,356.7890930175781,152.39903259277344,158.5700225830078,664.6376953125,3347.693115234375,599.1445922851562,398.7801513671875,1537.0703125,370.760986328125,131.2029266357422,318.7541809082031,2031.2825927734375
11,12,A,A,22.0,360.974609375,1757.6781005859375,384.2264404296875,572.2072143554688,2680.979248046875,683.868408203125,85.59308624267578,173.48939514160156,788.097900390625,2009.2760009765625,341.66748046875,155.279052734375
12,13,Emin7,E,24.0,434.4849853515625,471.8357849121094,2351.065673828125,1062.216064453125,3485.288330078125,653.9633178710938,520.6504516601562,1544.2203369140625,380.3391418457031,202.389404296875,367.4073791503906,2193.600341796875
13,14,F#7,F#,26.0,151.30807495117188,601.2885131835938,161.43614196777344,230.4279022216797,1090.7689208984375,558.0613403320312,455.46630859375,118.58419036865234,284.2999572753906,1339.8243408203125,780.5161743164062,165.3342742919922
14,14,E7,E,27.0,173.5831298828125,232.30848693847656,645.8584594726562,313.3342590332031,935.6776733398438,211.31822204589844,178.6150665283203,537.4865112304688,499.9737548828125,128.23081970214844,120.53631591796875,525.9066772460938
15,15,A7,A,28.0,53.168155670166016,140.86973571777344,50.67427062988281,64.96881866455078,188.1685333251953,66.53471374511719,42.444698333740234,154.85247802734375,97.55731201171875,116.44087982177734,39.210166931152344,31.617277145385742
16,15,Bb7,Bb,28.5,16.573888778686523,45.884613037109375,13.392149925231934,20.368032455444336,93.0198974609375,21.392684936523438,13.702980995178223,52.557071685791016,58.15640640258789,242.92041015625,34.91172790527344,9.601155281066895
17,15,A7,A,29.0,22.048906326293945,50.132476806640625,106.9349136352539,47.671016693115234,103.4323959350586,159.85813903808594,44.965091705322266,20.962858200073242,116.35464477539062,570.0175170898438,287.2860412597656,64.7066879272461
18,15,G7,G,29.5,47.763309478759766,145.52223205566406,73.70178985595703,70.3177719116211,230.42201232910156,161.54380798339844,80.90312957763672,352.5672607421875,150.5255889892578,158.4803009033203,44.25379943847656,29.631736755371094
19,16,A7,A,30.0,86.09668731689453,177.65394592285156,115.1938247680664,130.0668182373047,284.5030822753906,306.6553649902344,101.61148834228516,261.1047668457031,186.3447723388672,229.8902130126953,70.17484283447266,113.27616119384766
20,16,G7,G,30.5,76.5838851928711,103.51773071289062,124.17483520507812,76.46027374267578,174.04090881347656,310.2799987792969,178.7164306640625,279.103759765625,75.23870086669922,48.49092483520508,43.40397262573242,127.80984497070312
21,16,E7,E,31.0,96.50015258789062,62.4576301574707,88.91997528076172,57.04144287109375,188.3621063232422,102.57109832763672,60.00766372680664,80.90351867675781,74.58940887451172,26.83728790283203,50.8392448425293,243.6219024658203
22,16,D7,D,31.5,144.7166290283203,183.15928649902344,509.0439147949219,93.51349639892578,115.19290161132812,195.26470947265625,338.50152587890625,74.5829849243164,39.712955474853516,114.1595687866211,49.17226028442383,86.4712142944336
23,17,C#dim,C#,32.0,394.0487365722656,640.8761596679688,499.6052551269531,269.0662841796875,1090.5321044921875,404.5156555175781,404.0329284667969,499.0256042480469,165.0272674560547,131.87246704101562,66.8509750366211,220.51893615722656
24,17,Cmaj7,C,33.0,791.56201171875,259.55731201171875,134.9089813232422,266.3954772949219,1058.5631103515625,248.4254608154297,239.2890167236328,526.6985473632812,116.80341339111328,64.36636352539062,178.7415008544922,1116.6258544921875
25,18,Bmin7,B,34.0,229.23594665527344,266.9227294921875,687.9815063476562,262.3194274902344,314.6233215332031,365.00244140625,1229.283935546875,287.9986572265625,256.3338317871094,1448.2742919921875,330.2119445800781,488.2663269042969
26,18,Gmin7/Bb,G,35.0,87.36235809326172,149.14036560058594,696.308837890625,195.26220703125,254.3724365234375,870.5459594726562,495.5606384277344,841.0641479492188,194.2062530517578,391.1930847167969,564.7860717773438,215.6746826171875
27,19,Amin7,A,36.0,53.606807708740234,36.1210823059082,76.73926544189453,42.723236083984375,109.84090423583984,231.90562438964844,71.74559783935547,181.66014099121094,49.57701110839844,45.30118942260742,24.434907913208008,36.980552673339844
28,19,Abmaj7,Ab,37.0,210.41355895996094,61.487918853759766,110.1103744506836,120.39532470703125,258.9737854003906,80.65833282470703,181.98387145996094,1127.7034912109375,210.33152770996094,42.22671127319336,19.7684268951416,74.87396240234375
29,20,F#maj7,F#,38.0,383.436279296875,650.2378540039062,173.7909698486328,344.0203857421875,336.95941162109375,1199.6285400390625,652.5818481445312,511.3606872558594,224.10076904296875,243.484130859375,735.452392578125,209.6469268798828
30,20,Ebmaj7,Eb,39.0,112.69254302978516,268.0781555175781,834.5944213867188,825.598388671875,223.8916015625,279.6528625488281,194.9405975341797,468.6878967285156,114.14032745361328,139.6478729248047,556.1743774414062,131.91641235351562
31,21,F#min,F#,40.0,52.62918472290039,262.2371826171875,83.50377655029297,145.53536987304688,80.04842376708984,131.2980499267578,460.433837890625,118.56512451171875,101.90877532958984,557.6345825195312,113.15447998046875,28.630218505859375
32,21,Eb7,Eb,40.66666666666666,38.46603775024414,152.93922424316406,94.62393951416016,165.97218322753906,52.45671081542969,48.99215316772461,124.74959564208984,96.5574722290039,59.397586822509766,182.6625213623047,122.70317840576172,33.56743621826172
33,21,Abmaj7,Ab,41.333333333333336,39.65555191040039,82.32755279541016,61.99843978881836,148.9785919189453,48.2827262878418,23.257768630981445,68.08954620361328,91.93543243408203,26.634302139282227,22.68406105041504,57.994842529296875,20.182697296142578
34,22,F#min,F#,42.0,312.9306945800781,652.8960571289062,170.8567352294922,353.082763671875,196.70411682128906,278.8898620605469,1104.406005859375,440.7638854980469,326.2220764160156,1164.107177734375,242.74615478515625,81.7145767211914
35,22,Ebmin7,Eb,43.0,88.20305633544922,326.9433288574219,179.5503692626953,509.5043640136719,87.34961700439453,141.8990020751953,697.13330078125,118.27783203125,28.47336769104004,115.12590789794922,372.5771484375,74.90117645263672
36,23,F#min7,F#,44.0,89.90641021728516,332.9700622558594,122.33798217773438,162.7931671142578,379.0777893066406,212.78553771972656,216.3976287841797,69.99846649169922,175.64263916015625,655.9688110351562,153.45689392089844,34.773616790771484
37,23,Ebmin7,Eb,44.66666666666666,54.507450103759766,262.9627685546875,100.57561492919922,186.29380798339844,163.05206298828125,90.02533721923828,193.58404541015625,55.53849411010742,64.54109191894531,193.436767578125,119.67886352539062,25.75348472595215
38,23,Abmaj7,Ab,45.33333333333334,52.0907096862793,160.4553985595703,86.85796356201172,160.2030792236328,95.55814361572266,42.06892395019531,112.48258209228516,49.935115814208984,19.687822341918945,18.1980037689209,55.0684700012207,19.725570678710938
39,24,F#min7,F#,46.0,1190.6796875,2622.943603515625,669.6007690429688,1764.3060302734375,3070.504638671875,1224.1259765625,1897.8502197265625,1099.251220703125,1410.1781005859375,5321.82861328125,1025.6298828125,352.4853515625
40,25,Emin7,E,48.0,420.3567199707031,463.6163024902344,2332.183349609375,1103.7308349609375,3455.939208984375,648.8560180664062,410.9114685058594,1533.42724609375,375.1571044921875,181.6866912841797,340.5248718261719,2010.74560546875
41,26,A,A,50.0,729.4873657226562,3391.487060546875,707.291015625,1071.1654052734375,5208.337890625,1259.3695068359375,185.6275634765625,285.097900390625,1226.916748046875,2796.215087890625,491.3984069824219,285.08587646484375
