,Measure,Voodoo,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
16,10,Bb7,Bb,18.0,61.31332778930664,151.43067932128906,97.89801788330078,63.99095153808594,305.5590515136719,175.01861572265625,48.56050491333008,100.38549041748047,168.49571228027344,938.9871215820312,133.35951232910156,16.642427444458008
17,10,A7,A,19.0,142.36065673828125,90.45780181884766,298.9609069824219,57.28664779663086,93.2331314086914,319.5108947753906,64.13887786865234,13.771339416503906,27.67034912109375,171.9251251220703,40.9809455871582,32.21117401123047
18,11,Dmin7,D,20.0,870.5761108398438,290.8958435058594,551.411376953125,428.1673889160156,1699.3643798828125,478.2857360839844,225.0950164794922,662.3746948242188,185.0535888671875,274.5625305175781,204.73809814453125,978.7958374023438
19,12,Cmaj7,C,22.0,160.10696411132812,325.61737060546875,1369.4654541015625,341.780517578125,507.3636169433594,1367.9326171875,362.9839172363281,108.66130828857422,174.69061279296875,952.25146484375,980.7982788085938,207.0684814453125
20,13,Bbmaj7,Bb,24.0,940.58984375,277.12371826171875,546.1106567382812,425.6324768066406,1705.8988037109375,462.9383850097656,225.69786071777344,659.2611083984375,185.41851806640625,277.4792785644531,209.81089782714844,989.6668090820312
21,14,Cmaj7,C,26.0,1038.67626953125,458.2145690917969,1353.8748779296875,319.31317138671875,549.0831909179688,1680.0107421875,412.4539794921875,128.43516540527344,155.90316772460938,779.767578125,198.95494079589844,219.08168029785156
22,15,Dmin7,D,28.0,890.493408203125,268.1492614746094,547.4602661132812,426.4661865234375,1717.43359375,459.595703125,224.36370849609375,656.7247314453125,182.48277282714844,273.03021240234375,201.29376220703125,980.6185913085938
23,16,Cmaj7,C,30.0,257.7178039550781,309.74688720703125,1822.7130126953125,593.3241577148438,1645.0718994140625,368.1540832519531,206.38685607910156,695.57275390625,189.0233154296875,256.1507263183594,200.21502685546875,895.4547729492188
24,17,Emin7(b5),E,32.0,736.8421020507812,915.2605590820312,275.7647399902344,335.8854064941406,1373.2039794921875,390.1407470703125,190.0465087890625,962.1781616210938,483.079345703125,784.6233520507812,175.77540588378906,233.60687255859375
25,18,A7,A,34.0,951.439208984375,437.0404052734375,837.6215209960938,311.7212219238281,1075.7852783203125,1782.7548828125,391.2583923339844,138.99156188964844,625.3147583007812,3773.999267578125,630.3554077148438,192.848876953125
26,19,Dmin7,D,36.0,224.61114501953125,60.34578323364258,74.79768371582031,76.17243194580078,403.8266296386719,185.15374755859375,65.93126678466797,137.4497528076172,241.23455810546875,1183.6854248046875,217.2388458251953,61.1056022644043
27,19,C/D,C,37.0,43.41069412231445,81.68746185302734,195.30039978027344,66.20598602294922,159.64076232910156,334.5716247558594,60.80067443847656,62.560611724853516,79.73810577392578,75.72087860107422,53.26335144042969,21.29429817199707
28,20,Bb7,Bb,38.0,69.6095962524414,153.97645568847656,72.42241668701172,68.90174865722656,384.1226806640625,203.17236328125,47.9751091003418,103.13272094726562,245.27235412597656,1437.9554443359375,223.35130310058594,26.4869384765625
29,20,A7,A,39.0,151.4031982421875,85.54459381103516,181.4066925048828,49.58364486694336,129.49436950683594,369.0872497558594,59.24129104614258,20.690479278564453,27.865135192871094,128.52146911621094,36.195709228515625,39.718379974365234
30,21,Dmin7,D,40.0,222.18116760253906,53.4040641784668,70.5230941772461,41.073638916015625,139.54678344726562,519.3504028320312,100.64911651611328,24.192235946655273,65.380859375,157.1040802001953,60.9953727722168,50.35396957397461
31,21,F/C,F,41.0,27.856130599975586,37.13375473022461,168.71852111816406,42.0621223449707,71.55108642578125,308.606689453125,47.71967697143555,16.662736892700195,50.14108657836914,35.392330169677734,44.0408935546875,13.132164001464844
32,22,Bb7,Bb,42.0,103.88900756835938,388.6305236816406,138.3260955810547,174.3813934326172,674.9821166992188,255.951904296875,98.84131622314453,310.0608215332031,301.361328125,1493.2362060546875,260.04266357421875,52.61204528808594
33,22,A7,A,43.0,153.2064971923828,110.49334716796875,194.2319793701172,82.8720474243164,239.40538024902344,308.234619140625,58.90457534790039,57.874820709228516,32.42958450317383,103.87185668945312,33.54654312133789,44.096736907958984
34,23,Dmin7,D,44.0,228.49668884277344,68.25137329101562,79.0090560913086,78.76138305664062,416.3836669921875,186.9215545654297,65.72146606445312,135.74551391601562,244.78431701660156,1196.4088134765625,220.89723205566406,62.928497314453125
35,23,C/D,C,45.0,43.8857421875,85.24676513671875,194.41644287109375,66.6977767944336,158.2471160888672,333.1617126464844,60.68294143676758,62.90189743041992,83.32476043701172,73.50293731689453,52.19869613647461,20.891494750976562
36,24,Bb7,Bb,46.0,69.73326873779297,154.99879455566406,73.61630249023438,69.0094223022461,383.9203186035156,203.11944580078125,47.99522399902344,103.13513946533203,245.27207946777344,1438.2635498046875,223.3814697265625,26.43994903564453
37,24,A7,A,47.0,151.38075256347656,85.80130004882812,183.23016357421875,49.82403564453125,129.4921112060547,369.0900573730469,59.2310676574707,20.689599990844727,27.86224937438965,128.5148162841797,36.18613815307617,39.74363327026367
38,25,Dmin7,D,48.0,222.1278533935547,53.49989700317383,71.05259704589844,41.13124084472656,139.5458221435547,519.1801147460938,100.5888900756836,24.188920974731445,65.3956298828125,157.0655059814453,61.0335578918457,50.360382080078125
39,25,F/C,F,49.0,40.5489501953125,81.63570404052734,191.9210968017578,62.285335540771484,128.5930633544922,319.9948425292969,58.04364013671875,56.32363510131836,77.99038696289062,67.84452056884766,50.87636184692383,20.26175308227539
40,26,Bb7,Bb,50.0,33.41242599487305,127.50804901123047,34.87820053100586,41.4250602722168,263.8237609863281,101.1128158569336,22.558624267578125,93.5833511352539,32.65761184692383,34.089263916015625,7.172857284545898,10.047167778015137
41,26,A7,A,51.0,0.1829160898923874,0.49437078833580017,0.26210659742355347,0.21408547461032867,0.8768522143363953,0.723313570022583,0.2563309669494629,0.5350179672241211,0.18005432188510895,0.09499423950910568,0.05620680749416351,0.08761657029390335
