,Measure,ghana,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
20,30,Abmin7,Ab,58.0,388.6767578125,245.25537109375,635.3681640625,2766.039306640625,505.24462890625,859.123779296875,3903.247802734375,1312.711181640625,3279.196533203125,1108.460693359375,3944.182373046875,2277.401123046875
21,31,Db7,Db,60.0,779.0286254882812,1713.5035400390625,349.3750915527344,271.5589294433594,734.3693237304688,3852.132080078125,760.51220703125,286.6828918457031,1395.3538818359375,332.12249755859375,409.6626281738281,2027.7823486328125
22,32,Gbmaj7,Gb,62.0,1711.76611328125,8026.55517578125,1509.0552978515625,649.9786376953125,1972.47998046875,10459.2978515625,5951.06787109375,903.3796997070312,1212.2264404296875,1629.0618896484375,5584.634765625,1125.4835205078125
23,34,Bmin7,B,66.0,420.9644775390625,942.23681640625,2075.85400390625,776.5139770507812,289.7785949707031,808.9856567382812,3941.5185546875,700.6317749023438,438.9015808105469,1319.1778564453125,593.13134765625,1853.6385498046875
24,35,E7,E,68.0,440.9537048339844,428.3551940917969,2534.883056640625,1093.0260009765625,3372.275634765625,630.1243286132812,707.6915893554688,3391.279541015625,2283.514404296875,408.3301696777344,356.2049560546875,1946.6202392578125
25,36,Amaj7,A,70.0,1242.3282470703125,5133.35009765625,1334.271728515625,2120.033935546875,9448.8388671875,2203.83740234375,720.3964233398438,878.27734375,4721.89453125,4496.45947265625,832.6619262695312,623.6581420898438
26,38,Cmin7,C,74.0,1795.8345947265625,541.5824584960938,1407.7451171875,3264.6376953125,937.5556030273438,233.3093719482422,326.58770751953125,1489.0391845703125,321.6127014160156,548.2022094726562,1977.1214599609375,734.2442016601562
27,39,F7,F,76.0,2112.00732421875,501.30517578125,667.4834594726562,3272.811279296875,1804.2630615234375,1466.6805419921875,314.5797119140625,487.4532775878906,986.5175170898438,5171.19580078125,1298.2469482421875,528.7289428710938
28,40,Fmin7,F,78.0,2175.9970703125,491.5824890136719,614.0391235351562,2577.75244140625,1236.4525146484375,1848.1378173828125,390.0690612792969,670.8038940429688,1647.16552734375,426.76513671875,188.1107635498047,474.795654296875
29,41,Bb7,Bb,80.0,277.9123229980469,426.1984558105469,2042.427734375,574.2981567382812,722.5473022460938,3137.647705078125,777.7280883789062,295.1462097167969,1427.900390625,880.39208984375,1983.7509765625,371.3132019042969
30,42,Ebmin7,Eb,82.0,3571.900634765625,20229.470703125,8191.82861328125,26737.1015625,4875.43310546875,7686.583984375,24579.044921875,5150.888671875,1327.5762939453125,2763.120849609375,15380.5126953125,2752.8984375
31,46,Abmin7,Ab,90.0,115.67035675048828,75.0506591796875,204.27146911621094,763.134033203125,156.14378356933594,287.2324523925781,1118.9129638671875,352.1898193359375,493.7566223144531,308.2027282714844,1431.4010009765625,679.9909057617188
32,46,Db7,Db,91.0,305.2227783203125,501.471923828125,162.04530334472656,349.271240234375,269.1915588378906,1148.3153076171875,359.1044006347656,153.6458740234375,646.486328125,139.01490783691406,182.55596923828125,940.1980590820312
33,47,Gb7,Gb,92.0,202.5504150390625,573.2596435546875,138.1367950439453,359.3705139160156,1091.970703125,688.8518676757812,486.6292419433594,309.3868103027344,1505.13720703125,403.2915954589844,618.6939697265625,256.5597229003906
34,47,B7,B,93.0,142.80006408691406,199.5502166748047,223.61329650878906,1091.65087890625,370.887939453125,325.3171691894531,1372.1934814453125,241.777587890625,96.12299346923828,462.2032165527344,286.6556701660156,605.4891967773438
35,48,Fmin7,F,94.0,636.3972778320312,178.1143341064453,230.6517791748047,838.799072265625,411.5404968261719,477.6045837402344,247.97003173828125,276.6396179199219,577.9059448242188,191.4003448486328,86.10211944580078,204.3135528564453
36,48,Bb7,Bb,95.0,2450.542236328125,1935.091796875,8231.4794921875,5232.65380859375,2694.54931640625,9967.3876953125,2542.136474609375,925.1718139648438,2593.878662109375,1991.30517578125,4113.68798828125,1557.1563720703125
