,Measure,sambop,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
18,12,Bbmin7,Bb,22.0,482.4394836425781,468.6589050292969,102.24213409423828,133.21519470214844,193.563232421875,608.9983520507812,137.367919921875,154.75914001464844,198.01487731933594,118.32428741455078,315.5509338378906,145.02487182617188
19,12,Eb7,Eb,23.0,261.53607177734375,400.1317443847656,195.50433349609375,534.64306640625,140.3695526123047,170.71917724609375,84.62958526611328,358.517333984375,108.43193817138672,188.92706298828125,391.6779479980469,117.89300537109375
20,13,Bbmin7,Bb,24.0,94.76822662353516,335.7648010253906,132.47264099121094,152.0238037109375,182.54835510253906,608.0599365234375,181.1004638671875,571.4357299804688,261.60504150390625,135.6085662841797,328.8876037597656,92.73404693603516
21,13,Eb7,Eb,25.0,71.6805648803711,367.3916320800781,172.7544403076172,529.4353637695312,164.02099609375,163.35643005371094,76.86727142333984,280.9132385253906,80.16343688964844,81.12023162841797,363.265380859375,88.794677734375
22,14,Cmin7,C,26.0,341.2366027832031,111.16213989257812,132.77288818359375,556.4730834960938,162.7463836669922,53.48466873168945,56.059329986572266,283.9736633300781,52.50748062133789,72.374755859375,337.5593566894531,158.2710418701172
23,14,F7,F,27.0,409.3090515136719,112.99602508544922,112.25923919677734,582.1035766601562,261.8388366699219,257.2336730957031,84.07598876953125,106.9826431274414,185.85142517089844,1017.6492309570312,183.30870056152344,83.2833251953125
24,15,Cmin7,C,28.0,338.3699035644531,123.0021743774414,320.3276062011719,611.1770629882812,189.68760681152344,92.53958892822266,75.97203826904297,270.85906982421875,58.50888442993164,169.57919311523438,445.4762268066406,185.9754638671875
25,15,F7,F,29.0,421.5237731933594,188.76979064941406,690.7173461914062,640.3314819335938,267.02362060546875,246.44407653808594,85.83184814453125,110.4927978515625,112.33255767822266,404.3708801269531,102.11705780029297,90.770263671875
26,16,Cmin7,C,30.0,305.8800964355469,172.28721618652344,764.6340942382812,640.5734252929688,193.82025146484375,88.27194213867188,62.99601364135742,269.53179931640625,76.07334899902344,182.9078826904297,394.9271240234375,170.78013610839844
27,16,F7,F,31.0,441.6148681640625,133.54820251464844,280.37774658203125,613.2612915039062,261.3148498535156,242.6085968017578,97.49819946289062,108.89745330810547,84.89185333251953,317.7240905761719,212.59837341308594,113.26669311523438
28,17,Cmin7,C,32.0,288.16876220703125,74.29715728759766,120.17236328125,569.1613159179688,187.50572204589844,78.71268463134766,72.5282211303711,356.5193786621094,182.12962341308594,839.34912109375,509.6617736816406,176.75030517578125
29,17,F7,F,33.0,231.1935577392578,64.23966217041016,88.37938690185547,341.5255126953125,129.50296020507812,122.42536163330078,106.73941040039062,71.77592468261719,25.818862915039062,62.51951217651367,45.84760665893555,54.7486572265625
30,18,Bbmin7,Bb,34.0,461.6367492675781,1320.9183349609375,1968.6610107421875,614.0604858398438,551.0090942382812,2047.7373046875,570.5267333984375,1637.8455810546875,927.2705688476562,736.1227416992188,1030.02294921875,316.2125549316406
31,19,Bdim7,B,36.0,273.95770263671875,248.73402404785156,1163.4468994140625,559.3411254882812,513.2225952148438,2410.812744140625,581.1293334960938,380.4024963378906,2313.7080078125,501.9314270019531,268.6163024902344,1161.7574462890625
32,20,Cmin7,C,38.0,1144.126708984375,279.1993713378906,372.924560546875,1875.2239990234375,560.45068359375,218.72743225097656,176.91827392578125,924.8908081054688,397.0857238769531,1841.9644775390625,1740.7154541015625,548.3173217773438
33,21,B7,B,40.0,251.5553436279297,150.4445343017578,375.8581848144531,2073.281494140625,355.0048522949219,451.2503967285156,2490.986572265625,685.364501953125,1817.8184814453125,928.278564453125,389.1649169921875,1187.9884033203125
34,22,E7,E,42.0,262.6287536621094,216.1780242919922,1195.0592041015625,598.0695190429688,2107.425048828125,382.9617919921875,195.04742431640625,144.1525115966797,688.1455688476562,139.70326232910156,181.2466278076172,1064.0721435546875
35,23,A7,A,44.0,329.9795227050781,1543.2154541015625,309.56585693359375,416.3779602050781,1814.3360595703125,449.3632507324219,216.65684509277344,993.996826171875,562.857666015625,675.9808959960938,145.00230407714844,146.2296905517578
36,24,Bbmin7,Bb,46.0,282.6028747558594,1062.087890625,202.2709503173828,119.50867462158203,460.6007080078125,2039.4952392578125,374.4980773925781,125.21576690673828,599.153076171875,345.0817565917969,982.8936157226562,244.48497009277344
37,25,Eb7,Eb,48.0,233.83872985839844,1330.1312255859375,574.584228515625,1861.18994140625,319.0573425292969,174.29490661621094,154.7661895751953,892.1655883789062,178.9207305908203,225.9007568359375,1160.2369384765625,245.58489990234375
38,26,Bbmin7,Bb,50.0,125.1279067993164,306.6896057128906,63.86753463745117,47.465755462646484,145.5049285888672,600.7744140625,116.91043090820312,40.17936706542969,177.19313049316406,113.1223373413086,289.69451904296875,100.24529266357422
39,26,Eb7,Eb,51.0,59.48002624511719,357.5810852050781,133.59432983398438,358.9644775390625,92.71231079101562,141.75010681152344,114.96243286132812,636.4215698242188,110.3370361328125,34.60246276855469,169.4667510986328,33.75820541381836
40,27,Bbmin7,Bb,52.0,301.6791687011719,411.4865417480469,90.92255401611328,132.76805114746094,204.8372802734375,609.2463989257812,119.239990234375,136.11830139160156,220.97833251953125,254.30860900878906,478.4598388671875,142.31488037109375
41,27,Eb7,Eb,53.0,594.7730102539062,463.8357238769531,192.88865661621094,513.6380004882812,121.44210052490234,159.63673400878906,94.09015655517578,400.7794494628906,108.06807708740234,87.9860610961914,355.3226623535156,161.07154846191406
42,28,Bbmin7,Bb,54.0,459.4959716796875,407.12060546875,104.30394744873047,152.2568359375,182.66163635253906,602.2197875976562,140.71835327148438,165.3518829345703,196.63331604003906,121.38162994384766,315.4263000488281,139.67799377441406
43,28,Eb7,Eb,55.0,282.0896911621094,433.2784423828125,365.6447448730469,962.8067016601562,255.42327880859375,232.70018005371094,134.01466369628906,565.2744140625,160.13189697265625,314.7033996582031,1049.7598876953125,217.23046875
44,29,Bbmin7,Bb,56.0,85.87116241455078,229.3756866455078,123.2029800415039,195.76976013183594,158.34083557128906,588.5791625976562,188.4641571044922,606.801513671875,261.2236328125,133.38597106933594,340.39569091796875,104.0417251586914
45,29,Eb7,Eb,57.0,76.76648712158203,372.7558898925781,239.48382568359375,553.9285278320312,164.99020385742188,163.52688598632812,76.01561737060547,278.9515380859375,82.99827575683594,85.03231811523438,358.48046875,86.71446990966797
46,30,Cmin7,C,58.0,341.9765625,113.94721221923828,163.9496307373047,563.1543579101562,162.43016052246094,52.73324203491211,56.48465347290039,284.9026794433594,52.293209075927734,68.90232849121094,337.6072082519531,158.415771484375
47,30,F7,F,59.0,409.7264099121094,112.10773468017578,112.31340789794922,579.8096313476562,258.18853759765625,256.9994812011719,83.48738098144531,107.57772064208984,173.7761993408203,937.1390991210938,169.38575744628906,82.36063385009766
48,31,Bmin7,B,60.0,127.81819915771484,115.57453155517578,387.3511657714844,271.7257995605469,63.046207427978516,176.71739196777344,797.8623657226562,137.6092071533203,46.59563064575195,187.04896545410156,109.16748809814453,381.1683044433594
49,31,E7,E,61.0,167.60243225097656,101.93637084960938,436.2340393066406,209.14625549316406,625.3489379882812,127.593017578125,130.74122619628906,148.72802734375,576.3082885742188,103.19622802734375,125.9484634399414,645.4423828125
50,32,Bbmin7,Bb,62.0,153.6444091796875,326.5888671875,88.2413330078125,98.22607421875,268.74639892578125,583.1417236328125,126.8414077758789,42.36983108520508,178.70323181152344,115.69725799560547,312.6978759765625,169.1222381591797
51,32,Eb7,Eb,63.0,81.88202667236328,329.1871032714844,247.04010009765625,574.1220092773438,201.63136291503906,202.2959442138672,110.36052703857422,352.54052734375,217.3472900390625,848.3936157226562,1029.6392822265625,205.88356018066406
52,33,Abmaj7,Ab,64.0,1142.8135986328125,299.3415832519531,313.2833557128906,1564.2840576171875,473.3857421875,187.601806640625,218.20887756347656,1042.1146240234375,897.2224731445312,188.66259765625,181.92576599121094,308.0256652832031
53,34,Dmin,D,66.0,25.73365020751953,92.3133773803711,467.8530578613281,87.2669448852539,76.1750717163086,318.3191223144531,76.99847412109375,11.831642150878906,66.52435302734375,426.0653381347656,63.74041748046875,11.240276336669922
54,34,G7,G,66.66666666666667,86.3138198852539,195.7348175048828,202.49989318847656,90.88587188720703,97.59774017333984,350.6372375488281,130.9561309814453,237.80995178222656,232.27349853515625,125.36333465576172,78.58020782470703,246.25872802734375
55,34,Cmin7,C,67.33333333333333,610.9168090820312,132.2254638671875,144.82533264160156,418.84326171875,161.45486450195312,202.7758331298828,132.47544860839844,541.1961059570312,127.23200225830078,57.58945846557617,261.0881042480469,266.76776123046875
56,35,F,F,68.0,1376.15576171875,366.791748046875,390.6267395019531,1310.6708984375,1040.0294189453125,3865.133544921875,1189.536865234375,946.949951171875,1373.73193359375,384.1932678222656,462.5863342285156,496.251220703125
57,36,Bb7,Bb,70.0,31.055564880371094,40.380550384521484,171.89341735839844,61.79598617553711,89.93173217773438,280.3101806640625,99.2873764038086,239.2792510986328,123.45906829833984,84.01952362060547,164.54983520507812,84.30785369873047
58,36,A7,A,70.66666666666667,51.456417083740234,191.88438415527344,65.24925994873047,72.91183471679688,323.8759460449219,219.82322692871094,80.6103744506836,177.33526611328125,116.61679077148438,226.31639099121094,467.2816467285156,108.36040496826172
59,36,Abmaj7,Ab,71.33333333333333,2611.156494140625,1514.2840576171875,3261.109375,4434.7685546875,2347.52392578125,915.737060546875,550.7908325195312,2665.823486328125,3236.699462890625,6374.96728515625,1149.4805908203125,646.1456298828125
60,38,Dmin7,D,74.0,245.8999786376953,76.32368469238281,166.5525360107422,60.28447341918945,99.1502685546875,438.9877014160156,97.30255889892578,16.213220596313477,18.893131256103516,96.46804809570312,22.03068733215332,52.58144760131836
61,38,G7,G,74.66666666666667,83.0728530883789,41.83616256713867,115.96588897705078,134.7145538330078,116.4521255493164,351.531982421875,130.1976318359375,200.1376190185547,40.3100700378418,52.97305679321289,54.13514709472656,222.64439392089844
62,38,Cmin7,C,75.33333333333333,256.7432556152344,70.83849334716797,74.52448272705078,257.9753723144531,107.78369903564453,123.80815887451172,50.54256057739258,161.9599151611328,31.198530197143555,36.17709732055664,206.54693603515625,168.8659210205078
63,39,F,F,76.0,851.1738891601562,160.9680938720703,279.2032165527344,859.2040405273438,527.599853515625,2287.960205078125,792.5645141601562,394.5054626464844,553.5521850585938,186.9843292236328,385.9305114746094,1212.01123046875
64,40,Bb7,Bb,78.0,43.28475570678711,51.472225189208984,173.99266052246094,63.94313430786133,72.04780578613281,230.3103485107422,69.12293243408203,30.657257080078125,102.0078125,94.38484954833984,167.52572631835938,68.41016387939453
65,40,A7,A,78.66666666666667,107.7367935180664,137.7945098876953,133.6796112060547,189.88438415527344,238.49623107910156,201.3701629638672,63.00851821899414,211.7721405029297,186.7085418701172,130.66847229003906,35.79050064086914,47.48738479614258
66,40,Abmaj7,Ab,79.33333333333333,1638.8094482421875,819.1176147460938,755.4043579101562,3164.863037109375,2637.3056640625,1624.9072265625,447.1869812011719,1329.9755859375,750.8206176757812,264.5857849121094,117.73275756835938,370.1925354003906
