,Measure,MyFavoriteThings(Coltrane),chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
21,26,F#min7,F#,37.5,286.1498718261719,1248.4193115234375,325.3558349609375,395.6884460449219,1691.07275390625,730.4586791992188,912.790283203125,221.8246612548828,454.9014587402344,1011.3904418945312,233.07765197753906,123.56558990478516
22,27,Emin7(09),E,39.0,658.4784545898438,489.86181640625,927.0244750976562,1311.1849365234375,3942.705078125,1094.168212890625,2778.366943359375,2752.998779296875,503.2444152832031,278.9159240722656,663.5064086914062,3312.9296875
23,28,F#min7(0##),F#,40.5,704.0031127929688,3042.787109375,644.0518188476562,623.8798828125,1808.2901611328125,1351.0,3831.664306640625,1008.842529296875,698.421142578125,2270.76513671875,523.0890502929688,856.1483764648438
24,29,Emin7(09),E,42.0,702.2875366210938,478.16650390625,882.56640625,1351.7950439453125,3971.547607421875,1072.122802734375,2594.112060546875,2762.270263671875,517.6968383789062,331.7251281738281,728.8390502929688,3637.0810546875
25,30,F#min7(0##),F#,43.5,706.9147338867188,3041.484375,648.7271728515625,639.4273681640625,1804.4134521484375,1344.9698486328125,3834.01171875,1007.012939453125,699.1527709960938,2264.5693359375,521.9674682617188,858.693359375
26,31,Emin7(09),E,45.0,701.33154296875,482.1206970214844,892.6658325195312,1340.7437744140625,3968.3720703125,1072.5538330078125,2596.45068359375,2767.621826171875,518.1702880859375,334.1420593261719,728.338623046875,3636.612548828125
27,32,F#min7(0##),F#,46.5,708.05712890625,3041.467529296875,652.4518432617188,630.9959716796875,1800.77001953125,1345.5557861328125,3834.341796875,1007.97216796875,699.4777221679688,2264.93798828125,521.9317626953125,858.6631469726562
28,33,Emin7,E,48.0,257.1946716308594,295.4884948730469,1205.0430908203125,651.0492553710938,2222.836669921875,426.9951171875,372.9152526855469,984.1585083007812,256.35491943359375,150.25123596191406,200.4544219970703,1120.5977783203125
29,34,F#min7,F#,49.5,293.2715148925781,1326.7301025390625,381.1775817871094,408.7581787109375,1676.1522216796875,756.6194458007812,1241.8143310546875,1399.7027587890625,674.8920288085938,1062.055908203125,295.6205139160156,127.68511199951172
30,35,Emin7,E,51.0,706.05126953125,379.0899353027344,1434.7640380859375,741.1906127929688,2199.3955078125,497.59375,379.4226989746094,974.56298828125,268.34930419921875,240.97344970703125,634.901611328125,4052.30078125
31,36,F#min7,F#,52.5,436.6982727050781,1743.0855712890625,441.5763854980469,399.9466247558594,1721.0067138671875,749.3124389648438,1051.256591796875,248.91583251953125,485.5033264160156,1023.8720092773438,276.8005676269531,149.1179962158203
32,37,Cmaj7,C,54.0,1303.71875,359.9658203125,158.7057647705078,496.4020690917969,2366.764404296875,455.0262756347656,272.7579040527344,925.952392578125,213.29669189453125,105.24732208251953,217.93235778808594,1358.8370361328125
33,38,Amin7,A,55.5,1081.4669189453125,291.7590026855469,173.6931915283203,459.5743408203125,1883.11669921875,370.8202819824219,363.6003723144531,1052.0849609375,467.3150939941406,1059.8616943359375,281.4331359863281,576.6947631835938
34,39,Cmaj7,C,57.0,1440.884765625,292.5828552246094,172.232666015625,497.0611877441406,2367.963623046875,440.6356506347656,303.28399658203125,958.565185546875,244.5535888671875,149.22157287597656,407.0604553222656,2472.72265625
35,40,Amin7,A,58.5,1061.7205810546875,371.7478332519531,189.44500732421875,401.4286193847656,1837.9813232421875,370.2237243652344,440.2639465332031,1039.2476806640625,517.2811889648438,1082.4163818359375,286.04998779296875,367.5328674316406
36,41,Cmaj7,C,60.0,1286.3546142578125,278.05242919921875,171.95928955078125,523.2395629882812,2392.114501953125,433.00634765625,341.6935119628906,963.3344116210938,236.76966857910156,109.07843780517578,232.68162536621094,1437.06640625
37,42,D13,D,61.5,1401.9317626953125,411.3140869140625,485.7876281738281,618.0557250976562,2240.835205078125,734.20947265625,1357.4522705078125,1217.1961669921875,606.6030883789062,1526.2540283203125,552.0916137695312,1505.0191650390625
38,43,Gmaj7,G,63.0,363.1322326660156,517.2416381835938,2439.994384765625,639.69189453125,260.849853515625,521.3687744140625,2732.034423828125,1366.259765625,257.9880065917969,258.87261962890625,351.2768249511719,1333.7852783203125
39,44,F/Eb,F,64.5,4259.0166015625,818.2490844726562,518.1336059570312,910.114501953125,733.960693359375,2236.114501953125,509.32421875,285.8050842285156,220.87274169921875,892.666259765625,309.8090515136719,719.967041015625
40,45,Gmaj7,G,66.0,508.5595397949219,297.7216491699219,757.4620971679688,451.5235900878906,174.33323669433594,663.3209838867188,2610.284912109375,1281.701171875,231.065673828125,256.3338623046875,528.9902954101562,2680.0048828125
41,46,Cmaj7,C,67.5,1169.6334228515625,294.6381530761719,322.89544677734375,560.1665649414062,2198.7021484375,441.5102233886719,328.28533935546875,961.2075805664062,236.29139709472656,109.76624298095703,197.90321350097656,1137.5531005859375
42,47,F#min7,F#,69.0,447.6340637207031,1304.1915283203125,305.7331848144531,416.659423828125,1772.1719970703125,783.638427734375,980.48828125,300.9590148925781,708.1510620117188,2960.103759765625,580.4904174804688,290.5608215332031
43,48,B7,B,70.5,380.9709167480469,298.6114807128906,522.5370483398438,2131.656005859375,507.6016845703125,451.332763671875,2338.324951171875,460.5914001464844,213.3250732421875,1002.60009765625,555.7361450195312,1809.5682373046875
44,49,Emaj7,E,72.0,328.4998474121094,141.62025451660156,220.6438446044922,949.1852416992188,2029.4154052734375,423.4455871582031,357.8455505371094,272.7200927734375,892.46435546875,199.23292541503906,286.9657897949219,1535.5784912109375
45,50,F#min7,F#,73.5,291.3745422363281,1255.3050537109375,306.6208801269531,411.4811706542969,1802.9259033203125,757.4669799804688,924.3060913085938,217.6195831298828,521.6422119140625,1023.6815795898438,235.5386962890625,117.2203598022461
46,51,Emaj7,E,75.0,256.9382629394531,162.5500946044922,162.57119750976562,768.1784057617188,2192.225341796875,437.9930114746094,221.02659606933594,255.93577575683594,902.3058471679688,188.1578369140625,211.49900817871094,1019.127197265625
47,52,F#min7,F#,76.5,289.4937744140625,1280.0802001953125,309.9483337402344,529.4892578125,1716.1290283203125,732.0640258789062,961.5110473632812,242.0657501220703,505.0501708984375,1033.6806640625,245.60899353027344,115.62102508544922
48,53,Emaj7,E,78.0,271.1924133300781,193.17303466796875,221.8904266357422,1201.73486328125,2306.63134765625,457.0677490234375,344.0820007324219,300.6430358886719,891.79345703125,191.69642639160156,255.40293884277344,1152.218505859375
49,54,F#min7,F#,79.5,326.6195983886719,1295.12890625,353.3113708496094,641.5614624023438,1747.4024658203125,794.5479125976562,1347.4481201171875,312.591552734375,510.7000732421875,1066.2056884765625,317.0892333984375,380.6934509277344
50,55,Emaj7,E,81.0,257.81292724609375,176.32981872558594,213.4609375,1199.8818359375,2326.999755859375,440.17578125,176.614501953125,264.9578552246094,874.7031860351562,178.69264221191406,233.75926208496094,1103.47900390625
51,56,F#min7,F#,82.5,291.4389953613281,1276.2540283203125,295.7847595214844,387.060546875,1681.5526123046875,733.882568359375,957.2434692382812,218.87998962402344,501.6576843261719,1041.6488037109375,235.6103515625,119.49661254882812
52,57,Emaj7,E,84.0,272.3327331542969,164.54656982421875,153.55198669433594,804.3416137695312,2245.66748046875,447.0914611816406,207.09751892089844,320.1164245605469,1443.28662109375,271.839111328125,232.88323974609375,1151.494873046875
53,58,F#min7,F#,85.5,585.4204711914062,1337.350341796875,307.0943298339844,393.41943359375,1685.6741943359375,739.1519165039062,964.415283203125,228.965576171875,498.9332580566406,1033.7576904296875,254.4427032470703,268.2153015136719
54,59,Emaj7,E,87.0,326.4530944824219,159.0769805908203,147.18580627441406,776.8018188476562,2236.265869140625,439.26806640625,192.6798095703125,243.9927520751953,858.5540161132812,176.6254119873047,265.8812255859375,1433.1201171875
55,60,F#min7,F#,88.5,290.0664367675781,1269.6116943359375,305.3638000488281,386.9602966308594,1681.82080078125,732.1403198242188,950.8805541992188,216.80958557128906,499.3637390136719,1044.2906494140625,237.254638671875,114.10784912109375
56,61,Emaj7,E,90.0,270.8351745605469,177.6033477783203,215.0445556640625,1226.0533447265625,2336.516357421875,442.3625793457031,183.52442932128906,270.7625732421875,881.7661743164062,180.66053771972656,244.83763122558594,1170.5040283203125
57,62,F#min7,F#,91.5,295.5387268066406,1278.9283447265625,345.7256164550781,751.4191284179688,1761.7109375,731.0077514648438,968.1640625,278.7187805175781,510.0291748046875,1050.1756591796875,257.89166259765625,125.18768310546875
58,63,Emaj7,E,93.0,372.1457214355469,189.10498046875,172.64202880859375,812.1962890625,2238.85205078125,459.4802551269531,337.815185546875,268.5012512207031,899.0596313476562,187.29847717285156,322.30615234375,1811.2318115234375
59,64,F#min7,F#,94.5,306.3067321777344,1261.6258544921875,303.8565979003906,490.6343078613281,2019.7618408203125,775.6625366210938,995.9435424804688,251.290283203125,508.8506164550781,1083.5982666015625,259.5364074707031,155.60630798339844
60,65,Emaj,E,96.0,285.34112548828125,150.36627197265625,135.87351989746094,499.9430236816406,2138.495849609375,406.8963623046875,268.51715087890625,205.13182067871094,864.8816528320312,169.9446258544922,209.1265411376953,1201.067138671875
61,66,F#min7,F#,97.5,347.780517578125,1291.7227783203125,320.2577819824219,447.3958740234375,1826.3868408203125,770.8687133789062,1134.66064453125,272.4977722167969,508.0487976074219,1114.3970947265625,302.5503234863281,459.0169372558594
62,67,Emaj7,E,99.0,682.3244018554688,223.67835998535156,184.2157745361328,811.3619995117188,2202.301025390625,446.5873107910156,299.75335693359375,274.4567565917969,902.131103515625,185.15965270996094,247.75604248046875,1297.0938720703125
63,68,F#min7,F#,100.5,352.8343505859375,1331.7923583984375,306.3017883300781,413.2795715332031,1666.7548828125,747.3369140625,1144.7281494140625,268.2500915527344,556.04296875,1086.5626220703125,322.4761047363281,429.6282653808594
64,69,Emaj7,E,102.0,324.3121032714844,169.166259765625,181.20701599121094,801.5630493164062,2150.727294921875,450.4546813964844,393.5920104980469,287.9454345703125,883.9258422851562,184.6697998046875,276.0965881347656,1478.2039794921875
65,70,F#min7,F#,103.5,354.6653747558594,1312.6849365234375,330.1328125,532.1031494140625,1694.9473876953125,751.0896606445312,1119.8704833984375,532.9750366210938,2411.554931640625,1363.0272216796875,287.29412841796875,387.6423645019531
66,71,Emaj7,E,105.0,325.30059814453125,168.7958221435547,177.01434326171875,806.8877563476562,2209.666015625,449.343017578125,218.4661407470703,247.0259552001953,884.2402954101562,183.64491271972656,257.3387756347656,1380.09130859375
67,72,F#min7,F#,106.5,321.08056640625,1272.7359619140625,296.4447326660156,403.072998046875,1694.3507080078125,739.7036743164062,1008.68603515625,232.40997314453125,504.2181396484375,1050.9884033203125,264.0701599121094,294.7049560546875
68,73,Emin7,E,108.0,277.8934631347656,329.8502502441406,1447.7548828125,681.3029174804688,2210.372802734375,426.7490234375,388.6534118652344,995.57421875,330.9118957519531,155.18487548828125,225.57582092285156,1292.56201171875
69,74,F#min7,F#,109.5,304.3552551269531,1303.8580322265625,325.70001220703125,391.5446472167969,1696.5311279296875,753.6952514648438,1034.967041015625,246.33348083496094,476.3567810058594,1032.9954833984375,281.68096923828125,149.58566284179688
70,75,Emaj7,E,111.0,733.2700805664062,239.4403076171875,220.27073669433594,912.6013793945312,2463.178955078125,547.2000122070312,297.6997985839844,266.90875244140625,894.8407592773438,293.32427978515625,677.1776733398438,4131.35498046875
71,76,F#maj7,F#,112.5,1186.8028564453125,1395.2994384765625,296.8690490722656,147.712890625,579.0753173828125,2130.435302734375,1278.269287109375,265.14373779296875,295.71002197265625,399.3200988769531,1274.7662353515625,429.2613830566406
72,77,Amaj7,A,114.0,331.9974365234375,1062.5950927734375,279.57421875,407.5080261230469,1638.9464111328125,662.1057739257812,239.72601318359375,225.10108947753906,1076.5042724609375,1074.7691650390625,215.9282684326172,139.56369018554688
73,78,Bmin7,B,115.5,277.6332702636719,496.0537109375,1367.8118896484375,525.9556274414062,262.8371276855469,541.7420043945312,2788.335693359375,1534.9075927734375,417.6148681640625,836.8558959960938,426.2674255371094,1244.766845703125
74,79,Amaj7,A,117.0,421.4539489746094,1077.9510498046875,314.8102722167969,480.8692932128906,1575.9927978515625,520.5712280273438,236.81451416015625,231.31263732910156,1076.4759521484375,1095.5450439453125,325.3001403808594,874.3234252929688
75,80,Bmin7,B,118.5,285.16619873046875,463.2121276855469,1267.4276123046875,537.2965698242188,257.4731750488281,484.1834411621094,2474.2744140625,420.7664794921875,223.74525451660156,818.320068359375,451.0185241699219,1352.573974609375
76,81,Amin7,A,120.0,1137.5634765625,294.438232421875,201.3274383544922,498.4835510253906,2090.220458984375,379.720458984375,352.437744140625,1032.5286865234375,503.0774230957031,1097.9971923828125,304.8681335449219,636.4879760742188
77,82,D7,D,121.5,845.8516235351562,482.9409484863281,1181.7122802734375,328.4842834472656,481.2844543457031,503.4942626953125,2397.63427734375,471.6150817871094,297.6284484863281,1147.4866943359375,254.0986328125,211.1812286376953
78,83,Gmaj7,G,123.0,283.0477600097656,496.2644348144531,2465.58203125,614.528564453125,187.9680633544922,503.2596130371094,2499.984619140625,1269.0830078125,249.76759338378906,280.5468444824219,332.3879089355469,1190.1505126953125
79,84,Cmaj7,C,124.5,2811.095458984375,518.4960327148438,249.3875274658203,550.5994262695312,2277.736572265625,426.6569519042969,283.3310852050781,1030.76953125,241.4510498046875,110.21649932861328,202.98292541503906,1288.7716064453125
80,85,Gmaj,G,126.0,791.6470336914062,276.4999694824219,1147.2039794921875,285.8775329589844,204.9370574951172,188.8458251953125,339.62152099609375,948.058349609375,203.31646728515625,227.7118377685547,677.6581420898438,4427.44580078125
81,86,Cmaj7,C,127.5,1197.1358642578125,324.6324768066406,521.2844848632812,559.6665649414062,2185.697021484375,394.4009704589844,280.8056945800781,974.4568481445312,239.1952362060547,103.53936767578125,213.61585998535156,1305.961181640625
82,87,F#min7(b5),F#,129.0,450.8421936035156,1305.7679443359375,312.3688659667969,413.7031555175781,1769.9112548828125,770.2732543945312,1014.6015625,305.11474609375,679.8086547851562,2771.113525390625,548.7864379882812,281.5516662597656
83,88,B7(b9),B,130.5,12292.0888671875,2906.800048828125,2677.999755859375,11964.9609375,2855.40625,2248.938232421875,12397.4873046875,3233.763671875,1081.505126953125,4069.480224609375,2279.375732421875,8152.66015625
