,Measure,Theme,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
10,16,Fmin7,F,30.0,82.74575805664062,27.78837013244629,45.428035736083984,180.4984588623047,34.26792907714844,32.47487258911133,13.082974433898926,40.22092819213867,7.8817458152771,8.17635726928711,36.077232360839844,26.230514526367188
11,16,Bb7,Bb,31.0,669.3511962890625,182.83970642089844,216.34580993652344,647.9090576171875,437.9324645996094,473.9057312011719,112.58769989013672,226.75404357910156,489.9633483886719,206.1622314453125,74.90564727783203,164.85963439941406
12,17,Ebmaj7,Eb,32.0,137.4023895263672,45.94442367553711,89.09011840820312,287.6980895996094,98.05109405517578,128.1314697265625,42.10173034667969,171.8407745361328,1076.373779296875,205.25209045410156,50.05990982055664,41.55210494995117
13,17,Edim,E,33.0,79.76786804199219,103.62167358398438,554.5765991210938,1046.161865234375,285.49505615234375,488.175048828125,160.82937622070312,482.904052734375,157.28370666503906,164.90199279785156,571.193359375,136.9538116455078
14,18,Dmin7,D,34.0,10.267934799194336,10.045818328857422,68.21256256103516,206.7213897705078,43.4425048828125,54.35212707519531,19.880006790161133,48.045223236083984,11.494235038757324,6.562551021575928,25.4234676361084,6.05612325668335
15,18,G7,G,35.0,8.595135688781738,7.3311076164245605,22.78318977355957,94.5495376586914,445.7081604003906,88.91461944580078,29.25788688659668,150.7893829345703,30.558271408081055,25.431798934936523,140.32371520996094,29.199569702148438
16,19,Cmin7,C,36.0,183.3402862548828,93.6665267944336,372.9470520019531,91.07461547851562,147.89300537109375,390.9034118652344,98.7195053100586,32.13643264770508,44.357601165771484,230.02845764160156,51.54753112792969,40.7901725769043
17,19,F7,F,37.0,50.259769439697266,34.59967803955078,117.4068603515625,50.535518646240234,98.30679321289062,389.9901428222656,107.58987426757812,144.7392578125,34.89862823486328,35.91104507446289,45.65350341796875,169.7998809814453
18,20,Bbmaj7,Bb,38.0,194.7084503173828,51.38031005859375,115.7840347290039,373.9566650390625,106.21529388427734,88.02536010742188,50.09219741821289,177.7328643798828,32.95109939575195,31.103483200073242,157.54844665527344,89.24352264404297
19,20,Gmin7,G,39.0,298.147705078125,71.96395111083984,106.17281341552734,377.4395446777344,186.47276306152344,199.74603271484375,34.13972854614258,32.64815902709961,21.943410873413086,72.38629913330078,26.25901985168457,61.69477844238281
20,21,Cmin7,C,40.0,61.76187515258789,51.27204513549805,215.17857360839844,104.91039276123047,94.78058624267578,378.6141662597656,79.02316284179688,21.043420791625977,35.18827438354492,172.916259765625,140.61363220214844,43.07058334350586
21,21,F7,F,41.0,26.382875442504883,31.913270950317383,108.86454010009766,35.65714645385742,75.62406921386719,356.914794921875,90.206787109375,107.35994720458984,25.055707931518555,65.53118896484375,130.17459106445312,42.16051483154297
22,22,Bbmaj7,Bb,42.0,242.3746337890625,98.76235961914062,335.7120361328125,443.3998107910156,146.1500701904297,124.42105865478516,79.6845932006836,183.70135498046875,58.42928695678711,158.70932006835938,282.9818420410156,91.89651489257812
23,22,Gmin7,G,43.0,265.3951110839844,201.9209747314453,631.099609375,528.8008422851562,411.2716369628906,995.4611206054688,257.4681701660156,212.4642333984375,1153.75390625,789.06396484375,677.6372680664062,189.3923797607422
24,23,Cmin7,C,44.0,89.75318145751953,122.65589141845703,390.6812438964844,127.95062255859375,213.3293914794922,747.09619140625,336.33624267578125,478.6911315917969,154.0353240966797,308.97589111328125,611.283935546875,138.08901977539062
25,23,F7,F,45.0,511.08447265625,148.83460998535156,382.2193908691406,983.238037109375,328.635498046875,285.8540344238281,127.70706939697266,475.296630859375,107.83615112304688,124.92949676513672,583.5299682617188,236.0360565185547
26,24,Fmin7,F,46.0,90.36356353759766,29.64910888671875,45.483821868896484,180.4102325439453,33.44704055786133,29.866601943969727,11.63997745513916,39.98850631713867,7.4471917152404785,7.6581645011901855,34.83790588378906,22.228742599487305
27,24,Bb7,Bb,47.0,669.955078125,182.5534210205078,216.0089874267578,648.681640625,441.0552673339844,475.7568664550781,112.54718017578125,226.80433654785156,489.6256408691406,206.4046173095703,75.03348541259766,166.04696655273438
28,25,Ebmaj7,Eb,48.0,230.88902282714844,205.7630615234375,674.6348266601562,511.47216796875,320.15533447265625,1002.8463745117188,266.9327392578125,206.27940368652344,1085.7486572265625,394.39453125,589.1552124023438,156.08885192871094
29,25,Edim,E,49.0,68.6046371459961,143.41249084472656,947.6994018554688,1099.427001953125,265.6354675292969,411.4902648925781,146.78111267089844,464.4385986328125,137.2499542236328,146.63710021972656,568.5926513671875,135.66651916503906
30,26,Cmin7,C,50.0,49.614078521728516,48.73478698730469,132.22227478027344,465.0156555175781,1085.447509765625,238.35572814941406,99.47783660888672,503.6255798339844,120.26514434814453,94.90145874023438,477.5617370605469,134.09030151367188
31,26,F7,F,51.0,524.8244018554688,143.60353088378906,299.7897033691406,1026.355712890625,516.17724609375,132.15786743164062,99.9162826538086,477.81982421875,106.25970458984375,113.15416717529297,560.037109375,240.3336944580078
32,27,Bbmaj7,Bb,52.0,3704.0283203125,1007.1365356445312,2430.982421875,6659.10498046875,3037.4560546875,2104.263427734375,594.4727172851562,898.92333984375,780.5753784179688,2800.780029296875,996.45361328125,847.287353515625
33,29,Bb,Bb,56.0,4354.66162109375,10403.6298828125,59638.65234375,15559.3447265625,17074.50390625,74148.4296875,13747.9912109375,2292.937744140625,6936.60107421875,46008.06640625,80337.1015625,11726.8759765625
